,job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url,rate_by,min,max,adjusted_salary,yearly_adjusted_salary,salary_bins
5,Data Scientist Intern,$18 an hour,Hach,"New York, NY",,3.2,"Parameters like pH, alkalinity, disinfectant concentrations will be used to determine an aggregate index to ensure the quality of water.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6a1c9dc5d54cab70&fccid=7211d6a9510d11db&vjs=3,Hourly,18.0,0.0,18.0,43992.0,0 - 50K
16,Data Scientist,"$88,656 - $222,212 a year",PebblePost,"New York, NY",Temporarily remote,,"Expertise in machine learning techniques.
Architect and implement data science solutions to improve performance within a fast-growing, disruptive first-mover…",7 days ago,2021-01-15,https://www.indeed.com/company/PebblePost/jobs/Data-Scientist-c94892fc57a85877?fccid=e9e5e66b7993bb98&vjs=3,Yearly,88656.0,222212.0,155434.0,155434.0,150K - 300K
89,Search Engine Marketing Data Scientist (Specialist),"$80,000 - $135,000 a year",Think Green Supplies LLC,"New York, NY",,,"Experience in data science with a focus on marketing analytics, statistical modeling, machine learning, forecasting and optimization.",30+ days ago,2021-01-15,https://www.indeed.com/company/Think-Green-Supplies-LLC/jobs/Search-Engine-Marketing-Data-Scientist-ce021e3fa2625037?fccid=40e05f470c927ff1&vjs=3,Yearly,80000.0,135000.0,107500.0,107500.0,90K - 120K
130,Data Scientist,"$130,000 - $160,000 a year",Universal Yums LLC,"Roseland, NJ",Temporarily remote,,"We need a data expert with experience in software to manage these data challenges, as well as a strong foundation in statistical analysis.",23 days ago,2021-01-15,https://www.indeed.com/company/Universal-Yums-LLC/jobs/Data-Scientist-bfff2774b4672142?fccid=eee123f164cf78a4&vjs=3,Yearly,130000.0,160000.0,145000.0,145000.0,120K - 150K
153,Data Science Resident,$35 an hour,Galvanize,"New York, NY",,3.8,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ef6e356eb6fe8a14&fccid=5609ae8cba643791&vjs=3,Hourly,35.0,0.0,35.0,85540.0,70K - 90K
177,AWS Cloud Architect (machine learning or big data),$80 - $95 an hour,"Vyze, Inc.","New York, NY",,,"Deep knowledge of information architecture methodologies; enterprise-wide data architecture for designing and building data lakes, data warehouses, data marts…",1 day ago,2021-01-15,"https://www.indeed.com/company/Vyze,-Inc./jobs/Aws-Cloud-Architect-fd12be36e8f63655?fccid=66e52bf54332b531&vjs=3",Hourly,80.0,95.0,87.5,213850.0,150K - 300K
221,Algorithmic Trader / Developper,"$48,805 - $203,940 a year",Quadency,"New York, NY",Remote,,"Minimum 5 years of relevant trading or investment banking experience as a Quant Developer, Researcher or Analyst.
In-depth knowledge of Python.",2 days ago,2021-01-15,https://www.indeed.com/company/Quadency/jobs/Algorithmic-Trader-aa5952beabfb4f29?fccid=91c155d769f28e92&vjs=3,Yearly,48805.0,203940.0,126372.5,126372.5,120K - 150K
245,Sr. Data Scientist,$45 - $70 an hour,AGM Tech Solutions,"Florham Park, NJ",Temporarily remote,,"Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, neural networks, deep learning…",4 days ago,2021-01-15,"https://www.indeed.com/company/AGM-Tech-Solutions,-LLC/jobs/Senior-Data-Scientist-b92f2004cba492a4?fccid=e7a7be52239a678b&vjs=3",Hourly,45.0,70.0,57.5,140530.0,120K - 150K
246,Sr. Data Scientist/Chatbot Analyst,$65 - $80 an hour,AGM Tech Solutions,"Florham Park, NJ",Temporarily remote,,"You will be leveraging data mining, deep learning, content understanding, and more.
Provide support for data science and analytics across enterprise user base.",17 days ago,2021-01-15,"https://www.indeed.com/company/AGM-Tech-Solutions,-LLC/jobs/Senior-Data-Scientist-Chatbot-Analyst-271a673fbdf4c9f2?fccid=e7a7be52239a678b&vjs=3",Hourly,65.0,80.0,72.5,177190.0,150K - 300K
256,Senior Data Scientist,$61 - $80 an hour,"AGM Tech Solutions, INC.","Florham Park, NJ",Temporarily remote,,"Design and implement data processing and machine learning pipelines.
Apply data science to create analytics in Jupyter notebooks.
Temporarily due to COVID-19.",30+ days ago,2021-01-15,"https://www.indeed.com/company/AGM-Tech-Solutions,-INC./jobs/Senior-Data-Scientist-93b2ef02160d96f6?fccid=71123ca81fc3003d&vjs=3",Hourly,61.0,80.0,70.5,172302.0,150K - 300K
276,Machine Learning Engineer,"$125,000 - $180,000 a year",Alaffia Technology Solutions,"New York, NY",Temporarily remote,,"Using tools like Jupyter notebooks and wrangling data frames using Pandas to discover insights, and turning these learnings into statistical inference methods,…",20 days ago,2021-01-15,https://www.indeed.com/company/Alaffia-Tech-Solutions/jobs/Machine-Learning-Engineer-e47f714b45602502?fccid=fd64b5e3ebf569d1&vjs=3,Yearly,125000.0,180000.0,152500.0,152500.0,150K - 300K
331,Director Data Science,"$180,000 - $220,000 a year",Sky RPO,"New York, NY",,,"No sponsorship is available now or in the future.
Remote start with transition onsite once COVID restrictions are uplifted.
Should be open to travel later.",30+ days ago,2021-01-15,https://www.indeed.com/company/Sky-Consulting/jobs/Director-Data-Science-a7a2858ace63b9a6?fccid=5e049852524685ca&vjs=3,Yearly,180000.0,220000.0,200000.0,200000.0,150K - 300K
387,Data Architect I - pre-sales,$160 - $190 an hour,"Insight Enterprises, Inc.","New York, NY",,3.6,"We are looking for a BI/Data Pre Sales Architect with practical, hands-on knowledge of modern data architectures and tools such as data warehousing, ETL/ELT,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc67a21a0aa1a84b&fccid=69247daab4a84a92&vjs=3,Hourly,160.0,190.0,175.0,427700.0,300K - 600K
430,COVID-19 Epidemiologist: Senior Data Analyst - Visualization and Reporting,"$84,468 - $97,138 a year",Fund For Public Health In New York Inc,"Long Island City, NY",Temporarily remote,," At least one year of experience in health data analysis and epidemiologic methods.
 Supervise data analysts fulfilling requests for data or reports made by…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a17549accf14bad&fccid=c6b5143eab3dbe34&vjs=3,Yearly,84468.0,97138.0,90803.0,90803.0,90K - 120K
463,Senior Statistician - Innovative Biopharma - USA,"$75,688 - $149,805 a year",Warman O'Brien,United States,Temporarily remote,,"Acts as the lead biostatistician for one or more clinical studies within a clinical program or across multiple clinical programs.
Temporarily due to COVID-19.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw-rRrlDr6nrfscfj_vVoPM6Iu_8zo-cqs0II8k4Z4L09_w1iGTUNqHrVHx9MkiUV_IsLFR8NlSuMDmZTh5NC5vvVSlgkgD0mggtDnE_DV9nnCvJn8LhbhJel5BhhNqNYNgH81uMwwUqZLmCgDjdRgvl9A_0V3Z6iagkTOuDFY-azselB4Ijqx9CGEPtXsIJ7szp9Q8ZvQ1M8HptkBOvI-v4hJH9Oob1Y0J9RHAZntdRPxhbxXldQZ5S9X1I8T6HJNWgK5PY2ObjWPUhGRjQ1tBa5hgqmBAkAKVp8vuFuwIJCusgsM03nlHn4Or7Ie7M4b8qZ6S_75-HEw71K9I7ecuTOEjU6vr1jEzETYd1s8YDtJzkGOo78bb193DcHaa7GX2HaaVrkfzttQj8ZxT8U-YTWmc_8Qzwh9TicWOWJxtqk7vVbPyh6opbCpt5Vx4vGQZLkOAwlmdeW0gwy1DNUimxk_gWYgwdanZOYjRtt-fHAS2_sCtYb4l608sV0BHuw=&p=12&fvj=1&vjs=3,Yearly,75688.0,149805.0,112746.5,112746.5,90K - 120K
482,COVID-19 Senior Data Analyst - Temp,$46.41 - $53.37 an hour,Fund For Public Health In New York Inc,"Long Island City, NY",Temporarily remote,,Oversee facility data and referral processing and data management of cluster investigations to ensure that activities are conducted according to applicable…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f1401fa07b347c44&fccid=c6b5143eab3dbe34&vjs=3,Hourly,46.41,53.37,49.89,121931.16,120K - 150K
575,Senior Machine Learning Engineer,"$90,000 - $120,000 a year",Open Data Science. Inc.,"New York, NY",Temporarily remote,,"Interest in machine learning techniques to develop better predictive and clustering models.
_Understanding and genuine interest in AI and machine learning…",30+ days ago,2021-01-15,"https://www.indeed.com/company/Open-Data-Science,-LLC/jobs/Senior-Machine-Learning-Engineer-3ec629d4e9ac0954?fccid=81cbac83fa5c2c0d&vjs=3",Yearly,90000.0,120000.0,105000.0,105000.0,90K - 120K
580,Statistical Programmer,"$90,000 - $110,000 a year",Amador Bioscience Inc,"Newark, NJ",,,"3-4 years experienced in data analysis.
Collaborating with project leaders and statisticians on study protocol design and lab data evaluation (eg ADA cutpoint).",9 days ago,2021-01-15,https://www.indeed.com/company/Amador-BioScience-Inc/jobs/Statistical-Programmer-549f799e05edc741?fccid=242b80759958266e&vjs=3,Yearly,90000.0,110000.0,100000.0,100000.0,90K - 120K
