job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Data Scientist, Growth",,Pinterest,"San Francisco, CA",,4.2,4+ years of industry experience with proven ability to apply scientific methods to solve real-world problems on web scale data.,Just posted,2020-11-27,https://www.indeed.com/rc/clk?jk=fafbb808517fc76d&fccid=43014b1412e0a7b6&vjs=3
Data Science Intern,,Pinterest,"San Francisco, CA",,4.2,"You’ll apply quantitative analysis, statistical techniques and data mining skills to understand the limitations of running hundreds of simultaneous experiments,…",Just posted,2020-11-27,https://www.indeed.com/rc/clk?jk=d9f3b20f9383cd22&fccid=43014b1412e0a7b6&vjs=3
Data Scientist,,"Alto Neuroscience, Inc","San Francisco Bay Area, CA",Remote,,"This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…",30+ days ago,2020-11-27,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCLGMZOQuOsCGJt8V5Ah9fdu60bFCVujmoIe4gnQR76GCyU_d2W25ZT93_LHqS7vnszdp_Fg8ocjCVyJIVUmNXIKjVrTjAS97dKhu6bLCDp3r2hiCqb7h3AWzo-QaKcLoYcmqwMH2adF0igIs5npNV_sJNql80vTsDNO7XJ5meqCBUUqxSSdWOvn0Wi7qQG4Fg9qJ05TXrJk8o8cj75ELjHj1No42hjdlW-j4mGLcmwzx61d01cYRSj-09h_yQV9nqH8aus5vEEvh_GvJTEDaRt7Uw3U95RA03OxzH_8nho3i36sFTxaSzMQVbMFvpRuX5M-v-TtqJKsN_QFKGIlevfwBv7KItpj42lV5g0aWxZGL22wk-Ycdn2UipaueTm7VX_xo24HXxzrTbKBqUq8tv6Z6-SOT2iDJDxVP8b8At2Nzg4Vvepvc4qMmkZze5LR0mH5b93iuaSXUD9sd5FQjE&p=2&fvj=1&vjs=3
Data Scientist,"$250,000 - $375,000 a year",Blue Owl,"San Francisco, CA",Temporarily remote,,"We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution.",30+ days ago,2020-11-27,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3UvD5kBSgX9r9tFJCI4OL-41vvae__bcle4uMSq30h36AcPbHjl9bcVWQE4zSRT4EOgpM6LkPra63lxoEtVae-7wD-oUwUbBd1OZLV0EDBfVsDapnyVIX5sAVVSZi1JFDgw1-QU0Z_6h_hb3hkF0kGSe2adBRcLe-9dykDVUwA9_LgUuV-p7vSPZG1PunCyMFE-Yj2DzmOCyVc8kf9TxsOJID21Q8fUufZ57_vcRnNRXFwkGx4yFKfHOzPzvmgXHSNyM9OoViWrXa9DrY0Rvy67DD3ECC3LprJAfNhKZdh3k4zLxBQvaOrc_vg3uZ_7_4kSknWEeAGUwIgzIFS0RcfFejuHeBVQiX0se2V8vWjF7vEm8dhNpuqes7IHQjlT5qT3xEjStwXHniLgpgRoShC_kgOe89OEkTU85BJwnglKs07VniqFbHcAtUJzjR3ygYouivMZ_XGyxVX3FtQhMI8IboghIEzVw82ubK251RCGXGyzdLDhSuD1-NfEa9PeQQHv33zXM69j7BsKk0_5bBqJEpUh4WejIZrOVeZcac1ob3G_vHqVrUq1uBQOJmjeY9GWc9G17xXg==&p=3&fvj=0&vjs=3
"Data Scientist, Analyst - Invest",,SoFi,"San Francisco, CA",,3.1,"Build data structures and ETL pipelines to transfer data into data warehouse.
Own end-to-end product analytics workflow including formulating success metrics,…",1 day ago,2020-11-27,https://www.indeed.com/rc/clk?jk=2d2b4e08ab4cef60&fccid=7c3a1f1f98dde031&vjs=3
Data Scientist,$80 - $100 an hour,Winwire Technologies,"Foster City, CA",,,"Working with engineering teams to incorporate analyses and solutions, including working with data engineers on data quality assessment, data cleansing and data…",4 days ago,2020-11-27,https://www.indeed.com/company/Winwire-Technologies/jobs/Data-Scientist-893bc807bb72e04f?fccid=fd47bffaf068bfb4&vjs=3
Data Scientist,,Microcred,"San Francisco, CA",,,"You’ll extract key data and findings, define metrics, evaluate A|B tests, identify opportunities based on the data, and share new insights that no one…",16 days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=ff74797bfba590dd&fccid=defb65139daca2e3&vjs=3
Entry Level Data Scientist,,Spectra Infosystems,"San Mateo, CA",,,"Applicants will be expected to work with a diverse set of data sources, such as time series data, spatial, graph data, semi-structured and unstructured data,…",30+ days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=23f087c8f24a97c0&fccid=8e44d5d5e9a1ffae&vjs=3
"Computational Chemistry, Machine Learning Scientist (REMOTE)","$190,000 a year",Harnham,"San Francisco, CA",Remote,4.6,"As a member of the machine learning team, you will utilize your experience in applying CNNs, GNNs, and the newest techniques in deep learning and Python to…",1 day ago,2020-11-27,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZE23DsEyfBmTlgqmeKn7gb2vxEyjVxmwUoYHpqeb5-K9jwSDsicaTQSKQtAdPWRN70nFnahkPnyscjofV23AWYtCp5UC4YzXXHN4RwXauXUc3_lxHak9N-6blN9rkoDgBrOhVSRE610V1DEnJSXj5TNq0xhpEtaHJsxdcddqYlvR3JrRQrF7O7SEmbRGefrIlr9l54Oy_n5qDMaNzLUvhcsot-2VQWqkSkquJURxrctt14kTggOpNJXlI_sAedDix84X9RY4twhEzzdtC2FfITq7EXMZnA7LeatxcVE01zNagxoIHfNaCyahv2yfwxaW1KgRYZd5KcIM0zPkm1jWXHdOhKFASJajcBkRAN0W1UqFNcZZZHXIUxGh9OIBDBrwduy2-qGvdqlpopY9CypLIhtqXM4k_cTndlR_kSvgJDnhHNpSs5vbUpUOg1kF-pqZZeoPjukeFpy45jl8Q-z-4jfOI3Q9BUbLBFUsO-1t_Mq8yTOZmtPWnwuVoXKqPn0l_Zh3ECKxsXncxCVceUm6aXIduk2YCCvMSstitiZXbM8gvBHbNFHrMSM9hS_P-1e-xs6C-p23tn7CegNlPBS0WPG1TkAwLKh42HjMTQACQ5qAcV4EUAw5aqc7SOVH5hiM3NvSggRyhKZw==&p=8&fvj=0&vjs=3
"Associate Data Scientist, Data Modeling",,"Williams-Sonoma, Inc.","San Francisco, CA",,3.5,"You will work closely with other senior data scientists on the team to enhance our products, develop new tools, and create actionable insights.",17 days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=9af7a390f9bdc59a&fccid=cdd85c4d445cce0f&vjs=3
Data Scientist,,Medium,"San Francisco, CA",,4.0,"You’ll extract key data and findings, define metrics, evaluate A|B tests, identify opportunities based on the data, and share new insights that no one…",16 days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=8d4f1933511299b1&fccid=884322dceb87d4a4&vjs=3
Data Scientist,$80 - $120 an hour,Braintrust,"San Francisco, CA",Remote,4.5,"Analyze data for trends and patterns and interpret data with a clear objective in mind.
Push business thinking on the art of the possible with data, machine…",2 days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=e8f687ad91faa3dc&fccid=cffd065f9ff9e672&vjs=3
SENIOR DATA SCIENTIST,"$170,000 a year",Harnham,"San Francisco, CA",Remote,4.6,"Using Python and machine learning tools applied to high throughput screening data.
Collaborating with wet lab scientists in experimental design and assay…",1 day ago,2020-11-27,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZE23DsEyfBmaGUBy_VErNrj3xWwW0k3LQaZu67Rgx1swLfPTd1CGPfu-gkpQc2B4MkZVzr1k9OMPdrt0_Z4lVMiA8VMFgX9mwyj_sdtiMHOj4gMlBsXnOtfV3o-rhx_2OCoE7rtGrxVc8ibXvXtU2YiGADCENpy8p10-mr3hQjvVsS7W3FqIThmO-DRQ06evct7cV-ppnO78HuqVcTeugFUiXJgb4LolJuXjJYSO_Tyr6HkVaWw3e3bzGaH0e7Xw3fxNZ4Kfv7SM-PquUYkVQVyEY8JYC4DV3hwcdOxG5PYaS8I_KeETmMXYRYt8p5UZcL2SIF4IYkVqtiNRa_MapHmBm7DVbFA6OD6X0bLJs1Esqb-85U9sAzDKVCjCIcN2kPm9e03XIC0dLdOxNlsH9guSUwaE2b5CLfjmRFanI8kQVVtO0krNg2iP5CBnUDLYmYDCCRRWkD7gEgpfkA22w9gtpq6xXu6uyClND5Z8bbQN6zQi1sLjRtLVHunp4MYJvtl0oUVEk8Ey7NeIryOgqouY5EZg-SuQfZlDJwSTlzfRWtmB1_7ZcibZjN6-lgj6RK2dxUg9nDvHjETXmEWWJeO0ZRo8vKO4zJKdai1fhRRMXtVSIg5hTB-q19Ey18Ktn4NWj3osr7Sg==&p=12&fvj=0&vjs=3
Junior Data Scientist,,LexisNexis Legal & Professional,"San Francisco, CA",Remote,4.1,"You will prototype new ideas and build-out existing systems, collaborating with other data scientists, product managers, front-end developers, and a dedicated…",30+ days ago,2020-11-27,https://www.indeed.com/rc/clk?jk=44d8b988fde236b9&fccid=06206ab329e0eb22&vjs=3
