,rating,rating_title,rating_description,rating_pros,rating_cons
0,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
1,5.0,Increible trabajar ahí ,"Excelentes compañeros de trabajo supervisores capaces , capacitación constante la verdad de las mejores experiencias y relaciones personales muy buenos amigos ",Siempre habia snacks excelente ambiente laboral,Si no eres Tech no es muy fagil avanzar ahí la verdad
2,4.0,"Google is o.k., problem is, you're engaged thorough third party","Google is a good company, very generous feeding people and courteous.  Problem is, they outsource the job and the company in the middle makes money and you get the short end of the stick!  It is sad for a company of that size, they could do better.",Big Company atmosphere,"People are managed by program managers, not real managers"
3,5.0,Taking care of employees,Google is great. The managers take care of their employees a lot.They emphasis a lot on learning.They always ensure that a new employee always feel comfortable.Work life balance is great here .Every team member is very friendly and helpful.All employees are valued and respected here.,"Work life balance, Friendly and supportive managers, Great perks",It's too big.
4,4.0,Pretty great,Definitely recommend. Free food and dry cleaning! Only downside is how much they're spying on users... Collecting data.... Its not cool. They should really check themselves.,,
5,4.0,Amazing work place.,Amazing work place. Lot of challenging work to work on. Work life balance needs to be planned. Teams are fun and enjoyable to work with. Lot of interesting work.,,
6,5.0,Everyone is nice and wonderful people,I haven't started working there yet but every time I go there to eat i enjoy it. The manager is nice and everyone knows each other. I will love working there.,Very clean and organized,none
7,5.0,It was a great environment ,It was a great place to work at I really enjoyed the people and everyone I worked with they also provided free drinks and snacks. I would really like to work back with them. ,,
8,5.0,"Fun, impactful work","Google is one of the best places to learn about technology and build impactful products reaching many millions of users. ""Nothing is impossible"" is the Google mindset.",,
9,4.0,Its Google,"Google is a dream company for many, however it has all the problems of the big companies I have worked at before.  Its really hard to get promoted, that's why I'm considering leaving",,
10,4.0,Large difference in Contractor Vs. Employee treatment. ,"Nice place to work. Most people are nice but you can see the difference in how a contractor is treated compared to an employee. After spending much time at the company as contractor, there were no positions for full time Google employee. Diverse culture but marred by difference in contractor vs. employee. Lot of perks that are same as employee such as Cafe access and free food. Some limited access for Gym and other activities on campus. ","Free Lunches, snacks and dinner. Ability to work in designated areas.",No permanent employee offer despite working as contractor for several years.
