job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,PowerAdvocate,"Boston, MA",,4.1,"At PowerAdvocate, data scientists participate in all aspects of the data pipeline development process—from outlining the problem all the way to implementation…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBwz-UKFx0ELTvKWWBGb4vDUty7gomkDz1TJPOHtdaHDFigBFT5s_3mou40qvNB7CHfO6a8ZBQYRZFiPGhUVEBhk_MFaL8s3zCxLNn1h8YVhboKCZO5wSb3VkcVWdasY6nQcdTyPMmqLquyZe0w5n9IPQo0ai6TZnloj8b98827EJKdNmTtwBfRjySPObNpffAJafvt0aI76zWe69ghRIgHAOnrFfCwVOgYfMs9Ckm2kMfp4r_Qjt2sQlL8zPnBNNpPP_Hg2uGTRdw7pDP5se-1AbCWOVoljizOM_z8WeD_tfA-tk9dUimI7IPRrwTM0FXnSxBagzB8bKnjzwnNLMJ7ecl__7_ZNHIuVJiCKiyeQfyPi2d5tqzgnT5eF4t0lekqF-svw7HqxG-im3e9QowoHtCYC3vt59i22_4iKkjc4dt7S4m_hfZiQ-WxzmjI2uqXHA7q-I7ndYao6HuLuOH_QwjTTzYwew=&p=0&fvj=0&vjs=3
Data Scientist,,Insurify,"Cambridge, MA",,,Graduate Degree in technical/quantitative disciplines and/or 2-3 years building models that have driven clear ROI; experience with Marketing or Marketing tech…,26 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=550d6627546da0f8&fccid=3e263cf17592f3f5&vjs=3
"Data Scientist, 40Hrs, Cardiovascular Medicine-One Brave Idea",,Brigham & Women's Hospital(BWH),"Brookline, MA",,4.1,"The Data Scientist I position described here involves scalable database queries and statistical and machine learning analyses of clinical trial, cohort and…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=63f04cee9ef212b9&fccid=053c0caee91baa24&vjs=3
Junior Data Scientist,,PIÑATA SCIENCES,"Boston, MA",,,"Experience with machine learning techniques.
As an energetic data scientist you will be responsible for taking in person findings and developing practical…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=7ee6e4997258f140&fccid=f8b1d4b5fc1e6f9f&vjs=3
Data Scientist,,VA Boston Healthcare System,"Boston, MA",,,"Use advanced data analysis methods (from machine learning, artificial intelligence, applied statistics, etc) to assist in building predictive models of…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al2NfJ8yyqIYYnTh93X-NBwjrShfZHouU-86CQVQRn0t35BzgfZ2OxuJFRiAFSF3HCy7W_Jumqq5Cz8_X-aR0TxkpBLZ2VBkpoohMUbFBrrGaFWXCLkCdDj020f4cjptSD4EToLtJvvB3DAKGvfDhGycLJFlMsQ3bSiSeT8Ix-DwdqBZ43JrZ2vFTgYPV3j2iBQrQalKbqTsd6oY5QAJHvvoxtzakWbaNYTSNb-9cUbfqfCbcy5gb1hQKyB18mTAP9wgVG4zKjjLS7mJbWp22mdVR45WSev-zlgxXdi6Vv44jlN_25pmaCdiOgALc111Nitp7fWmCZSKatGKO4G57_o_NZFv4o5rMdIElh71gd2gmUlBz8j9cNxo9Pp_zmxWndCWBU5gR0M2ypoxNc8RhLJz5Lu3KAz90WGP434-NB_j1ySEnnoLxYu2V1S196Tz9QvcU0xAl0IQ==&p=4&fvj=1&vjs=3
Data Scientist,,Perceptive Automata,"Boston, MA",Temporarily remote,,"2+ years experience in machine learning and/or data science.
Excellent data visualization and communication skills.
Experience with human annotator data.",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=be10d00e081815b1&fccid=a2b1f7c3f77a78d6&vjs=3
Full Time Opportunities for Students & Recent Graduates - MAIDAP Data Scientist,,Microsoft,"Cambridge, MA",,4.2,"Patent and publish relevant IP and scientific research.
Select and apply appropriate statistical and machine learning techniques to large-scale, high…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=bd2d32a1e6455d95&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,$40 per class,Harvard University,"Boston, MA",,4.3,"Furthermore, they will develop new data analysis methods, again based on probabilistic machine learning, that are suitable for the large neural datasets…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=349a3652ec146687&fccid=5507a64404691526&vjs=3
Data Scientist Intern,,Homesite Insurance,"Boston, MA",,3.2,"Perform data mining and apply machine learning algorithms.
Operationalize models to convert data to insights.
Perform exploratory and statistical data analysis.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=3460ccb96fcb34d5&fccid=b9ca7ec1464dfa21&vjs=3
Data Scientist,,Recorded Future,"Somerville, MA",,,"You will take our data to new heights by discovering and structuring relationships between pieces of data.
Curiosity: You want to understand how the data you…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=dddbb854942bbf27&fccid=b276df3fa16c132a&vjs=3
