job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Science Engineer II,,Centene Corporation,"Charlotte, NC",,3.2,"Coach and train data scientists on best practices for predictive model deployment.
Experience writing or maintaining open source software, deploying code for…",Just posted,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRsjAAhb4gy7YhO0JuVaeCDdL_btuOCOorhVjdNhR0mCikdkQOXzKsboxTqni1FyvWvPx0pBBPBzTpO3e-YbBpGEiE4_KQz6QfmufZxvGAJprSj8auQf7XBOnZ5us6juc5DBAz-X7nnhejN8v0BYAb3bWbspUMP4q1lQFPsjV39WQF_a8G87YvvhDCnPSHK96JTSg_ZNIuTAV0BqqM2PlVh_YtECoeL_jw1dTdp3j7rlGKuRfXjXcBLpnmnU1F7FWGtG4Rb1snbnHJGy6GIiK8d1AUG9Tc3VvQOcrhUy2bnmKh9fymFiSUCpyDJcLwz3EwhEhFceGf5Gl-v_sMBC-PTzoL7P7QRUc9ji4Epee6ln5Y8Bqe8GobR0oDirlARAIA4wSqCKxeVw==&p=0&fvj=0&vjs=3
Sr. Data Analyst / Project Manager (Tableau),"$100,000 - $140,000 a year",CyberCoders,"Charlotte, NC",,3.3,"Background in mathematics/statistics, engineering/physics, or data science.
And help sales close deals as needed in the capacity of a subject matter expert.",1 day ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t5ZCCwczjMXwhZ-F57nvYCCOc61jQNjFP6J9vsuf5dd3Um-powHMvHD5RzfV_rjViNeXO2vyD-22KZI5AByaLQrS_LEkoKOk7Zyi4404YYTW-2eWCNfesbXoFrtkRmI20_TunXA5Lw_2HfKmIrh3AEMtKULJ4vvOkOWTW3txYT72wjb5SjUSsOKKz-NkITpGtBEuuViLR0lzAsg-nyjqP3dLPLlJqFIycO-R9NwnrvluqWLxTMl73oh3YDylkoxbRAk5KxYOVZBM6Yl9OoRBaMOKeiw2PH1yQNq695-2oVACUE3IRR5i9F0aq5z2XkhDARHFogUXljBbyj_pqhJsOVZFpsz5RRbqyRonHhzOw8CD020n-KR3eGM8v1RIEH7uPT6jBgvVWp-9Z4KeW4Q7mdSY-__zHbdHa8ecGaudv1lB4j64s9ssDk7eBw3Xx287lSwobNJfkOQBxItR3eLiCz7962MXaoNTWebUspouMAfmW3oGFwwZ3Si5sJyarG_GXRqDrHNGKfjr_tlBqufFH9x40VNiG5bCZW8jjnIrS3WWBSmXzRNzqip90r-QZIwT5k6Jygp8uZ_-Ejg57aaS0fDTyonc4GrvwqXIM6nWloX0HO4_51yZaY03CFAkmzoRsJ9BOfmWuQBdATRDfbRoAnostd4ep7YCzGiriR5SUt5-8Bt-pLWqH4AHu2AhNhchz1xyfMynQKJ2uBCz5cku-GEM9wnReb3ea178Y8CpTkMl3u4kFOmobeq5xuAZgZKlBWJ1FAmBDTGrAR7zuB0zO4tXo-J9Fs6Bw88ACv6HxbQ-jjOKt0jl91WMKCP4DKJKOPFVjOw1oqG3pZ90U4eznPTGfSKqf8qncsaR6fuDFfqwRDWHq_3Wb03_PmbylrAT6UDtUw1qCawUoKPnPAHSouH&p=1&fvj=0&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrep83qpEaw-rFbMBBtmQfQqmJL1ZqEwhZ0oiEZL0rp-CCx45c45JNUwFKeZW-KG07yuQ42GMNSKe6YFT8XWF_RcDpghjC1rjMkbBAYgonTHYmEOumtcOHLae90ju_Ds6Mi47rqs62SsQ3lmIRsKjJ5zW1Q8mLoy6Dmo4UBOErEniDZx_mmqBvmINFPH02GlSaq_1gtyjCg7Dme4_mmTu5uyR4XOh5hSV2aXtPe5iuBGwoY5DC4UzRWsDH3bQdTW6jtcqvkbrNj3C6TBqDKkwybEr-CUi-t6Qu&p=2&fvj=1&vjs=3
Data Scientist,,Lowe's,"Charlotte, NC",,3.6,"2 years of experience in data science or advanced analytics in industry.
Works with more senior level scientists on the team to translate requirements into an…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fc0a6f589b432645&fccid=9a55d5dc8c10ef41&vjs=3
Data Scientist,,XPO Logistics,"Charlotte, NC",,3.2,"1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.",Today,2021-01-10,https://www.indeed.com/rc/clk?jk=a2d54220ebe59486&fccid=518acc75d1476dc2&vjs=3
Data Scientist,,"Driven Brands, Inc.","Charlotte, NC",,2.5,"Candidate must have a Master’s degree in Computer Science, MIS, Statistics, Mathematics or related field and 3 years of data science - analytics (descriptive,…",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0eea28c9afa9e057&fccid=6b546763f210bf41&vjs=3
Sr. Data Scientist,,Lowe's,"Charlotte, NC",,3.6,Leverages deep understanding of statistical techniques and tools to analyze data according to the project plan; communicates with stakeholders to provide…,3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=af531256c5f408f8&fccid=9a55d5dc8c10ef41&vjs=3
Data Scientist,,Progress Residential,"Charlotte, NC",,2.8,"We evaluate and use the latest technologies that help us perform the financial engineering, geospatial analysis and data science necessary to manage over $10bn…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=14f7fca9c89e63da&fccid=7e6b47a026e08769&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Charlotte, NC",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=dbca3f92a4d6bbab&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Sealed Air Corporation,"Charlotte, NC",,3.6,"Design, build, and extract large and complex data sets while thinking providing insights into uses of data and how data use interacts with data design.",22 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=33ed38beb2843cdd&fccid=66c010dc97a69d7c&vjs=3
Data Scientist,"$100,000 - $120,000 a year",Data Bridge Consultants,"Charlotte, NC",,4.5,"3+ years experience in machine learning, data science, data engineering, and/or computational software development.",22 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f2f7876be2abbdc5&fccid=eb7bcec5d5284bf2&vjs=3
Senior Data Scientist,,Data Bridge Consultants,"Charlotte, NC",,4.5,"Build complex advanced-level machine learning and advanced analytics models.
Conduct data analytics with the relevant programming / statistical package (such as…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a54f94db6f4866af&fccid=eb7bcec5d5284bf2&vjs=3
Data Scientist (Financial Services-Remote),,Ayasdi,"Charlotte, NC",Remote,3.0,"5+ years hands on experience delivering machine learning applications in financial services with demonstrable results.
MS or PhD in quantitative field.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=03b5b0a75306dc6e&fccid=64cffe395a99ee45&vjs=3
Actuarial Data Scientist,,Selby Jennings,"Charlotte, NC",,4.2,"Further the development of their data analytics tool-kit.
Create data analytics tools that will serve as the basis for establishing best estimate assumptions…",26 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoGQbeCuKJDt0JoMTZ3hivDJF-6sN_Mm8oRF7U6XsMm4g0mV-otUuPQAfQ00udzbpvkrOPFPUg0o9jBlDX6_wWqDNWjPyceUxZklgChuy8fnLJAy9tKfgiBYEYV6kwX43DV3AkE0WeqE6sEsdT2iD9X-iPadzvLTGNyMFKk8Xg-5q_dWkdKUKyZIoRk0vdUczyu-hZOI5KiL8DbG2AKXNqbkNmJPSLVW4qT3dgEggHYmRKGdI0QnLzHIr3_vwUFCb0R0ruRwIu1lopf2SPgmzkTIpF0vSqGZwBHzcggE-doGPpv_IgB-3cQiJAiOe4lP5lcPpAvt6VZnIlxPyuIZy6Ax28cGLYGVuiQIDIWLmjXm6PCvQ06E9qlu_sgc0jglVc0AZ1pK6MFUcZm_tHdSpMXUPow14L7Tqw-q00XK_2BP5IWZNzaK8EXi1hr9gf6x9pKt5se_aeM1PZjf3zX6zIlQ==&p=13&fvj=0&vjs=3
