job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Space ML/AI Pipeline Architect and Data Scientist,"From $114,213 a year",Perspecta,"Colorado Springs, CO",,3.3,"In addition, Perspecta provides a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXELgAtUQhYXJPuOCgdO1_GLSHWM59IvmfGFTB-XV5Eaok2F7KN95E8dQxuJZjif8Lp4Qf-0aeEX0cpfpU2PRGbfGieuePFPGXtGjm96kNUoZYoM9dGK5teBXVwY45TeQPSQnVkMfKX3IUeJ9ahmFb94Jr5c3wbd5ayHPs12aV1_6_mjGpBXIbQFXAy1mMcabYW4AW93bZperBPg3ldr6LeDhN08z7Z0WMQ6SUSv08Z9L_w_l2T53XxUUR_6eZyj9hy-nTjgxW43k4a92TJn-vfAueABzPQTqQRVWBA4BGZRemMhQ7vIZ8_Xr8roeQsbSL6CHii7LwZBPkNDu6Y4jyONTKd9lPd46xpenvQ4XjYm6ozDGnR5XD1nq0nfA_OOKYMOZhsKr5bwnVuZQy3X-UgUXSBpCHSjHx-C6T6y-riwfmGOb3bo2BLDG2UXLgov5xTGgNHT74Kwxnlol28PClOM8ZtL4avda1Aa-86oUW1rAVF4bFbaOz4oYZdlM9LrhfIVJVEiYCR0AmMmyXgkVNXd7zDP01B6R3ofFU9q1GNNA6d_cKkIMlZ1jlMtrFmid0FqVyZFJ0mBrbOpKNzC2hw9-eMJeRrxoh4GTeIY9Ui6oZlZxiDh-QwEKfoIAYoLRxbhAsJkvCXT3vRCP40q3VlZkyBTuqG8pusEmqi7L82MW1o4S21WYE&p=0&fvj=0&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr-1ioMljHsykdY4hFAjuLYI5d9M6CrXO-Rq6SL6wlT7bYWrguc28yKyNlMSa3H4CmTDSf5eYLV9G7ulfZGyURlKeqDLrRqxWr0n-unF8Uxt9DPLxZJ3OWFXlLFUfWIWfKudUy0JPKGH8To6joqRxQFPmYRXT8ZGcfZEQ2AjU7xjuXq5luoNgBt88KrBHfWxvUSuLGx7SQUqV_VDtZws4G7g4Qij13ZfYaCPG6vozOO7mKt0xBezV49z4LgewpSnGe898bfgHLff0E_DXmyFwCnLtwgbqN9fFG6TCpepVBY9o=&p=1&fvj=1&vjs=3
Senior Data Scientist,,Prescient Edge Federal,"Colorado Springs, CO",,,"A competitive salary with performance bonus opportunities.
Prescient Edge is seeking a Senior Data Scientist to support a Federal government client.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f663bd672e907ddb&fccid=bfb11e13c321848d&vjs=3
Data Scientist,,PAE,"Colorado Springs, CO",,3.4,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=51b77f71fea1331a&fccid=faec53d26b1f565c&vjs=3
Mid-Level Data Scientist,,BTS Software Solutions,"Colorado Springs, CO",,4.1,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=04ed14ab86e65f49&fccid=c946a8d6abe04208&vjs=3
Data Scientist (HBQ) - Active Top Secret Clearance Required*,,Odyssey Systems,"Colorado Springs, CO",,4.0,"Researches and implements cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence.
Valid DOD Top Secret clearance.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ae97cdf7898c3b92&fccid=710bf1a5e2a42987&vjs=3
"Data Scientist 2-(TS/SCI) Colorado Springs, CO",,iSenpai,"Colorado Springs, CO",,4.7,"New data sources and data gathering techniques.
Data to drive business solutions.
Performs data analysis interpretation and management duties.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f7f47e7ee57253d8&fccid=e0e2c0896058b362&vjs=3
Data Scientist IV,"From $93,496 a year",Perspecta,"Colorado Springs, CO",,3.3,"Experience with machine learning, algorithm analysis, and data clustering.
Exercises creativity in applying non-traditional approaches to large-scale analysis…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5f5697d129e82ee6&fccid=8a813d7674dea751&vjs=3
Data Scientist - Expert,,METIS Solutions,"Peterson AFB, CO",,3.2,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=469c9ae36d9cb133&fccid=d0e95560aa8c383f&vjs=3
Senior Data Scientist,"From $108,763 a year",Perspecta,"Colorado Springs, CO",,3.3,"Experience with machine learning, algorithm analysis, and data clustering.
Exercises creativity in applying non-traditional approaches to large-scale analysis…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d021b9f1b8669766&fccid=8a813d7674dea751&vjs=3
Senior Artificial Intelligence/Machine Learning Architect(AI/ML),,Jacobs,"Colorado Springs, CO",,3.9,"Use scripting commonly used in machine learning applications or advanced data analytics.
Apply state of the art methods using machine learning and artificial…",16 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0fdd8af5a2303d71&fccid=de56d7554bea5214&vjs=3
