job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$70 - $85 an hour,O'Neil Digital Solutions,"Plano, TX",Remote,3.2,"Develop innovative data science solutions that utilize statistical modeling, machine learning, deep learning, and optimization for multiple business domains…",29 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPRp5ljO1pdajOFmr7nwJ4KTDI_QQma5YWAOGfYtS-fYitk3sKhLoIh_WgnHZZDQeyvy88kcDp_LGpngtb6oXSfPnAaMNGtUZkV7hxXWjVQ7ViQsr5nm0L1214Kit791V_higq94Jm5eBY2RlkIikjqwO2at-LwzyPjGFIqC-rKkzKZ24H7EUgl5DOFkTs4Dukes_jggsMaOXjFfrT5s2WfXzYTCWZNWlxhYc5SlNW5OD-_Rnas36_1To5f9VDwFnA4yiSVhebfWMaQlzE8iAv8cLZy8KnXokPrcxTvqiuQHxxy5x-28VwGuC1hpLjcQ5pEtdbNrtC0AQ9DaL2EaNUYIkYp7UXslu8YjRqUkxUYidI790SnGgT1SL8qqB62inOjMRtSLosYjuztwfk796Zi1gu0w6rScs4UzSiOEb7TD2urgtALESINBRyHIc_WyKHPcUKRhh7X7YzsrFKIVPz&p=0&fvj=1&vjs=3
Data Scientist,,Event Dynamic,"Dallas, TX",,,This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.,30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzeGWOjRdOR2DdzguH-JnvuerQhYKM8ycpn9HUixiNoz37HNBW9SwHmEyLupb6qCQD-39PZIuQO-WXF_eYAGRn-cPLA05KXoXxW7UKQ8kv2v1TS2aEhTFb2DceJD6LZrz3ZwRGyypAapSwEd1wqAJx-Ro5q7VcepbTcN7rgMpSksuvmg6ZwydnA5ij9OdU2FF2t5wgSHQS1j1661Yr4lUjBToAbla9d9OZoW8maxr63SG2ivbgcluHTIaG7U-mwwUdwC_JCa49ghc4FlR5lZNyolFJeg5NrkNHqicrM33bGJpWiD2XE5G1ilvDd5hS1uAkNgVsG6iF9hASqpr1-qpvAVJhTlsorq9xdMxpQ40HvqGEYOIC5RRViSJkbRKfWTDnYSPjzY678DAJotMDYzS3oO7JY3VEcvj91jphW1Io9lvnFlhauIa-uL5bKkhQVT0DteKcgOqLMA==&p=1&fvj=1&vjs=3
Data Scientist,,Okaya Corp,"Irving, TX",Temporarily remote,,"Develop and implement ML solution/projects using TensorFlow (preferred) or any other deep learning.
Responsible for interacting with business users and collect…",3 days ago,2021-01-10,https://www.indeed.com/company/Okaya-Corp/jobs/Data-Scientist-959f435d9aef7681?fccid=260eac8588af7088&vjs=3
Data Scientist,,Wunderman Thompson,"Dallas, TX",,4.0,Build data science solutions | Contribute the the development and delivery of various machine learning project across Wunderman Thompson Data by understanding…,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48b0cdb8eb455ed3&fccid=fb09a4b702935704&vjs=3
Data Scientist,"$100,000 - $130,000 a year",Game Circus,"Addison, TX",Temporarily remote,,"At Game Circus, you will use various programming, statistical, and reporting tools to analyze and share results related to split testing, user acquisition, data…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=85f499f9f0bf5d29&fccid=f79ee1a8bdca5db3&vjs=3
Staff Data Scientist - Fraud Modeling,"From $140,000 a year",Walmart,"Dallas, TX",Remote,3.5,"The position will be leading a team of 4-6 data scientist by proposing cutting edge ML/AI solutions, understanding and engineering features to detect and…",20 days ago,2021-01-10,https://www.indeed.com/company/Walmart/jobs/Staff-Data-Scientist-8cd5e203af0e583e?fccid=822bc5d9a49270ea&vjs=3
Data Scientist II,,Lennox International,"Richardson, TX",,3.3,"Works with others to develop, refine and scale data management and analytics procedures, systems, workflows, best practices and other issues to contribute to…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=7d1746967404c0ee&fccid=dad34e9d78e1ab2d&vjs=3
Data Scientist,"$110,000 - $135,000 a year",AustinCSI,"Plano, TX",Temporarily remote,3.6,"Experience in data selection, extraction, and cleansing for corporate applications, including data warehouse and data marts.
Is highly experienced in PowerBI.",20 days ago,2021-01-10,https://www.indeed.com/company/AustinCSI/jobs/Data-Scientist-325ce7fa664948bc?fccid=7b72e9dc4a32c2cc&vjs=3
Data Scientist,,ARGO,"Richardson, TX",,3.4,"We are looking for a data scientist that is part of a team of software engineers and data scientists, aware of the deployment computational cost to the…",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e98b2bd48d12efb6&fccid=07c7ce4ebe6f40ad&vjs=3
Data Scientist,,Sabre,"Southlake, TX",,3.7,"Experience with data visualization tools such as Tableau, Business Intelligence, Reporting and other advanced analytics tools and how they access data on…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=add192d48e0fe584&fccid=05fac7ab69452ba3&vjs=3
Principal Data Scientist,,Omnitracs LLC,"Dallas, TX",,3.4,Extending company’s data with third party sources of information when needed Translate business requirements into quick prototypes and work with the R&D and…,3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d617439914eafeb9&fccid=dec008cfb3e077e0&vjs=3
Chief Data Scientist,,Line of Business:,"Dallas, TX",,,"The Chief Data Scientist is responsible for analytics strategy and execution.
This includes the conception, construction, deployment, and maintenance of…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=850cfdd8932f7b54&fccid=466c1eefedf0dae8&vjs=3
Data Scientist,"$55,000 - $95,000 a year",UT Southwestern Medical Center,"Dallas, TX",Temporarily remote,,"2+ years experience in developing machine learning methodologies and building robust production machine learning systems.
Machine Learning: 2 years (Preferred).",30+ days ago,2021-01-10,https://www.indeed.com/company/Flatiron-Institute/jobs/Data-Scientist-fecc0df889656cb5?fccid=e3f1295a3b76a26c&vjs=3
"Data Scientist, Search and Personalization - Sam's Club",,Sam's Club,"Dallas, TX",,3.6,"3 years' experience in data science, machine learning, recommenders’ systems, optimization models, or related field.
Statistical Measurement, A/B Testing.",10 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0c6339dc6dcc5d6b&fccid=f3e9855b5ce57ebe&vjs=3
Data Scientist,,Verizon,"Southlake, TX",,3.9,"Partner with team and non-team data scientists to teach complex concepts, assess project feasibility, select input features and validate project output.",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b418e94cb5f1b374&fccid=f7029f63fe5c906e&vjs=3
"Data Scientist, Search and Personalization - Sam's Club",,Sam's Club,"Dallas, TX",,3.6,Position Summary... What you'll do... Sam's Club Technology a division of Walmart Global Tech has opportunities for Data Scientists specializing in Search…,10 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0c6339dc6dcc5d6b&fccid=f3e9855b5ce57ebe&vjs=3
Data Scientist,,Verizon,"Southlake, TX",,3.9,"What you’ll be doing... The WAIV team is a fast-paced AI/ML team, prototyping software as operational Beta Proof of Concepts. The role will primarily be…",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b418e94cb5f1b374&fccid=f7029f63fe5c906e&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Dallas, TX",,4.0,"Deloitte Services LP includes internal support areas such as Marketing and Communications, Human Resources/Talent, Information Technology, Facilities…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=21475b3869b72d01&fccid=9e215d88a6b33622&vjs=3
Enterprise Data Scientist,,Parkland Health and Hospital System,"Dallas, TX",,3.9,Interested in a career with both meaning and growth? Whether your abilities are in direct patient care or one of the many other areas of healthcare…,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a83c3ac3f30445a6&fccid=2e8d122bc3bdde9f&vjs=3
Data Scientist - Decision Science,"$75,200 a year","Cottonwood Financial Administrative Services, LLC","Irving, TX",,2.4,"Job Description: POSITION Reporting to our Director of Decision Science, the Data Scientist (a.k.a. Decision Science Analyst) position’s charter is to…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=57e3e2dddd4a39b6&fccid=2db29de31bcd3ff3&vjs=3
Sr. Data Modeler/Data Analyst,$40 - $45 an hour,Buxton,"Dallas, TX",Temporarily remote,3.0,"*Sr. Data Analyst / Data Modeler Location: Downtown Dallas Role: W2 Only * The Sr. Associate, Data Quality serves as a recognized subject matter…",5 days ago,2021-01-10,https://www.indeed.com/company/Buxton/jobs/Senior-Data-Modeler-Data-Analyst-240fdb756a4c623b?fccid=9cb95ef424f80e15&vjs=3
