job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrSebtFnoyI-V8Clf7fsdY-I4_xFcmIJ6BTJ43b3Y7koTVnf3pKNDpG6RjAseWmH860g2frsL6Qhog0y7bNcZWPCb7CZEFvMCxtC7aCteSlC7TQjfGy-UCP8OtXz6oIbbm5NCneKkhzOFknJjKsAmLPNn9be89ka2I6rO4nQyTlY_q5WjS-3tzIAnKCeZhkmE0Niw-smuIChrwKoqJ4pMuIzdak-6NzvmOBVcsH8YN1RS6fjMr6pTehnMnmZA04idfakQkHbdIKIUHRBPOyAas0FMmyrY5YmLX&p=0&fvj=1&vjs=3
Data Scientist for Autonomy Applications,,Dynetics,"Huntsville, AL",,4.3,"Successful candidate will have experience and understanding of statistical learning, machine learning fundamentals, and reinforcement learning.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d5357ff41e697084&fccid=06573389e4a0abe1&vjs=3
Federal - Data Scientist,,Accenture,"Huntsville, AL",,4.0,"Experience in analytics and statistical modeling.
Work with large data sets to solve complex problems.
Experience scripting and data analysis in R or Python.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=324ac9f24e6c238c&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,,COLSA,"Huntsville, AL",,3.9,"Assists with data modeling and data virtualization*.
Develops and applies interdisciplinary methods, algorithms, statistics, and research techniques in the…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=4ad0b2667f537678&fccid=7d1d39ef87954789&vjs=3
Artificial Intelligence Scientist,,Arcarithm,"Huntsville, AL",,,"2+ years of machine learning experience.
Strong experience with Python and more traditional object oriented languages such as Java and C++.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a61ef83af5a0703b&fccid=a533e958862d900a&vjs=3
HudsonAlpha - Clinical Data Scientist/Bioinformatician I- CSL,,HudsonAlpha Institute for Biotechnology,"Huntsville, AL",,2.0,"The clinical data scientist will use informatics technology to develop and maintainmethods, algorithms, and pipelines for a molecular diagnostics lab that…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=854a2da64abc4486&fccid=d231e8cf649b7944&vjs=3
2021-02 Artificial Intelligence Designer,,1st Edge,"Huntsville, AL",,,"Stay abreast of advancements in AI science and applied techniques.
You also must have, or be able to obtain with assistance, a secret security clearance.",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=af3858978980b39e&fccid=dfb8e595fdb20cc9&vjs=3
Statistician,,"WILL Technology, Inc.","Huntsville, AL",,,"Analyze and review statistical calculations for scientific validity, verification, reliability, and accuracy; recommend improvements to calculations and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=37df4e002dfc8e37&fccid=09da26f9a89fbfbf&vjs=3
2021-18 Software Engineers for BMDS Data Analysis Suite,,1st Edge,"Huntsville, AL",,,"And database-side (profiling slow queries, functions, and procedures, reviewing issues with execution plans, finding, reproducing, and fixing deadlocks, etc).",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=eac4c105f3603b61&fccid=dfb8e595fdb20cc9&vjs=3
Machine Learning Engineer,,CFD Research Corporation,"Huntsville, AL",,4.2,"The engineer in this role will perform data analysis, develop algorithms, and train machine learning (ML)/deep learning (DL) models to solve a variety of…",19 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=189d948471f4aee3&fccid=57bfaeeebbfa60e0&vjs=3
Cyber Artificial Intelligence (AI) SME,,"Quantum Research International, Inc.","Huntsville, AL",,4.0,"2+ years working with data and relevant computational frameworks and systems, developing probabilistic models, and machine learning algorithms.",13 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0381dbf194dce49c&fccid=27fb76bb2bf6e29a&vjs=3
Member of Technical Staff- Technical Support - Ai/Cloud,,Wind River,"Huntsville, AL",,3.7,"Azure Data Services including SQL, PostgreSQL, Stream analytics, Data Lake.
Work independently or as part of a team on engagements with customers to ensure…",26 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c768446d7ff0b4db&fccid=30c6be3855bc8a7c&vjs=3
Boeing Graduate Researcher – Artificial Intelligence Technologist,,BOEING,"Huntsville, AL",,4.0,"As an Advanced Technologist Graduate Researcher you will participate in research and development (R&D) of advanced computing technologies, investigate and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=09ee56e56f1a6d08&fccid=edae4285faf6c2f0&vjs=3
Artificial Intelligence (AI) Business Development Manager,,Dynetics,"Huntsville, AL",,4.3,"This broad category of technologies includes: machine learning (including deep neural networks and reinforcement learning), data science, and graph analytics as…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c32a3143454380fd&fccid=06573389e4a0abe1&vjs=3
AI/ML Software Engineer,,COLSA,"Huntsville, AL",,3.9,"Working knowledge of deep learning and machine learning software best practices.
Big data software experience: working with large amounts of structured and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fad792fe1641a2ff&fccid=7d1d39ef87954789&vjs=3
Deep Learning Engineer,,Numerator,Alabama,,3.6,Demonstrated ability to drive selection of machine learning approaches to solve specific problems coupled with the ability to clearly communicate tradeoffs.,19 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_eha-HkQeWKZ6JEK8-AmpIyxXGH0Wl1DcvhdPKOGMCddrq-7oJ4yYBJ0gxqNEYIhcOXJV0afngaoVVOipD3ZgbGu__TWStXnzX1DrWfsJB92Rv-LO4jWSZ-Ch5JD68zVdQfmeeoctGDTAHTT1mluh7hY46G-nhNHvMue5De01jmYNarIl-houiChN-zXSFsE4g2Ap8-nVycwVPRGd-hCQSqHUC_tx_n46dwBFMtZYCXbGnhPOzkKTTHRN59pSrc3N7Lu3GFQb5UyDUK92hn4XHlEDZqZYibtAF1WSRp3bw67-uFQ-30ZEKEmPgfdfwpC5o_xlHfWV_DNCZcWvj_rjYbKjeL16Qt-VY73BlxNzbPK_i7jwQHt-PSbg3MxmbG5jJhLRDzdWFeAi6NXf2j9rumRz2QzcSzq8s66w_fJI3_a8cHUa7GavC_jQL14Hpi8QWdOp-uKWUfvZ3DGMEF1Y_xN1kxytgnSRg==&p=0&fvj=0&vjs=3
Member of Technical Staff- Technical Support - Ai/Cloud,,Wind River,"Huntsville, AL",,3.7,"Azure Data Services including SQL, PostgreSQL, Stream analytics, Data Lake.
Work independently or as part of a team on engagements with customers to ensure…",26 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c768446d7ff0b4db&fccid=30c6be3855bc8a7c&vjs=3
Boeing Graduate Researcher – Artificial Intelligence Technologist,,BOEING,"Huntsville, AL",,4.0,"As an Advanced Technologist Graduate Researcher you will participate in research and development (R&D) of advanced computing technologies, investigate and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=09ee56e56f1a6d08&fccid=edae4285faf6c2f0&vjs=3
