job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$70 - $85 an hour,O'Neil Digital Solutions,"Los Angeles, CA",Remote,3.2,"Develop innovative data science solutions that utilize statistical modeling, machine learning, deep learning, and optimization for multiple business domains…",29 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPRp5ljO1pdajOFmr7nwJ4KTDI_QQma5YWAOGfYtS-fYitk3sKhLoIh_WgnHZZDQeyvy88kcDp_BPsdxV0c02IpTBW7WQCqhgXBMRdZenfRGdXiAj-84Fthtvnuie0zRLw1CH1GsYb0bQdiens7t67sMZhIUD2x0LtDSJU6cXklw0joVOewzr_A3aQadofpBg5qysHXJwSe88BqNn0aUOpoFPRNFFMH5plQWrcm90kTPrujd_-6ITysxauSRwl2v7BoRRzc_OC1SUm-QFq3pmdJz74Lt3GwnCFTfyfnbCkVLSwlOgVwWE8HgvxHoKaSLhHodF3Vknd7pHGopH1_HwV52q01e6BrX38Jtl7RxBJIJ2L6eFNy3cDXaOTFFkwPibUtvfCzK0haWduF8ZIl6MeqhRjOgnpClTiCcCD42EGlVNNQqozl17irJZ4UsXZgvPfZi1likDXDibcFYQyDUY0&p=0&fvj=1&vjs=3
Data Scientist,,Triplebyte,California,Remote,5.0,You'll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMr11YIOo206dX9CE572HoIBzjTozchv3QrfVeNVhstjuaw2F2z3hwYnKep8IKTn1nJfjPufDdl4IIdWCRT7r2YEFWBYmZpzl-d4HKJlv_cxmvk9qHb2NltFOnNsWX31Bb4GlQoOafytnFy7tBbrckKt8XAjIG0c8an8_mW6D8VwDvEMEAAZCVcm0TZ_NFQxaCOi0bxcZJC4FpmbrY-A3Bjkbg692Na0ZBdhnzVNmUMk59HU_KR55Sa3rJysVahf-9PQS6UL4Yi0Thp85QTXdq-jW3JTEwtJXbYNefQdBvNnOkwBq8aqJKSmLW6OpYX06XQG-XRMB-ID2p5fNbAh0FFpvFzozSufvtY8OM2OaBgKY0Hj8xU4UJq3-08e8nFTk1mnmEZpFnCV4tY_PODY13o1V4QK77a-8=&p=1&fvj=0&vjs=3
Data Scientist,$42 - $52 an hour,"RMDS Lab, Inc","Pasadena, CA",Temporarily remote,,"Provide consultation on data science and machine learning.
Strong interests in machine learning and a fast learner.
Bachelor’s degree or above necessary.",18 days ago,2021-01-10,https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-ff8bd590c71bf357?fccid=bb09cf205f12348c&vjs=3
Data Scientist,,Pollen,"Los Angeles, CA",,,"Collaborate with other insights professionals, data professionals and non-technical stakeholders to gather the necessary data to help drive strategic decision…",24 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=63ccd611a6af4e73&fccid=4dd0574d023dfcf1&vjs=3
Data Analyst/Scientist,,Behavior Frontiers,"Gardena, CA",,3.8,"Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=694673c18eacf3b9&fccid=4bd98d929fb93282&vjs=3
Enterprise Data Scientist I,,Farmers Insurance Group,"Woodland Hills, CA",,3.6,Master's degree in scientific or quantitative field and d ocumented academic excellence PhD in scientific field highly preferred.,27 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=93eec8efc642f1f8&fccid=77a32bcb59e7f031&vjs=3
Data Scientist,,Slalom Consulting,"Los Angeles, CA",,3.7,"Strong work experience with data cleansing, transformation, feature engineering.
Strong work experience with Python or R.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d2513aee7c835a4a&fccid=a321096b9f1b3c50&vjs=3
Customer Facing Data Scientist,,Zest AI,"Burbank, CA",,,"Translate unstructured business problems into well-defined machine learning projects.
Experience in designing, developing, and implementing machine learning…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ee64ddd0bd44a391&fccid=8c99bfebb6f64903&vjs=3
Data Scientist,$70 - $75 an hour,Kaygen,California,,3.0,"Holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and models; communicate and present findings/actionable…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnlPV7QUTCWdKuIJzmELfVYl3Q47lQqD3bFm5fkBoxwGonBVD7Eb1UWXyWQEO4ZF8I_VBOECLzTx6yT-4myBaGk8izTRUzZ2TZaQ6ceudG0AzEbWBBu7Ypfjw6LjSlG47fa4bt6bWLk9DVlGpQQ4nwfyB4NAdGr9AfbAfUxoGwrJtuco2teUvFu01ye7yqCgLI3ZbzBqQbg_f4vq044nG47kQBzbp7cOybsIjWB5uYsDxMEYz9v16BaLDFE4nOxd2DL7Aa-WEndEEf6hQR39VvVIMMOhIimBVU0XYKiVP7Ixtdt4D6teOoJWDqelF9OKUSn-4wp9zxmCZfgb7vcFihnmDM-jGQdZrZHybOB6-8POD9tdGbpto32aO7_gK9yV6Psp21PwGHtM5Lk9ni4gTA0As_xqkxXZBrI6EOk9lepjpCNe5Kv2L7pRneoFzirsAoMHuTAoe6bLaCBLDQUngy&p=8&fvj=1&vjs=3
"Data Scientist, Content Planning & Analysis",,Getty Images,"Los Angeles, CA",Temporarily remote,4.0,Getty Images is looking for individuals that enjoy leveraging new and traditional Machine Learning methods to help turn large-scale business data into…,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=babcac79e953d809&fccid=c68f858ef73a0c44&vjs=3
