job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$250,000 - $375,000 a year",Blue Owl,"San Francisco, CA",Temporarily remote,,"We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution.",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3UvD5kBSgX9r9tFJCI4OL-41vvae__bcle4uMSq30h36AcPbHjl9bcVWQE4zSRT4EOgpM6LkPra63lxoEtVae-7wD-oUwUbBd1OZLV0EDBfVsDapnyVIX5sAVVSZi1JFDgw1-QU0Z_6h_hb3hkF0kGSe2adBRcLe-9dykDVUwA9_LgUuV-p7vSPZG1PunCyOO6_fv2CTr4U5OHng9kCrUlJhaqofxqVJzY8kv7gz-u0OKzZtmd-gOMYvH2-q7BIZ0-Evw-o-xuHaJIsXuaiJSBVbi9lJ6rGHEdyusnjLp5N8Pm6glqq4bdflCqm51PVRpkfX6f6cuFxhLKwS9HVA6n_tQMiFuxkqTU79S82xJT11uOFy2FP5oFSPbLCv_P9u6GLkOZG9FzgnRDjSetMg6S_7w1JzbmqLqh4psAAzsUsxRzm_YqdEDQyS03AocUi6HxHw_VMbxh1vA2f-2F90E-qgKgvchw5c9tZUV8xrq4axtatN0GCWmqv7mwh5t8wBvpq1ROgFDqHgrCo1-5r49iOCKg-w7nDRJNducw6Z9CgkNZOomtNrBCnMRhQ__LnoRBTDyOlN99Q==&p=0&fvj=0&vjs=3
Data Scientist,"$90,000 - $130,000 a year",Change Research,"San Francisco, CA",,4.5,"We offer competitive salaries, plus a flexible paid time off program, health, dental, and vision insurance, and company holidays.",13 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=7d2b790d1b5b751c&fccid=4376208985ead045&vjs=3
Data Scientist,,Facebook,"Fremont, CA",,4.2,"You will be responsible for creating end-to-end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8c64139eea9fb8ce&fccid=1639254ea84748b5&vjs=3
Data Scientist,,Ascent Services Group,"Oakland, CA",,3.8,"Create data visualizations that convey a clear story about what is observed in the data.
Help develop and transform data sets using variety of programming…",Today,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BN67y3JiEmIr4vjGiDB_BB08s7RhS1j0_uAkUY59Fk9dru8xq_mgQfWZB9rViOoGyYoAzl2H6HmUKGkhd8gDqQzXPtLQOF_1Gt5xAJz5r7ILYWPA1P6Okv2Rn1l8wnBqTwJKSAjeU9mNxnK322L_oeZlmZ_h96PrUCCOMB_nTWIC4msJZnSdBJREVegrPyg81rSoDDZuy3Md4VMPP5BJPKC2r7gJX4vT0YQaguPrl4DOZ1vaSX78pctnuGpuEPoT6EX4w39zlbWcRGj9hWgyb976cBx3IrtRwakXn4_bOkiKMtm11qrUV2opakzho1o6fqgNx8iHUwICIdnxyLFRX6I0L6n5eA0CRZaNdsIbQOIvjCnR01eygUjkj3ygEJrW7727rrDTfAi4J3Jep651ZkVZkkjuLqn496OSjMowJbKm4BBhO2pT3q&p=3&fvj=0&vjs=3
Data Scientist,,Weee! Inc,"Fremont, CA",,2.4,"2+ years of experience in developing and deploying machine learning or deep learning models in a professional setting.
Vacation and holiday time off.",Today,2021-01-10,https://www.indeed.com/rc/clk?jk=392d9619129b84db&fccid=69e47485cd044190&vjs=3
Data Scientist,,"Grammarly, Inc.","San Francisco, CA",,4.8,"You will meet with relevant team members and learn the space: domain, users, trends, competitors.
You will also build awareness around mobile plans with other…",7 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=626f023a761899bf&fccid=0555014e7bce64c3&vjs=3
Maritime Data Scientist,,Sofar Ocean,"San Francisco, CA",,,"Own our data-driven vessel performance models.
Graduate level education in data science/computer science, or equivalent learning.",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=3cb86ebb79e91521&fccid=d33dfc98fd73a2cf&vjs=3
"Data Scientist, Transaction Monitoring",,Wish,"San Francisco, CA",,3.9,"The ideal candidate should be passionate about Wish and e-commerce, has a strong analytical and consultative mindset, deep understanding of databases,…",24 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=59d7bfca03ee69c1&fccid=617690ce838507f3&vjs=3
Data Scientist,,Grid Dynamics,"San Francisco, CA",,,"As part of the Enterprise Data team, the Data Scientist will support the development of next-generation data platforms by employing data analytics and various…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2c3340911d79f78a&fccid=9e6cc9e51c2613ab&vjs=3
Data Scientist,,Extend,"San Francisco, CA",Remote,,Work with our Risk & Insurance team to build deep-dive analytics and machine learning models to better forecast risk across our portfolio.,19 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=146f34a8b10d87d1&fccid=d28b18be62aeef28&vjs=3
