job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Karat,"Seattle, WA",,3.0,"Strong data analysis and scientific thinking skills.
Our Data Scientists will work directly with engineers and leadership to extract key insights from our data…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c0f4d71d5060f484&fccid=2cbb6eb59d67005f&vjs=3
Data Scientist -,,SyllogisTeks,"Seattle, WA",,4.8,"In this position, you will leverage data science and deep learning skills to analyze complex agronomic data and build predictive models that are used by farmers…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDJ4o6IKxB8wG0OrlURr92JhQn1_5QZG4kGdCQrvUnCkozGx-Az_uVD7rZuO0x46pWJ7D8F6Z-ddikNs1P-6TL7JsjtZKXbv8jQ0id5Djcy7v9WKiATl9IO6fGWKSOlP56Q5C6xzNRwwXbqC0b4Qld0y8tgR9ZJnZn9NdCAG6dIelTBqGeuQeslBNX_6y6t3GrJe1P4V_Ja6c8d9BD9X9A0bmDv6IclSj5vMGksiEjujVX_sVRpOy6odCmghV-Rj_Q8blsRXeXYziwTH0ULozxsL-khtqOWNtRELxhmPOhzO-FuoUezzRl6Uw6RIZfkH12E1B-_iTmuO-Y-FmkKyKQ2F_b07h1wizilDsvwFp3q5lw5LI8GXzebEQTH8aFYHa4QWjzXH0JwNhpnCwtG_M1fZZg-nQT6OTOFfsKHifB0YFJIVRtcUALjRAuvbm6eF8=&p=1&fvj=1&vjs=3
Data Engineer / Data Scientist,"$140,000 - $150,000 a year",SageBeans RPO,"Bellevue, WA",,,"6-9 years’ experience with detailed knowledge of cloud-based data warehouse technical architectures, ETL/data pipelines, reporting/analytics tools.",4 days ago,2021-01-10,https://www.indeed.com/company/SageBeans-RPO/jobs/Data-Engineer-4ed7608b7645193f?fccid=19baeba96d94a9fc&vjs=3
Data Scientist,"$70,000 - $90,000 a year",CyberCoders,"Everett, WA",,3.3,"Working on a small team to continuously improve and update the data/data tools the company uses.
Big Data and/or Messy Data.
Big Data and/or Messy Data.",1 day ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t5ZCCwczjMXwtVu-7--yTOOkucFV_2EcNPqwSzuTVmHWW4WfQ-pIHM1FV95wWXJ-DHBXJmNh_GaP296Kc-V6MLXbW7dQ_jfMVNht6fYOm5JK8B0JRsADFUyx0WqopA-HJbAyFnAy63YymiuUNdhyuVfXQXaZMxtKxX6krfnqclnu2LaNy5UoBp5ibejkQK8ISAOZB0agcsTJPz2hfes0LudMR-SqSWYjFLh97KRc0LDcVX6tZ5SQlxk4dphUkUsob2cVbPC9LLvo8awTe3N_lgryWSySm0-opaAKFTKbwuqFYJlOxoNNAUx5NeQAOsKbGVOxsybSRtykZa87ioKg038WYXFNocVyBxdsckLh5lcyNgu4_4f15yxDLTI3gpcu6A_mhEDYcUnk3j7yAMoB7EuIkoUhpa2AAN7iCXEMouz161CdUcz09_q56fHABtP6NfalxR7IMHcuI_YE0UDKFhXGT3yL7rOgP4zaSbhH-Rafxd2hR0gudp8HrUGA5Ue4M1PfBhp9Fco95mREvkQcUQMLXEQn2pLS285bQqUDX9BLgfcveIjrDA4lWWdIBh9heuPfdqkRJ1Hb84MphbTF4q9aYRRNwYrIoSqKz_YODNiVUcRNRXnNYyM0fJPDGzl0wxFm66PdLUsfE-7UyOUtQvJXjjBItO7bgYXts9PBRXaJsdPUoiYDS1urIkXHnbBMMnL8i_h5MD1rDg4TyB7K3nu0tzW63sW7S8M-n4HlxsaDfZV4k37qhgonP3iJlmUCCk-gC8LdgsIlaQfGAB1Cw94t00YmlryyYt1uN1gyFMHpqtDVOFOVW6w3OIddK7Hpr3H2UVtbKpnDTqtV7_8YEsDClLGRtHVymJzlAtc_IpbO67LciDNPwbeNOd8FtCwLSbhIR-8N9MS0Q==&p=3&fvj=0&vjs=3
Data Scientist,,Innovative Edge Consulting,"Seattle, WA",,,Partnering with our Digital Analytics and Data Engineering teams to ensure robust and accurate data capture and continuous improvement of data available for…,Today,2021-01-10,https://www.indeed.com/rc/clk?jk=99ba53096a9ce8a6&fccid=37fb9f925000e976&vjs=3
Associate Data Scientist,,PACCAR,"Renton, WA",,3.6,"Able to work with stakeholders from the Marketing department to develop new analytics solutions, identify necessary data, and support analytics best practices.",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fa705245f2326e51&fccid=c2c6a7536e4d9df3&vjs=3
Data Scientist - Data Analytics,,Costco Wholesale,"Seattle, WA",,4.1,"This role is focused on advanced analytics, machine learning and data science delivery to support multiple business areas.
Exposure to the retail industry.",17 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=479ab76cc8d627da&fccid=9b77e2b0ccfb3838&vjs=3
Data Scientist,,Hitch Works,"Seattle, WA",,,"Especially experience with machine learning and text processing libraries.
Highly analytical and data driven mindset.
Motivated to work in cutting edge NLP.",25 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8d4e8081cb0118ae&fccid=2a301430e15bebc7&vjs=3
"decision scientist, Retail Operations - Seattle, WA",,Starbucks,"Seattle, WA",,4.0,There needs to be a focused attention on embedding analytics into labor operations and creating a data-driven strength which is evangelized organizationally.,12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=3451097908c6df12&fccid=a88e611ddef97571&vjs=3
Data Scientist II,,Amazon.com Services LLC,"Seattle, WA",,3.6,"As a DS-II, you will be responsible for modeling complex problems, discovering insights and identifying opportunities through the use of statistical, machine…",1 day ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6971f70c9ccadfbd&fccid=fe2d21eef233e94a&vjs=3
