job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist II,,Burlington Stores,"Edgewater Park, NJ",,3.4,"5+ years practical experience with SAS, ETL, data processing, database programming and data analytics.
Able to understand various data structures and common…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CJm4vJz7SDlL3lGccjaB2wU5huGLb-8XfJ0aGDrrd1pPqx0RLlPrWHY2ZRPHcBwV0o4uDuj1sR4YTdG8U83K61UhbXDJ77eeyadnhkPBPjPnYuB-cboV77__0J2gdzOrd4roFKv6uL5KwpBI_lSJJEskKS1tiNoYE0KZBLGk7s1Uy6ffoO0OI_1GY5j7lfx_ILTKTc70zkBv7te0_3C-D2Wb0uNvpkSx2gqFt1UmtDOlOYJaeH6mpmsh2PGorMkurPpdt-RqmZLMchZD_56aH5R_3NkuPyJld0ZYbpy80KtrxhIedwWC1AFfjMLNnnNyV-dNo4Og61u6QZTh_vO6irqUr264xV8rjydvregPn7KA01imCQeapGsR8DkoPkKKG8VJvQuul4mIKUe0s2st9pKZlyz4-4KSm6goOFW3hVyc8z69im01_zlkg4G5lm-yYMcNEOVDcMBCr34Od6QuPWoGHQ_lZCIiD8ksnJHs1PuklqCWUrFe6Sf9Rd1TY6xPWE2eYvc01ttyNQ3wNv-CqK&p=0&fvj=0&vjs=3
Data Scientist - Personalized Learning and Assessment (Open Rank),,Educational Testing Service (ETS),"Princeton, NJ",,3.9,The successful Data Scientist candidate will (a) identify valuable data points that together construct a user data footprint and ensure they are captured in…,4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9f01232df4165ac6&fccid=b465eef0f362cf27&vjs=3
Data Scientist,,Bristol Myers Squibb,"Princeton, NJ",,4.2,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.,19 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=36ea2128245cc355&fccid=ab891284bb561914&vjs=3
Marketing Data Scientist,"$60,000 - $90,000 a year",Princeton Mortgage,"Ewing, NJ",Remote,3.9,"We are looking for someone who will turn data and insights into actionable plans, that will work cross-functionally and collaboratively with teams across the…",30+ days ago,2021-01-10,https://www.indeed.com/company/Princeton-Mortgage/jobs/Marketing-Data-Scientist-1cabcf2de9a0da23?fccid=d436af81be73111c&vjs=3
Data Scientist,,Bloomberg,"Princeton, NJ",,3.9,"Proficiency using data and statistical modeling and machine learning methods to solve real world problems.
Rise to the challenge: research new data sets and use…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d644c2a58053c41f&fccid=f770da67b3b51c62&vjs=3
Data Scientist,,Penfield Search Partners,"Plainsboro, NJ",,,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.,30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqQJ8fSTs6IWaHyuzb70w2-MvmXRF19zoGU3ZTTh-HddtiTTFEEm32m2_PmL7i16SEXZZSoQmE7UtWdrpMYVHqIcN3KW68A8n2hYqnHakihi6uECmO2w7rZ168fVPoIKK0IjJtbJ46dPg0ZvMFv3r6zd0ulECd3akerZxK8uc-_qxzpwQVF2QdADB4nL_8BGmErVoNsgR3SlTFmXF1D6eBb4TnO44my6QqjkXgLSyn52d3nFkhOjGLg4jSSZFq1hM-scoIxwPMQxy6_0sxBccQ1MCR5jf_gAikFHve1ShRFl5pRuBUlO9FuDxZqZxSNii1TgC4ENXjcy-JGQkMDf_n1YoDUoHCa3Sr6fuZqxBipfF4MvIU8jl0nKfQCLl0hx-A7b-_pA0sD1oKQ_-_0nwbziwbVgDENVwVx6JWYMILF9YHcYQ6DHNyraOtDxM6AKUBsZB2_xs3BQ==&p=5&fvj=0&vjs=3
Data Scientist Intern - Summer 2021,,Johnson & Johnson Family of Companies,"Titusville, NJ",,4.2,Assist with activities associated with an ongoing development of machine learning solutions in support of sales and marketing.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d9eccbf65d3dc2b5&fccid=0bed8e17bc113980&vjs=3
Data Science Intern,,Covance,"Princeton, NJ",,3.2,"June – Teamwork and Discovery Work with your assigned team and fellow Interns on projects while also attending workshops, panels, and tours July – Networking…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f1d442be2de8e3e3&fccid=8c8fa600b6a5fdd5&vjs=3
Data Scientist,,Verizon,"Somerville, NJ",,3.9,"Partner with team and non-team data scientists to teach complex concepts, assess project feasibility, select input features and validate project output.",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=abe3de5a33ba8ed7&fccid=f7029f63fe5c906e&vjs=3
Clinical Data Scientist,,Otsuka,"Princeton, NJ",,3.2,"The clinical data scientist at Otsuka will support a diverse array of initiatives including advanced computational modeling, clinical development, and software…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=51f3378a7ceb2608&fccid=f1d7dc1721e8ac0a&vjs=3
Data Scientist - Schmidt DataX Project,,Princeton University,"Princeton, NJ",,4.3,Experience working in data analysis/statistics/machine learning/scientific computer to address basic research questions; or commensurate achievements.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=31a4597380666c8a&fccid=329dd051ee52db36&vjs=3
"Research Scientist, Center of Observational Research and Data Sciences Manager",,Bristol Myers Squibb,"Princeton, NJ",,4.2,"Make sound scientific decisions based on a balance of data, analysis and experience.
Includes assisting with identification of appropriate data sources for the…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=cfd61b9580cd4860&fccid=ab891284bb561914&vjs=3
2021 Data Science Intern,,Bristol Myers Squibb,"Princeton, NJ",,4.2,"Experience in using deep learning-based algorithms in one of the following areas - image analysis, clinical NLP, physiological waveforms, genomic or clinical…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e8632df1bcc027f3&fccid=ab891284bb561914&vjs=3
Data Scientist / Machine Learning Engineer,,Covance,"Princeton, NJ",,3.2,"Education/Qualifications: PhD or Master’s degree with 2+ year of industry experience in bioinformatics, computer science, data science, statistics, or…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48adfc0e548e8cc0&fccid=8c8fa600b6a5fdd5&vjs=3
"Sr. Data Scientist, Drug Discovery (Quantitative Sciences)",,Bristol Myers Squibb,"Princeton, NJ",,4.2,This individual will work closely with bench scientists to develop and implement novel machine learning and analytical tools to address scientific hypotheses.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=3985b0f095dbb5a3&fccid=ab891284bb561914&vjs=3
Statistical Methodology/Sr. Principal Data Scientist,,Bristol Myers Squibb,"Princeton, NJ",,4.2,"Ability to manage multiple engagements with partners and start ups in the field of data science.
They will have the opportunity to work on complex data science…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOiVRjP1y_hF87cbtISgr-sRvsZWy9lbbf4a1FvyDBKTMCy9NcuPONfHdsa4ga7iKvdBIiJeqeyv78rq_rUvJC79fUXKuOObzwGjpPO-5sv1DY35I4aJ0cB2lFlzfhJxPfkot9-VIksntK7bgPfKlkrB1nDnZgfkgNT3RQozZHfJpSLVlDJkrfb_cT-sLtuWKGtGDVHj3eOIZ2kWJ-sIRamU7S4CMZrFMgKS9Wi6tR2TUgY6ADzjrKBvWUhEYNZN8ouaxJ7a0ZBQiE8hdg8p-QPKq3PX-0ts2cktwIhFfcvw3HDcncbnnbjdzc28Pd90Hmuaw_oiAYcMwfoMnuGWnMd8WRCPj_3fcvFAi_pbqGNJoSgVlEPLXjEqgSzqEiVCkwFwSx_cKmKwoJcoIq_oyxRSJ2O0Jm0B32OWXpyoapYBbLctD70jd6GYbgivR9GYad35Ns1ozlD3M5xfY2F1Jbe9Y-vQlzsD5WS6yaQ7wY9XpVeKmJrTkwwMh5tOHGVz7FkEvU57grB_H8iS5zF-V2jmsOndE3udnFH2eB5X_nk0Si2rV6hxafeiu_IMYS3lRJ0D0938v3fQuhXGd1TNz-UtWydx8jisCFUIfxpW4SlouH_itwRs18Z6k=&p=0&fvj=0&vjs=3
Sr. Data Analyst,,Pitney Bowes,New Jersey,,3.6,"Oversees development, execution and continuation of complex large/multiple data analytics & data intensive projects and ensures timely completion of tasks in…",6 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOLI0EXzJ2y8J4zD5cgHp1isv94ANDGYkAlyXnueXDqhs7Ivg0m2dFHHc7R_cpVw6cfhQ4_Mr-ZDUFJQmeiUcvMxVoxbkuNYustFTJuIEPlPKK8k9GgHAw9gxbT4xO10NUWzlzQgUilYJrrbZjyfeWy3oC-t68OCMOoDPkSqXdZnhRHuJK8jCdE6ZV7wOWjDJXUjZ1F9XYPbL2phpO-UDKvtRzzsApujrw1j4kpT8o4zHHyG5VJd4cYcljZ18NjcD6cSzPeLV_IMlBTml8bRn53ICA90xrRAavvoEjRwG_BlYu-VX3IaQqIPo3xfiXqZs6u6tHuHnH-tW3hlRGzVwaKkBDExwR1yFBHsA4HHobVyuZSPHF8gEdDNaZZGtk1KmWCRRO2YEQm7CiHq6ABO7BS8ta_PxyPVvrVrk2VongnRJJ8rjhWG1BmokCdq41nIEOFRHS6TdnEmsN2pi2hlcFxxIzlKBAy5_YrrMuaDNpKWm9HmZZdKIFOXYTb3Ju8zGTI8peudbhrNpKxwFzYncxiy7XLdiWaI91wtbPlRewYMzROjYCa4wUVRqmzvXfVwgvuBVvtfu1uGlvltbC8lbiaJaEv_eZYVDEWirRt8l-cOzkZcH6dHPY_q_YOXzdC3MRphtt1CtjOrU3jrv5eaW-qnaydsYhqPNolRaSV5xfwjaj2hhgqNdGBqPU5AV4xEjpLVxh1neRj4tD5Qs3WHrtKc6eRwS-taXUom9Z7lHvilcrY4JxDvrWk5xDYam5vZlzNc17K7wnsJQWoLZUghENAuNSYpfs_nOYPRyDIfHJtsNJ5vC1IFdopwuE7OGDqQEKJOsY7qKoy61_VpFqK-0HFjEJzyBUJ6vjWicxPeA-T_IEjgpgTs0YTz8fMdZWAOU=&p=1&fvj=0&vjs=3
Data Scientist,"$95,000 - $125,000 a year",Nutrisystem,"Fort Washington, PA",,2.8,"Minimum 5 years of experience with progressively more complex data science, applied statistics, and machine learning projects.",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPhlr03GSQEnB5CFEkISXow9IuDAhGkZ0sWW15owG7ndvh2dcvh0wLomePcUyhH6OsNxbbJVe7ZmkUKu08_pTuFH389FxWghaVKC2A81lclqJRakDFbemB4jjWLaktlDPzYgJRZQ8XhIv1KbpqbMkuzngmgGPNE0xZHNlAyQx9QoRWZSogE0Dhf6fvR1JtlPF2HuvvA7v2q0FOH4NI141BPU52U7fRtJgRMn3crELngKPMoespawqxLDq09Z80rjkKkiA5KAcGvrKkrRcWzm07qAeW_l15xwy27jX-9sPGzjsEHTQ8GniPIrWPcJGmDuKXvx0Qkn-Pb8xesw1w2tns6J65unQThbZPJwgY4IxyKx-5SdT1JOHX8zmvQSVKwjJ0SChbTcytICxeLK1UUv_VzB3G6n3ciJqzhc3tX1Sn3GmvMgzQWvAXkPLW0ymGetmw_8H4xdbX_45HjRocUbTi&p=2&fvj=1&vjs=3
Associate Director of Statistical Programming,,Bristol Myers Squibb,"Princeton, NJ",,4.2,"Reviews planning documents (e.g. statistical analysis plans, data presentation plans, data review plans) to ensure clarity, integrity and compliance with…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOiVRjP1y_hF87cbtISgr-sRvsZWy9lbbf4de8PqzKPTGOGr3wuPDxlk5XNlJEmzxJXDfX0NLkTkPA_nRFdH38OWE8boBo6xoKXBOkcDcszbKu16xrFSCP1JatK5tWvCVEq6kgupwe53M1DgsInJ2zTFnDg5_-j-YU_wJOdSXyGj8liM5ZFGfDfytz7I7h7TqZ9BgJBihe3E0Iuyhu0VDQOlOBQw3HStuwg7_FR-OrDR82dTTxbDQpuZJ6K3atl6rpMQOd1Sw3fMWF58jSfuDpDIpBsbqRaM2-3t6baBPuEaA2ZLdGjfxZ39MIVrnM05WoQK_NFnmeFEwK6bkM1-Ambkgmk044VoFmKbcJEBTw0wZqM-pp1j3S0pa5ozAZlinRIKkstgtj34h8xMLCevV2b78aQccy-qBXF1IiZ26pn0JqPCnnyaUSUFglTRrkJjRy2SYAhTAX4D0sukk52qwkJ2b5cYELco-DiWLjjWDPmMh8szdpBya-myHEkG2pEYKMru1OtpFD_si-3Wug8FCIE9QzyhRUpKrktFD07wbxXOpiUgkREw0yhbPPyzp-RMuxBggVcQdjSZFXCJ0UBWPrCKMyc74tPhqgU5DjMuUrgypyMg_GMJNWMWY=&p=3&fvj=0&vjs=3
