job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$115,000 a year",Aerotek,"Columbia, MD",,3.7,"Data mining, artificial intelligence, machine learning, C++, java.
Present information using data visualization techniques.",6 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NE-oUleRJ4yhiyihg2s38Phk1BSDhlUxshBi53_gWjJhRy7JbcJnX5-oXm8J3iq6AUAyNoxq9scdADqR_zxd-DOGkU6OBhty1WZ9Y05FAuLmK3W0I5mhbvpO8CAu8pJIGWv3XMUQShh88A1BsmLlIHw8khQaIexx3q_-0P4JbN40Fmk8iPRXoEin7RbVSw7Uo5vbuvDEt7A5OCtOdTUU-bEYxUNIHGJbv8gx3bjJ5CyabFeljwPQzKdSnIJTnlPigqVfSxO-1ogaijkbG90sTBsW3Baa_VTY_4CzFHz0LQyvUF105GU2JbInSySZYLQJpm1mvk40Ffa7EK6ic4I5NoDS1mnedoxqRYoFnX8Msiv0345GXfDqf3mP2GZxq0fKLQcL4kax_lSP-NZG15PZjxnOcVhNe3HfEhjvJrHtT4Po_Md_-sbCLWvoYoqlcgsTlxdYq-KLay976SrggI9b2LTnj5_RjdnZwvdh1NYFpRs5dQrO_PzY82zO9PguGnFKbU7f88xzlCsiuRh-KukZFXmn6jxLBZ-uOGKwfToR8dAtLWFm2OIx42MCEscdXtm12laTFxhOyxcBFnAXDYMh921R453AfetTsJq49JVZfwnMQETZzP-6fblaYpDGaXTcfzlf3shkVPFwdlOyDqtnPkXVh8HhZ4FRGsgLj2BapzVgd6lwRWoVSFyUlkiD1oRHXFMGoqSX7JFGKGHdMa-cP8g6qxbHEGi0JzN27Lh3aTwNSfRrEWxSBN4wpWVb8MU4fx7vE_zSP5_zI8uZS-c2ycIDgx7WQYSfNA03npPFIcJagM5nOWiGCU3zKy1Okl8o8ioi6B9rQpnUH9IHGUBCtHyH4UXMTkBV7sa0qBlKX9pcc=&p=0&fvj=0&vjs=3
Data Scientist,"$110,000 - $170,000 a year","Excella, Inc.","Arlington, VA",Temporarily remote,,"Using machine learning and data mining technique to understand the patterns in large volumes of data, identify relationships detect data anomalies, and classify…",23 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BngSc1vo6aQ7iMBmTVi4J4ulrPPbEdkY4imFSRnrZOuFT7oWKGSs5Tnwwds5NWpFNo3cxaTee1sKdVjegggpiFaiorr08QUjN1gsdtGtR4uSTKhH6nhky7FunimvUCniwYYNn4jYeJ-tqesA3XdUhxYefedKdsXxMsM3jZh_4NDwXFwd3zF8To907ARzauD5IuMUl9rJzizM7gEvgXZHZxAoz7qELIK5vbgG95O5Gz9cT2V_qvF7RtX6OyV7wMm6XrpiAKrieUVqEeq2iIUli1lcCpT_VB3TAJru_5GjDg6Fe9BtIMlF9o4ICZ8wHIS2hXoP9NiBbtUT3E8A_Fnlrzq7-cVdrZH2x-08Ivln7TuXvzRWj_FjfIxPvC-oiOjuOreuepnPfwbZnoHVVnFkobJDJZLyQY7W206aanR4BkdPKaYtJYhW12D4dFsQ4ybVV0ojwBbAOpY10lcfnUcTHn&p=1&fvj=1&vjs=3
Data Scientist,"$102,663 - $157,709 a year",National Security Agency,"Fort Meade, MD",,4.2,"Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",25 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCeNO4H8xVbG39Y1JyMzF-2gnp7S6SvNKvywqXgw74WJKEUM17Y-XvlQMnyRxp6nf7dDAp06axWWvkGsNo46d0p_5M7oBYORbiRubVsY0H5-lGbKVIxe4FVo__WGevDGx6x0XKlxqClef-e3883jfnvk1G4hfMDz64yjkhHQZEGQDdzkIvCkJOBLV2E3j9Q6PutGK3K2ZcG3tAOtY-f7m3tPpUfFR5lkgtMztTyg8PGEkt9Tj7UzVXJCy7V8Ruz589zYyN33vuxH30hzJZX9jSxDiDyalbXEhSAbmNW8r9RaysJMdSr4RPLEWaSuhtLz09xSRTiEEw154z_UM7atZQoEPffpWDZbkkNtFBqvGFwMg593xlv0jhKV9mFIHulclBM=&p=2&fvj=0&vjs=3
Data Scientist,"$102,663 - $157,709 a year",US Other Agencies and Independent Organizations,"Washington, DC",,3.8,"They are a subject matter expert advising senior policy makers on methodological or analytical issues.
Works with large data sets and/or data coming in at a…",Just posted,2021-01-10,https://www.indeed.com/rc/clk?jk=4f0769ac07ecdb02&fccid=0e7e5fe9219fd5cd&vjs=3
Data Scientist,,Orangetheory Fitness,"Washington, DC",,3.4,"Experience in machine learning, analytics and/or data science.
A core focus will be on drawing insights from large and complex data sets and using these…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=60ca99bf7f8b5564&fccid=6dd2b85b361af592&vjs=3
Data Scientist,"$76,228 - $162,994 a year",Valsatech Corp,"Washington, DC",Temporarily remote,4.6,"Data manipulation and data engineering experience involving structured and unstructured data.
Data manipulation expertise involving data extractions, data…",3 days ago,2021-01-10,https://www.indeed.com/company/Valsatech-Corp/jobs/Data-Scientist-2a6a593d1712e230?fccid=e20d8b8ce46b3390&vjs=3
Data Scientist,$60 - $65 an hour,ProLink Staffing,"Arlington, VA",Remote,3.4,"Strong knowledge of commonly used machine learning/optimization techniques.
Develop analytics models to increase customer value and operational efficiency.",3 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqbItYgSQLi0bplxbNGH3igmLJ2ZVxPMx9BvswTbxax-ckRTIxv6_4hAeG5_4UtCBsxQbVllBmGc_41G11mV3Mmp-dUB-n8ljAvHLNW18yXfOCLEf4yhWDmElqXx30s6odM8jTeFmJNgO1kWRQzWGR--9a5uTAnUnBBPwmbqZcvm6qTq0tx4_3TMLH4iTYgzsNvK9L4pPcV3eSi7AF7RuF1Q2rXRnh3BsyHZH1Lav5kHZyZx9scjC1SR16-4NuQZ9q5l6-VB18mnROI7IScv2hzIo94XzlQGziU7VWtEmqaP26GDlfZF2cDqmXJDnILkGLXLtb1EGeJ7Y0g-ZrkeZbTUTg4MMt8lSImIC_b1TwHZN28wO8AJcKDPe74pzYXZTRzmWAJuXTOmQXjFpbktH-N_&p=6&fvj=1&vjs=3
HR SPECIALIST (DATA SCIENTIST),"$103,690 - $134,798 a year",US Department of Homeland Security,"Washington, DC",,3.8,"Ability to create complex mathematical formulas to analyze current trends and project likely future trends.
Using business analytics tools to extract, analyze,…",Just posted,2021-01-10,https://www.indeed.com/rc/clk?jk=08ce57fddb55c5ad&fccid=e3977494b2ebf993&vjs=3
Data Scientist,"$120,000 - $160,000 a year",Urbane Systems LLC,"Washington, DC",Temporarily remote,,"Investigate and implement new scientific analysis and methodologies to support big data analytics efforts and implement workflows, data models, indexes and…",25 days ago,2021-01-10,https://www.indeed.com/company/Urbane-Systems-LLC/jobs/Data-Scientist-f229ee0e7e2aafc1?fccid=64870b6d9a7f7888&vjs=3
Federal - Data Scientist,,Accenture,"Washington, DC",,4.0,"Experience with analytics, statistical modeling, optimization, machine learning, and/or artificial intelligence.
US Citizenship and no Dual Citizenship.",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5c1bfa7eaea6ea6a&fccid=a4e4e2eaf26690c9&vjs=3
Jr. Data Scientist,"$70,000 a year",Cognowiz LLC,"Herndon, VA",Remote,,The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to…,18 days ago,2021-01-10,https://www.indeed.com/company/Cognowiz-llc/jobs/Junior-Data-Scientist-2ce060aaaa23290a?fccid=69c6da7ffaf6ff96&vjs=3
Data Scientist,"$122,530 - $159,286 a year",US Department of Health And Human Services,"Montgomery County, MD",Remote,4.1,"The incumbent is expected to stay apprised of current technologies related to data analytics, scientific computing, and data systems.",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5f4e5dc675384c11&fccid=66c76b82e655d02f&vjs=3
Data Scientist,"$100,000 - $170,000 a year","Cybraics, Inc.","Arlington, VA",,,You will work closely with other data scientists and data engineers to propose and develop analytical solutions for an enterprise scale streaming solution.,11 days ago,2021-01-10,"https://www.indeed.com/company/Cybraics,-Inc./jobs/Data-Scientist-baf46c8025b10cf7?fccid=ad574b0887317a18&vjs=3"
