job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,The Coca-Cola Company,"Atlanta, GA",,3.9,"Excellent analytics and data storytelling skills.
Build and deploy dashboards to scale data capabilities across the Company and beyond.",1 day ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CO-0XDST95TuqfeaOerjyW9BqMwcM-Nk8AwLy40z6UvlV0DzLIWfXkswvXvJpFGd7wpJzMoJa9JGxGgn9KcTAivhJ2hO_QRGEFL36veFgMn16L5oKHMaToZflbgJAJtTuviBoFMpA-W3g-HMfLkcz8I8xGU96LV-qRWXYJ3sccq4gOqfDO_RkxmDT_WTYDIiEF5s_juEP1wyjZtIzAQOthulaTxkRtJxriciwcpyifFpZ-HgnKmzfCVFX_k5mZJQMIZGy_COsosz08wXe7EBVTt_F38g1TOuO4_FDi9vPOtQpVcBXPMto_UR4V3JR-cZQPxWkT8AAw8dIAdYy9c7QvLTzrHZ2xg2xqJYKzqcrFImQjr1MrdLS49uesj8RczEvrhJaIQefThknyOaDpAKn8QumkmMFoObw=&p=0&fvj=0&vjs=3
Data Analyst - Human Trafficking Section,,"Law, Georgia Department of","Atlanta, GA",,,"2 years of experience as analyst or related position within law enforcement or prosecuting agency.
Experience analyzing data such as phone records and phone and…",25 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=055866fc3371d0b6&fccid=7de7492e6703d38e&vjs=3
Data Analyst,,Highlands Talent Group,"Atlanta, GA",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4ea43de4d8671bf1&fccid=dd616958bd9ddc12&vjs=3
"Data Analyst II, Proton Therapy Center",,Emory,"Atlanta, GA",,3.9,"Ensure best data governance practices are maintained.
Develop written procedures to document data management processes.",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=1384f37941300e44&fccid=9fbdeec5453e2e9b&vjs=3
Data Analyst,,State Farm,"Dunwoody, GA",,3.7,"The data analyst will be responsible for providing business intelligence via dashboarding to claims leadership, legal and various other internal and external…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=48834f2b50fdf1d4&fccid=d2310af9b3bb8585&vjs=3
"Data Analyst, Junior",,Booz Allen Hamilton,"Atlanta, GA",,3.9,"Experience with data analysis, data mining, statistics, or graph algorithms in an academic or internship environments.
Ability to obtain a security clearance.",21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=1902fabe928bf831&fccid=4e041af1d0af1bc8&vjs=3
Data Quality Analyst,,Spartan Technologies,"Atlanta, GA",,4.2,"Performs a data-to-doc comparison of leases to ensure data accuracy.
Monitors illogical condition dashboards and implements corrective action on data integrity…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=5eb709c6b8ecd437&fccid=d4243aec81760af8&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Atlanta, GA",Remote,,"Collaborate with data engineering to ensure data is readily accessible.
1-3 years of business/data analysis experience; digital advertising or business…",30+ days ago,2021-01-11,https://www.indeed.com/company/Advana/jobs/Data-Analyst-a4cb31ed7c73625c?fccid=e0b053b31528f9dc&vjs=3
Data Analyst,,Worldreader,"Atlanta, GA",,4.5,"The data analyst will collaborate with the data scientist and the analytics team on data exploration, data visualization, data cleaning, reading behavior…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=988a1132b0c111ec&fccid=1077fc72d4fe8564&vjs=3
Procurement Data Analyst,$32 - $37 an hour,Matrss,"Atlanta, GA",Temporarily remote,,"Identify and complete data cleansing actions to improve data quality, based on predefined criteria.
Gathering MRO material data, Supplier, pricing and spend…",3 days ago,2021-01-11,https://www.indeed.com/company/Matrss/jobs/Procurement-Data-Analyst-04e7b98748864c9e?fccid=f4a2a6006f22610c&vjs=3
Behavior Data Analyst - Marcus Autism Center - Behavioral Analysis Core,,Children's Healthcare of Atlanta,"Atlanta, GA",,4.2,Calculates reliability coefficients and summarizes reliability data of various direct observation data collection systems.,28 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c5fa5a1ae64b1ffe&fccid=5d7180a195e12cf4&vjs=3
Data Analyst,,Georgia Department of Law,"Atlanta, GA",,4.4,"2 years of experience as analyst or related position within law enforcement or prosecuting agency.
Experience analyzing data such as phone records and phone and…",25 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b86ce29041cc91b9&fccid=efa3cedbebc51b72&vjs=3
