job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$48,000 - $55,000 a year",Buchanan & Edwards,"Austin, TX",Temporarily remote,4.0,"Perform extensive data profiling and analysis of client data.
Explore existing data repositories to understand what data are where so you can leverage those…",21 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKHRY3EBuMGNloIfhM-SvWh-cjZSdPFKRcQWOmhVqGbySQviKOKCqa64hivjpK3bVuGTWbEvuu_3nksmIRW6Rw3fRHF_bSvBMoTtke0mJ3I5YTC5bV3O-mZK932FDxFk_7W_I-V98X_cJ0Q9TaPDi-z0PF3UEUU7hT3rTeEjZIze1fZvMu_pbs4eY9uc7MITJTDkZ8HbZX-V-1KUbrpaHN-p3kUP9iaWGCM7KQkTyiEsR6qgJA1VGGiyTgCRiFZdSxCFFOxfQQI1lp23ZDu7PTVPgNASBJyHXw-_R058UAry2R1JJv3gHQXPkSDbyRTYXETLY_UwJpLdXeDukhK0jlPsT_vP0bvyZFwnsnt75hjVKBGfIkoshanyhOVIORCtWyIom9xrkL5QPoUBH7Lnwqw7pzf0GWhwUMkrem8-xoKm-H58EbDC0z52IxeZX9sXrM8S7Yk66WRw==&p=0&fvj=1&vjs=3
Data Analyst,,PayPal,"Austin, TX",,3.9,"Troubleshoot data quality issues and work with owners of source data systems to remediate those issues.
Ability to QA and troubleshoot data.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dn2BJrTT_MS3KLsmM1n0D6dEWYv-qvNCIwtrt37CnWGCJohfXzqRmpk81DgCdmSHG59hnMChldev7RYkJfBHhKVv6KDl_tAczf-CYaz9PQ5IPvUv9U756ylHxRtNrbcLF7IUpLFIoCvan9X_jKsNLClZ1YiPaIwhCcCBHmlbpHWY-awoVVbRnHs9P9FBA9YfrkjJR-i0b0sU_aqghnuiVXuIQ3OWFHVpn5Aj84rrBgoG7Zxz-FZ_z0ePmobz79X__e-MhV2DZ71gwG9UcGs-cayUz64tB74PpLC3U7tWgt0tAP7J_M6O7oM46heQ0m0s-lKGCSeINCLlKA4MgOga_6YmACtufXBMnPmt70DJoKzonb4wfivAIE02IdhOva9fU9rmkQNInkiCHIhVBPTGoKLephfPsk381CLhiBVBiWu1a2zmzmrEhlaUuvq1v_ifXHNfgk_YZUjjZD_aac-rNdsUn2KKeiAn-wA5DcE5s9wg==&p=1&fvj=0&vjs=3
Cloud Analyst,,Managed Service Provider,"Austin, TX",Remote,,"Provide data driven cost optimization opportunities for customer and internal teams.
Analyze data and produce quantitative financial models to track and…",4 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKAi-ycgT3-2ZvaryxU_oZrfk98GsVxP6lSGkTnz9u0C49RULNBPT27DVPQ8wulMaBa9gUZVVfERI1FU3QTMZrFsemLgXYLX3B2hoP3qRppyqIZ56cdghPyM7TjELeHT7Ms0C01jZgw2gPSp32vzaK8LLiu6h8A1JY3Xg6Xi8mP-DiQxbXEnDcDGHMDk_TPcCfp3BnXyrnKGDsFssyDlJFSs_Bsq9iKnHEczDRXunZ4uL4TjYefTFPL_GoUCP3YHYcJnvb7TfPuHZI0RYXCmW6uwhSE7wS196hTlVNepG9g2YRrqocyTRp3U6WosdtTUNuWgau6CgnG-GZ-xQpnf802fP0BCzLWLgLo15VJCbKiVfmIgfvqCslhVg0-s-KjHAccvbGdwuwDcj4SxCddiuLtev9H9oHK1rFTNxibzCsi1UXDdg8MeAXozyfiMaE91k=&p=2&fvj=1&vjs=3
Data Analyst,,"Raybeam, Inc.","Austin, TX",Temporarily remote,,"4+ years of discovery and assessment of a client’s data portfolio, data tools, and data applications.
Ability to manage a data ecosystem including ETL, data…",Today,2021-01-11,"https://www.indeed.com/company/Raybeam,-Inc./jobs/Data-Analyst-133ac2f502afd141?fccid=8641f0a5fda917ff&vjs=3"
Data Analyst,"$48,000 - $55,000 a year",Buchanan & Edwards,"Austin, TX",Temporarily remote,4.0,"Perform extensive data profiling and analysis of client data.
Explore existing data repositories to understand what data are where so you can leverage those…",21 days ago,2021-01-11,https://www.indeed.com/company/Buchanan-&-Edwards/jobs/Data-Analyst-60fac9b7bf3ebb54?fccid=ede552e94c87091b&vjs=3
Data Analyst II,"$3,763 - $6,149 a month",Texas Civil Commitment Office,"Austin, TX",,,"Skill in attention to detail and self-editing to produce quality data and written reports.
Coordinates, plans, develops, and monitors research projects to…",12 days ago,2021-01-11,https://www.indeed.com/company/Texas-Civil-Commitment-Office/jobs/Data-Analyst-5a5e930308641eee?fccid=e8a3dc1f4f58c33a&vjs=3
Data Analyst,"$4,599 - $6,700 a month",Health & Human Services Comm,"Austin, TX",,3.4,"Conducts data analyses and interpretation of data to identify trends and evidence-based best practices.
EJF4. Creates system documentation and specifications…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2e5bccd80e1d0a7c&fccid=113517153f849886&vjs=3
Data Analyst Intern,,"MV Transportation, Inc.","Austin, TX",,3.1,"Two (2)+ years of business experience in data analysis.
Intermediate proficiency in SQL (write joins, views, stored procedures, queries to extract data etc.).",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=52399f5e29b1d05f&fccid=664e666343e1f3d9&vjs=3
Data Analyst Intern,,PayPal,"Austin, TX",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=468471e7d3892e71&fccid=978d9fd9799d55a8&vjs=3
Business Data Analyst (12382),"$5,000 a month",Texas Department of Insurance,"Austin, TX",Temporarily remote,3.8,"Additionally, this position requires four years of experience working with data analysis and reporting, including development of statistics.",30+ days ago,2021-01-11,https://www.indeed.com/company/TEXAS-DEPARTMENT-OF-INSURANCE/jobs/Business-Data-Analyst-52ad2871e391da09?fccid=6811ba59bc58fae5&vjs=3
