job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Management Analyst,$59.00 - $59.60 an hour,Ascendo Resources,"Charlotte, NC",Temporarily remote,,"10+ years of experience in one or a combination of the following: data management, data governance, data quality or data analysis.",5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cnp95dEus6hpwNZzYO14T2JYXzT_gSfUX9Wy6PXUfQDWuhabOeV2rg6Khqtn8UsNQ-98z6RXW-E5Unpb2O549Wgcpg85JZb7t3yzahTLfWRsxICC-1mWtcVmjGnNfgbXWABdDfN3KnNPEJ28h8X8415Pjsu7MIuwBP5xaGYBrvdJS92sI4JUjAfQFDlHaQRS7MW9gJ1ZfGriZR4a4cgk0X3BTsNyHGdUciu0dStv9gxecumzYRBd3QAlkvzUhPePJmMFgrwW0mseQHkRSpUaBHHhqHjMVdbzStS6sNFhcRDS9ayQWppZQhCb7K5MWxWwcwjkdsZPzNnJ9EjCuoxpeJINcvX_hp-7Fr6MLV4ZjEzHh_n0iGXE9uKTrY5jydHinRRdtmECkBeXaRDhPdR5uojeejyVaWHXd9DKFnTTEl4C6PbgT2Yug-3oYGwuY_1kKODohTbeMP7BFhXkVaq6Dt_hUCp1Ro_wE=&p=0&fvj=1&vjs=3
Data Analyst,,AccruePartners,"Charlotte, NC",,,"Analyzes operational data sets and using data analytics tools.
Experience with Operational data sets a plus.
Provides feedback and observations on data findings…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft4VMag3oFM5lcPfQAvORVffgamWACO0jXmUc-huXNDR1u55w1Mx-LwRezSfBVuzYmxf4UBAvlw2U1R-SKeQ2jRcEXK5UsKZlEPO68hiHHmhAe6jxqT8WKAUMxsAVIEhl_wEc6irVsPWGeiqfQcZVX2LXJ22OB3CAD2_IBv8U5yhB4W0hbn76LLHNBHuQpGv3AbF6a4ZLlZbH5FyOT-Ris0jAzi_tptI7lSzhH281hsbB99r0mCCWcSsbIEH81S4ueBZ9wWMW5uC-1nqUbUibAzPeNAH9vq26lsYHl-UA3FkNc_r_1yNJDC4sdjENvah-2NWHZEYxmxVH4oGTqhaQkeL2d2x2dfV8IUIpVOW8ZJgnooyFejnmGewR0Kj45wlj8E=&p=1&fvj=0&vjs=3
Data Analyst,"$57,141 - $128,101 a year",Tekskills Inc,"Charlotte, NC",,,"Polypaths reporting skills micro Strategy, ETL, ssis, database oracle/exadata/sql server.",21 days ago,2021-01-11,https://www.indeed.com/company/Tekskills-Inc/jobs/Data-Analyst-80634ebbe681d7f9?fccid=3d31388550d39ce1&vjs=3
Sr Business Control Specialist (Quality Data & Reporting Analyst) Pre-Paid Unemployment-GBAM Ops,,Bank of America,"Charlotte, NC",,,"2+ years of experience in data management and systems or sourcing and summarizing data for reporting.
Assessing risk across multiple data sources complaints…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=c5cd62d5e2e2d7b8&fccid=5bd99dfa21c8a490&vjs=3
HR Data Analyst-US,,"Kennametal, Inc.","Charlotte, NC",,,"Previous experience in data manipulation, report generation, and interpreting large amounts of data.
Develop material for and provide training to stakeholders…",1 day ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4478d9f5cf75c9ca&fccid=6e3ab497868f8cc6&vjs=3
Data Management Analyst,,Ally Financial Inc.,"Charlotte, NC",,,Perform maintenance functions on data to ensure adherence to standards and policies for maintaining data as defined by the Enterprise Data Governance Office and…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4018d149ea6ca59f&fccid=f8c85b296194776f&vjs=3
Technical Analyst - IAS Data Center,,Atrium Health,"Charlotte, NC",,,"Performs maintenance, troubleshooting, research and fact finding to respond to hardware, software, network (data and voice) and enterprise applications issues…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ebfdfed865d4bae0&fccid=b533ab2927d30db7&vjs=3
Data Analyst,,ImagineSoftware,"Charlotte, NC",,,"Experience: 3+ years’ direct work experience in a big picture, cross department business analyst position.
Analyze data points against the four quadrants of the…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=04538e2b2430577e&fccid=0da94ceb1c80c8b4&vjs=3
Looking for Experienced Business Analyst/Software Eng,$35 - $38 an hour,Agama Solutions,"Charlotte, NC",,,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Looking for Junior Software Engineer*.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXgojf1lNM58UcKq0tPwfQLw1dk14B_51_qqxBe8EznSoLH076BH0PX5yGVAaaAZA4usS_lYpXodDQUFo5c6qE5vgHqilKk4Sb3CTbj5zgM0myNRHn-uSSCax8Ocy_eCMmWTu25jlvD1ZYg5l7QLOEFeM0Jl8dST1IF6PBApFtbPk681gfVJwzGmzk_Q0Ru-1VTEXjRqL134k2SeCk8W-S_HFKnGnK0AUQwtPUsjH7u2wUzqtf3DvBoNI5wKVSUMZ3EXqfiwpZvdxoZ-60n3TyAwBJrXLWo3-XTpw6X6VMAh_ausMgp2KbFuPZO3etsdadcBLWfYSGatbMdZysLyLMkte17TJJsg-B9424xgpWPywTk0J5jpmgcJQsqPwGlI5japXUYg7tJpdPH61JVLEINXYWJypTYvgD-r-WEnMiQ7Wq4G83M332irTMLFqnyvtLFxUu1pBsN8r_e0ELauPE-fWOqPdd1pZleGMgnIj4fYP9IKm2GWg8&p=8&fvj=1&vjs=3
Marketing Analyst,$26 - $30 an hour,Brookdale Associates,"Charlotte, NC",,,"Analyze data and create report.
Search, collect, filter and sort data from multiple data sources with minimal direction from management.",20 days ago,2021-01-11,https://www.indeed.com/company/Brookdale-Associates/jobs/Marketing-Analyst-e7d53fe76c2fb252?fccid=38d6bf41be57a816&vjs=3
