job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Systems Analyst,$35 - $45 an hour,"Dedicated Tech Services, Inc.","Columbus, OH",Temporarily remote,,"Strong ability to analyze data and information.
Minimum of 6 years of work experience as a systems analyst in Information Technology, eliciting, analyzing,…",3 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8WH-ySQlE34oWvS-kn80kAHW7HdhRbuAIYuiBguaH7yVljsgGxVgIHVDuSQ9QgWou6G5D-EDMaIonfFmmFcBEIA26oqy16lXGXJDQQ_a_QIqekRHy9aBkyurvvup9e2Syks3Lpum-egXOZEETLe4OmxSBrwRUxb_I8o-cx8qavvuHP4CJJaH0-Z7s7_8dG-jL3NFzPQHmBECgG_3jnORG-JmP1_5oTKM7tLEUi44B9eoYotWhihRJyaz7zA-FnIg5bhzmApf-UtVu0Y-zuF-iL_JKbakX3p4Pn10j9Xt-0rTcxtFr06KkWqqO_TNwjrXGBudI8HJl1DVK8QUxllfaEWQRg1A9CJdJvG4o6PVo6HBeGuhWwm6QNCxG7s2rNg2xL61TIGqZ8VQ_gZdXE1n5_J9qWaLPtw9Kdg0LqwI0zLO20B7g_HPWdgvCmMn8UsTrQGuyl0KaCORTgWLNANAskNrXd9s_a0E=&p=0&fvj=1&vjs=3
Business Analyst,,Central Point Partners,"Columbus, OH",Remote,4.7,"Min of 3-5 years' experience in Banking.
3+ years experience as a business analyst in IT or business operations.
Job Types: Full-time, Contract.",3 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7S9erXqx7onWRBVnfrkvHoJft5r7GnmLgqRoqw23W0SZ1WD3W_d9En3Dt35tYnGbqiS75CzrASLQoXOq1nZ4aYTLI8cgDOg56NnhrQiZ08UG_TyBJg8z_kNEtNP71aQE2I86RPxrtWul3xi9aL256huJoWXB3Kfx89-faMrVnWoVxlqrVG_MvifQV0aF4s3M8yTicRRK2LMbErqnz3dzgCDC1uCCnfpEpPgaZpHi5ykpzuF3laEgzFQz1F7XuVHUa3HXS0zbvxCoSuJHlp8u6FIaXuLXp3yv9rQPL8K7DJ8nxdQKhHnhPDn1dvZMTR8OWr3-j4THP8MSvtCG3rJ6qUEBnJ0fIm0lGi7fswlG_i-g88DLCm5xgh_2clgVctA0yQ9hyXJJQ_etnUMVJdx8dfE36HJdKin2yzFVY9rT4P16A73Ucs4D5bH73Mtufqefibfflxvg_guT3TqO3gpxrgmNDU5GM0wo=&p=1&fvj=1&vjs=3
Data Analyst - remote work,,Sciata,"Columbus, OH",Remote,,"6 years of hands-on experience with Data Analysis/Engineering.
3+ years of hands on experience with Automation.
3+ years of hands on with Python.",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=eee1c1955a515468&fccid=0b0f274b06e1dc26&vjs=3
Data Analyst,,"Innovation Associates, Inc.","Columbus, OH",,,"Provide technical expertise on data storage structures, data mining and data cleansing.
Must have experience in data cleaning, data merging, data verification…",2 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=410e6dc4ffa633fb&fccid=ef0d9e49a58757ca&vjs=3
Data Analyst,,Sciata,"Columbus, OH",,,"Ability to analyze, code and unit test within stated technologies on an Agile line.
Assist with the management of the technical leadership of the line and to…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=62ffbf2605160f9b&fccid=0b0f274b06e1dc26&vjs=3
Data and Analytics Analyst,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"Respond to data questions from our business partners.
This will involve writing SQL and sometimes SAS code to get data that is being requested.",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=49d22d211b0eaacd&fccid=aaf3b433897ea465&vjs=3
Data Analyst,,Highlands Talent Group,"Columbus, OH",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=001ed134cd73a18e&fccid=fb2adf4da0aaceb1&vjs=3
Business Data Analyst,,DHL | Supply Chain,"Westerville, OH",,3.7,Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem.,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a76898d8e20979a5&fccid=5b8d10630cb111eb&vjs=3
Data Analyst,,auticon,"Columbus, OH",,,"Experience with SQL, NoSQL, or other data store languages.
Design, develop, test, and document SQL, NoSQL, or other data store queries, manipulations,…",18 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e2963858f23fbd75&fccid=a5551b6a900b917f&vjs=3
CCB - Quantitative Modeling/Data Science - Associate,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"Significant experience working with very large scale (structured and unstructured) data.
We work closely with our partners throughout JPMorgan Chase to assess…",1 day ago,2021-01-11,https://www.indeed.com/rc/clk?jk=3de2d1b670ef6e47&fccid=aaf3b433897ea465&vjs=3
