job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Cornershop,"Dallas, TX",Temporarily remote,3.7,What do we do? Cornershop (www.cornershopapp.com/) is the leading on-demand grocery delivery platform in Mexico and Chile. Now majority owned by Uber and…,5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIfGl6BU3OIJe6be23bcVxKGQeErm6vgByH3Hx1w52uyXk_kLkXTObeag1_j5R1NmEHPfXcUhrMnUnlFn_rOFUi0o4pVCVJxXjWmD6cp6vakqaA4wW9auL5-5ZI0nkHAgNkTrfhKs4_uDG1DwJr-u_GQUotLbjBCDztzZf1AgTAOMvUfrpt_C3dtW9GeQ4z6j352xD4paopH6DVEIRUREaFo0KxkNAAz2169-JOywGTmRR7uLZ50CrWIDzd9bgVNO9M0BWo7ErDfTExocLjvMPJ-VYBdEHXxyRFmXs76Be7-ZKLAxzw2Vzz5ObGi2SnlTuKb5H3GnttK2ouUTneypLHO3rKMhFDWh7FBwIAr4cYslWcfR5yHnYlbUMEH0oB7Xta_CqZHXV4HO&p=0&fvj=1&vjs=3
Business Data Analyst,,Recovco Mortgage Management,"Dallas County, TX",Temporarily remote,3.0,Recovco seeks to hire a Business Data Analyst for our team. Recovco is an industry leader serving institutional clients with the resources and technical…,13 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH3qoxnlnyvoyn4ppSpPZqCjCLN_BmKc_RNCekboVlaWE4YPEDbHZppp3L1zoaXXJ8LqASYW_Ul5RxekCeE8gzMBlsZrJcSD-_EiqS1AbJ2WYuClNIbusJWWxQVBqYwgaAJle_bII_GpEpA_pQA6YBxL5pRTe7CUYE0KLFuG1E1A51caeUXQctl1xhGhzaP1h5nh8rdV2u-HiHaLtA72y-zqnU7KYNTHQnSczuCHNIZhgCdIoLK06ypjaURE4j9o8hXO6QwHtXoOZndBokB_ho2yFIkNtkCOvYweXVrX_dPePNGD_Tpou7ygtbsndpuXINS3VZyhozxa_k2yClQNmlqctdEd663ej8Gz8ehkPmKdpf53bcKY1n4-ElUzkr8iN7ovMjlFA2jCDn1ZwcIYePGv&p=1&fvj=1&vjs=3
Assistant Data Analyst,,Ravi's Import Warehouse,"Dallas, TX",,,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into…",14 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYKufkxwG-_2k4ZbL6kLC2NGM1ehzHxP7GVLlk0oeSMXf38t40DY2-yZXiqrLO6uhw8hxqflE2_3Xr6JOgi_6YH7ElW8RrOkcdZN82olVjwbdm0zvXM0rfhpFsCdt-k30hT-Kc4Kqv3AS6zwyXv9pkpbbTY4NCe_6ob93KBAuKlGyC7nempOGsta0nsx4WyUOPQU1jw15vERccc2ljXPGXnGMbAvNtQWRs5tXZDVhHF5pYq7UORF4yxxleS-rs5QWcuQpyPG9oYYKkZL-1cYcaNPUzFkYDOtfKu82S9rFR_EqiIYBeLaMnHSUgGlWvwc-UF0Ryp5c9VB0xJ41pzFJUep0fpKMrxVMIBWH0aDbNlWNfyBGyBKTC7fdJm9C5di91ZTD-LvVuTyyz-tGkO9HhAhXiDRFAlod6PFSTpNk3vSYmH8EuDagZ85pAzFweB-XxtUIqEkTyLy28hMGZIdfK&p=2&fvj=1&vjs=3
Data Analyst,"$48,371 - $64,000 a year",ZealNine,"Irving, TX",,,\*\*Must be a U.S Citizen\*\* We are an Employment Placement Agency. We are looking for those who are qualified with in the field of Data Analyst or Business…,Today,2021-01-11,https://www.indeed.com/company/ZealNine/jobs/Data-Analyst-ba71d8e843ecf687?fccid=097319f24d1fea07&vjs=3
Entry Level Business Analyst,$27 - $35 an hour,First Notch Technology LLC,"Dallas, TX",,,Job Description • Problem- Solving • Critical Thinking • Project related various business and technical documentation and specification • Analysing client s…,Today,2021-01-11,https://www.indeed.com/company/First-Notch-Technology-LLC/jobs/Entry-Level-Business-Analyst-df6c521f25f3c919?fccid=53c0d1116cda8117&vjs=3
Diversity Program Data Analyst,,CBRE,"Dallas, TX",,3.7,JOB SUMMARY The purpose of this position is to provide analysis in support to the Diversity & Inclusion Program Management Office (PMO). Responsible for…,4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2f54ed8d8b68e234&fccid=c9b9e477b3c84b4d&vjs=3
Data Analyst Intern,,"MV Transportation, Inc.","Dallas, TX",,3.1,"At MV Transportation, we provide freedom. The needs of people drive our company, literally and figuratively. People come first - ALWAYS. And that means…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c719acb6dbfc5560&fccid=664e666343e1f3d9&vjs=3
Data Analyst Sustainability Team – Climate or Packaging,,PepsiCo,"Plano, TX",,3.8,"Auto req ID: 224434BR Job Description Job can be in Plano, Tx or Purchase, NY PepsiCo is creating more smiles with every sip and every bite by winning with…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e98acbd26c137a14&fccid=2973259ddc967948&vjs=3
Testing Analyst,"$70,435 - $90,853 a year",Neiman Marcus,"Irving, TX",Temporarily remote,3.7,Summary The Site Analytics & Optimization team is looking for a smart & driven individual to grow our testing capabilities. This role will work across…,4 days ago,2021-01-11,https://www.indeed.com/company/Neiman-Marcus/jobs/Testing-Analyst-8578c5871b444131?fccid=7a11eee3ff8b533d&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Dallas, TX",Remote,,"Advana, a private equity-backed marketing technology startup, is expanding our team to take our customer's success to the next level. With our suite of…",30+ days ago,2021-01-11,https://www.indeed.com/company/Advana/jobs/Data-Analyst-d5bf8a642adc0ff5?fccid=e0b053b31528f9dc&vjs=3
