job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
COVIDCheck Colorado Data Analyst,"$75,000 - $85,000 a year",Gary Community Investments,"Denver, CO",,,"The data analyst is responsible for converting data from these systems into actionable insights that drive our operations.
Associates degree in related field.",6 days ago,2021-01-11,https://www.indeed.com/company/Gary-Community-Investments/jobs/Covidcheck-Colorado-Data-Analyst-edb1be2f6f0c4049?fccid=4eb2fca49920ea16&vjs=3
Data Analyst,,Highlands Talent Group,"Denver, CO",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=22299454040dbe1a&fccid=dd616958bd9ddc12&vjs=3
Data analyst - Entry Level,"$35,000 - $40,000 a year","Selling Simplified, Inc.","Denver, CO",,,"Collect data from business directories, networking portals and company websites.
Contact data cleaning and updating using excel and online/internal tools.",6 days ago,2021-01-11,"https://www.indeed.com/company/Selling-Simplified,-Inc./jobs/Data-Analyst-fbcaea1a9692a474?fccid=7d470bd15c1b8b0a&vjs=3"
AAP Data Analyst,"$40,000 - $47,000 a year",Jackson Lewis P.C,"Denver, CO",,3.2,"_In this role, data analysts collaborate with other data analysts, as well as attorneys and clients on various group projects.",23 days ago,2021-01-11,https://www.indeed.com/company/Jackson-Lewis-P.C/jobs/Aap-Data-Analyst-628dfa371968d29f?fccid=73968dccd71b6ef5&vjs=3
Options Specialist/Data Analyst,"$55,000 - $65,000 a year",Richmond American Homes,"Denver, CO",,3.2,"Must show excellent proficiency in data analysis.
The Options Specialist/Data Analyst’s primary function is creation and system maintenance of all standard…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=af188e1dea2666ec&fccid=719490ab0a25f525&vjs=3
"Associate Business Analyst, Data Provisioning",,Recondo Technology,"Denver, CO",,3.1,"Requests will range from highly complex data processing for new builds to relatively simple data maintenance.
The Associate Business Analyst will coordinate all…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c732fe1a8465a939&fccid=4933428573b6578c&vjs=3
Customer Analyst,"$60,000 - $70,000 a year",Uplight,"Denver, CO",,4.3,"Collect, aggregate, and analyze data to continuously improve our models.
Passion for our mission and the data-driven insights we can deliver to internal and…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=0c2c41aeb1666e21&fccid=76670ee1307f6d9c&vjs=3
Child Welfare - Federal Data Analyst/Liaison,"$6,659 - $10,094 a month",State of Colorado Job Opportunities,"Denver, CO",,3.4,"Create outcome data used for managing regulated national standards of data.
Four year professional experience in conducting research and data analysis,…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=83dffa06b26f5730&fccid=7cd7119315ca0934&vjs=3
Data Quality Analyst,"$58,500 - $81,800 a year",Center for Improving Value in Health Care - CIVHC,"Denver, CO",Temporarily remote,,"Experience working with big data in an enterprise data warehouse environment.
As a member of Data Quality team, the Data Quality Analyst is responsible for…",30+ days ago,2021-01-11,https://www.indeed.com/company/Center-for-Improving-Value-in-Health-Care---CIVHC/jobs/Data-Quality-Analyst-674a9cecebcee093?fccid=2baf0d60a1a1bc46&vjs=3
eCommerce Growth Analyst,"$94,300 - $175,100 a year",Verizon,"Englewood, CO",Remote,3.9,"You must have a keen eye for detail, a passion for user experiences and a thirst for learning.
Strong analytical skills: Able to create, track and analyze data,…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c9ddebc2b3ab81a6&fccid=f7029f63fe5c906e&vjs=3
Data Analyst Intern,,PayPal,"Denver, CO",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=5cd6cd7dce61ef58&fccid=978d9fd9799d55a8&vjs=3
"Analyst, Data Management",,Comcast,"Englewood, CO",,3.7,"Queries large data platforms such as Teradata, SQL server and Oracle to obtain data necessary for analysis.
Analyzes large, complex data to determine actionable…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=55bc5045dee57d03&fccid=ea25315ee9da22e5&vjs=3
Racial Equity Data Analyst – Mayor’s Office of Social Equity and Innovation,,City and County of Denver,"Denver, CO",,3.6,Have direct experience presenting data to a diverse group of stakeholders and drawing conclusions from data/or data sets;,19 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8ff4416ae55bccbd&fccid=20f730f4f3d57604&vjs=3
Sr. Data Analyst,,STRIVE HEALTH,"Denver, CO",,4.5,"Working knowledge of analyzing medical claim, lab data, EMR data and clinical data.
2-3 years’ experience in healthcare data analysis.",13 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b70f97c50ea90387&fccid=cd8de9a363d22dc3&vjs=3
Data Analyst,"$55,000 - $65,000 a year",Aquent,"Denver, CO",,4.0,Maintain client data flow processes from multi-source raw data collection to visualization in coordination with 3rd party data warehousing partner.,21 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMrcEu7yrtATojKJA7cEzGQ3FdRGWLh0CZQInL4ECGI52ZyweAoyPmdD8SPg-eEdxrcN2MGUR7ZzF7dOQHMz1BQnGXDSoTHRQRgTP43kdAlcggjMjfq-GKpSCp1zxKuu8YH9rYF7zm3kNSr_C0KrIBa248j6vQb7405KnfrrBS_wLRaEtmnddGJ9UQVlvh0xYQe0sf2M7PhAzkUSasCUKd46M3kU0_G6d3-V-Qsgh39cpXsMlX1T9FG7ovhk7L75B2Ky9RSNks_PeCgC7-0rcf7yGclJE3qBiGbjoTMfCBypnJRs79ZIUa7vCdomHS7UNCV2pncs3fmy5kGCV0A8M8jY_UjzyAmqObpscSChnsAq9CYjdbReKeBuOfE4wHxuUEwn9aeBjtdRp5Wu8E-xLQQKUAF3pmBZs=&p=14&fvj=0&vjs=3
Data Science Analyst,,xentity corporation,"Denver, CO",,4.2,"Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios.",11 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8e311068df0bf915&fccid=83a0c16a0b5f5a93&vjs=3
Health Care Data Analyst,"$58,500 - $81,800 a year",Center for Improving Value in Health Care - CIVHC,"Denver, CO",Temporarily remote,,"Experience working with big data in an enterprise data warehouse environment.
Big data: 1 year (Preferred).
Position Title: * Health Care Data Analyst (Level II…",30+ days ago,2021-01-11,https://www.indeed.com/company/Center-for-Improving-Value-in-Health-Care---CIVHC/jobs/Health-Care-Data-Analyst-68f3229c2abd49fe?fccid=2baf0d60a1a1bc46&vjs=3
Business Data Analyst,,Miracorp Inc,"Lakewood, CO",,4.5,"If you have basic knowledge in technical fields including but not limited to finance, accounting, information technology, research and analysis, or other…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b64d1fc4857418cc&fccid=f3ac65d86cc20104&vjs=3
