job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
<<<<<<< HEAD
=======
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRGVLv_mpZ0H9lZAq-HENLkw803QkctOZc35I6hoYVe2_IEZKw6mXoifFODsutQm9DpcXJaYyJlF6ftfp_wEp7mHN9SE-arPvuIGZ9sqaKQlGAuRGPXjm72KX8vZ55UTzNhFNXULzfpQHJMStSmntxpL1MzJikjq1tmRoO2nf8hvD8HBSAvsnZRev0J8M-hX4OMmJ8N5VzzAtff7pdLWY_2K2MjORAyOAM1JFj3jrlE28NOE5dt9IuIrZxVATjnD7tTpwP7so6qHRQNHCT_78EsIwxMknRmIhl27ExY9sVvKkmhmYAzAoym2st8drbNb9sbdtg36XFYbmyucFj0YoV04Y1D77PNbKG7cz2ZYYm0SxMv2VxXFfF-6z04ZtM845pBRZs1wewbVCWzX4hSs_WuQ==&p=0&fvj=0&vjs=3
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzGHyYeHk-kZQDbznHxfAGB52WB__eQt3OH3W8RdfV3c6d7_iOPvGW9bRG6VfIgYYJIHjoxytAcJikep7SZlKjDev7bSUSXY7nQ6qSHvjOMsSKqNIi89dWI1fnWiA4SVfp8WL-LJT5G5bC-5xNvbkumjWUaVEU52MfIJUdc9AlSjAO8DziNDAsG3246spJK9CYLRaKL1-OjN6YYIToNn12_8BxWQws9l2SZQ9lrhu6bO8SBCm-xmGsu-eEZKJYzAvuNiaK1hq1ScsUKKD62oGQZOqSnMB2VJPh-ejqiUiGGVMHCYV4Ut44i31OGW5etPuXNPNtYqyH6TnqtKoiag25StD-SikFrOTiw==&p=1&fvj=0&vjs=3
Data Analyst,,Cornershop,"San Francisco, CA",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIV-f6yC3_rLoHzDZqOnOn2RxoEeUL_q7WnsfL1OaC2o8fw_HQTmfPBGFxd5aN4vOAqnNjoEiqMi_CXFp81TKe8s8Skgm_jG5jhrjxGJXrb8KjuJ-ShlO6QV2p25HRgBK7-nXF9uUIyPUZbEiElloZ9yx8X3EQkvKsikNL86ZRzRPZ1ynucf2Uy5f7TD1y9OtcJD5OdvsI2CYa1uSGJK_AkyQAfp3LEvYJjWTohMLE6pi0Z0VKr-8TGSE0WOB_ttJ5TBKUNsPORDWh2vNd_cstm5NZH8FVnsWyCRdnkuB-1GHzRfSqNsSLGzLa-GNTJIUaVhy71EG5DZNfqgFIitMFEjvm2CFKR1HdVc2mvXsRBcAFUqx2I1h9OzB4hTKA3IHktxaxcuDGrak&p=2&fvj=1&vjs=3
Business Data Analyst,,Pinkerton,"Fremont, CA",,3.7,"Conduct data analysis to examine data sets to draw conclusions about the information contained therein.
Lead and support data driven projects including;",29 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DEMI6QzMzxi0DD_pMYXICmFoJq-H5LrGXX8bv2zgXFduc3Z3hrGBGa2RXZy2On1fqfOHx-pGmDAM-y7M5YtKbhJvfUkP7_-QkCfs7EHT4dSOpejPeruNGgVaJjQKMOTWUVm3BtUtDH3kTO5CYMdaPXGzA21EXwrt7D58IdVG7EiRs9If7U0pCW0GDn7EmNzObXMaW4fznXiv51Wi6uqnITatb_odl5SlYCnAantoolZl2lf5mZXD9J8RblFsWV7-15pRBwHC4UXaEc8wtY044I-NDLcfKlYw8UR1yOYusCG_YzzHb9r5oWeag_IGLOkm-3dU6MeNdEH31NV3akrTMad82eLrgSqhYIkOuF8z8QRCv9TI8NvKXoOwO6nr9zPpyJ98B7I_KT8FdcqUVFX9AVaItfS8yeom0Ls-THc2xM7DFQZVOs6saQYw_t7rH9H4zzbdr30lJv5Q==&p=3&fvj=0&vjs=3
Public Health Analyst,$26 - $31 an hour,Wollborg Michelson Recruiting,"Dublin, CA",,3.8,"Review and analyze case data for trends, alert HR and operations of potential risks.
Generate reports from risk management systems, review and analyze data…",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWURYoHbCO4cmh1YL3bdIgPpolxL4J6fmUWVjpKFg0ATLIMpKGBF0gtBwnGeABQcup4ZnosNQe9hCaoOiRlUSAEcVe2aZxNJLFIn4-EGx5OfqoZukHRm76L9sr_bokgSY4t7V95DsJ1uDW_TQrxrVCF68yGWEsgPer9lmqYNswuJYi24GS2-QGwYkmW2lfC50-6zn38jv1xmukgFsabj43siiFOLVf85r7f3xDlw9eqNRKH3EPD4Fx7HEXTOs6GjcIoXLCyiM_WXJ28GfakDeKRgIHmQ_0CH5mA-xqZBXdZFtRvIszVKFXiR12a3f-_5Tn5vCgS5qlRkg3tMSIXai8cCM0VbSUcLmt0kLTHzJpmRkztxZUEfSqploxLWYOXyn8NJ8thpmforMhmmpBBxMnph8Woq3xfXDnHTdAWieiPGokRh7DP0HbEwEBSRa4ei9v1lYTuI2Ob3JdutWUtIf4&p=4&fvj=1&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst,,"Raybeam, Inc.","Mountain View, CA",Temporarily remote,,"4+ years of discovery and assessment of a client’s data portfolio, data tools, and data applications.
Ability to manage a data ecosystem including ETL, data…",Today,2021-01-11,"https://www.indeed.com/company/Raybeam,-Inc./jobs/Data-Analyst-e74cff7ad6109d6b?fccid=8641f0a5fda917ff&vjs=3"
Data Analyst,,Mighty Networks,"San Francisco Bay Area, CA",,,"Build scripts that will make our data evaluation process more flexible or scalable across data sets.
Create and maintain rich interactive visualizations through…",Today,2021-01-11,https://www.indeed.com/company/Mighty-Networks/jobs/Data-Analyst-84aa1185c5e40333?fccid=251c57e5708f4cee&vjs=3
