job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Reporting Analyst,,Texas Children's Hospital,"Bellaire, TX",,4.3,"3 years data analyst experience required.
Develops and maintains systems for ensuring data quality and measurement validation.",7 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bo5fTJSWtnyB2foVBn052TSZSzKkBUCj4s2e8Z9RrbRetArZLlQHhI92PcGxit8vwKnZQJWstl-GupompSfiLMA7MtlbuQw5-LdHhFZyPf_hxi1dNpHqLzRGYGCnjKEOrqRP2e-Pv53c8UwK6edfPR7iqxtLfLJot836pnOvpSueSTAzolngyCU0r6_qoRrpxn9t6JH8P5r5eYtabbbSZqiBKvKaTdgP_ZLz0__1gZi5KPHwRa4AoP3M2WHhdvJL_u1FfV2VUEcu18uf1C_EZvQhuIK1uqqoyyx9OGheURGMIS0vBHqf1Qd44CzRw2GpvJJXl9YUqZnOWbqWZNoQMUeuQQo8ldZE-8qn7xk38z0YIHA45Dxl9KcajJroiFTlBiP2IY4bj8lAZR48-qEkB9V56Akdyh6Xue4E2-qscT9Uvzky6MtWM90dhRW-ISFpS5vRs6V0pT4HOhmrJPESc0O1EHzJ4dRFC5YT_Po9mwmA==&p=0&fvj=0&vjs=3
Business Intelligence Analyst,$45 - $65 an hour,Interfaith of The Woodlands,"Houston, TX",Temporarily remote,3.4,"Proven work experience as a data analyst.
Acquires and presents data from all collected data sources.
Develops and implements data analyses, data collection…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuZHxQMRICZXljslzvienfxA1Gv9CqleghCmimzDhOk6NW3M8evw8kYslngMPXVfREn-o9Ldmm5b3J1ZBd0Piyzr1C0dQmq6OxlDBVGPB3T_Tiv12j_Aha9r6pY4znjwD-1TZ38Z3vYV2vRtoHEPLbalEQnVhGLSyLotiy3qDCLSsh5U5-sclop1R2QBSYCpB2HEPLmtx0LbZvAdykpn4BlkySEjxfAJ21i2f_dY_NeBfdWLm8xUySR2NeYgWfcQgaO7cKglpNJU01FKjL8YQ8k3MUIEAJe4qHS-mj7W4GdiaeDkIxQNXYneTgZUYeh7OcqJDvI5jhUIEtui7aDp2vIAI2NCQ8DARycZYbUcTVo4On-rfQcuTaERUyUbsiCcUWRPeqz9CRc4h6hXAhjyeTovXBbWKDVWVsQ5hIjXIIHn7NjpDDYbHly_F1i9HFr7VJLBcQgfbwsx7bRVLqoQ_mtUs3GUplEpw=&p=1&fvj=1&vjs=3
Entry Level Business Analyst,"$62,000 - $72,000 a year",Microsolutiontek,"Houston, TX",Temporarily remote,,"Knowledge of logic, databases, data flows, SQL for data analysis is a plus.
Analyze and evaluate various forms of data to develop competitive business solutions…",3 days ago,2021-01-11,https://www.indeed.com/company/microsolutiontek/jobs/Entry-Level-Business-Analyst-bd899654c0536167?fccid=4c13fe1d1e35a416&vjs=3
Data Analyst,,Highlands Talent Group,"Houston, TX",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d8dc199af9c7d63a&fccid=fb2adf4da0aaceb1&vjs=3
"Junior Business Data Analyst- Houston, TX",,"Genuent Employment, LLC","Houston, TX",,,"Collect and analyze data for data integrity / identifying anomalies within the data.
Technical training on cutting-edge data visualization tools such as Tableau…",2 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=37f40a66ea66467a&fccid=c94bc517540df6e6&vjs=3
Entry Level Data Analyst for Lawyer Legion (Houston),$14 - $16 an hour,Lawyer Legion,"Houston, TX",,,"Analyze and update data for the national lawyer directory in LawyerLegion.com.
Cross-reference and organize data in spreadsheets and SQL database tables.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a3c0a36c6551cd18&fccid=6dd2f05f986a8bc8&vjs=3
Sr. Data Analytics Analyst,,EDF Trading North America,"Houston, TX",,4.1,"Working knowledge of data marts and data warehouses.
Ensure quality and data integrity in all project deliverables.
Reports to: Manager, Product Control.",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=c0457de4602afd3a&fccid=badc603a609d50f9&vjs=3
Business Analyst,,Hewlett Packard Enterprise,"Houston, TX",,3.8,"You have strong analytical thinker and data modeling skills.
Gathers data from various cross functional teams to synthesize solutions for backlog execution and…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=7d1f47e3a6b03c5e&fccid=216eb700022de6f6&vjs=3
Business Analyst,$50 an hour,Divish LLC,"Houston, TX",,,"Business Analysis: 5 years (Preferred).
Mentoring intermediate business analysts and ensuring they are following the organization standards.",Just posted,2021-01-11,https://www.indeed.com/company/Divish-LLC/jobs/Business-Analyst-096208212cb5163e?fccid=1abee8392c419481&vjs=3
Business Intelligence Analyst Internship,,Hewlett Packard Enterprise,"Houston, TX",,3.8,"Candidate will also perform analysis with operational data.
Development and data analysis using tools like SQL and Power BI.
This role will focus on tool.",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=85e4d6590aecbd53&fccid=216eb700022de6f6&vjs=3
