job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Business Analyst,"$95,000 - $100,000 a year","TeamSoft, Inc - a Peoplelink Company","Madison, WI",Temporarily remote,4.4,"5 years of Business Analysis, including business process documentation.
TeamSoft offers a suite of full health & wellness benefits to all of our W2 consultants,…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDnM5sd8xm-oblXveha-6FtfcH0FCVtGhSv4X_eUJIAbaka4M7RIcz5DzKvXwWouVQMKPzI8wu2QJ55v2eQ09ofLtHHmt_EQKr_OOMEvX78DsPQXX82jil2F3CtjRarnBiMt72rlNQ3qVOoNK8VyajEAQyQDAqpt_32rJ04ht0Cim_WdWniydmAKvrr26sbPR0_6NIVY_keVct6AAxGe8u8M85ZcFDuPVv1IehP4FL_VT0pUWNuZ2MoDHpDWM3Mm-vTLuLyxRzcnDUsW2fn4jbq-Axb_Ie1p4dsHi7h-SyHW7QB19chbp49zgNIB5deCYvXYyLk9fvcP08HRmm1uuS-SpA7mhXT6l3D6LrPTv6oWlvjRRarG4OAxmq1lnFf_2jMovyRTMjQJuNDyBy-chTGXJJN-7MB1X4Dd8m4TvGeD9TOO4mlceF2TBhqyqVQFZNKmDwNXdus-qW_6D5XZPx&p=0&fvj=1&vjs=3
Business Analyst,,Johnson Health Tech,"Cottage Grove, WI",,3.6,"Under the direction of the Sr Director of Global Customer Service, the Business Analyst is someone who acts as a representative to lead and/or participate in…",2 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ff9e8Lfwlpl5zGbQmpn59AL71QmFd7VKOAnfyjZzp30iMMN3yCwMIJm4qOcYKaWGAsKuL3yxe1XrXdswGPw083pj3hlFB0xZxn62UG8SnG5cv9HCfPypuxwWPnOO54OlHWoo_ieFDCgBIxtcwtIt_GCXIcspcKMkCH0dsv5nm587JpyitcgXS0KwLQLtoeuzchBj8fEQ2AA7euUZKgzFDZ4BOJjRMjuDTSKjm9mQBRVInUAyIOFb78yPjSH3YDPiet4F8I0nUOWQAXtoIK47mHwTP1shf6lGAskwzvOwP3hiRLE4AKm3dzvcAvZY9TvKhyBf5vpcatx0ZAKMiCuQvTRNu9lPaKS1JUYimh9trHlrmeyEgaUH-deuYM8Yfj8iKEZrl7LXvyoPDCIG_Jn2XA160sEfxQhvq5gDS6OE0w==&p=1&fvj=0&vjs=3
Data Analyst,,Highlands Talent Group,"Madison, WI",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=242fa992b05f9f10&fccid=dd616958bd9ddc12&vjs=3
Data Analyst,,Forward Health Group,"Madison, WI",,4.3,"1+ years of related data management, analysis and/or programming experience.
The Data Analyst develops, validates, and supports the accurate and timely delivery…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6369f35213095737&fccid=f76019c7f8c12bad&vjs=3
BUSINESS INTELLIGENCE AND DATA ANALYST,,University of Wisconsin System,"Madison, WI",,4.2,"Experience processing and analyzing data.
Understanding of data warehousing concepts.
Familiarity with data governance principles.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6ee5b9b3497e9827&fccid=8c5aa2ae8175327f&vjs=3
Associate Data Analyst,,ST genetics,"Middleton, WI",,2.5,"Assist with data entry and reporting test data.
As a data analyst this position will perform genotyping analysis and will be involved with the SNP transfer…",11 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9a71cf47c3330c55&fccid=3e04aa1efaf91e55&vjs=3
Business Analyst Intern,$22.10 an hour,Wisconsin Department of Children and Families,"Madison, WI",,3.5,"Direction will come from the business analyst leads currently on the team, as well as general oversight by the Child Welfare Section Manager.",3 days ago,2021-01-11,https://www.indeed.com/company/Department-of-Children-and-Family-Services/jobs/Business-Analyst-Intern-a59417ae81642a8d?fccid=cbb92747e321bdf6&vjs=3
Business Analyst Intern,$22.10 an hour,State of Wisconsin,"Dane County, WI",,3.5,"Direction will come from the business analyst leads currently on the team, as well as general oversight by the Child Welfare Section Manager.",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=558a04bae6afa70c&fccid=382b064faa12254d&vjs=3
Logistics Analyst,,Aprilaire,"Madison, WI",,,"Merge internal and external sets of data to build a logistics and distribution database for KPI reporting.
Solid analytical and problem solving skills, accurate…",5 days ago,2021-01-11,https://www.indeed.com/company/Research-Productions-Corp/jobs/Logistic-Analyst-1aaa3684c5c0d7a5?fccid=837cafde9594accb&vjs=3
DATA SCIENTIST- PROGRAMMER ANALYST,,University of Wisconsin–Madison,"Madison, WI",Remote,4.4,This individual will also serve to oversee the data management team that includes other staff analysts and data managers and other research team members who may…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b7a296cb8e0ff5fa&fccid=22b1d1aaa50a1a45&vjs=3
Data Analyst or Data Engineer,"$70,800 - $90,624 a year",State of Wisconsin,"Dane County, WI",,3.5,"Improve data quality and fix data issues in dashboards, reports, data warehouses, operational data stores and other disparate data sources.",26 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e05ac81c613baad6&fccid=382b064faa12254d&vjs=3
Data Analyst and Reporting Specialist,"From $71,322 a year",Forward Service,"Madison, WI",,3.5,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",20 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=22e50c596a5e1c04&fccid=d6f82f94410a4bae&vjs=3
Business Intelligence Developer / Data Analyst,,Agrace Hospicecare,"Madison, WI",,3.2,"Agrace is hiring for a business intelligence developer / data analyst position to assist in the design, development and support of the reporting data warehouse.",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=06db108b6cc13c6f&fccid=ae29b3db85104d55&vjs=3
Business Analyst,$35 - $55 an hour,Comcentia,"Madison, WI",Temporarily remote,,"EHR HL7 Interface Support: 3 years (Required).
Reviews, analyzes, and evaluates business systems and user needs for Electronic Medical Record (EMR) software.",27 days ago,2021-01-11,https://www.indeed.com/company/Comcentia/jobs/Business-Analyst-36969c3a28647a14?fccid=3112c165b5d0465e&vjs=3
Data Analyst,,INOC LLC,"Madison, WI",,,"You will need to see through the data and analyze it to find conclusions.
Data analysts should be able to work with clients, supervisors, and managers to meet…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f2ecdde5f9b1d8eb&fccid=19e8671ca89faa50&vjs=3
Product Analyst- Entegral (Remote or Onsite),,Enterprise Holdings,"Madison, WI",,3.6,"1-2 years experience as a business analyst, data analyst, project manager or similar.
Create user and data flows to represent how users currently or may…",18 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=1911b236c53b38db&fccid=97de6e3bf84e8d35&vjs=3
SEO Analyst-REMOTE,,Pearson,"Madison, WI",Remote,3.7,"Collects and analyzes data on established and prospective customers, competitors, and marketing channels/sources.",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d9e8d6cbf417be96&fccid=915b1c0ee87e5e8a&vjs=3
Data Governance Analyst,,Exact Sciences Corporation,"Madison, WI",,3.0,This role is data-centric and requires analysis and demonstrated knowledge in data governance and data quality to aid in building an enterprise data-driven…,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=07ee7d04740df9ac&fccid=dd73ad6992d82d48&vjs=3
Program Analyst,"$64,649 - $84,049 a year",US General Services Administration,"Madison, WI",,4.1,Knowledge of financial and/or acquisition data collection systems and their interfaces with other IT data and reporting systems.,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ac480a195e8b4440&fccid=80df9342aa52eba6&vjs=3
"Data Warehouse Analyst - W18018 5.8 Madison, WI",,CapB InfoteK,"Madison, WI",,,"Comfortable in a complex data environment and understanding of data structures.
Experience in requirements gathering for data warehouse.",24 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=660a35b2c859c1f1&fccid=5033463af3c58699&vjs=3
Business Analyst - Data Warehouse Team with Business Objects,,Gainwell Technologies,"Madison, WI",,,"As part of Long Term Care Data Warehouse (LTC-DW) team, this Business Analyst will research, elicit, analyze, validate and document business requirements, and…",20 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6439d9aee9030581&fccid=fc5050a2f66dd83b&vjs=3
Business Analyst (eCommerce),,Wesco International,"Madison, WI",,3.3,"The business analyst specify various strategies for completing the project and identifies the data flow.
The business analyst also undertakes designing and…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=6e675b964fe6fa1e&fccid=80fa24e3e94a3473&vjs=3
Insurance and Liability Analyst,"$59,592 - $82,472 a year",Madison Metropolitan School District,"Madison, WI",,3.8,"Bachelor's degree from an accredited college or university in Risk Management, Public Relations, Business Administration or other related field or minimum of 5…",30+ days ago,2021-01-11,https://www.indeed.com/company/Madison-Metropolitan-School-District/jobs/Insurance-Liability-Analyst-17e3536f543047ab?fccid=fa7bd5fdbb3aadf3&vjs=3
Professional Business Analyst,,Gainwell Technologies,"Madison, WI",,,Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…,10 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=3f43bfc6bb2fd568&fccid=fc5050a2f66dd83b&vjs=3
IS Business Analyst - Senior,"$59,280 - $67,600 a year",State of Wisconsin,"Dane County, WI",,3.5,"Full Time (40 hrs/week).
Pay for current State of WI employees will be based on the compensation plan in effect at the time of the appointment.",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=5a3222a0389652f5&fccid=382b064faa12254d&vjs=3
Business Analyst with Healthcare & Insurance,$60 an hour,ibrain Technologies Inc,"Madison, WI",,,"Direct : 571-464-0596 / 678-765-1678 EXT: 109.
Title: *Business Analyst with Healthcare & Insurance.
Job Type: C2C / W2 / 1099*.",27 days ago,2021-01-11,https://www.indeed.com/company/ibrain-Technologies-Inc/jobs/Business-Analyst-Healthcare-Insurance-64297d20996c28d0?fccid=007aebf599ab5183&vjs=3
HEDIS Data Analyst Senior,,SSM Health,"Madison, WI",,3.7,"Participates in enterprise-wide data governance and master data management activities.
Frequent keyboard use/data entry.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6d51fe10999f0a04&fccid=b00c5e088999b49c&vjs=3
