job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Cornershop,"San Francisco, CA",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIV-f6yC3_rLoHzDZqOnOn2RxoEeUL_q7WnsfL1OaC2o8fw_HQTmfPBGFxd5aN4vOAqnNjoEiqMi_CXFp81TKe8s8Skgm_jG5jh3eXYreBEZ0KiTTZxVIU6Fj-MVI7rk8AZjMsc88YodS_jaHK1t6WPEw-3TzSZMD8HB1X24dh_4GULvyOhE3EsKGEHk7KFfCRX9p0MGsMVzIyYFrHXE7_gTSAgHkS3M666-07jVMZ47xCC-0tVZMW1uY5_CE42wUs9GtHDC62jIaBAfwTdDVmUjMxetXNh0kNC_MyMInGgiXvFMPmT6hTkJIaC5V8Kpkwcz2Y0ZuJXSMVQ2-wAwSTsEJMSYLXqoarI3KkdvFenPkOf1UJRB8WQ84zb1oY9EAycOR0BlDCBxL&p=0&fvj=1&vjs=3
Lead Data Analyst,,Chinese Community Health Plan (CCHP),"San Francisco, CA",,,"At least 5 years of current experience with SQL, SSIS, SSRS, XML, and XSLT.
Business Analysis: 5 years (Required).
Ability to plan and work effectively.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDWZhAkfO3XsqVY2Rd5gMf1Km5JH7N12kMttlyNCTXDWWArtBWbKxggexhutJKFwyQGmS9F1Sznmyns3Qlr7lXMhbC5m1cSwdin8J5EW2nsMhDJwVB91BMbRVSgVUdAIerLHxsZZCx19mPzfJ1UmCVyQuAyHlbWZII7qa_2mZJKHLCyHBb5fC7SKTdgswweWlVZzif6KGD9t6OXTg8oxEOeF9YtfZKmlcqDhwrJkquvQVd-KwGECrKFTsQUgO3K4ephCeN-89hPxZBKmiXfZfYcqX5yr6tnzeyi1lAo2re2GF2icXZxFIPrNah9ld3vH9Dd45zBQx_x5SH-G6qd-zLiJpBChYNxa2MG_WEGNXFiZhwxriW_5P5TA1PEG28yvexC9CkE7lLJ_Stg7qzTkUlf8aWn6mJpvJe9rXF459jAPRKtwBy_CnyWvWKuTAT-X5jWAgEPvOqXA==&p=1&fvj=1&vjs=3
EHR Billing & Data Analyst,,HEALTHRIGHT 360,"San Francisco, CA",,3.7,"High degree of accuracy, speed, and attention to detail.
Finally, this position will work to maintain and trouble-shoot API integration and other forms of data…",23 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D86e3kd9kWXeTtPsmKSn2w6VuxxvlC7c5HbOxOIY9Kda7lnmihnhnpeYtrMW6OAaJxXcr7w2UT1DlD5mUshHp85eDMJ40WTt2lMLUQO5aWxQ9zo_pb0_gQrHRJhQmukoGE8OlshGqp6r89nTpbmKxkAOniWP3ebsmQ8w3V7qU_Sa-t-PsMs_6sv-cYRly_sPOiImBzao4fOFSWXYOcsgyXuZWau9JjKyRVmUSKnr0eAxkKcRrrcT4ZnCClEQiFvbY2iIX9LZqrYIbuI8m4ei135tgu1CgQXNenU-JmgXvNrUnVDhwoKu48YRWriIQN4edaJTaN8VmbZYNvV6rUQhu3DdOEbO5XdenID1Wf8TvW1drXCUSt0ZylWSEWos39bosRPpd7k6Yp0EfLX99_0ZkqeymHVB5oYGect-bsPljWBjKYkpe1yZULQBBqAK204-vkd6mWiaxmmePS9oxWfAWW_yTzzrKpJC9Gv0P8ZEZkD0hotLNF-POEZrvUZt6xclzMgyE0l-KuNpo1rZiezHreaSz_uG20Ty4YngfiyJAaxF-o_UXc38SPB5AzEp2mofvtM70WvP9rwJXy1iyMJINGEGlVT7JC582OtrWuu5hmuHmMocbJF5amxVz2y294ABWa_AesIhARIBoxhr9VsMEg_lsOF0XYJn2luMpvOY847FomFyLfT5cKMGGUP9FlOG_koojhzEHLDrgo4XLOgnPMFleNSDPyAIMwnGzghyYdBzz_pqjh3_BMK6z_YIu2HUc=&p=2&fvj=0&vjs=3
Biomedical Data Engineer / Researcher / Analyst,,Penumbra US,"Alameda, CA",,,"Integrate structured and unstructured data into existing infrastructure and test data integrity and quality.
Familiarity with data modeling and machine learning…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=545c82db9f24ab8f&fccid=48d4b5e592158b7c&vjs=3
Data Analyst,,Mighty Networks,"San Francisco Bay Area, CA",,,"Build scripts that will make our data evaluation process more flexible or scalable across data sets.
Create and maintain rich interactive visualizations through…",Today,2021-01-11,https://www.indeed.com/company/Mighty-Networks/jobs/Data-Analyst-84aa1185c5e40333?fccid=251c57e5708f4cee&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst - Entry Level,"$31,775 - $60,684 a year",MT Global,"San Francisco, CA",,,"Providing technical expertise on data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…",6 days ago,2021-01-11,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-a4e304edd0876058?fccid=538f9ae95cd3fbad&vjs=3
Research Data Analyst,"$5,875 - $6,505 a month",Sequoia Foundation,"Richmond, CA",Temporarily remote,,"Carry out data cleaning and descriptive analyses; summarize data runs and analyses.
Two or more years of prior work experience with health data analyses or…",4 days ago,2021-01-11,https://www.indeed.com/company/Sequoia-Foundation/jobs/Research-Data-Analyst-506b1e27832b00c8?fccid=905f0ff8819d646e&vjs=3
Entry level Business Analyst,,Logos Infotech Inc,"San Francisco, CA",,,As a Business Analyst in IT Gathering Business Requirements from the client/Customer Interact with clients to understand and capture their functional and…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=88f2a9efd9ca83ef&fccid=dd616958bd9ddc12&vjs=3
Data Analyst Intern,,PayPal,"San Francisco, CA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=92366616300ca5c8&fccid=978d9fd9799d55a8&vjs=3
Data Labs Analyst Role,,TCS,"Redwood City, CA",,3.8,"Client is looking for Data Labs Analyst with Business & Data Analyst experience, will be important to have Business understanding and how the data will be used…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=44b2f7ac6a97943b&fccid=c78fdfc4443d4537&vjs=3
Research Data Analyst (6256U) 13997,,University of California Berkeley,"Berkeley, CA",,4.2,The purpose of the position is to assist with analysis of assessment and behavior data from big data sources in education such as massive open online courses (e…,21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=5e8d54db76032dd7&fccid=db52f1353185d77b&vjs=3
Senior Data Analyst,,Cognizant Technology Solutions,"Oakland, CA",,3.9,"Have a demonstrated passion for data and working in data-driven organizations.
Provide technical guidance to the team to identify the data source and review…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f57cea5a5036230b&fccid=2df6a1e69a70a1e7&vjs=3
