job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
<<<<<<< HEAD
=======
Provider Data Management Analyst I,,WellCare of North Carolina,"Raleigh, NC",,3.2,"Perform provider data management related activities based on plan and contract specifications and standard business rules – includes data analysis and entry,…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=8fca67b71a03eb15&fccid=5ece327da33e0274&vjs=3
Sales Data Analyst,,Lenovo,"Morrisville, NC",,3.9,Create and maintain rich interactive visualizations through data interpretation and analysis leveraging Qlik and Excel as the primary reporting tools from…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bfdf6e775874f205&fccid=af103eaff391cdf0&vjs=3
Data Analyst Intern - Diversity Programs,$25 an hour,Oracle,"Morrisville, NC",,3.8,Collaborate with our team data management lead to review our current interaction with another team that manages a critical dashboard environment and suggest…,21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9a23d3590bb852eb&fccid=cd22d01053af7669&vjs=3
Business Analyst and Tester,$40 - $45 an hour,"Web Geo Solutions, LLC","Raleigh, NC",Temporarily remote,,"(MS Word, EXCEL, PowerPoint, Visio) and Microsoft Project: 5 years (Preferred).
Solution testing using industry standard tools: 3 years (Preferred).",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1ujRhGt27ypLepxdC_KYBMHIRhtxa2_pAQ1Y057MozteoPe-fPexmWFTXd1qPTSd1kSVMkBwwwOyawiSXk9Hgt_3RkSj3IrM6GKqCfhQt8trjNySwyUgdlfy91Qo8FEP2cK0IqLWYZRSsZxj-saqAPjS7JTQh9d7Sf7JSqZCeDdfz7UzGjtuspPKxL6icU1auSsq-y1H56ok0IeA-H4jifMIBVvhSYtTRmuPUc8RjpGMAk5zUu8iRb7heyhSflaYk1d246ppQgag5yl7MMW2DTzIXj1BLILrB3Uv5TT6fo9RemroHFwjQO7gBbcCw_RMuLWVb9kv9Kr36-aWF2p6j6GaA2ZjvajQarmIl-gVWLCgbAKdJsYei1qd5A3xsxLG-FGzqmEwvZCOGL8f_Ti5b2vlToSNYgxrHsXjbyIwlCMC49MBbNRobizxEhCQTbUlh0474HlaSvYFQqQp4ZAFV&p=3&fvj=1&vjs=3
Data Analyst,,Highlands Talent Group,"Raleigh, NC",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ca020bba7038cafc&fccid=dd616958bd9ddc12&vjs=3
Business Intelligence Analyst II - Epic Clarity Data Model -,,WakeMed,"Raleigh, NC",,3.9,3 Years Information Technology - Systems Analysis In Information Technology - Clarity Data Model And Information Technology - SQL Required - And Information…,Today,2021-01-11,https://www.indeed.com/rc/clk?jk=23f88cae81643547&fccid=a22908577aab5b9e&vjs=3
Data Analyst Intern,,PayPal,"Raleigh, NC",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e29445bef6c84865&fccid=978d9fd9799d55a8&vjs=3
Immunization Data Analyst- NC Division of Public Health,"Up to $60,000 a year",NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Raleigh-Durham, NC",,3.7,"Qualitative data software to analyze and integrate qualitative analysis with quantitative data.
This position will conduct complex projects including the design…",7 days ago,2021-01-11,https://www.indeed.com/company/North-Carolina-Department-of-Health-and-Human-Services/jobs/Immunization-Data-Analyst-0c08283e9195df5d?fccid=457253035593159d&vjs=3
Wage & Hour Case Analyst,"$32,703 - $51,904 a year",State of North Carolina,"Wake County, NC",,3.5,"(10%) This position shall exhibit the following traits; attention-to-detail, efficiency, Integrity, sound judgment, consistency, planning and time management,…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=51ad526c5f0a62df&fccid=679aea3b529f8f45&vjs=3
Data Analyst,,TrialCard,"Morrisville, NC",,3.3,"Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience interpreting data and presenting meaningful…",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9be8e859efb37401&fccid=a3c0f1e0b7ee9420&vjs=3
Data Visualization Analyst,,Pendo,"Raleigh, NC",,,"Identify opportunities to use data and promote data tools that aid in decision making.
A keen understanding of data visualization and reporting best practices.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=db32d7aa68adebd8&fccid=f509aa3fbd6e3bd7&vjs=3
Program/Budget Analyst (Performance),"$65,373 - $117,589 a year",State of North Carolina,"Wake County, NC",,3.5,"Ability to interpret complex financial, budget and programmatic data and information or data sets.
Experience with data query/data management tools (Access, SQL…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=41cf1d948bcb36c9&fccid=679aea3b529f8f45&vjs=3
EDI Analyst,$45 an hour,BuzzClan LLC,"Raleigh, NC",,2.7,"QA and testing: 5 years (Required).
EDI mapping: 5 years (Required).
Identify and facilitate issues with partner data mapping from onset through completion.",Today,2021-01-11,https://www.indeed.com/company/BuzzClan-LLC/jobs/EDI-Analyst-81ada7ee76f973dc?fccid=3c6bf8306202ea22&vjs=3
Data Analyst Internship,,Red Hat Software,"Raleigh, NC",Remote,4.0,"Basic knowledge of data quality and metadata concepts.
Apply your general understanding of data warehousing, cloud computing, business intelligence (BI), data…",19 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=594edbd64e47a6b5&fccid=e24a60f01d1882d1&vjs=3
"Analyst, Data",,LCI,"Durham, NC",,3.3,"Ability to QA and troubleshoot data.
Structure large data sets to find usable information.
Reporting and data visualization skills using preferred software.",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b316e33977994195&fccid=4dec771070b263fc&vjs=3
"Analyst, Data",,LCI,"Durham, NC",,3.3,"Ability to QA and troubleshoot data.
Structure large data sets to find usable information.
Reporting and data visualization skills using preferred software.",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b316e33977994195&fccid=4dec771070b263fc&vjs=3
DATA ANALYST,,Spry Info Solutions,"Raleigh, NC",,,Performs independent and complex functional data analysis for multiple projects supporting several data conversions at one time.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6c0e7fabd52a7858&fccid=d1aff2c5e35408b6&vjs=3
"Data Analyst, Investments",,"Envestnet Asset Management, Inc","Raleigh, NC",,,"Understanding of general landscape for data science and big data opportunities.
Perform data quality and accessibility testing and verification of investment…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f7435c6044459706&fccid=87dce6b3df585505&vjs=3
Strategic Transformation Data Analyst,,Lenovo,"Morrisville, NC",,3.9,"Min. 3-5 years experience in managing complex.
Must Manage a group of complex/cross-functional project as a single ecosystem with co-dependencies and synergies.",20 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a2bdd0e059ecdc6c&fccid=af103eaff391cdf0&vjs=3
