job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
<<<<<<< HEAD
=======
Data Analyst,,Cornershop,"San Francisco, CA",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIV-f6yC3_rLoHzDZqOnOn2RxoEeUL_q7WnsfL1OaC2o8fw_HQTmfPBGFxd5aN4vOAqnNjoEiqMi_CXFp81TKe8s8Skgm_jG5jhrjxGJXrb8KTvEx0zvNnbwgF40X37CawJYflSCDOja_6EFEF1CDxqvAikYmySxsiyEdrRI1hdjjE8AoRWs33QUX8T8njA90hEq734CuMSp5HsTEyeC1ABDRMhowIHC2dsmcqdW7pmyZXKrDlPdBO9Dwa2-XYvgYlFydPH2TQN0LxV3F34jbjjnPvIYTRhULDHFa98cD1RiaY1yr6qAh1cBTxvESRuaJB7_UHupqrU9HBRhmmcwzPlgkjG5iCc5vytiaOkluMdTcHHOGXfDWslnzxl6ZPa5nAxHkyE5oCJMV&p=0&fvj=1&vjs=3
Data Analyst,,Mighty Networks,"San Francisco Bay Area, CA",,,"Build scripts that will make our data evaluation process more flexible or scalable across data sets.
Create and maintain rich interactive visualizations through…",Today,2021-01-11,https://www.indeed.com/company/Mighty-Networks/jobs/Data-Analyst-84aa1185c5e40333?fccid=251c57e5708f4cee&vjs=3
Data Analyst - Entry Level,"$31,775 - $60,684 a year",MT Global,"San Francisco, CA",,,"Providing technical expertise on data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…",6 days ago,2021-01-11,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-a4e304edd0876058?fccid=538f9ae95cd3fbad&vjs=3
Data Analyst,,Spin Electric Scooters,"San Francisco, CA",Remote,3.1,"Minimum of 5 (3 with advanced degree) years of relevant experience in data science or analytics role.
Analyze data and develop data models to enable self-serve…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d6511ae79828133b&fccid=2166988d55803caf&vjs=3
Data Analyst Intern,,PayPal,"San Francisco, CA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=92366616300ca5c8&fccid=978d9fd9799d55a8&vjs=3
Data Analyst - Operations,,Spin,"San Francisco, CA",Remote,3.1,"Minimum of 5 (3 with advanced degree) years of relevant experience in data science or analytics role.
Analyze data and develop data models to enable self-serve…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=df45a2405270fa43&fccid=2166988d55803caf&vjs=3
Data Analyst - Revenue Intelligence,,Twitter,"San Francisco, CA",,4.1,"Advanced experience with SQL and pulling data from relational databases.
Simplify complex problems & huge data sets to extract non-obvious insights.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2718373a635ce34a&fccid=7a3824693ee1074b&vjs=3
Data Analyst,$45 - $55 an hour,Infologitech India pvt Ltd,"San Francisco, CA",Temporarily remote,,"Must have banking experience and must work from San Francisco by June of 2021.
Experience with Fiserve Total Vision or Fidelity IBS system should be in profile.",13 days ago,2021-01-11,https://www.indeed.com/company/Infologitech-India-pvt-Ltd/jobs/Data-Analyst-7a054305e55a62b3?fccid=3d343ff32bd95bfa&vjs=3
Survey Data Analyst,,Change Research,"San Francisco, CA",,4.5,"Able to explain data and numbers in simple language.
Consult with clients about how the data answers their questions.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=cafc44e9f9a4ce47&fccid=4376208985ead045&vjs=3
Administrative Assistant / Data Analyst Supporting the DEA,,Forfeiture Support Associates,"San Francisco, CA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",27 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2770dbf0bcb5d6bb&fccid=8ce3cf8e1e3ddd14&vjs=3
Entry level Business Analyst,,Logos Infotech Inc,"San Francisco, CA",,,As a Business Analyst in IT Gathering Business Requirements from the client/Customer Interact with clients to understand and capture their functional and…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=88f2a9efd9ca83ef&fccid=dd616958bd9ddc12&vjs=3
Data Analyst and Applications Specialist,,G4S,"San Francisco, CA",,3.4,"Must possess a minimum of three (3) years of experience in tools development and/or data analysis.
The GSOC Data Analyst and Applications Specialist designs and…",10 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=172fe1c075755ff1&fccid=95fcff06e59f4033&vjs=3
Data Analyst / Business Analyst,,Hash Technologies,"San Francisco, CA",,,"Knowledge on writing DED (Data Exchange Documents) and providing details on data sharing.
Experience in writing effective Functional requirement Specification …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=72f4cc32ad05bdb1&fccid=7c5db915f3edb312&vjs=3
Research Data Analyst,"$5,875 - $6,505 a month",Sequoia Foundation,"Richmond, CA",Temporarily remote,,"Carry out data cleaning and descriptive analyses; summarize data runs and analyses.
Two or more years of prior work experience with health data analyses or…",4 days ago,2021-01-11,https://www.indeed.com/company/Sequoia-Foundation/jobs/Research-Data-Analyst-506b1e27832b00c8?fccid=905f0ff8819d646e&vjs=3
Data Analyst,,Rocketship Public Schools,"Redwood City, CA",,3.0,"The Analytics team at Rocketship drives strategic decision-making across the organization by building scalable data systems, providing accurate and accessible…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=067852a334da6722&fccid=3aefb7a816fffc96&vjs=3
Data Analyst,,Rocketship Public Schools,"Redwood City, CA",,3.0,"The Analytics team at Rocketship drives strategic decision-making across the organization by building scalable data systems, providing accurate and accessible…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=067852a334da6722&fccid=3aefb7a816fffc96&vjs=3
Data Labs Analyst Role,,TCS,"Redwood City, CA",,3.8,"Client is looking for Data Labs Analyst with Business & Data Analyst experience, will be important to have Business understanding and how the data will be used…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=44b2f7ac6a97943b&fccid=c78fdfc4443d4537&vjs=3
Data Analyst,,Beekeeper Marketing,"San Francisco, CA",Remote,,"Maintain internal data sources including: creating templates and forms for data collection, assisting with cleansing data, validating data, troubleshooting and…",28 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=aaa6dc813c3be401&fccid=e1faf0b05de5643c&vjs=3
Data Analyst,,Pocket Gems,"San Francisco, CA",,3.1,"You'll influence every decision that we make, from game design to marketing to finance.
Deployed systems to monitor player satisfaction with our games.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6a745d92a7d1832e&fccid=687134d04f99a767&vjs=3
Data Analyst (SEO),,NerdWallet,"San Francisco, CA",Remote,3.9,"NerdWallet is seeking a data-driven and analytical professional for our Data Analytics team.
This individual will focus on providing digital data solutions and…",27 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6867c1512e2df0b7&fccid=46408d807c2416ce&vjs=3
