job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzEyXt9_BlfyFiqO4WUn3FwrvGwYUcl4SFrog_LQDE106pK8kIAhO3OWddeD6R-GFflB7u54Ua1yH4nw-Xq51h0v1HIjZcjfTCElnurPkBOhn8P9Q8gt_ykxtkKFFxpIZYLooSzvgzmmGI9YU174ORAKox0YLs6efiHMvfzS4TRFKsHOhMCsEYQS9GXhB5B3YAz0-I13xcEc3hnkyOgUZBW1gFmUKgwDIle3gCczZSJLU1Us50wY2sF_W6GVvsEuOIZwszrf8pqwmnb_sbM3V-ezCqkoVMHWMHZhtsOfYqgypFbQqx3v7mzOfdSDk5ENLYhoxA957oK6jPLf2kWx1SNeiag-CQwHDEw==&p=0&fvj=0&vjs=3
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRfYC1WoIc4ggeWOVUg_uYo82uBRre9cz9OWzWcCn6uHe7MIs_BpbN-PahL4VPJnNoksIfnjybcoWqXDWRMHFx7eGTaG_Mt1iLiJYqMTQ-sx0UnqNOj-ClR7TSp0C1tsysjOHFIMnikFmjNIpXy9jBTIMfB2iKLGzUxbG8sMqJbnMiuaYoVn0anGslDmcEzrz2A8SWaa9pG42DLVNRiGj_KQ5D7nxCSMEpV6BzywGD98arC7bLTiFVwmHHYjsHIXjKWp3mnhwQPcEVXph_uHheg5mta6OcoK7wkJdf_92aYISozbM_6_leb4uPAvpl6ezgcUJX8ZUpuZzQB1y11F7UkqKiqLMQaPrEl-pzwqxvZ9M-MSgNfBtd4h3Ys7ik9mXu7QYqNqGb87o9g_YPyfQDmw==&p=1&fvj=0&vjs=3
Data Analyst Intern,,Cadent,"San Jose, CA",Remote,3.1,"SQL – need to write queries to retrieve data from different data stores, a good understanding of SQL is a must.",8 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f481e289d150a57e&fccid=760d03f6c6eab030&vjs=3
Data Maintenance and Operations Analyst,,Accenture,"San Jose, CA",,4.0,Support data integrity and automations efforts for GCM data steward strategic initiatives to automate and update non bid and obsolete part information in master…,3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f246a5a1522b5482&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global US INC.,"Santa Clara, CA",Remote,,"Provide seamless and timely data access for your users.
Debate data processing philosophies and methodologies with your team.
Build reliable and dependable ETL.",28 days ago,2021-01-11,https://www.indeed.com/company/MT-Global-US-INC./jobs/Data-Analyst-c4dc233a5e4a414b?fccid=dd616958bd9ddc12&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst,$45 - $50 an hour,SSIT Inc,"San Jose, CA",,,"3-5 years of business experience ·.
Must have worked with Cisco before and have experience with Install base.*.
Business & Data Analysis of Cisco Install Base.",26 days ago,2021-01-11,https://www.indeed.com/company/SSIT-INC/jobs/Data-Analyst-d8e4a55265b8ba2c?fccid=e79bc7bc609e2575&vjs=3
Data Analyst Intern,,eBay Inc.,"San Jose, CA",,3.9,The Intern will also work with business owners and analyst teams in other parts of the eBay Marketplaces business to help them understand the impact their teams…,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2933005420ad8adb&fccid=0da3ed18c20a248d&vjs=3
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
Analyst - Wallet & Apple Pay - Growth Strategy & Planning,,Apple,"Santa Clara Valley, CA",,4.2,"At least 2-3 yrs experience working as a data/business analyst or related role.
Work closely with key functions such Finance, Humane Resource and Facilities to…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f39f4820ecaf6d8d&fccid=c1099851e9794854&vjs=3
