job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzCd6I7pUmSOvlkh4FppTYqSxtTpbZdZF-4idG1h2pK2ttvkBVdY_kHeaKKZ6b4CnkeHLfQPujkbO8Xp_b6YyzW8LDd0PNhYfT_xU6nHLd5UgSdvWruwIdFiEMDPZkWi7lHIZ3HFyFJnoTt3WYRCmH_Ld_oC3WRvwaDKa3-UfbACjXKxlaN6gQOxznkwvj_aSzSYI6uWAHqUVB1WmYvpQboBuO722KjGps-km9kW5T8J9ZuPgzJJx0cGHoqwITlzJDWwHzcKa7sGftgbYtGksnHceFUiLcE1k3pr8N9DvoAJnkCsPR-F8eD3-PPmWeQ-Fu1oriewXR5rBf3warzkMQh0lWiPN-8w0qw==&p=0&fvj=0&vjs=3
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRWsmmE06ZZcZ7_CHPgIxgnFxxy2C39v9xFhMsfcNvHdV-ka3iSIbm67fulYR3RzXI52cl7ojqASVtEfiMLg2afEGqiXpzX4h03l3_M2nKhMCh7KNBc-7DOUGZ923h0Fxid1zT668AHEKHFvhZSDGEeIvXRorRCfEiiCjAKIuUebv4irEz1ZxBN7peWupTzOOyMhGqBOvnVSncAURwII9ZiRcIQWAKOcPwrAUBrtiBUiB3c5oL7IEPXyfMW_sKSmnS9YWMs7osgsoUem2eBecp1jKYpOUX90J8Mf1sc0kMz01ohHXSkuZvkvT4k4l9tEW3zl5Dvn_N4bhdLGevyScSY-osislSUbDBjxjVFTn6vwkBQGrBJSGaR47N7Y1hENOPsm4X5a4sZ2nBYLdTyMSYFGfZlkdHj3iS&p=1&fvj=0&vjs=3
Data Analyst,,"Raybeam, Inc.","Mountain View, CA",Temporarily remote,,"4+ years of discovery and assessment of a client’s data portfolio, data tools, and data applications.
Ability to manage a data ecosystem including ETL, data…",Today,2021-01-11,"https://www.indeed.com/company/Raybeam,-Inc./jobs/Data-Analyst-e74cff7ad6109d6b?fccid=8641f0a5fda917ff&vjs=3"
Data Analyst (SQL),$32 - $42 an hour,TargetCW,"Mountain View, CA",Remote,3.7,"5yrs Data Analyst experience- preferably working with sales teams and sales data.
Bringing quantitative sales data to life by identifying trends and developing…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6TktYCN0VG50lat1bxG6ZYGRoV5Av1OVF6J5hGgtfkbuLupBOf1hB4AfOK0qYtBftw6-7s2seqOWMpGSAl_gW4BMITgqifDX_tPUWki7c9YbD0brx1LnHwE1U3wvRC9Yjmyd9_Nj7eLs6-ygXlbevP9tb5bt_gEWWfiF-7U2Nv1VnYuXzc7VOW3DyEK6u1RQVOx0_zeqgmP-8wZAs4TAocbW750PJIqEkib2k0PHsgLkzIcGFD7-brdHW6ItLoWsh9JHj5y-HR9GZiok0nDNOdTMgqeN7xHlbFrU1jH6rh5fmNkixTRVwTp1ShXKkZaR0Cfixqn4j6PbsT_piq9vseWJNLP47D9xvuDIFjcmHmtMACBgmbq8p2n-z6wkWsUbPmfwPLhV-HQ_EZWSQKYExw1jEOtwD8H4a5bmKQi6MaTJreyQvvFd2RhHvuiMgx9FZ-bcNgk17L_xdPaW1o4owf0uMZanLjekmH1WBAo8VS0X73lPJamy6GntZZZb0EuKPuExv_X4hWNpNOPYxCt_aen8sTe8Maovs4badtn1KSMDYbnVE-lw5zPcj4vPNguXGw0ShfVI_6seUnCehB6L4q9Vq3FVgMbHRRTuLrFV5F6R_U9DG81IpOlg_J37NMies56zzvHfN-0XYfbgDnrt43nWh722Vwvk8jHcfcQ7pANoZNnczfbyW35nB9K0QV64=&p=3&fvj=0&vjs=3
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
Data Analyst Intern,,Cadent,"San Jose, CA",Remote,3.1,"SQL – need to write queries to retrieve data from different data stores, a good understanding of SQL is a must.",8 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f481e289d150a57e&fccid=760d03f6c6eab030&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global US INC.,"Santa Clara, CA",Remote,,"Provide seamless and timely data access for your users.
Debate data processing philosophies and methodologies with your team.
Build reliable and dependable ETL.",28 days ago,2021-01-11,https://www.indeed.com/company/MT-Global-US-INC./jobs/Data-Analyst-c4dc233a5e4a414b?fccid=dd616958bd9ddc12&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global,"San Jose, CA",,,"\* Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",20 days ago,2021-01-11,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-9e6fc0589d57a586?fccid=538f9ae95cd3fbad&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst - : 21-00062,,Akraya Inc.,"San Jose, CA",Temporarily remote,3.7,Management of large amounts of data is a must as well as the ability to summarize it in a clean and impactful presentation format.,3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d8811f9899650e47&fccid=474b9602e1305593&vjs=3
