job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
<<<<<<< HEAD
=======
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRJCT1nk4sHgLI1bXuYSo8f9I3O6StDuP7iJc0TzQRzkkPUAreeyBufXG7M45KZZJpIw4HmkQakj0JsD0M7kbdBxIEdTAzFYrMARbP9a4OtgcWwlfNMz6MlXy2I1mAyg2t4Co9YXXK7FqUZURm6Kuyq_o0WlXNNhXkNOf5ZKcJH6tL26RmEAr1dXWDqppomeiHIESoMdpzHEn8G-yicTOoCrzXuyL9KVNe6oDtv_QnRt9eQAdbq-YKioXu4VNkEZhGlK-L9p2SyBNWbRAmQJ-UMFrxifQ_wmHVSkPauUnaut6H3TAmu9auKvbkCj1N4c30yTtmCj728HGVDW53iuRJOb_YFxZLH3XHaZHsPmTb7RJlN4zxZg9mlEeSsvj5Iqbe68LQBxs_Uhs3nxflI-QFHw==&p=0&fvj=0&vjs=3
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzKLWsGEsZyAElJPFt-vxWrn2jLo8M8HdPz2tKi6fRksuK63D5GTKr0zZ9mihdjHopbgrIpvT2S9CT4AEjU644c6R9_Ro-9c0zkBICA1jXZirip6nmoLrRwiI7Zu4bAVjyYzscV-lS6psmsBhFS_kcCpzu-teYGBSeeMx-Z_zugReqCAcKRdEPZKmPRvi14GMtQ-RTaSvMGdxSucnmC038uvlxE2-CHg5_s5LgEdse5bsaPwessqvgY0PrbGHn74y0fSDRa8Ib8BxLAjSqpsvfL5tuqKWj8INpnNZ6k8qp0Nr1hiCSzirSjc-8p8OgzenycV0pSNioB0t1sNmf0Ap0ero23zFhBUpcA==&p=1&fvj=0&vjs=3
Data Analyst (SQL),$32 - $42 an hour,TargetCW,"Mountain View, CA",Remote,3.7,"5yrs Data Analyst experience- preferably working with sales teams and sales data.
Bringing quantitative sales data to life by identifying trends and developing…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6TktYCN0VG50lat1bxG6ZYGRoV5Av1OVF6J5hGgtfkbuLupBOf1hB4AfOK0qYtBftw6-7s2seqOWMpGSAl_gW4BMITgqifDX_tPUWki7c9YbD0brx1LnHwE1U3wvRC9Yjmyd9_Nj7eLs6-ygXlbevP9tb5bt_gEWWfiF-7U2Nv1VnYuXzc7VOW3DyEK6u1RQVOx0_zeqgmFwELlpTPA-8P_8qur60eBL1AI57AVG3LVIO1hZYvwNIsCTZTsZtszCXROxMH1PAKUSUBP7u2eio8e1SYHN2Hu1832VFFhsN_caUasXYTXc8yb1pFFB2v1aSLfihCBuKD5IkLyV9_IFafDPMKMBTZU8UG5od0CjWuFEL249I_q-AgaoLNBKu_7xBB8wEPArkBUgE93niv4IZcth-7OSkCJwmg174p4lSr6e2DvLLbqwDoKqPSXY-0qM6o8W4eM5lj_clSNjj0ZHVkIIt33QuPOn0xVvi8PWJvHQfbVYNOnVJE6ypQIcVFQC9-BxKIkfkCPh2jv-0NxcGAF8KsS1eg_JRKsAlhGDXx9fwspHGYOmT2vFubK_PRO3tk_PCjHn0PZta4m4cbfhOucrjDUfJmvhAcpvJ9o6k3uvkysfkbeWeQWlxtDE5Gge2LdYWl11GU-Rtfs7U-MITi9yqWHW3AIP2VVT-vFU8O8NLhASWSmZN&p=2&fvj=0&vjs=3
Data Analyst,,"Raybeam, Inc.","Mountain View, CA",Temporarily remote,,"4+ years of discovery and assessment of a client’s data portfolio, data tools, and data applications.
Ability to manage a data ecosystem including ETL, data…",Today,2021-01-11,"https://www.indeed.com/company/Raybeam,-Inc./jobs/Data-Analyst-e74cff7ad6109d6b?fccid=8641f0a5fda917ff&vjs=3"
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst Intern,,Cadent,"San Jose, CA",Remote,3.1,"SQL – need to write queries to retrieve data from different data stores, a good understanding of SQL is a must.",8 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f481e289d150a57e&fccid=760d03f6c6eab030&vjs=3
Data Analyst,,Apple,"Santa Clara Valley, CA",,4.2,"5+ years experience as a data analyst or data scientist.
This includes analyzing input data sources, measuring data quality impact, identifying data anomalies,…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c956f94fc0f387e2&fccid=c1099851e9794854&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global US INC.,"Santa Clara, CA",Remote,,"Provide seamless and timely data access for your users.
Debate data processing philosophies and methodologies with your team.
Build reliable and dependable ETL.",28 days ago,2021-01-11,https://www.indeed.com/company/MT-Global-US-INC./jobs/Data-Analyst-c4dc233a5e4a414b?fccid=dd616958bd9ddc12&vjs=3
Data Analyst with SQL,,"Infinity Consulting Solutions, Inc.","Mountain View, CA",Remote,,"Experienced using SQL to query, analyze and present data.
Conduct hands on data mining and analysis to identify issues and improve operational processes.",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=08444952d9fb7097&fccid=95eedc2455f7362c&vjs=3
Data Analyst - : 21-00062,,Akraya Inc.,"San Jose, CA",Temporarily remote,3.7,Management of large amounts of data is a must as well as the ability to summarize it in a clean and impactful presentation format.,3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d8811f9899650e47&fccid=474b9602e1305593&vjs=3
