job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Entry/Data Breach Analyst,$18 an hour,Epiq,"Washington, DC",Remote,,"Pay Rate: $18/hour for data analysts.
The projects will entail identifying documents that contain protected information, extracting that information from the…",3 days ago,2021-01-11,https://www.indeed.com/company/Epiq/jobs/Data-Entry-Data-Breach-Analyst-bc256253bd0f432d?fccid=ebf23bbbbce8a13d&vjs=3
Data Entry Clerk/Data Analyst REMOTE 100%,,The Admiral James J. Carey Foundation,"Alexandria, VA",Remote,,"Ensuring data is backed up.
Storing hard copies of data in an organized manner to optimize retrieval.
The Data Entry Clerk will capture the data into relevant…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=4edbe3e9dfb1ba21&fccid=dd81c8f3d9ea9742&vjs=3
Data Analyst,"$94,858 - $122,227 a year",Government of the District of Columbia,"Washington, DC",,3.6,"Specifically, the incumbent ensures coordination and consistency among health care and reimbursement policies developed by various Administrations within DHCF,…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=1ca34a428ee2da10&fccid=cb8355041fe4a920&vjs=3
Data Analyst,"$55,000 - $100,000 a year",Enovational,"Washington, DC",Temporarily remote,,"Support solutioning teams in data-driven prototyping with a foundation of understanding and directional information.
Temporarily due to COVID-19.",3 days ago,2021-01-11,https://www.indeed.com/company/Enovational/jobs/Data-Analyst-6b35930e49cec5ae?fccid=bfd39a22f5a3f511&vjs=3
Data Analyst,"$107,000 - $124,000 a year","Zane Networks, LLC","Washington, DC",Temporarily remote,4.3,"2-5 years’ experience in business/data analysis.
The data analyst will collaborate with customers at all levels of the organization to define objectives…",24 days ago,2021-01-11,"https://www.indeed.com/company/Zane-Networks,-LLC/jobs/Data-Analyst-a33ca7e981ab20b4?fccid=8cf7ff6faac3408b&vjs=3"
Risk Data Analyst,"$72,750 - $94,581 a year",US Other Agencies and Independent Organizations,"Washington, DC",Remote,3.8,"Assist with data collection to include conducting analysis, trending, forecasting and interpretation of data.
Must be a U.S. Citizen or National.",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=7548bca9e26e1ba8&fccid=0e7e5fe9219fd5cd&vjs=3
Entry Level Business Analyst,"$63,000 - $73,000 a year",Dhatronictech,"Washington, DC",Temporarily remote,,"Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",3 days ago,2021-01-11,https://www.indeed.com/company/Dhatronictech/jobs/Entry-Level-Business-Analyst-a30b5317efb7e457?fccid=2ab83a6f82c0e82b&vjs=3
Data Entry Analyst,,Sanford Federal,"Washington, DC",,,"Experience with databases, ability to understand relational data, as well as interpretation of related data.
Supervise interns to assist with data entry.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d6473bd0a2dcf740&fccid=e60cb8fc5af3821e&vjs=3
Data Analyst,,Universal Service Administrative Company,"Washington, DC",,3.3,You have 3 or more years of experience researching and analyzing system data to create valuable reports and actionable insights.,6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b9c48ff844ef4438&fccid=9e86341e0d2c493d&vjs=3
Data Analyst,,NPR,"Washington, DC",,3.9,"Demonstrated data analysis, data interpretation and troubleshooting skills.
Training in data visualization is a plus.",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=cabdfa28a657875a&fccid=15d9afdbc1e1cdf0&vjs=3
