job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Business/Data Analyst,"$50,000 - $75,000 a year",Creative Materials Corporation,"Albany, NY",Remote,3.3,"5 years of hands-on experience as a Business Systems Analyst delivering cutting edge technology and/or software applications.
Perform product demos as needed.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWyNtCeOwJl6tfW8bemCpmLkaacLtf7ZThGsngtSKLgZ1wv0Rz-ADLw2sIBU6C2hv0Zm86HTHTrxB_D4rNYimPq2vS9X-lW-nRwUSf0SARcGAp1wWish8fLTNiOCpPfrVjsuoc6tPsjMvf_yZmstrf-9J_zZmyoc6OKzoogTqBMTfrj4V1LfocS72q0bjdq9qrZFTKV67f_on9dxwr7MFo2g-7n3dIDfGpHm2SQPbFlb7Bt9WusOl6u2jOlR7kYrvNdDgYvJqcwnLE7i05J2a-zJBhYs3SmXalhnOMwYuDnWhqGIkf4lKzKoB_EdhTqGrjFuhRrWFHedA6Qrn5vSdgntwN4zQEAGi_YZG80b4uiuD9BQF4GKUOE3G_bGIWLc9YhwjiFrLR_2Vc1V1wVtrOgnIhLWhcyc5TMhYolxDFrgg4-K22k4kSacwoxf-IPmQ=&p=0&fvj=1&vjs=3
Assistant Data Analyst,"$30,000 - $40,000 a year",New York State Senate,"Albany, NY",,4.1,"Microsoft Excel: 5 years (Required).
Position to include formatting and processing of large delimited data files for importing into multiple customer databases.",11 days ago,2021-01-15,https://www.indeed.com/company/New-York-State-Senate/jobs/Assistant-Data-Analyst-28c0fd56fd567cdf?fccid=d991d95e8fa13b5f&vjs=3
Healthcare Data Analyst Intern,,3M,"Albany, NY",Remote,4.0,"Conducting data quality assurance activities, including the identification and resolution of data errors.
Working with data analysts and healthcare consultants…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d58584445e7bc9ef&fccid=595d42593839d3a2&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBsp0V6Mveo8FdiSWFtDgswTZxOqYnqSmSQFquq7iXhVOFc0TAg4P_2kA8PGBdJFpjV-_FbBVbFQB6aBdfL8IDja-EGKPQ--oy-jHxe_e6VuOgD2vQSSY7bUr2H-_pmSt2EMuaSu2WuTfPFWHNT6ykil882K9a9KBJiEjC3GtY4exEfzjZYBirIhLqa_HqlI5ZimOfBBGopuvOcelHcgsMErgjdjIMQE24e_9-CMsRObCKj3ytHXymoHC3Hd4hCNF-E8Hj73Tl1ehv1Bir_1Q2Gg==&p=3&fvj=1&vjs=3
Data Analyst,"$50,000 - $65,000 a year",New York State Bar Association,"Albany, NY",,3.9,"Minimum qualifications include a bachelor’s degree in math, statistics or related field and a minimum of 1 to 2 years proven work experience as a data analyst.",23 days ago,2021-01-15,https://www.indeed.com/company/New-York-State-Bar-Association/jobs/Data-Analyst-938a03f819a2dd8c?fccid=cbda74d6c8fac2e7&vjs=3
EDI Data Reporting Analyst,,Versant Health,"Albany, NY",,2.2,"Reconcile outbound data files against supporting detail (i.e., billing invoice data).
Participate in the development of data warehouse’s, data stores and other…",2 days ago,2021-01-15,https://www.indeed.com/company/Versant-Health/jobs/EDI-Data-Reporting-Analyst-998271c5e18b6e0a?fccid=c060d0df634ace82&vjs=3
Data Manager/Research Analyst- Office of Community Colleges and Education Pipeline- Albany,,State University of New York at Albany Research Fo...,"Albany, NY",,4.2,"Assist in managing the data collection activities for SUNY Achieve, including working with SUNY's Institutional Research office to leverage the data provided by…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c1dce09188c2a238&fccid=eb2090c180c91a49&vjs=3
Business Analyst,"$67,000 - $75,000 a year",Harris Computer,"Albany, NY",,3.3,"Experience with reporting and data analysis.
Very high attention to detail.
Participate in needs assessment discussions and gather pertinent data to build the…",1 day ago,2021-01-15,https://www.indeed.com/company/Harris-Computer-Systems/jobs/Business-Analyst-b6bee920c1877fc7?fccid=c7a4f45e467435a8&vjs=3
Data Analyst,,NYSTEC,"Albany, NY",,3.8,"A minimum of a bachelor’s degree with at least 3 years of related experience in data analysis is required.
Provide data analysis support for the unit.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99f28281fa823a3a&fccid=836180483b1c4ec6&vjs=3
Business Analyst,$35 - $75 an hour,"Ann Enterprises, Inc. (dba AnnSolutions.com)","Rensselaer, NY",,,"Pulling and formatting data reports.
Assist districts and agencies in troubleshooting data-related issues.
Provide continued support to districts and agencies…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15d4db939be3b9f4&fccid=57670cb09bfce0e3&vjs=3
