job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Open Source Intelligence Analyst,$19.50 an hour,RivenRock Staffing,"Albuquerque, NM",,4.4,RivenRock Staffing has several openings for an OSINT Specialists. These are full time positions working 12 hour shifts. Pay rate is $19.50 per hour. …,6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BENvSvDMM2mpK5TKp5CxMby6gYc18yfIm6vgDu-QtljDJqe1mVQN_EODetWhlJwQlhUks8I85PBryYGEi-Oiib9J6VBsorUFdrMQrPwCx0-GiGuXWHztsA8DBXbnez4VG4Qvc8W6Nc3uAbk3voIDdiHsdz3jEDf1z_79MaE2WbJOrDeuXOgz7P6OVSeI8AzuNfStXnlrH4-fn-la_agTiV9EsCpT1LhxeexuTPMHOxlBzheUiu_enHFZ7EPH0Jg3holoVP8q7nFD4Z0_HJ8zzDFV2iJU5AV9jsxMDbCE77GgS85RqD93ni39YkzPnHPH3sEtF3fs19jhee9_nPmKyvOVC_Xiv7LT_Kui1kbWckHxTu-eZSVD8cWtqOu_L7kwqi-NTX2aP0EuW5XCJZnc2wJDVzUtaBzPJdNX9r3ekaTTaQuiN9a97X3hk8c1g6S9K3-EYlW5dKyh3uFrgaGqBZbgZQBS5DM38=&p=0&fvj=1&vjs=3
Data Analyst,"$30,518 - $53,101 a year",State of New Mexico,"Albuquerque, NM",,3.6,"Salary $14.67 - $25.53 Hourly $30,518 - $53,101 Annually This position is a Pay Band 60 Purpose of Position This job exist to provide the requester such…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76e5a3a8e2a4ba03&fccid=09ed896583ff5570&vjs=3
Digital Marketing Account Manager / Analyst,,Working Planet,United States,Remote,,We manage tens of millions in digital ad spend annually in the pursuit of achieving record growth for our clients. That growth means we are always looking…,11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Acoo2VZ8GnehhebgIXynqvgmRCbQrAddhK5J9b1Wg-O7rBF9dm3robGPsPvK2_Xq_P1i8jMdWdLQ8Gk09IhiFiSvzsX1G1YONeGoO2PFFPY0w37hVj4uzzHTuZDUuwncvNxsWKGNj0ZxOogA_W_TnX2RkfjzNlAKeLoFDwgHdoAEGbDniQaqfEbKggsTZOOelAe889M28rcfD91D8LygLYBGZ_ucrdASvTgZ-pZeauei8vyNp5Aqmq1dPeSl4jyQQO0KqMDTDTqf_kPUb7_UxS5TrtCAs_AX3wDfccmDqmx0dWRVbfxEcPt_sx2n6uDffp7gOY7ogclJv_qMH276UsWoJ8MZXv2vlrRl2fP6Wxe_KrFeQVKG1vAr7eXKChS9nwGYSOFftbDHSqXV5iuFwVkV8vfqMzKoxZoPU2YXVIRihDJiEB0vNiNstjlYv8GRRfZKNZkSXGSyHmnuPIeddRWyTZb0_lltpMhUL1WKzDFQ==&p=2&fvj=1&vjs=3
Data Analyst,$14.09 - $20.43 an hour,University of New Mexico,"Albuquerque, NM",,4.1,"Requisition ID req14339 Working Title Data Analyst Position Grade 10 Position Summary The UNM Early Childhood Services Center, Database Services team is…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=05a2fac8b3a6f4cf&fccid=2f87a7abe4cc3c5b&vjs=3
Rate Review Data Analyst [OSI #10112566],"$37,538 - $65,316 a year",State of New Mexico,"Albuquerque, NM",,3.6,"Salary $18.05 - $31.40 Hourly $37,538 - $65,316 Annually This position is a Pay Band 70 Purpose of Position This posting will be used for on-going…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e59c7ca72c186ceb&fccid=09ed896583ff5570&vjs=3
Data Analyst,,FIRST CHOICE COMMUNITY HEALTHCARE,"Albuquerque, NM",,3.7,"Under the supervision of the Chief Operations Officer, perform clinical, financial and/or operational data extraction and reporting to generate information…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=193bc5bccb1edd28&fccid=e2749763056f823a&vjs=3
Program Analyst,"$53,770 - $101,373 a year",US Department of Energy,"Albuquerque, NM",Remote,4.2,Duties Summary The successful candidate in this position will serve as the Program Analyst who is responsible for multiple personnel security program areas…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b952e07ba09b104&fccid=672f70463e8dc57c&vjs=3
Business Analyst,$35 - $100 an hour,Extreme Data Technologies,"Albuquerque, NM",,,Extreme Data Technologies (XDT) is currently seeking experienced Business Analyst to support the Department of Interior (DOI) Office of Information Management…,8 days ago,2021-01-15,https://www.indeed.com/company/Extreme-Data-Technologies/jobs/Business-Analyst-3ffd37e51c9631cb?fccid=b382a5371eb80f96&vjs=3
DATA ANALYST,,Presbyterian Healthcare Services,"Albuquerque, NM",,3.4,"Overview: Job Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days Summary: Perform data research, analysis, prepare…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8b729564e8f5112b&fccid=2faa77e8dc712650&vjs=3
Sr. Safety Data and Systems Analyst,"$67,996 - $91,795 a year","PNM Resources, Inc","Albuquerque, NM",,3.8,"Safety is a core business value, and part of a strong safety program is data driven approach to identifying and managing risks. Responsible for the timely,…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=12974b8d25775798&fccid=65f120e244aba589&vjs=3
