job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
HR Coordinator / Data Analyst,$14 - $17 an hour,McDonald's Restaurants - Ann Arbor Area and Metro Detroit,"Ann Arbor, MI",,,"This position is also responsible for daily, weekly and monthly reporting of key performance indicators and developing reporting tools to communicate any…",12 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfEqYB6_RUcoQzlUwHTk009qNHt4r8rR-1m3e2VyMEkMZBOAUuUZN_d_QtGWWfIBe2V44BMpXx0dVGuux2sdf78oA3IkTc2AiSdraiZuOy-_C-4-_0rMcBHyYOhrYBtyjtxKOQryXh5knVSXyTmAzczYicJZCCgaBYh23RD-H1iTUY6CYGKwICTmVuL5z-uVZv6oY6TCnY8fxIkgFwuecpFbuvdOMriU-4-WeFpATO2VjsGghe-s6_yKGvIiOG1U6m6km7CIE8eGWxMZNU3-fUraLjEddh2G8M--7YJhltI1GZl8Trnhuv8LrdEGc3eTOMgYHwRXsOwpQ1fsyfpEkOAEha3IPYU_mBYLFtUPcQVJnRdFFfwELTzNgiRZe4lYMQZYbJ9gSysyewasMwbdnwnmK6ADc9bVE_GGmUhKuMoZ62HR4NFGUTGQe9XhCBCOC2WmRhLWKNsyWbiEF04rzu&p=0&fvj=1&vjs=3
Benefits Analyst,,Altarum Institute,"Ann Arbor, MI",,3.4,Analyze data and compile reports using data from multiple sources to provide insight to management for strategic benefits planning and evaluation.,7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXke8Yl595dYmm7mVNG-qVXvRBRjVPT3ZVhEyuDwPYq2GrNsVeOYxaFHpyQpLLP3d9ENoYDXy_FVnO1nxm_F8C6jmQQTd3mbaqmc63q85A8WK67XJjk2o1d1IPQTgHZ2379RuoW3WTrbUE-gTDHTAzRv-JRHKRdV86ebmNzXo-4FPnk2qXKi78qNRwnJgiqTIjB3zRZaUfpcRzpfQEgVpemfVWxx-o17gwy419UOOZkyc-8zgnvXvRKVQwQfd1rbDbOyLWKIdU0oU4L5Hp4_fY_MHpvG3Wyy6dpN5zKLMQCNYRH2wJ9HbueaMiWYauKeYKPNRDrwOqSk2k9ZVAFzevQlE6-mTLonzJOc8XLzZ6oWFXyV7rRqjNAmA_mHIDSMDx7NWC1xzaqL4fOGj02mjXfjzxfgSzGpsAL4iPYYvlnkbh-9XHZZVqHBFp20sKBl5gkMYJkFHb7bERq1PFwC5fOZjbn0_eGBkEj_F23pQSXYHWoYHAXFTuS53at9hf5flnQr_xOV-F5cRXVlyqwye8Pd43xEEFEt0eYx3G7bynq9YKiR5FB-89irEUW20e2sCVaR9yw6LEd_yiXFT-fThUmEPzrdqAEwO6S-HMKLj6bKJpPNlhQVuyRpoUWBmxWH9PR2GGYj01pCjJk7xCYBlzhIfQa2jnrvA=&p=1&fvj=0&vjs=3
Data Analyst,"$41,600 - $45,760 a year",University of Michigan,"Ann Arbor, MI",,4.3,"Work with structured EMR data to define appropriate data features.
Identify programmatic or data issues and build solutions.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7a2d7446301c63b0&fccid=46c847dc877cedc2&vjs=3
Data Analyst,,Michigan Primary Care Association,Michigan,,,"Analyzing health care data and data trends.
A. Maintains data dictionary including data source and definition.
Experience in data analytics/reporting required.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfDHejNsprYwpw7sWQH-5-sbGNkkcvoNoNlOihpmELCOdU7TxBjEyPqbegRiWxox1mclrSNIh7u-ifAOu-1NVBr6fa7-bUKiktFo5uH5zYjy6cb5VBJSjdjniY3ZGu96_jcO46YmhcUZXFG9o0c-ijcRSbE4IxzmFH-v-f6HAxU2uMXOdWzz9h3HybLkIRorRLLGU0uhVpgjLeqYwviq0Ov3CtXPGwIHe0SW3qalEBfmHQ_YQsVb6BM0jXR1LLfUVVf8Q9reA9y_aavS6Vche5uLVqcY6TuNRmVpMvR0V7r1Ki-ueaDyI7E8CZuBOjP9d9dc8SQR6XrxBsdiv9G0zADJQM_z1Xj3MaHhkJOave4nY6QI_Tkqa7BWURqKKOXuC_PMaT6Xji-a_2YEf4qn28fkYSFeUncztoAykHLEuqywD_RtHoObNX&p=3&fvj=1&vjs=3
Data Entry Analyst,,Tetra Tech,"Ann Arbor, MI",,3.8,The selected individual is expected to perform data entry into various database systems; request and collect material data from internal and external suppliers;…,22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d208c165d0a001b&fccid=997110e6d9c4c093&vjs=3
HR Coordinator/ Data Analyst,$14.00 - $16.50 an hour,McDonald's,"Ann Arbor, MI",,3.5,"This position is also responsible for daily, weekly and monthly reporting of key performance indicators and developing reporting tools to communicate any…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8cfa20e75cbc7893&fccid=f753bb1a40104d82&vjs=3
Business Intelligence Analyst I,,Trinity Health - IHA,"Ann Arbor, MI",,,MINIMUM EXPERIENCE: 1 year data analysis experience required; healthcare or financial data analysis experience preferred.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba9eebc2d6c6d8c5&fccid=7f5d38b9c1a8c76e&vjs=3
Data and Reporting Analyst,,MiHIN,"Ann Arbor, MI",,,Work with inter-company departments to acquire data from primary or secondary data sources and maintain reporting databases and data systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0048e655fd3264e&fccid=a00263d57cd9fae8&vjs=3
Business Data Analyst,,DHL | Supply Chain,"Livonia, MI",,3.7,Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0362022357f501de&fccid=5b8d10630cb111eb&vjs=3
Data and Reporting Analyst,,Medcerts,"Livonia, MI",,3.2,Utilize a comprehensive understanding of multiple data structures and sources to Lead or direct complex and sometimes unique data manipulation using advanced…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fecd38483f5eea7&fccid=f2864d871baf2812&vjs=3
