job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Mid-Level Data Analyst,"$70,000 - $95,000 a year",Axis Consultant Group LLC,"Owings Mills, MD",Temporarily remote,,"4 years of experience working as a data analyst.
Overall, we are looking for experienced analysts who can collect data, review and analyze data, transform the…",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFSfLXLo0TU8VsB4EfGLoGp7HeW5Wc_WoTYOvOlqx6dj0Y77TzK0gQleaMUvZy6w07OxO1qCQZITMBovthxIRYQLa17u9qoJLnIPvRAbmP3GGbG0eyJE5hgSI4hEXU3AT8MWJaDEE3asApNsscCFiyXRBp_9NlJd2fkg9OZ6JTRVGtZqoX2bR8-WNLTO7GEAyOYziRBVVE5T-OEHnu3TrmpstMR1slj1WzvbBX_HzeAF855H5JqdwEsCKJGTiDBmhqobsaHTZ9A4LWmWw2aZCfOWodzgDcLjmo-HVkgEGcxUn-k5Zf9vExURTJJ2bhDfOcJIANzBunTbyVByoKJgQ74qKrOH1-zGDpYbvo2ekemQDWewQf0OSgjn3qYQeZRX5wU6izUwvUZtNvGv8i-7my38JIpscHseFQ0zGj3wYzZrGsNWTuWgB6uLYUkZ6BC6UTrJ3qTohRmLCemdnl8d3m&p=0&fvj=1&vjs=3
Research Data Analyst/Software Engineer,$31 - $40 an hour,Neurogazer USA,"Baltimore, MD",Remote,,"Under the direction of the chief science officer, the candidates will work in the research team to develop AI models to predict behavioral performance and other…",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJJBdCULplSEaeHpey-r39yKRVIFGrHTfg0M0DIHj38P7aW7lYUe3HjiD0ZNXK-qtgaj2PpbHvQgKjbjV6FazgrrHpmNTP2rxSRX8YO_ORrqoSPAdEAPfrIJjQ1jJjB7mtqZ8pURMxdAjKpQ0ZhdUO0evAgRlv-lMSaJRYvjPYeuZHIiQ1R2_qK82gSmYumX3neN_9veYXm887pPF4SufDo-4KcVbrpVWGKhJlx-_hIjDg-_DzTHeREf6x-tm397ao1Hba37rioUi7mF63BeGieG0Hum_n9aBDK_kGc-RSZMsxQ7889wu4bNB_Q_IbFdzgn5dVRI6l6RMKXqpn-63ExTM961GL7UNvmaQqg0yqCAwzu2QnaaMtTVhctXUP9LqWWmayqQrPVZwlORsT59XXPCIboBc4C0MXuEDkYm4aI6UzmFYI50JQoDCxciGpKSmhPltDKMVAlz16dIn8QsDJLrtkJwd3fB-bhrPZu0K-GA==&p=1&fvj=1&vjs=3
Data Analyst,,Audacious Inquiry,"Baltimore, MD",,,"4+ years working experience performing data analysis against multiple data sources.
Experience doing data analysis by using AWS services.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAsVQNl2z0Eh8zRDIM_bFO44shXdtcrutrb3Ol-xLLn68Lf5pFROVtoRvzaE7yEbQPDIj90rwWzZmrlBBoacsnA5rXeklL0UfvC8tndz_Mv6gKRN-ewQFKy3wp2QAlkenpdvVwOzSyUBxTaCuOmllRx13926zNJshy7NMb5rLTKKmCG1z0al3RbPWvJbtvIXLJrCqs0SsfrVi6qPGoAwpZTlySvek6Qdfdwr2eYXVNI7WkcvrWtQRUd6ch3JVPIGara1przecMbjL0HvBjdBTYaT5Fw8AUSd_nTyV6MKdSbdBqvc1mddiikBo-5lxpgPP5dcoY33bzRVobf1NyqIjA51BEwcwaAu31reoakPfpFT8k8_D-oR0HuNs__dMFNKaVI4JZauDcoFodce9Hpl0c6wwq8c-hOHh__jiWda8qkr9LTnXHqNSlpiOrAaE4rrQ8s0s7MKww9zyeXiMvA3rC8Vpt57WxL44ZMAKeRBoPYyP455DLISwUyKHMWl1YcJJc9zCnvQjhDyF6E1T7h3SlwfbVfupGa5hC4D7QVh--4rmSEsPcF_ApPmUcTUURbfKX_v9LhjDqfA==&p=2&fvj=0&vjs=3
Healthcare Data Analyst,$50 - $60 an hour,Digital Dhara,"Columbia, MD",Temporarily remote,,"Able to develop and document consistent process to follow; technical skills write macros/equations (v-lookup, index(match), etc.); work with business analyst &…",1 day ago,2021-01-15,https://www.indeed.com/company/Digital-Dhara-LLC/jobs/Healthcare-Data-Analyst-48f42313b8b25c87?fccid=c77b76135d73a183&vjs=3
Data Analyst 1,,University of Maryland Medical Center,"Baltimore, MD",,3.9,"Analyze, manipulate, and extract data from a variety of relational databases that contain claims, administrative, and clinical data.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6b76f0f65feef134&fccid=f02e717c1497a519&vjs=3
IMMUNET DATA ANALYST (ADMINISTRATOR I),$22.96 - $29.72 an hour,State of Maryland,"Baltimore, MD",Remote,3.7,"Identify key data needs and reporting requirements;
Support data integration by defining requirements, streamlining processes, promoting transparency, and…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e734a7dec29f743d&fccid=2d3a5aa715e90595&vjs=3
Data Analyst,,"Diamond Comic Distributors, Inc.","Hunt Valley, MD",Temporarily remote,,"Proven working experience as a data analyst or business data analyst.
Ability to acquire data from all data sources and create/maintain databases.",25 days ago,2021-01-15,"https://www.indeed.com/company/Diamond-Comic-Distributors,-Inc./jobs/Data-Analyst-9a5d6658641251e7?fccid=c0a309c189eb4dd0&vjs=3"
Intern - Reporting Data Analyst,,Catholic Charities of Baltimore,"Timonium, MD",,3.2,They will work with other data professionals and program experts to manage information and data with the goal of creating new reports and enhancing existing…,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a0e33d5c87fef9f6&fccid=c2eb9144eedf20ca&vjs=3
Data Analyst Intern,,PayPal,"Timonium, MD",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7dc8b0245a1d2a37&fccid=978d9fd9799d55a8&vjs=3
Data Analyst,,Urban Teachers,"Baltimore, MD",,4.1,"Experience with data sets or data analysis associated with racially diverse teachers.
Support Site Team staff with data access and interpretation of coaching…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5bc8e2b35b81ccdc&fccid=041e531731502197&vjs=3
