job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Conversion Analyst,"From $45,000 a year",Key 7 Software,"Hoover, AL",,,"Load data into the client’s testing and production databases.
Report on data integrity issues to Implementation team members and clients.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJCfGpU4p94EvdIiLDH2W5wv8OAGsaDuFDAAZTgNUhE1ttOR6giEDI7r2c4JBuBUbyQL_qoZBZcqwklzOHIr-Z-gAkUhGvGtQDI5DNF5CvZN3d7-yksXKfD8MFP4oJ7zpFHJ78hi8bgEY9k65yyQ4VXS0HeuuZrZgdPvmNvyGl-gJ2O5u1RnkuMOeJ-wohsWD4hRPYornzI6qOhusPuNeINkEJUsqdmzmfi9Cx9v8dRVbJr8Njv7uSYuPnNq7GtWcMbMMwfLAw1QGBESFsLcqNe7hZ5c2sUCp-SH5poAjlC8dvAvaW5b8VDl719NsrAmDa_Mm1IIKWAPIDsNQ6Q2Yo5-rADVl7Cb3sR9Qb75Ux3LurCR-se4E0I2DpM1VL43SIWGLegBpUazNBvDat6WBVYDBnvIWMWvtg-sJwCkxqj5rbvHjFuLOxUbxOgEO9iEhPmaHhiVKyVQ==&p=0&fvj=1&vjs=3
Data Analyst,,J.L. Morgan and Associates.,"Birmingham, AL",,3.2,"Creates data reports utilizing JLM emed, Microsoft Pbi, quality, and other databased data outcomes in order to develop trended data.",4 days ago,2021-01-15,https://www.indeed.com/company/J.L.-Morgan-and-Associates./jobs/Data-Analyst-7b8b0fac540e8640?fccid=467c798365de3776&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiYEZpVTsmRc-9sAk6KTgOK3EwRBp7Io8-PdicvLl3cQYSVdX8hXuIBiJecEb34OfseO3dVAniS54dSs3f7KP0WxHnV8bEA8xibn3AnoMb89kx3wJo7Hg2h49Wyu3x5I5VjntPB49fgdD_K3OZvrp7vIRJvZr0PiamlKRdglBdQs9XKdxzh0SXAR0tYVCGRI-iQVigXjpber9etKAJRvFJTJAZlN1txqRcGavCjHekOJW4-65EUZV5zAIB6GIdwjW5rGFDL2xEytLtrzuNq5kqbel_6eYT3m5m8jY4ZyiNrGJ&p=2&fvj=1&vjs=3
Data Analyst,,Children's of Alabama,"Birmingham, AL",,4.0,"Run various data reports and manage data requests for research and QI projects.
Responsible for organizing and entering data from the medical record and other.",13 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d8ab604d811e9b07&fccid=a3b12889fa4a4c57&vjs=3
HRIS Data Analyst,,Ogletree Deakins,"Birmingham, AL",,3.3,"This includes data entry, data validation/reconciliation, and data management/organization, researching publically-available data sources, document review, and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1987ce0dc34752d5&fccid=113d4c750493bb5a&vjs=3
Data Analyst,,Pack Health,"Birmingham, AL",,4.0,"3 years of data analysis and/or data science experience in a clinical, industry, academic or life sciences setting.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f9999e82b8ec53b&fccid=701900b8d275dab9&vjs=3
Data Analyst,,Siemens,"Pelham, AL",,4.0,"Optimize data integration platform to provide optimal performance under increasing data volumes.
Technical expertise regarding data models, database design…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6b881d8015618975&fccid=3b89b9ec324f96c8&vjs=3
Full-Time Human Resources Data Analyst,,Avadian Credit Union,"Hoover, AL",,3.4,"Export data filtered for reporting purposes (by pattern, position, etc.), as well as organizational chart creation and updates.",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b8ec5fc44cf3a799&fccid=46e81a02c4c6a0f2&vjs=3
Data Analyst and Report Specialist,,Martin Advertising,"Birmingham, AL",,4.0,"Loves to dig into data, interpret it, and report findings.
Ability to learn other programs for reporting and data collection and review, such as flowcharting…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d08cd56a7c73f7de&fccid=54bc1b46fb0abd16&vjs=3
OPERATIONS ANALYST,,BBVA,"Birmingham, AL",,4.2,"Bachelor's Degree (BA, BS, etc.) in a related field required with Three (3) years of project management or related experience.
High school diploma or GED.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b08ac79ca192e5a8&fccid=c938a854fbd13908&vjs=3
