job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Sr. Programmer/Analyst - Data Analytics,,Resource Data,"Boise, ID",,4.3,"The client sees Resource Data as their data analytics experts.
You’ve had a role in several other projects building ETL processes and expanding data warehouse…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dl7F8yQ3Mt_M0p4pEaeq_LOWEMcxAwOSX3iRAQq_RxvsoRRUWt9-si5xjuJteRRk3kMYS81P9LWWL9szeSZsYV7RJcjS9aqzIPXc0Ec5K12U0vBL-boH7992P3ueQvMfIzHHaHNGpgesA6-nm4J8o9zrvG5J6LTlLBaXUdZTmgkPpBAT-gbcg8fiIyH8bexq47xv6ETYlGRhNikmlNpKYIySZ72SWA2uPV39jkE92d3rpHmUDgmap4uFZvvbxrZlpOujv4k_3_4SoRc14k7BsMe4aPafoRBqPuWNMTYpE3P_xBh5Lb-u86YWsIZBkhrizlIAI9LN3GQtqfVOvE22cvd9-reiWkIQTuWFO5VsQXbE86GkhrvCDMNfzYco_cCLeHL6r0S2BeMXwobbvs8b9vDBbX3AvPvyY=&p=0&fvj=0&vjs=3
Cloud FinOps Analyst - Remote,,Managed Service Provider,"Boise, ID",Remote,,"Provide data driven cost optimization opportunities for customer and internal teams.
Analyze data and produce quantitative financial models to track and…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKAi-ycgT3-2ZvaryxU_oZrfk98GsVxP6lSGkTnz9u0C49RULNBPT27DVPQ8wulMb4MJoV6oQZRF5QhFWvRORR4tFxIoJ8RgsEKQKQvvUprG04cZq2_hwb0ufxVLMIBk7ARw7rmqPqOr5-IvjQT2jpHV6TbjdQWCzy6FFXNLpUpILB0wrousRu2Ts0eCoWYr3MoxoJ2vowGCEAdHBR2_JFdpyJxlf5gm8CDz_snyykDllBzDFFTSPMhzZ9T90Im-Z1qRETI666BSSwcVyYmh5JZV6pV3ouvkkPzr-EWh6ZMyaOIxT5sHaWsHWLzYYrIXQau4CLOwWQCLu5OY0NQ_q1jKv4W9OPiTahX2bDXiPeJ0XNHbWDk0kV0QDO8wRVIDHz-UUU6h9xy7HB6omshAejNtzhJxf_17ULDdK8C32DgDLJnmINkxiZNWH2_LStv4r0WslmKsyGcGH4-GwSyn7Y&p=1&fvj=1&vjs=3
Business Analyst,,State of Idaho,"Boise, ID",,3.7,"This permanent classified position also includes a comprehensive benefit package which includes excellent medical and dental insurance; vision insurance,…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC6SQMfAkHCondRquBNcE2ntt1snCy3fyoZRReqai0OeORndgcQGm-3PPc1uayVF7jjD-GaHG93gXuxsjZ2zCyH5laJb-oDBU1OZPSFLJciBKsZQkVN1-91er3fyT0Z3d9RaCoagtgJM51OzKGy_9Il-WUNgnpW7MNgqR9filNdOL2wPJrTldwiDkxUvLGeqWMucx_f1u36vnzQxqWuyoG68U80N6hSgtaPoNZPozs540MTFumhGj35QfEs2RL-m7zED2xFRAn-PTAvNAbU3AiMvNh3pLkVGfbdUai-tR4-lKS01jrqcs5bAS2Xf5g7GTVnzsR1n5PpRqgBhYAtJVLP5R_UCXFeX02YbxUsgs25FfVFYXJzV5HJIOgVqs6W_GcQ3RL4yxb8ZMqlHCvhc1k4ZnqGhbvlJrA32kbZVpWCcbfSBARKN0r6ZN1k_AMUaZk0ziSmt6muNoCnAfnBi0NCOV4esMfw1uUAkJQw7mJrJE8rZTL21-v7V_CmawD-EMGUQKCPMSthXhf5ymdeD0LIwxJMRmGyLlwg1tmzuUO0-aHwG7NKizkvHIoOPjWix9BdWqFu2se8UlBwljT0BA44rkuoreq8eg2Cpy8fL3oNAgzz5BixGu-4xtjf-_l_ds9-szIIhs0rbPZWUIaHCU6eUalDKYUlGbNeIpeLUjGAkoaclDki1p8DADdsIrF0FWHxfa0FKO01y0VAW5LFc9ijeVjbEsn6cpAgv-cUtJ3Y1yYAXVZXMqk9DpfpRGyCL-0CPHxiV1R8uEpQCPCMYZKsMEsAbRjxXifBlOoxkEKJOguDegD8pFAXLYtQUWVYJxswShisVd-dXOh56SHEGC5z1b7U4HPNHc09dYAVbveUAp5ypx6WrNga1erkrYACpIPQ6XOfwQ3qzXnWKXL99IFJKzOXd6vnRDR4ULWxa8EaU8DwBJZ6L7E989sBInvwqjLe6bLwxQTeeIk1EdIOIfYf2zU_1Fz35xPtjgThg9OFEoE7dq8pgJ4&p=2&fvj=0&vjs=3
Software Business Analyst,,Covr Financial Technologies,"Boise, ID",,4.2,"Bachelor’s degree and 3-5 years of related experience or equivalent work-related experience.
Paid Time Off (PTO): 3 weeks to start increasing with years of…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPhT9Biz7d7za2A_baXo4IvirojEmEU9571K7jjq5rmCXiZQ-P1Et9tgDwLVWbEu3t29iV2TYOzmBlDFJKdOeKKydHT94hgYdfChtYolRsx_p6vmRAW7ubwTN-Zp8Pi51soHJAJYxcJKTQyqxK6a-sVpUYE_3Tp5kTGsenvz7zAujKfLpS4J2ZoR-ok97br4qocql9C2hpzlivBEhD412r85Ai3Bpm8oqOg-0Jt7sgPvmPV7-lDCjQbrcmotutXusUg3EbPTp_OU2qkkNpSca4HfzqfJtJ0gtzazJSjo9boW7qlceAnbAr2dOcv5bUMFHt8aHXA7wzWToy2YmPWmotHWz2B2Czt6dN1mRz1ViNCZPydb_K3jhpT060weK0O2Zrd3ZZGI9ju6QTdCC0OKq_aakqXiKXpJkWz6hr7mOoY92vosaFFKJxMxcCptKn96kyyjDxy099tY023SiyZjW3JFuJ_pzdeZ_WpO9K41okJjeGN9IwQN9d&p=3&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_W9Ka2qDv7kbHAV_sD7rOcF18ZryGkvmsEq4z0LpfTYTM5P1gawok2ow0DJRS2NJVPjN4RbtigvkFpgv4n2kkCki1XMA26Xp7yycchXH1RXdv6L0mE4roVYEx0fRAbudGpdhTs14cT1aHTpNaRLOd-LVNdBYFlnbYj_nHmMXHwnGxGKEHxLCwBCWXDQeQ7rc0vUSkhBhP5FngFOHLuhWMiQ5LR9envDj-m83MfukYDVB-9UlmQLjZxUzXRIA3xLyQxRJhX9xtXBf0I-WN1vW8Jg==&p=4&fvj=1&vjs=3
Legal Assistant / Data Analyst Supporting the United States Attorney's Office,,Forfeiture Support Associates,"Boise, ID",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b45be6f93a33a00a&fccid=8ce3cf8e1e3ddd14&vjs=3
Research Analyst,$16 - $20 an hour,BuzzClan LLC,"Boise, ID",,,"Data analyst: 1 year (Preferred).
Experience writing analytical (research) reports or materials; compiling and analyzing statistical data and drawing…",4 days ago,2021-01-15,https://www.indeed.com/company/BuzzClan-LLC/jobs/Research-Analyst-9e7dcf482fb5dcb5?fccid=570642e9d17e0e28&vjs=3
BI Analyst,,St. Luke's Health System,"Boise, ID",,3.3,"Consults with users or decision makers to understand business needs, identify data sources, required data elements, or data validation standards.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f07a1fe75ebc5079&fccid=421ad82d4c4e99a9&vjs=3
Health Data Analyst,,Blue Cross of Idaho,"Meridian, ID",,3.7,Accesses data warehouse and data marts to produce and/or develop relevant data and reports to support revenue and payment systems.,14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=62ed1b4ce82d56dd&fccid=319f7086428cb041&vjs=3
Construction and Materials Business Analyst,,State of Idaho,"Boise, ID",,3.7,"Complex data analysis of construction, materials, and laboratory data.
This includes managing contract administration and quality assurance, interpreting and…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8aef782ba4152b4c&fccid=201e4b212254a98f&vjs=3
