job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Analyst I, Data Science","$134,300 a year",Liberty Mutual Insurance,"Boston, MA",Remote,3.6,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt1gcnJgB2R3fXjF8kQmuiM9coAw5uD0bGk0oiY9xYtnSTl9M_9mi8YPr0EkSIYaSVrtjxOTXMa6no7c2OUADf6LVPv9jKMzdXu5O6RAfSTET0dx6K9cAxO2zt42y0EV0idN94hLZWFmUSZti02uTd503FkVeVjIAvPdZ9QrMdpaVPAflVFiL9-FAvjughr9yXI0CqJPVce33iKDluxneY4hr9Bt6DH0hF4zQXwyNrCymiAbhnrl3ipSSyxyRK7NZDA7lHUDdDrqYwqVtCbobHEn7OAa0q8KZfT2D5M2Gr7-aZkH0eAR0ROa6mqeSQdp7vdyIisfm4Oaxnca_EZvFTluuoAU3QgcGC3rwyRCBkO8jCeNr--VYAt1ydgLqLv1FlMkqZDy-g8SEtRH1D1drDMKbqCMZLvQR76fDm9lRYQwWCevfSKWEmdpz7IMHJ__f1zu3TLESPkPtSUhE254bn9kbCnGI-W15mlF3N1aqPtlVuYUt9b_jiSe2xAwLnB4cEiIzckmJQNiIFIQp8ep1fAtQahi0Or--WJbfPgieLHfQflF3NnR6zSlvCLcT2BRSaJ7QZQYuMpFuxzWHdxZn3pMVQoVKYrPS2F-JOjWsh1zd4H5adyc4hLKcVi-LPNRv-dDh2-3SuYaN1VIkkoZ5m5uYkI5T4h4wBrPU8pp_4-4q2iftD1u_MWuhgOqJMs_b67pDTp-r8denMsDr5PFT03-J-rpH_F7Ji4Swkomi__5BIGEtAT_jze8TTpD8WLx0rS30NbQIog-txNRVfskqihnrOs0DY_X40Pnr2p5tQwmGjWjqq0p7Q8O1ypuvd78SMtjp3Z_yiikHfHSY0YAhxos8QZnyQw9OlIvGR_R7ozSs&p=0&fvj=0&vjs=3
Data Analyst,,Grand Circle LLC,"Boston, MA",,3.0,"Work with data teams to create projects to bring in new data points for analysis and reporting.
Strong data storytelling, quantitative & analytical skills.",12 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ct_dBE0J0uOg-1JPsZ2C5P5I4YNd0egoTMI1huJapCNaEM3MxaaxSRQZAIHGiMHpln93NX7sO8NZhhvDp9E4dMkVNqe8yvydtPwWC1A9_MSn6RCoDB2LeCgtG3IQbD1-J2OEdNjxUGLpHGFTzeeYvts-_-qgD_D8cPzR2tYJNS9dUZeKCk2lrEkQMk3xJrTYdUkbpOymrzUhbalcUGTWJvh-U3lJUc9ktcadj0DVMewFelWMkvnAAzTx6uG17pI3vzhp77TpwA7F0kJbNgRKao7DTwYqg9-HROA39hSRYi9OxB9G74WD-rpIhmHt_LtNKjcyNcXdUNTOGmIMjy0AGwQ6OkUeck-AhgumzQgxa0zk058CSjFRaVlqGWFO3x802la17Sj7H_xOkfTrxnRlylWEhw0oEQERjqSz5zb14DEjOg5zDRwjvng8G-eOG3NQKcz5ISSgMu5WyXlCivv2Bm6zTtwznpvDrAEYSOjvqnxnnunTOiVSC0QH-pdTgJslbL4MvUQYenfOVz1UFyCFjzF3qgtXqaw4QkTfkzGxFkjz9Yz8GeB3EVxqN496LRkOtV7EgwrBiWsMmTdDWSPIuXIiAUgPMSIFwPrdE30ZmIzwdr9V8DZvPHOvPvKxqgMAKFJUSNSNQ0HQ==&p=1&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KibwA02GtYmqu8ya2P19tTChI_uzkblHZOPlNAs-wc_cKnATTIl9C61LLwoDuxd-Rk-bg4Ip1q5L8PfYeb5yB8tWjLr3Le-ivhnliqbTEofIrWKs7kE_3BG6dFQbctd9RCry1d97rJMS9Wd-SpVvRP7NP6wnUFVyqSRzXMqdWcvcMZkLTF9NprQGODALfFex9LRbTbfidye6fqBVDJuL69OnDWIQjmzG4fhibjQK1XoucXPvDGmlGfHYmzb-pZWx_G5YTVViuK-mI5cr25Ys87cseEmgRN0lxXQ==&p=2&fvj=1&vjs=3
Business Analyst/ PM/ Data Analyst/ Resources Analyst Electricity/Utility,$45 - $50 an hour,Multinational Bank,"Reading, MA",,,"PM/BA: 5 years (Preferred).
Procurement/purchase: 5 years (Preferred).
Minimum 7-10 years of experience as an Analyst working with wholesale power supply for a…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTYkY06FZEdAAtNWO-eDAfNklmfZymsMF6eFRONl7rAMN5x_2sHrqXfWPo9rHDxSPX3t6h2lTTuleVmKer7OMxHB0xbAnVL22uJVdDTevFdkRnnpWs-K0-DM7G6yEmTt3Jj35TMJU5_DPvyAmEHzIZ8MZ8L0i0ddUvxGRSp6reF09C1bqL6cqhdjaytiZgTWHPB2-KeOWW_B4MRZA0zgrZvNO7TXdH_LiPvGnh-EZ3q0ZAuxHMF1Ckz0JaSOt9gEY-3bCdn9x_dqcHPqAI1zMoxMx2lV7HCCdfDZHK7zbfbdw2jlSLeEJYdiUAtAnHZMrNLVQOZxp5HtXWQp061DiHTSkHJC69ZI-BJ3FmVfl1IcJi0rY7TQzAIFClDY0gUWwGbSgvRqZIw683JrUBwSBjvqiiINAq54WKt8pf4JfIdskIAslnqZV2RjX7fNtmcSdNVLZJktCzu_QVJ3wXj3p5&p=3&fvj=1&vjs=3
Video & Data Analyst,$16 - $18 an hour,Pembroke & Co.,"Boston, MA",Temporarily remote,,"Monitor, review and analyze video feed and point-of sales (POS) transaction data for discrepancies, internal theft, fraud, etc.",3 days ago,2021-01-15,https://www.indeed.com/company/Pembroke-&-Co./jobs/Video-Data-Analyst-544228441c63b5f4?fccid=a98310a4e8ede463&vjs=3
Data Analyst Intern,,PartRunner,"Boston, MA",,,"Creating reports from deep insight from data.
Bringing data from all platforms to one Shiny Application.
Ability to deal with messy datasets, pull data from…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=de45b6ef054910e4&fccid=e89ec7d70a757e50&vjs=3
Data Analyst Supporting the FBI,,Forfeiture Support Associates,"Chelsea, MA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8444ebf2ae2d6771&fccid=8ce3cf8e1e3ddd14&vjs=3
Entry Level Data Analyst,,Hopjump,"Cambridge, MA",,,We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6ceb169f5c93de6c&fccid=30c994b6c2f39768&vjs=3
Transportation Data Analyst,,EBP US,"Boston, MA",Remote,,"Programming/scripting and data visualization in R or Python.
Analyzing survey datasets with accurate weights and linkages to supporting data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ad3eb571e8a624fc&fccid=a38efa13f477f802&vjs=3
Data Analyst,,PTC,"Boston, MA",,3.7,"Assist with integrating new data sources into the analytic data warehouse.
Oversee data quality checks and ensure data standards are being met.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d983bded5994619c&fccid=fd02f21940de3731&vjs=3
Data Analyst Intern,,PayPal,"Boston, MA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a54494c6adfd32d2&fccid=978d9fd9799d55a8&vjs=3
Data Analyst I,,Massachusetts General Hospital(MGH),"Boston, MA",,4.3,"Work experience as a data analyst or medical technologist in medical imaging or a related field is desirable.
Managing and designing redcap and excel data bases…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c915f437473e1d3&fccid=3aaabf5c54e51db9&vjs=3
Expert Data Analyst,,PowerAdvocate,"Boston, MA",,4.1,"Experience with data manipulation tools to solve complex quantitative problems and analyze data.
The Expert Data Analyst is a key member of the Spend…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ecbf543fbabb155e&fccid=35313a9314d13326&vjs=3
Business Analyst Intern,,CompuGroup Technologies,"Boston, MA",,2.5,"Success will be achieved by working closely with sales account primes, product managers and the TPS leadership team to deliver in depth analysis of service…",1 day ago,2021-01-15,https://www.indeed.com/company/CGT-Staffing/jobs/Business-Analyst-Intern-46473e14edadd38c?fccid=dc1e77da4ae45563&vjs=3
Data Analytics Specialist,,opentext,"Boston, MA",Remote,3.5,"REQUIRED SKILLS AND EXPERIENCE: Bachelor’s degree in economics, statistics, computer science, business or equivalent experience Experience in data analysis for…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e398e0e9a5a67c7&fccid=c908408e676247d6&vjs=3
Healthcare Research and Data Analyst,"$66,980 - $96,568 a year",Center For Health Information And Analysis,"Boston, MA",Remote,,"Experience analyzing health care claims data including MA APCD, hospital discharge data and Medicare claims data.
Experience with Tableau a plus.",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=60ccdde665e96bf6&fccid=7465094da85cc688&vjs=3
Data Analyst (eDiscovery),,HaystackID,"Boston, MA",,,"Position Summary: *Responsible for data processing and post-export dat manipulation using various technology services.
Medical, Dental and Vision insurances.",1 day ago,2021-01-15,https://www.indeed.com/company/HaystackID/jobs/Data-Analyst-c637a55bd07e7cd9?fccid=b4b6823813b6dd0e&vjs=3
Data Analyst,,Boston Medical Center,"Boston, MA",,3.8,"Demonstrated ability to work with claims data.
Prior experience working with claims data very strongly preferred.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f1a6089b107980d6&fccid=bb0c672891002d42&vjs=3
