job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Recovery Analyst,"$50,000 - $175,000 a year","AP Recovery, Inc","Mount Pleasant, SC",,,"Strong analytical skills and attention to detail.
Analyze data obtained for evidence of deficiencies in controls, duplication of effort, systemic errors or…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE95eSJVlAhcbbRkJIeF38pBfNhGQdrJQk1tBtEKRHfk1oDKrW2CkmIawF9aGRst1TkCzXH9Qh1SzP_ilRKeXcXRYAGNCGq-UuvrBRPBWgy7OX7R0zPfAfifU2TSWfrsyDX7LTcI56kHqGDdshLji10qBW0mEyx75VmVwvjDGcBcddOTaIV8-95-eK-H_IVYiIvRrBW0z2XGOZTl2QTCmCR1Hl16NNEaIdGVZzL1RllJItBFrScEOywhzwKLwntd2D7l0ZPsJWLd3tVM0fLPzGEm8dmgycS-1vhtkjxZGIzBay9nC6IaKKXNiuwkuyEUb6yKlPt2M4RbZQ9vuEUxXPOgLhdn4H5GfHUvAvg2pzJKloHKfIsu3WOHndU6NZUiuEuZCbwlLnML5jLLaY6-dJ1eBiIomfJgxs_yc8azwuRhpnh3ctpAlqgE-UFju-NpA=&p=0&fvj=1&vjs=3
Business Data Analyst,,Recovco Mortgage Management,United States,Remote,3.0,"Build and monitor data validations and reconciliations to ensure the quality of data and reporting.
Create and complete data mapping and translation between…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1OgRj1mPp9E0c0QOEVcG2vKiwPreU0b9j-bQhw1RbRTQjfIjhCVb5AZAIEmGhWEAGeY4HRcYSl24eLPYj3j_fn-f_J-Uwwk8Fvm3T2vlAA7H_3YPvNk7k61Urnbsk7-10R2XPYZS0xr82Z1eEQAu8XhC7wjm3pyGOP_58TiLDtlGBCp7ZTSdfxXwUbRL3AjbIX8uRbodkVckA72-_pLA7BZjjLO6P6eBFd3HRKpGPgsjNFScUeov2fMnUv99d0Xy0EyuOtC65t-m5HHJxJVERXHVpLimxUEG6zj_HH6Utq9Imcq5bZ15ozgkjMQSU_tpBMYBBGAFq43qekR0USUMBda4gspJoOdXLB6QXpOS5tOPKpOAPiuoYWWBL_GsAQwBP9wuAsg4jeNM4-xuYJnjju&p=1&fvj=1&vjs=3
Sr. Data Analyst,"$67,898 - $89,360 a year",Medical University of South Carolina,"Charleston, SC",,3.9,Minimum Training and Education: Bachelor’s degree and five years directly related experience; Masters’ degree and 3 years directly related experience required.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=834a7ba1f03f774e&fccid=a0cb52b0fb3555b4&vjs=3
QC DATA ANALYST,,Thorne Research,"Summerville, SC",,3.2,"Employee demonstrates attention to detail in all aspects of procedures, follows department procedures and company policy, and completes all paperwork accurately…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81b8d88736832704&fccid=928f8c303f0615c4&vjs=3
Data Analyst - Business Intelligence,,Charles River Laboratories,"Charleston, SC",,3.4,"Data profiling, mining, and data validation to ensure data is fit for use by the business.
This role will be responsible for understanding how to translate…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b61fa734204bcba9&fccid=b5f9cabef0362658&vjs=3
Data Analyst,,Roper St. Francis Healthcare,"Ladson, SC",,3.9,"Experience: Two years experience with data extraction, data mining and report writing functions.
Knowledge/Skills: Requires excellent oral and written…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f963c8125ac07586&fccid=18f98cb905fb01c2&vjs=3
Data Analyst – Social Media,,PhishLabs,"Charleston, SC",,4.5,"Work with Operations Intelligence to provide better quality of data for review by analysts.
You will have a client list and data analysts you will support.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=18b776b069efa174&fccid=3206f455e3ce43bf&vjs=3
Digital Media Analyst,,Levelwing Media LLC,"Charleston, SC",Remote,,We are looking for a digital media analyst that excels at utilizing data to optimize campaigns while also understanding the ever-changing digital behavior of…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3ef87eda28d3bb04&fccid=4849b845812a6ee4&vjs=3
Business Analyst,"$55,000 - $60,000 a year",ClaimLogiq,"Mount Pleasant, SC",Remote,4.0,"Experience with data exploration, data visualization, data preparation, report design, and delivery using business intelligence tools.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=279d6c8fe4ba6886&fccid=ec5578070bf51a1e&vjs=3
Sr. Customer & Digital Analyst,,Sonepar Management Group,"Charleston, SC",,3.2,"3 – 5 years of analytics experience, preferably in digital or customer insights.
In partnership with IT, leverage Google Analytics API to aggregate data into…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a9481139829612de&fccid=e7442e64fecff50c&vjs=3
