job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Processing Analyst,"$45,000 - $55,000 a year","Burke, Inc.","Cincinnati, OH",Temporarily remote,3.7,"Experience with data visualization and data transformation applications would be a plus.
Reformats the data when necessary.
Object oriented programming with VB.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLp1yWsgccyykHt89peM3_8PWIBO8ghj8Aj8hB_jyRED6WjQE9bet_rcBRrp0S353NKdppRwmwXgvIZm3nVCSpLYgchpx8ZxPg35K_kZsT3BNMxgZ-Kgg4j1jhj4rukJVoS7BvlEls43OGSXzk7bAPW_sh5X9O7d9WDIA4lkcWvKHEOafeuCxToy1z_PGT0i20snUumDd7t-4fyhvtKtf3-NE8w6_zQqkc5dji45eoJYYd_GICCOv5NGyh9wc5QlGpp9s4RxyU8q2JcxBQM9QFuVhJtaK5xr0gS0NddzeK_0Ee7ItO5KLMx-hDXcU4Nxj7O3AOuzTC4YB10NLqWz8kB4MNBplskXR2_3dYzvrdPSlJ-hJmcQFtehzbwc6u7P1Jrr9WLJqnxaop81UPfVURoestYK9cRhLVzAvs8EebXAqeoxBTIfr-ht-XvWwjNaGLVSo98p7Khm7ifBqUm1N-&p=0&fvj=1&vjs=3
Data Standard Analyst - Biostatistics Team,,"Medpace, Inc.","Cincinnati, OH",,2.6,"Implement data standard and create SDTM data;
Ensure SDTM data conforms to the data standards expected by regulatory agencies.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci6-xBphJun99pJ2B6DYONMwMa03KSDt3fRVD_-Ev6nMckhrB7RHOd82xd98q6PvORPCBdr5RZlBOpvCvvtRotBc8tbRvugi1CMRxbuBmiCwTeag3OontvPCg6BRN_zAD-nSjyajhYnn3cmMipIArjDU0TDbf_PW53_8HBSFVnykj343jTdRyTajDyvOn-_jacJniEPpNjXTJT8X__tEFJ1UWy5PdLYJeFdraKDINYHzhuOwzdgL44msBA4MB6b4QHrNS0PVXs3ZfFRiluwdNnoTgm5fjY7eoQKawgF-fgBjOkGbmyg8YtYRlkGQDO2XflkHlKCjjECIBzUeBItbDR_zFrLXpuSbxZ5rCwDUGkViamqHqTN3a0jabZIijd7eap1Kye_1ijDcj9vWRZau-bwwuQjVNwjqe7CVAGH-TOTSnbKVcdmrqhKF0-IBKGlwGPsO1e0WbgQvkSr0MNby-WKLGV2CwSkjJPBMc9dSuG1RtbrsBVVDNXwLS1caruLSwP4oPJIJ6Lrn6HHzWVw2CTMJmFuGXvUcO1HoYWzgoPTQsNl25QU-yw2kIJFFBxgZFEozIJyaUQxF1C7P65xmYpKSTt_7Rh2XopkUG0_SfvADH5L4bN72ieuLyJCfovZWgjs_DHsYFk4p4HahZlfxOYdDw2RJJoI8y8bZPNPycTcXLLW2IOzBJpc_zsIgvW2SO-p6aSzRLTWKZ5voHUsFwm__gLYqbK6gDlPGxtGoEZhQ==&p=1&fvj=0&vjs=3
WMS/ERP Business Analyst (Remote),"From $70,000 a year",ParityFactory LLC,"Cincinnati, OH",,,"Minimum of 5 years professional experience.
Professional Work: 5 years (Preferred).
Solid Analyst level SQL (views, joins, data pulls).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1uCLsKvSPv2C25Mk7nQADb0PWkbDXumgDiNC9sa3p5qLtcdXM7AmQZZR2VBZ8_Vb1Gv5dC35v4NSK6nJbhPAg-UxAO-irbdvEa3mty3ZbcnG0JNBsVrtdgIEkr6vowZzCj-TSUlPnGMSijzdAncCUUXdUZGWGpHsD5rCDctIAXH-wnV8a11D7PgQ2WF5pvj5Wqatoc_EIJ7mCZzfyK7bt1FIOMwO2vaxdM4ZU98x-pp42IBf5MKUkS5Ig4OLyLd-Pjv2jTxI3uwN54Jr3U1cmKwT_VqRMnZuV4vShucaF5b50mBDsF4ZV_-MM_268pb9yUpVxv6Uei-9cdqaevWQKUylt79csBhx-xJNtkwIOKnxFSDpPXiXixeQGSDn1_c5QSurlUBzd1jKe_G4e3lSCdoTwi0GCbKJ7ItX6JPa_pc7ehiY--3bDQvWoo1-_I32Qz1HiGV_cuLOZXj2a-ogYOm6cpzYbWPc=&p=2&fvj=1&vjs=3
Business Data Analyst,"Up to $115,000 a year",ProLink Staffing,"Cincinnati, OH",,3.4,"Supports the communication and education of master data standards, definitions, processes, policies and tools to functional data owners.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqYTz0EM5Gc4d1bfK6Ny81_WrXh3OcYjSeSY2jE2nbO_Pbungl1OgwlCwza0UWiJgrKuG8pWWjnZEz9PD7B3bPyrHgD-7k3ezB7EaC4xG35EcTY6slfnbmkRWQ-ihGTNkpSqvT9bGMP4yGBO9G8nIillyy-JxPvtVNgcE3s3KjCktYOO6UrAYfcgCmlBzGoleSSvsABcWPBKhUbvPPGax2NtCA0Yq1F1qtNBcfX5bmy1SY8uvp6qq6XnsZKXVvnKu1aPDSS7y20DIy-Be8-prjrjU6d72sYCV_MD-pXmJwL2BncZ1pCmOC6votVNxNjmZ-881Hap-LDd3quhO146yZzBbpR80xHieCGzCUDE4aQ_sjt_VFmIdn9RmMuePx_CzWJF22_1fiI3U6ZZckP_hltt&p=3&fvj=1&vjs=3
Data Analyst,,HORAN,"Cincinnati, OH",,3.7,This position is an entry-level role in our consulting team that is responsible for conducting in-depth analysis on medical and pharmacy claims data to identify…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0ae1307af19074ca&fccid=69e82434e768b455&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_ZoK0-MNDUdgYkp10ndMTEZEIjfbwsKtapB8Eqdp-sI2q0tUOaKvseDYRX3bZ08KxeQHFvkuWTCkda4IM8hN_jjt7X5NBlKsbFD5yaWAenbRktt08KrvcmbH_KwrGEEzkLa6IkEHyxTb18dbPKA15B2qPwLhL_hE4J8T0-etKKHiVrUxEo9-gR5cihHM7dN54jQskvSj_MH2vs3rvWD2--izZhNOtF4BaThGi5R6vIRy3gQIbW0i45pYclxjYgH_yvK32knsyv_fsCVA7KOFTvtdqG3lopa7S&p=5&fvj=1&vjs=3
Business Analyst,,Central Point Partners,Ohio,Remote,4.7,"Monitors loss trends and partners with engineering on any necessary changes Using data querying and presenting tools, determines optimum way to present data to…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7S9erXqx7onWRBVnfrkvHoJft5r7GnmLgqRoqw23W0SZ1WD3W_d9En3Dt35tYnGY8H75e9Fci9Xp6uHzVNLjuuWF5QUmp9AWM_SvBwq3_FfcZz8w7LzR9i0xBeq9srzUlVOayVUUVSnE1UOQ_WHitJ24Aysz8gelvDjrKRbYt4Vffr2UH_n6sK_7n5wPGTqOOwzcwIEpU9eqFA2uGbEwfld9R8huNYDFFnaskE_ejQfMLmERq7EEx7tEQoFmfsJywmr2FpekwwXzpDAVZYJacosbMZS1zQAVelhV8MJGeVJ7mIv6noKV9ZsJpwb8fe1KxDAaKLGPk2IdvmgoMsLWmQg25E5PPmvHkN2mThEvmD-4lcICuK3e5-pIdowlftW92OtiR2Ni2viRMoN-cCYJ7pZRkGI1gDrguV7fkCE8D_PqUwj0ykowYk-XooPmnssrsjy3Xq5egFmLkqMm9OK72&p=6&fvj=1&vjs=3
Business Intelligence Data Analyst (Tableau),$34 - $132 an hour,RDI Corporation,"Cincinnati, OH",,3.3,"And data visualization required; Tableau Desktop Certification preferred but not required.
Advanced skills in data analysis necessary; strong knowledge of best…",10 days ago,2021-01-15,https://www.indeed.com/company/RDI-Corporation/jobs/Business-Intelligence-Data-Analyst-ca6ee56580e60187?fccid=4029ef31d1059a3d&vjs=3
Data Collection Analyst_Soccer,,PFF,"Cincinnati, OH",Remote,3.0,Producing this data improves your knowledge of the game and puts you in a position to represent PFF FC across a multitude of platforms as you develop with the…,6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e21dd57de21c6a58&fccid=26b97c7683e3b0c8&vjs=3
Data Analyst,,Humana,"Cincinnati, OH",,3.7,"Less than 5 years of technical experience.
The Data Analyst researches best business practices within and outside the organization to establish benchmark data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22fb5f734ac17010&fccid=5f1f0e6dcc6cbc83&vjs=3
