job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBpHEPLqI0Ui7I2gzoVbPGkyQByHmZFc2MpSkPhEQmHuzZGVj74cY1x8rb_RMQSAMdQAu5oWc5ZJoCSTfFaQPZ8OHIuj965s3sHuHQTRtNr5vnu5c6UCIp8L4Uae5kKc0Q_btDGD-2jdSv5ioWdl0XVk5Mvqjx21hmhFXLwPci_XHRcNyTN_JU1RDbo7sHIp2jvFLTQ2w-ZsjVNntWE5ngBT0O9Dt0g42l3iR6NXodGAxSCD2dfBT_HjUcTbVkC4ZjyO8Ndhsj7DJkfn-v52lLlk0lC5kQnDoK&p=0&fvj=1&vjs=3
Data Analyst II,,Peak Vista Community Health Centers,"Colorado Springs, CO",,3.2,"Compensation (Pay): $25.53 to $29.37 based on experience.
Responsible for the development of new reports which will include recurring and ad hoc reporting.",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1349b93f3bcd4573&fccid=c931404720a20aa2&vjs=3
Marketing Data Analyst,,Nectar Consulting,"Colorado Springs, CO",Remote,,"Work Experience: *A minimum of 3-5 years’ experience working as an analyst in a direct response marketing business or team.
Only full-time employees eligible.",3 days ago,2021-01-15,https://www.indeed.com/company/Nectar-Consulting/jobs/Marketing-Data-Analyst-3c3ad4a1c7340571?fccid=96f53b5c7d38f1d2&vjs=3
Business Analyst,,"NexOne, Inc.","Colorado Springs, CO",,,"All data transfer elements require validation from sunset system to new SIS environment.
Provide administrative support in the lead-up to and in the transition…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=29f96ab1413c92e3&fccid=e398cd163eb9276b&vjs=3
Business Analyst/Quality Analyst,,Lunavi,"Colorado Springs, CO",,,Minimum of 3-4 years of professional experience working in a Business Analyst role on an Agile software development team.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c507fa2727db2da3&fccid=1bc4c70bc4fea72f&vjs=3
Program Analyst (Space Operations),"$43,251 - $56,222 a year",US Department of the Air Force,"Peterson AFB, CO",,4.4,"The program offers a 2 or 3 year formal training plan with eligibility for yearly salary increases.
(Must sign a 3-year service agreement.).",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=376401bba1bd6a58&fccid=00de2a4244e56114&vjs=3
Business Analyst,"$62,700 - $94,050 a year",Cherwell Software,"Colorado Springs, CO",Temporarily remote,2.5,"A minimum of 3 years experience in business analysis.
A quantitative thinker: You recognize the importance of using data to make decisions, as well as using…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=80bd35ff800af3fe&fccid=6b831671067323a8&vjs=3
Lead Third-Party Risk Analyst,"$59,322 - $88,983 a year",Ent Credit Union,"Colorado Springs, CO",,3.7,"Analyze data, risk, and processes to include the following:
Analyze data to determine the risk associated with a business activity or specific third-party.",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3dad2ea3e936d118&fccid=5241dde0a7417c7d&vjs=3
Bus. Process Analyst Senior,"$84,000 - $126,000 a year",General Dynamics Information Technology,"Colorado Springs, CO",,3.8,Assists with data analysis to improve operations including uncovering anomalies and performing research of other forms of key operational data.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2df6bedfca3e1931&fccid=11caadcdc98800d4&vjs=3
Data Management Analyst,,ASRC Federal Holding Company,"Colorado Springs, CO",,3.6,"An Associate's degree with 4 years of data management experience, or 2 years with a Bachelor's degree.
AFMS is seeking a Data Management in Colorado Springs, CO…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fc9a468ba79ffa0&fccid=adbb342bd2008a4b&vjs=3
