job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst with Requirement Gathering Exp.- Ohio Only,$48 - $62 an hour,TP Resources,"Columbus, OH",Temporarily remote,,"Building data sets and familiarity with PHI and PII data: 5 years (Preferred).
Identifying data anomalies: 5 years (Preferred).
Job Types: Full-time, Contract.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPEc6mqoVm4GwseFQY5YayKei0DZW58N4DCVFoCPsOfxIwJV9116mReUufFekKC0cvxcg6EZ1wOMiy4UR5hV3NEiRGTuVL3uS6dfWD9Z39vbm-_4WlD-_kuwA9qT_O2D_rbtop6k2_SKGlaEyMl760Ns0IIb2P9jUpP33m3aOjuTj7uUOU1LoZfR2wCrIZKmJpxHEO9lMsRoQ2-K-vAg-eREFQSgOuTSC_en2zWEdjNsnDrWhByoIH080mXisqn62uMMUTuiHF8ArCn1DII5e9cxrrY5r1FIspEGa2BVyYFTvlhJlFFufldWdqOoiHBoQVMv-XqY94ZdiaPsbzQwXFIMDS9HCPYcGJRnZuaoxadFPJabCLLqFZPz-dG8h9nfd9LWKcdnc-hS2JcVOhWEO2gkFRZfZJZ8171r0gffNE6X7pOzwDWm0lSTykWbkFk-qt4SNi1y8W9fU2GpRCT6x-IwH9KrQDXJCldhDAGC9ISQEmn5cFOnHz&p=0&fvj=1&vjs=3
Data Analyst,,Solu Technology Partners,"Columbus, OH",Temporarily remote,4.5,"Additional data engineering work in automating the ingestion of data from various IT and internal business sources.
Test automation: 3 years (Required).",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BF44N46mYh9C644D-0F1HW5hklSuSLnbSsfBa1e0VGND7iY3gb4IFiGm7vA_84ba0kxhP-GBE9EpxHhvN0_3L6lSVsSPX9_LRTaXY6oiG7qjtfDI7OhNXA3FbD8bu1zBzKQO4dPBkr8weEz3EPY2OnNuqHGPS933IQNgFkCYQhLU5i4sWcrJ1SVVQCEu2lLuDFr5n_gImpbG20InPt3qWwRJ4NdS6nhXKh1ihD-e-4pI4Z9pYok8cESFADReuLYL9jOYC_gL8Apx4hiesxZFylmOnAZr_U8gQ5qMfrzMidM2JWrQnYLKnupHXQ_0T5s7yhhSMWiJlG29sdhbu85zQNzP2sn_Ji15ITopMpd0N-GiHBrXRE1_9K-C4aBEaawU56OQAa0hM6imBeVhm-sMC56Itx-vcZHzXt1-1P1NQl9lMbkH-QQ6YvYbhIS5VHvK90bkO5hoAtjw==&p=1&fvj=1&vjs=3
Data Center Logistics Analyst,,Facebook,"New Albany, OH",,4.2,"Experience in a data center environment.
Generate metrics highlighting performance and trends within the data center field and warehouse operations.",28 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqb9V8ztFatybzS04CYFZRHWeOG8zC-c0Tvo5AT6xjrygsm9jlOx1svP7gzyp-DDY4Q9J77GtS5C3Q_uUGvz6x2bh8CpMY-xBbE20Sp7tcBbZ7qC7wtpHjgPy--92fns-0wGQrHsCMLP2eDSNNpuqsx-mhibyNbV7eQpMmgiWTRpj1XbNGkc5y0iKcSZAjnvVDfrhDB6FGnv-WZWPCZ2g4eBqcNOb6Nb6BL9BiKcgOgsiMajascrmz7CldTpAWTX_I6lKVKJIwHudpcdlhZjeKB9tyPppwpUhulsBU7YQrv8mqIrLCJl4UT3AG0szzsNuu2qtomic8XM-7KORtEKSAXe12SMYsvDNaX6xBVxI4tbTQNVuhQu7ZpLCBOlcTuC1RxSEb-qy8vmNgY3t1qWoLbP2ZUPhEaqefeT86EpXCdtc9IB6XGz-I7LmY8kao1i4-Rblkj-heLVcjbNlCTbqo3gpfi6HCaw5MMN4eHk8s9Aifo8f7RSPH2YzzThrge1updAjz0zbnTXBCWQDXuSA5IuTpp4H8Bl4UvfgQXYQoBKq9FIU1M9dU9n7BdAAghhp9Y6CS7DVwrdpAFu25N7Td4pxZvJszNlw9ZCnINzw9kpQqGr8Z-KOm_9XCA7b1m7baIUW5EGSmSp9iNdcJWENg6IJiyj9dACmLibfzNZhHNllGXYDfHMyj9_UBjWVIw3FsuX3Gjy7yNFs9l_Ubjj90sZFUXD7xtEg7-s4mfA_G6CHYwFPTJcynZao-S6BxFrbHt3WODW3fBzH9La_HNrCn3akheipJXDBh6QKMtCm_N8dq2TylLza6O7gN2EpjmxoJZB8rWIdANJsISfz7Gbjr7RZ7bOAJvFWbtB2iBHr9xFlrwmDtgzy9OGNNO6WWUFOCSbA0kssYF_jP43xjDO8wQ0o4gcUJCVclGHb_DbQ9ajKhPAR0nLSZXsEq5Lwb18WmCXrC4xat_pgYgAbdzTh1XBym8aiwl5lqMeaTVp9lLdAfjLN5HU3dN8KP0bo6JTnLFkvKmRa2rgrQWSRruADh57lVaaw0Wat19L0tRy2FUTzn0qISeLs81A==&p=2&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBWsvb3iT59UjLx8LNKyTkP1dv2JWOoVpJTOniYFTBP_6X_Z74Sj7SL7LuFNJ1xp3F-NQTaWuRX_QcUvh6fYnyDFM3h7-pm-WIeD2HdfTqHun3JYzwm-l3tJXcZgwJcoqqbR8ttI5C9pKF0wB8w5cj4LKazdqH16KRvY8_UnpFsa23--dlDz1JhzNc0bTTCQ9OildhtS70Jcl4ZhpZBdzqzMJNaz7P7IEHztk-neuD1eX4fXjCGDci6YL689Nl7xAF7PiZGTjGsjnqgR1kxw1Yuw==&p=3&fvj=1&vjs=3
Data Analyst - Fraud Reporting,,Brooksource,"Columbus, OH",Temporarily remote,3.7,"Using data querying and presenting tools, determines optimum way to present data to stakeholders and leadership.
Bachelor's degree or equivalent.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhNN3PPgKPbTMZB0Y0J5JTZS3FnMM-ugqbblX4_m-srDJielPNCs_lvQXXEB0CV7Phlk225b0-Qmmb23V9N_6f2SU41_AV2nrP7MvnHiAAfWqPEwTNvmuC8X3uf3xF-Y5KgIOb7Elmixfwjz4PiDDL2olM7mPU4lV_B86iynYcZFa3aZaH_SVvoM5U6yxMQXoP8_5rfw66GQNE6R-P6b4C4_hVli7fyCkQF91cDnT11TAOxnyI85Q6g9PUuwBxLe3OzlF4at8tXtQBcjBW9Jy2-9FgkHytffsXobrxdFd1ceeFqPBWzsgWeGFM1w-PVmSw208tmwx8bX-lZ8Pzwk0OOxDhBcppB5haZYQcYMHWi_c0YaysEv4tgbYXdHBoIohc2QzXzDvGjw6kheamT8u5ThMgmUYHINTDnO_mbcbEJ2rwg_tf_ljfssUhjM8fjdkQxI5FnLMTSHPyXEmGJvHIS6gNy9Inekw=&p=4&fvj=1&vjs=3
Business Analyst,,Central Point Partners,Ohio,Remote,4.7,"Monitors loss trends and partners with engineering on any necessary changes Using data querying and presenting tools, determines optimum way to present data to…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7S9erXqx7onWRBVnfrkvHoJft5r7GnmLgqRoqw23W0SZ1WD3W_d9En3Dt35tYnGY8H75e9Fci9Xp6uHzVNLjuuWF5QUmp9AWM_SvBwq3_FfcZz8w7LzR9i0xBeq9srzUlVOayVUUVSnE1UOQ_WHitJ24Aysz8gelvDjrKRbYt4Vffr2UH_n6sRJkg_3_9WlIRWUKxyMn7zIMXSZKsOzYX6KpEGpS0G4mhQX_6IfEkETWJF93QH_RDEPMmapYCrghjrVPv5wAXYTYVQjLze7mmGZ0DYXyflWlBhssHEkqGZYgAxhQHn0JdBljWbjaO_oFVrHLsqnQI5GHM42pJPKRT8yJ7pH40A6JRkPPtw32k7Ufj8NKA0wjkXcdjuBcmap-3ysRfwvItKXPt7dro5adpcEu0WGxz8lrkj-V1dc4dVo9dP0GNsdK1tz8RyRa1zIrqpQ7evvH_Wm688RnedfDC&p=5&fvj=1&vjs=3
Data Analyst,,Ohio State University Medical Center,"Columbus, OH",,4.1,"Assessments and modeling possibly to include student outcome data, fellowship data, enrollment data, admissions data, comparative data, financial data;…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=7504c574553a6224&fccid=08b5d24807a3a7fd&vjs=3
Business Analyst,"$75,000 - $95,000 a year",ProLink Staffing,"Dublin, OH",Temporarily remote,3.4,Candidate must be able to think outside the box and analyze data and data trends with the focus on leveraging that data to create new rates for the specific…,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqZytOn_OILau8OEZFToxDBydnYbOeOphKe1Q33yb9r0ksP5GFJRHaaG1UTxPQzw6B3z__DGJvu6h21Sny5T6upbiY4SDzK5QZjg25zDnVO1YIX0n8pzTa-QKB7BhFfaTui1-gwHrRSSr7RSH2qAgMIw9RONJOXllPh41oyOuSSQuhgEIKs2Nf3LlTVN3lxCwxrd9zq_avRQzEnESa2j2jqlEdOAQMRCD0Df0n2aQzWMu8scfcKjQHKMKA_KAOx4bCC8cCwqTBFJJ2sbAp0PCgP8GbDmfH-TmbF7v4Lq5rpRtFw_9WPPTw7hfHzSKDiaEspf7v89DiJig3BmkitpNEVtikD_gK1f9Z0ZBk4DwQaH0-2P8SZJRli1P79iccS0LryuA5I2X6-KLw==&p=7&fvj=1&vjs=3
Research Data Analyst,,Ohio State University Medical Center,"Columbus, OH",,4.1,"The candidate will support the collection, integration, storage, and analysis of multi-dimensional data sets resulting from lab projects, as well as public and…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=5b836911e1b71206&fccid=08b5d24807a3a7fd&vjs=3
Business Analyst,,Brooksource,"Columbus, OH",Temporarily remote,3.7,5 years of experience as business analyst in any type of delivery framework and/or experience as a product owner on an agile team writing user stories…,2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhNN3PPgKPbTMZB0Y0J5JTZS3FnMM-ugqbblX4_m-srDJielPNCs_lvQXXEB0CV7PF8Tt0tPTIEZL19eoK7HNgX1JRybFQWM7PlrrZVgOBWjTmpgQ1hblEuawd9nkW_6YsRrHKdwc2BRUu5PDDSWZxyUcgYJO0_SC8SuVQeAAeaED9csVJl3L_rPR40r0Q24WgzX6dDJYgHmRvcGXmPtSmERaRIGx35N4vve6xwBWCc9PVylABMsPsD0h-Uk02kjTON0fF21pl3xwy57FtCkfAoG9rbEs4gsJYS4bYgbCLpOZVwgBaiQuh4BJjHC4uJQo69cy_UhynUGDMdB3TdgI8FfAAXR3pXUj0RiuUfVw4-kzicS2yU-7h-mSA9cdOqdF5oojb-G2mv_bAomP1yoIiBMKva5rAG4M2EUc3pTdWgxAd8Ko4dvWutnS2t6Id7cF-4PE81_hzZtbMG3UCWi_E&p=9&fvj=1&vjs=3
