job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Quality Analyst,,Center for Improving Value in Health Care - CIVHC,"Denver, CO",Temporarily remote,,"Experience working with big data in an enterprise data warehouse environment.
As a member of Data Quality team, the Data Quality Analyst is responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMi_Xw1LZlwHkefCg6e5mZCgPz2OUcuSF5uWrEu-Iixo1FbZ1YRazRVggU1cz1RZdwVe-RUelnTw4490gw5iNoiL1lTKizTkGmhJ8UH-ji9r--1qgouI-osc0eyosZyX5vcbPDR6c2khzciEtEhKZ1jvr7-x3mJaHc0OZ6ZB4nqF9nddP407OSdtu1TBW6PQlBVI0NTawDSu7jkAgMMHvHOlcVAfqGAhM5-4cJp2tWnFPuEzFWTobySd7eFxXHA4UtBGwmmszlpc3rSdiRW3-AS4ct-tlCJYqAk-vBNyv-9Oulm6QMG2KSBXakJn4k3BCSYyWu_DI5mGi-M-yvikW9GbUXQoJd8u-PHsJwdizzlnVUbTFQo6ExZXQqjcWW0PJgZA8FAiA3Yn53sNsQgHmfnonhlCTVMebjtK36PSxrzYko1ed_l9u_q_Ee9mwaCj2029bVCzdLWA==&p=0&fvj=1&vjs=3
Health Care Data Analyst,,Center for Improving Value in Health Care - CIVHC,"Denver, CO",Temporarily remote,,"Experience working with big data in an enterprise data warehouse environment.
Big data: 1 year (Preferred).
Position Title: * Health Care Data Analyst (Level II…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMi_Xw1LZlwHkefCg6e5mZCgPz2OUcuSF5uWrEu-Iixo1FbZ1YRazRDfLr0ZW81mCuBfNUr-T9tXQC8L4dOdiXN0gHix7iIs8DLPj4TXrPYtB6k_c6NLq-2SVkhvRFyE-zlaLNhOulvE_oEmsnjBL4Ik94MnGNvvH5xw6279VlC3o8ilvgOoMrt4WUpf8rbhg821US5jR2KOt4oh1n1Ut-O8-DHbKb6eoRZfoJepuMsTV24lvKJ6hpyHPwpuQ4wDlxMMEmk2IekvNIjIgCZGjy2dVjZSftmzwjeaXLEjg9O4sm7k7J5AnFJPTHX-CZQmPsS2LOixV36DBt9VPpsmJG4t3xDM-peGeib-l-vQxLHD56vfnQpNWSMcp-cSZ6VR9HsBugkB-bDu9IB4Lqob8SPDT2ghlaOc557-IwBwJghp-JCwmtya6xaMmO5rTYb-ALCJGwGZ2kGQ==&p=1&fvj=1&vjs=3
Data Analyst Intern (Summer 2021),,Panasonic Corporation of North America,"Denver, CO",,3.8,"Work with the data engineering team to create data views to support analyses.
Knowledge of programming tools/languages commonly used for data manipulation …",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=882450bf3eb30b50&fccid=1cd1990427c0d7e2&vjs=3
eCommerce Growth Analyst,,Verizon,"Englewood, CO",Remote,3.9,"You must have a keen eye for detail, a passion for user experiences and a thirst for learning.
Strong analytical skills: Able to create, track and analyze data,…",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfBIsGsYRQY8mGkDu8NVbUmhWT4eK7Vsg3lLkWDC3f5A45YIW9RFu6K0qBVSu-BSbRtgMB90KBRuT-s6ZwzlxbrNGZL-vtb8MpBu5UoLpXpw05c59FL24Cv14_h4tc6G3OgBauEvZ1w2I6vwPmRqPDzmvJJj71qoFStldPcqLkx8uYGcFdhgOI4x_ZIThQCQ66yVpcFhAS_haX8M7AItr4iO4dPpLxYHt1vnWtT2BlsWfh9MIUIGSKzbK563S8xEYeSJX2yO7SahN--Ibq3pBn9LdBq1D_y7mGfE065ItC6NzEOn-kzWcFSNGxmA4x3Mv--0Drr0JFZlnv2qBcJekegrxVWi1bV9_YyBPyYEVW2wux_e8S7prOkyeMkCHkcHDNYJR16PnTmKLz9gY38jKKgxJBwCzzHvD6shfDQeV_zFBP78LpRrooYlGeWaJBRP12qffQrKCH3_8hfTG7XvMsIPmEUXYxb9q-rqcTlOF4r4jNTkYSFqgG84D_F5VTPDKLa81b0nrCCxGssLsFGt7o4_t_hn95sQqAnithLmnKgxS6v-MndQgay_SifIdqsgEh-cY--sScFRoZl4cOYTT7S3NrXDYPWOquuaRzqbciT4MbAGEnlK7bHIHBeEomoO-dqTPcXS07i-dfgNBCIOSYdka0i2LwAxWnK-6rrSL4V84Hdy_71XdnxetUIFYtRqCrP_ecwzjMbqFU8hTomTdNxi0QNpJVRGeQzsXyX4GVtfELUroevaf7&p=3&fvj=0&vjs=3
Customer & Innovation Analyst (Entry Level),,Xcel Energy,"Denver, CO",,3.6,"Analyze data and prepares reports that illustrate progress of plans against business results.
Responds to requests for ad hoc analysis by leveraging data and…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=b666a16326ccf25f&fccid=0b3490f8005058ec&vjs=3
Data analyst - Entry Level,,"Selling Simplified, Inc.","Denver, CO",,,"Collect data from business directories, networking portals and company websites.
Contact data cleaning and updating using excel and online/internal tools.",10 days ago,2021-01-15,"https://www.indeed.com/company/Selling-Simplified,-Inc./jobs/Data-Analyst-fbcaea1a9692a474?fccid=7d470bd15c1b8b0a&vjs=3"
Health Data Analyst,,Telligen,"Greenwood Village, CO",,3.4,"0 - 3 years experience in data analysis or design of analytical reports.
Familiarity with ESRD data or ESRD Networks preferred.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aaadffb60c478623&fccid=1f6cdefa5b87fe77&vjs=3
AAP Data Analyst,,Jackson Lewis P.C,"Denver, CO",,,"_In this role, data analysts collaborate with other data analysts, as well as attorneys and clients on various group projects.",27 days ago,2021-01-15,https://www.indeed.com/company/Jackson-Lewis/jobs/Aap-Data-Analyst-628dfa371968d29f?fccid=73968dccd71b6ef5&vjs=3
Data Analyst Intern,,PayPal,"Denver, CO",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5cd6cd7dce61ef58&fccid=978d9fd9799d55a8&vjs=3
Data and Reporting Analyst,,Spectrum,"Greenwood Village, CO",,3.4,"Integrate data from multiple sources to produce requested or required data elements.
Identify and define data quality improvements.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=f5340d486a7e2da3&fccid=c2d1b0769a534b4d&vjs=3
