job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Project Analyst,"$54,276 a year",Quick Release_,"Detroit, MI",Temporarily remote,,"Display a high level of attention to detail;
Comprehensive induction training and on-going personal development are provided, so no specific experience is…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BIVHHRuZz5IXa-OB5Eh6cd3XdU5f6WPIs6xmywvj57uSr9zmiORVKA8f9k1_nETfDfPZtEju1qYmr7K72NgOlQRi_xOLoDc7rieoueOP42LF9jv44E22z3HMcQwHU1x4nhmWAdBJvR3oy7adi9hrliKpOVL622UTNsyGJ9PWh7jfHOwTOonz8rDNEOdTufNQCccAqfYLlDMyQiJ_nVh3GfjyHye-TIUiYBD0wh0KdUQ1I4GF82sSeiasohXDPAnCOZDOMIUQWTumwvRvfWXqziJtDCQoNPTp94oigQElbE2K4ldzgRDTrOclHtNR2cpORIup0IZNlOmttOwBRuBK5lkk7lz648AW1Tauu4jAt8x9MvKph96mEugl9Zv8jIgCUhEgxY2imPQOIlN62aMet2pPYqngLXgJA3dgkSzVb2_JEfnZRdUoIjlMCZdVcVxkQN3OaPy_eq4yX8rZkeooST&p=0&fvj=1&vjs=3
Business Analyst Intern,,GM Financial,"Detroit, MI",,3.6,We are looking for students who are ready to take on stimulating projects and gain exposure to a variety of industry initiatives.,6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfpH2aSe_yWN7pjV6WFrWU4hEZi9Btn9eCdDUBIhjK5H6JnR6RwimDQ4XRh_wlIGLTT8n2UaYwdlH9rYJH_znJtKAgJpq217kiNqKSs3wNYZLcqCTFSlfEQxXEoQnQoFEolG46KNmQBq_t9bq9iaFss4opaJqjzHSppmE1TCAY8ejdF1vPxhrI5amOWv5IOR148Y2JxffgLeIqkYzRtl3auJR9DVO26gwa5W62vEYKVBJxeuuh6-NlklbU2QgRAcng4TF26GT-rKFARMlRCr8bKw9n9DuJwcPXzCk52PN5Ay4bi23xoB5hZDe4u1St5V9EMyuayvmnAyrPQgTqsfYkdimw6ef95gTsL28CpfMPrN6lzeZkMVacWpKcIWvOrxOrVCWIBMsHUzIT7htDbVZhpnUQRue_5jyMr1Vs_c72MzXJWtDkNywt71axqe7FvIw7PneWwnuOLEgarCZ8rpxz5rHDWO0UKnqFvHc2PE2ZrWZ0FjafWWuUHVxcZZWsYrpB40vbKtLIsX49axBWVALwyp_Fv-atvPZqwHNJz4k1-pUMi592qBhdzHpFLidoHIgVQcwY0zhajCwvPRXmkDOfGim0EZJYGTJUP4EpmXXkNkP2q4kJ3ZVIRngC9e9NHdkPpICpi3ETvygOF1El7ryAWmpJlGvhpzWEFwSkApRtPIQkC4XrjypyBxcaVQ5_n5iqRIooUKFgOPddMIW8lHILeUkhlMqglr5z3Q41HQU82gJE_WUYxh72R44sy_eHSSvN3Xw5qBkPKZ_pwXHHfmkbjZ37vHWYYA91WyGA_85qkPZ1IuS3b4Ubj-6itTBC3tY=&p=1&fvj=0&vjs=3
Business Analyst,$38 - $41 an hour,OpTech LLC,"Detroit, MI",Temporarily remote,4.0,"Research, compile and analyze appropriate and relevant data and make recommendations for operational improvements.
Experience in vendor management preferred.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DP9fosW9IEXaU1TZ3ocreH2vEq1sd-U-IRxHoNdS6RHkqAVuspg0SWSgO6chgcdoUEFvaxD1Y4hbopktTiSgs6ZNszf9KmLcW9fKsLD9z_TtwOslCR_iXBFHaCsVGNi9Ypx_hOacxvfsCfQcuGKD-cH4whXDCCJ_sYVkx-q8hJrAni01LtGONglnltvFs3zw2PnPxMHsSyF0xv-MNmqnSqsVvf8op7kc-wrQw7MhkKttv6hIMCQhD0_NQLYhZ2mqpkg_e1xM_K-ukMvNeD_NrytVhbYDPmt7Wk5JgOBqqonZu3Sn_9EsLjBr8a1twd6EzwTog-N8ug-q6NZw_C-XZDkPUb-5Rs56UbKe3dWoLELRnG3h9pmF1QX7SPHOraoToWUK-SVdAQaMnZmmhhgIvdf1zcMvurc3nL4dWL5VfULc_YRNKPYKUXN-dA0fxW3Qde75WyxpbH4SqZtCTGEpXKbmue29AeH6s=&p=2&fvj=1&vjs=3
Business Analyst,$30 - $35 an hour,Epitec,"Detroit, MI",,3.5,"Keeping up with data trends.
JIRA ticket tracking (someone being able to make recommendations for the JIRA ticketing system).
Working with the reporting team.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyNeFrwqrtQGST5Whkqg-440fCBhMyCDYwKINpdzcRUCMgW7Ak-c_RKpR4bKz4YRha8ngLCA8GQfeYndq3aQQsmFgkDGrS6UPhOub6yWsoFnADL0HR4ySvUN2igsdNzDTKqMXUCE2xetArmp1fyf62kJyGCVi2tfehUPQMNNDXZG6E0CzRnBJFjQd9ZAYjkWH1qtmJq_WAzMiqIRWQZ0CoNMrWjmYJxH95G14NBwwRh7rJ4aRlHC4Zd7sMnZadmboWo_jIS6-odrk2qIMjECP1H6TtzfAmTsa0ypcJ5eOqeKdfR119DCqiv2IzOQqPotEgNBzc8qJVss7zFzj3Q2fg3COGrYwoNVNRHEbiqq6Y6n3CW5JG6ko0nWtxUURM66MKkNhJR7wYTLdNPX2GY_XVsH56LKf3vkdDYdnzQ_W-9gqLJP-4PbSypqcLEWfUdP9-OdY69Wj7M3rxP9Lch7q7tvGz2YLXgck=&p=3&fvj=1&vjs=3
Healthcare Business Analyst,$25 - $32 an hour,Epitec,"Detroit, MI",Temporarily remote,3.5,"TOP 3 REQUIRED SKILLS/EXPERIENCE FOR BUSINESS ANALYST: *.
Compile and analyze data and produce routine and non-routine reports, communications and graphics.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyNeFrwqrtQGST5Whkqg-440fCBhMyCDYwKINpdzcRUCMgW7Ak-c_RKpR4bKz4YRhNZWAhE876U3Cl-ykY28S5P3FhJ5k1xId-dpMEHQiF9IZIG8umiWoqG_coH1un2RH02HRNc4flhzupitmsYA144k1KkE-y-9Dpnyqv2N4Z_xuR_ft-CUd1Nm_wYA7T7MfxEemrvafBNyAKR1DXwr5o8yKVGzG0fgpyuqJvpmeuuYrKxpEQNL7tmnmIq4vsZiJ5fjYViPBQX12SSYiXMJm8DdwZJG2jb99Z8u10xBulDKxdwESri2Vqaj9HStS3qazcRRA-R_ZSOvZSifp3_DplZQ5ik0J5h1CTeD8QFBHB8ZxgS38fGO6ynWnxvzDEoIURLSuZZAIXgMlp9jQrkefBfZ_rtaGzThXzdgL_u7pBAhcWhXt3BeAx72rk74Ef6wgsGGOyZebPIvqDSPkEnJIViBvmzUeMizM=&p=4&fvj=1&vjs=3
Data Analyst Supporting the DEA,,Forfeiture Support Associates,"Detroit, MI",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3a3d578f1ec35bff&fccid=8ce3cf8e1e3ddd14&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyxq6qY6mkDjF8Hy-BPIjhHIZq_cLVt5F8m4UrV8Nxe-L7HAySuLzI6Wv_gJ4G-y1UBblCst8CBnqgWske2zeavpuU2dZD3FQ0cIn09OF6Zu8eTUQC5JjKh37mQz81auwCrd_Jr9_FCJXUi9wC7SvfVHlv-j-SQnkDPnXwvTRlWAqn9c4z8-N_6toPMrzj6LnfEqnlATSukjedo5cby5NwinYC3VhTgxvIs4H1awnOhluhTOPvdppZV2YaiZUY8ov4Ycf5eXTGUdopn0PjYWdvhbw==&p=6&fvj=1&vjs=3
Data Analyst,,"Innovation Associates, Inc.","Detroit, MI",,,"Provide technical expertise on data storage structures, data mining and data cleansing.
Must have experience in data cleaning, data merging, data verification…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f238a4db4b567d0&fccid=ef0d9e49a58757ca&vjs=3
Sr Analyst-Data-Quality,,Ascension,"Grosse Pointe Woods, MI",,3.7,"Conduct complex quality data analysis and clinical decision support for designated system(s).
3 years of experience preferred.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=091173bce7d18d99&fccid=ae24f29d22570194&vjs=3
Data and Policy Analyst,,The Education Trust,"Royal Oak, MI",,4.0,"Prepare data and policy analyses for internal and external use;
Ability to work independently in collecting and evaluating education data to support policy…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d539e4ec4dd9b32d&fccid=7ca3b12de5f63fa9&vjs=3
