job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,DHL eCommerce,"Weston, FL",Temporarily remote,,"Ability to translate large data sets to key business messages.
The Data Analyst is responsible for data analytics around customer profile and profitability…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRKh2YbrJvU3cwyCnunlOggSbwWF3i2satu3Hp4rzdsR_I9awX-1AJVzqeDJkPt8y-sZl4s4iJCTQPvY8UdXzrNeo39bmURA08JgTuXTARpM0l6FYtA6BxDoF2FjBAkdqr7EOr9z0GVG5-ebns-cbiZwnu1lrMCgQWktE1DNVQarY91Bs19arABJS60rYvLr_Dhh1-9lI7wk155OOAohUdNXZCUdMELBh9MCxUMV8Atm5PiQ1sQSK66ANXzxRgFAAmc7lpuIncjGvu_8aj5Z70Ny993uJNgmqNx4xbchVFfuRfHA2bW6gktgRUmj4KtEUCB7KurHNIybqJ1LXc3jR3GPWfmBRakroBQpmBFWeWVENaEJXgllcDjnyD9zoHnFxf_iqd70L80mV3Aplxvf8azWjOJ4p3sPNnFx_mofkF9kA3z07A1N8K34ZOdE8irhXREk8D2Iko0w==&p=0&fvj=1&vjs=3
Business Intelligence Analyst,"$64,000 - $70,000 a year",Convey Health Solutions is Hiring Now,"Fort Lauderdale, FL",,,"Responsible for accessing, validating, and querying data from data repositories using available tools (including SQL, Power BI).",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWxss4RyF_pwdzhopzipUKcTI6rpWap9ri7UYACBiWRrA28vr6dcJCtI3d2XKKpzXh4M60bYzDe733n19AQqhaAB8mAndzZV9GRP_VjnpTS5dTKuRLMTwqHIuuRXEIoVi0Um0XSPJaBBAZ-3e59o1kI0rQP8fimRZjRC0Ou6xl8rOAw_0oFJTQmNg2OeJG1kQB_dCeW5CZ5pJsloCm9p8UxYqQMcY5jhDHWbcsA2ar1qlpBaH1k0fM583eqgyClmmK1NnGeIBARscJr5es9SJTU5kE1nlNGF_R4usnqLB6vn_X6e_Onil5ApWbZ8eYkUjQ0-GK-Zm4OlDba5sOluyFU6z4zDxckZnv8tpKLbzp8ouzgN3dnreecq5M3FWdUHw5Gkh-0__PISN1BgQ4XZ1ScMF9Z3gEg6gUFG6dF5LzDm5eAPMxf1e8kowStlX6MUxh8MZat0CxbEHuTXijZk--2D_FFTwLHhc=&p=1&fvj=1&vjs=3
Business Intelligence Analyst,"$50,000 - $60,000 a year","Datavision Technologies, Inc.","Pembroke Pines, FL",,,"In this role, you will work closely with your team members and customers around the world to help them with creating reports, dashboards and visualizations…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxPke8PdZ5Q6UoxnxCkGP2XP-WGPvFLcx00DTZFxqbQH7Vl9muYBImMw8XXDBnfdaPlMtclInwZlfgT8CWG1H_yYCuZwq5_uqk5XdT02L6s_nVzisFFbAd97Ah8Z8wCo76ij2CWK4vuBJ5GnpnfDS9Vr7ATFinebUruQhB9SKGCz1BvGIg-y4mK5BxmFYo6QzScQl4Z5uPoF7mpu0VovVR3Xu1ng2Xh8GyALDGk4sTX-ATrj14QeswnLo26UyIvJDQ2x9LLqXsBN43l2Pn5ndEm5znfa0VBu9qlAHjrkCrB-VOD1X2qKGK9Am2SHz0M8LicUI3eTUXvKZxRarnjdH2e0w7htoeVAc9xRX4mqqDmVgQtBJblodQ1lP3uYuEE0NVqcaBm9M10tHU39S3sNU4__zwACF0UiZDn0o24I8Ho57LstfTamqFMnGnVm07DY79mWiyJ0h1t8QqJ5tmkMNMajNkDbqRVXzdQgOQt3u3bg==&p=2&fvj=1&vjs=3
HR OPERATIONS ANALYST (HRIS),,Broward Health,"Fort Lauderdale, FL",,3.7,"5 Years of Relevant Experience Preferred.
The HR Operations Analyst is responsible for providing excellent service in the delivery of continuous HR reporting…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CC6SYowLOCnm7x9daTQtkjn-Hw3rS-VxkmqjBGHPF8DYgESL-ucQn5HTklD5mzZEvOgw6XvxOAwYcH6PIsJ2QsirNh1C1KJGsmzpKA6NXLVnlIc33sEKrFqi7DpyBGMpzpcfYgqeadhXtTc4efvNxguvVdRPhDIfUnoCi1bbgLSApqwgBNITUs6ypJ1mO2j2hK-TgtTba_jdwZcSCpyxBCmWKBCsm_z70Gop2tgPE8ZlivW_0b8UoDykEcke9YhN1gLcZmMZHiuQEO6K3GiUNmZWzb00J7lutb6Nl3TukTx02g8IqSAFD6GtAGR_rrSPMFbAVOfAewrXo2Jx7_6x3RYNSp8VxiLisS5SLONcbZ3QAO1nGOei3MkqCqfXKhHYRNUJ6bzNjNEmeAj08RTtZywAu3oDpiwwqgkcMgfL5n2en4ECZ-MZh4pmXOVscT1ps=&p=3&fvj=0&vjs=3
Business Data Analyst,,Recovco Mortgage Management,United States,Remote,3.0,"Build and monitor data validations and reconciliations to ensure the quality of data and reporting.
Create and complete data mapping and translation between…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1OgRj1mPp9E0c0QOEVcG2vKiwPreU0b9j-bQhw1RbRTQjfIjhCVb5AZAIEmGhWEAGeY4HRcYSl24eLPYj3j_fn-f_J-Uwwk8Fvm3T2vlAA7H_3YPvNk7k64gGnDTCMAOVGqaS-WD3BCsjBuc5pgM4sPG6LVF_fS3MuWh2ptmQJM5U3h0Ra_CWiU4uWE24DcVp7Lvo1kV4txqmFMDz7K3mY7WtAqBP6TqmhSERKM_DiuO3V70PHaCMk5t5R5pC5z_ETdDqyiSWau6P0GoC9lzTSqCdYXesZ7XAw13B2OzTX-UQbM9AQ7md3iPn3unyVI_XNq_gOgn8VC-bveOmCkMc3i9HDTU6UMM7Etp32LXo6pF0B_-rzqkdeUBQsSJW36k9rtvNtoBCgdEsp-ZPj0mtf-AGCPOlGmpo=&p=4&fvj=1&vjs=3
Data Analyst/Specialist,,Q Link Wireless,"Dania, FL",,,"Monitor, evaluate and improve the quality of data; prepare reports, charts and tables of data for marketing team.
Only full-time employees eligible.",Today,2021-01-15,https://www.indeed.com/company/Q-Link-Wireless/jobs/Data-Analyst-Specialist-10397aaaaebaa1bf?fccid=438618c0e7d970b1&vjs=3
Jr. Data Analyst,"$52,000 - $58,000 a year",International Law Firm - Miami area,"Miami, FL",Temporarily remote,,"Maintaining data in confidence and protect operations by keeping data confidential.
Processing source data and related information, and reviewing data for any…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXvfcqsbi_FU5_PJm9mKUZu8dwTBhL-eYxj2nSeUHD0mgl8XzzCe9doEkm1L-AFVfLOpkdpqb53-VUm3sQGLXz48wDQAnW2gnwVBdsFG5XVv61RjpoMJzz8gSCYfM3rqYToxkIegzqMuv3GF3_33S2xmyJ9N81H6ke9QG_wtdBl0zFCfu4zzn9gsxQABJ_kVHJumexsXViKSIPiRr1CtnXFx6wjQ4CWOYgkOEYaUfGpjoL_ExEc9obDRCOTRYH1CXn_j2ac7Q7HrQqbIYopjBfCE-7vTzD0g6QoP4JmrY8iixsjbAnKoa5ldRaJ1HKr95x5y3VPkq6SaeXS_xiQenDbyCsZWhytCn8rKuRNvCNbxJbkYV0x6ABS_jyjZzcYQzJJs-xHudGaQ0VmYXryv9ozt_DPZbVg7bM8sZHUZJYDX5Nov6J0Q3yktBu-ZVf1xFns_OXeUjus3fj6aS-axJ1sHx2xLxL8Ik=&p=6&fvj=1&vjs=3
Data Analyst,,Cornershop,"Miami, FL",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIeHtLHPMAETJrGAmZPDxT2hfTVvKLICTwWPkWCxwStKiFd_PIEIinHzVpEAHHguIZ6MoR5BQfkK6sWkt69LDyfGen8i9R7gaUx8rCCVxFZ9b1AQ-GqKc5gufEBLNUeCn3OECXg_Xn8rr7h3_wGyYtJcAgpUkGjFksjry3XzOs29dKR4W3zRUmTxgfV_ha-PvhED4hZEHapyC37Mj2q_n4WiSVIJpMYvPkiuy4rdsTB9owuOlD22X8E7eWsLZDcUaHJIEm0psKhlv_3N7SglZhPbY8XRGuSbA26gOsL29IMqge_4PL6kwNm5R-JqzPkjAkX_HfuMnohy1Ylotl0VglunIMmO6QrYi7ruOzHGi2Wiw8nr0GLwX9B_5oiulv4bY-2aUOizonDAS-96mgNSRJ7o=&p=7&fvj=1&vjs=3
Business Analyst (Data & Reporting),"$40,000 - $50,000 a year","Care Management Resources, LLC","Tamarac, FL",,,The candidate will be required to reconcile monthly financial data from several payers and assist in data preparation for the organization’s internal reporting…,1 day ago,2021-01-15,"https://www.indeed.com/company/Care-Management-Resources,-LLC/jobs/Business-Analyst-f2ad46eb4a94142d?fccid=94a757d4674370c7&vjs=3"
Customer Support Data Analyst,"$40,000 - $75,000 a year",Hoover Pumping Systems,"Pompano Beach, FL",,4.0,"Provide internal sales support by showing data of pump station performance.
Previous service support or data analysis experience required (minimum 2 year+).",30+ days ago,2021-01-15,https://www.indeed.com/company/Hoover-Pumping-Systems/jobs/Customer-Support-Data-Analyst-379fceed00620785?fccid=5f0d08a725470cd8&vjs=3
