job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,$14.50 - $16.00 an hour,Robert Half,"Madera, CA",,3.9,"Minimum two years experience in a detail oriented office environment providing report development, managing data, data analytics and research.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M9LGV0O4hcepTrGMVmhehts-MYLFEydO2vj5iGYyXbc333W8j9xleM5XFYudSHL-9pBlb9D7WM0b-HYZ0oRqANmGsiQvJQ7e2NiBNclmEYAyuKR8xT72yiKtE2sTUSgfF252hnQZ9qMQ9ZWIE-_HKQ7O_GR-wSrspwsz2S-TezeTt-LBospvwL0rW36nFsdbk6kcAKDSupskJfuTMBLbWT65i-t66F9HmuvJdsBjftbe8p0hxTxxnrBQ5gejpTr9wpe7TVkRT0E34_oMYXq82dqg21l6d5S8Mttb8iW-kobPjU3EE-MhzW_ztaZjyV-JMHxZSDeaSJlMRByg9n4mCEnBcb-2pL7p9_A7N5RPz3LETGAq4lCd94Gx5ZtEFEAeIqT3G5YVpVdMeteX9E6d8EtFIo1yb9oIhhc5VjVSvRzennoWhNY6vVnB0BbFVIMZKcb-MmLoWNoJ&p=0&fvj=0&vjs=3
Business Intelligence Analyst,,Community Medical Centers,"Fresno, CA",,3.8,"You would be responsible for identifying business intelligence, reporting, and data analysis needs, and helping address business challenges through the use of…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=69b85bfac3c5d442&fccid=313b746e8d8ef297&vjs=3
"Data Analyst, Marketing and Growth (Remote)",,Sketchy Group LLC,California,Remote,,"2+ years of proven work experience in a data analyst role for a technology company.
Work with data engineering to develop and implement new analytical tools and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5gQs2bjGuRZXeHEHSeqc_qjFBhJ9sCsen_4bJtXhl9CpAQir2ExdkY_wJ74x1bBr-lMBpV83RCCjseQAkYuuVs6jlmy9LRdpbazbi_uGRy_OgoWb3dPqOe8y9kYUk-Zh8mrvM5Ct5rOHhyvFdt0H3HK5i1NQP3WcIAO97xbO-V29X1wsdmXtOraWnyZxL3K0KlCT6H32EK7V17-OCcytxr-9tzPol9a0Zq3ucp6QABnkDNpJnli8iU2r0PK291W64959Q_1xyBjmGqDy-jOtgO9NR6CLwahv0PljYk517uQfuu32sItcJ5ew1K-YFV9lIgpCYQLMH4jFNZsRA3elg4QnXksuxuvJBKIjx7I0Iymo4WV9eWVIDwH9gzYOiOyEgaZu3vZ6KMLG8yyVK0ps1&p=2&fvj=0&vjs=3
Business Data Analyst,"Up to $60,000 a year","NTT Data Services, Inc.","Fresno, CA",,3.5,"Maintain standards and data quality in data loads and reporting.
Prefer prior experience supporting Healthcare Accounting/Finance data analysis and reporting.",8 days ago,2021-01-15,https://www.indeed.com/company/NTT-DATA-Services/jobs/Business-Data-Analyst-2cd529c5ceb64e8b?fccid=ac38a400acc8fe73&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_YOZysxn36Gnrqzhyqci9dlQ-L3J8Qx3AVjrt-lwWIFnN2CGmbJRr3eUmyFg0JL_DWFY7dZnK3B_EGMgUL52RyfYHufhCdRpkjZ1ilq3-WFB78_qgfO5843h5hnvZe_3gK_l3IXSz_ylR-anbhr186NUMLgEsQu0d0OIAVE3K_TV7gatyzQ4ySVj7UBZZRwl8LpaSYQ26TwiVtwW0I0kNPQBjRMiBwr_yxNdhZdLY6vGvREeMVI8wsRjBOHvXjo1U4qNTXk3Y9HEcSB3zKGUbuw==&p=4&fvj=1&vjs=3
Data Analyst,,"Richard Heath & Associates, Inc.","Fresno, CA",,3.5,"Minimum four years experience in a professional office environment providing report development, managing data, data analytics and research.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ecd8cd7a5b08d07e&fccid=cd0ae26b77016c96&vjs=3
Business Analyst,,Ray Morgan Company,"Fresno, CA",,3.8,"Compiling all data needed for analysis.
Reports To: Vice President of Sales.
FLSA Status: Full Time/ Exempt.
Daily sales and office support.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44c5ad27d2356cfa&fccid=d2d5e25b24ccaae0&vjs=3
Senior Data Analyst,,United Health Centers of the San Joaquin Valley,"Fresno, CA",,3.7,"Proficient data analysis and data reporting techniques and methodologies.
Assist in the research and evaluation of data analysis, data measurement, and data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6257f6fd8d8eb2d5&fccid=07542eb65a79de1e&vjs=3
Business Intelligence Analyst Associate,,Community Medical Centers,"Fresno, CA",,3.8,Will take direction and guidance from senior analysts to work towards enhancement of self and the team’s capabilities around data and analytic competencies.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c1bc98537947bc02&fccid=313b746e8d8ef297&vjs=3
Looking for Experienced Business Analyst/Software Eng,$35 - $38 an hour,Agama Solutions,California,,3.8,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Looking for Junior Software Engineer*.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXgojf1lNM58UcKq0tPwfQLw1dk14B_51_qqxBe8EznSoLH076BH0PX5yGVAaaAZBVylWGnAwGvBDM-Bj3o9Vz4K2HI3xNhKanzUUdydlUc53kiif-_lHPnGUm-HIMQEdUJ-zK1ipMtb5AFgGswj1TWNWC7yEz5e9fkHaf6xZiUB89vZehEsC0XG5VVLmCaxoaq5IK2DqTeUqCle4StQFSJ2hNNBXzpHTOYpvVr5gaeGUvEvhdnuaKaaNOEBoiPSHvvaLhzz9MEq6aPFSLJDCxI1YiYL_EMi2Pu_6J18HHdu5yf8pLk-XdgeWbmxn2vdOfqmwB2S3R9NeW9xQrcjar912pjpcdy3TpflA-f69cBxhnsVDWvNbeuiswwB-d25yPuF6drdK2aOJPHnBLqjl6PIXDW2J839vX7GziQ6Dkn3CZ1gUEFwJxGHKQxvmuMiHgfxsWI5bunGZTpkrWSLQ9V-oNhuMEK-RukbKA1-9dXN-64zemGMwh&p=9&fvj=1&vjs=3
Data Reporting Specialist,$26 - $30 an hour,American Business Personnel Services MedStaff,California,,,Data Reporting Specialist will leverage internal and external data sources to create standard reports/dashboards and other Business Intelligence solutions.,11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dh4n6kbPO8moSPnzSx0F7XBWNPLGkqR0IOZKn39_8v2QJK3zFwIo9dPJuK1vu1NXiuYudiOGgPDxzKrW-_GM8MdYg4SAgnFvQiQ5e4f1j_F27tXLaHGlSfCW1NqkPJvUy_u693eyk2Ii06COWaGmngJmfYJ_gN0dOHSe5FufVY_f-gz11uV8UnKNFVuNqScIA-RGUtv817_1Y-GM_PdJ7MaKmdRKZYxEYrv8bzOO4-nusbjRsW7ogT3WyXJ5KBdXdayp7E0Q7GpXgvwF6IDXXKGqO-yw2UbW3gbKlUK1k0CD-s0MNcH-Dt2LzeV08gb4IWbAkPTYVY07gbzDqqEOwbvrKO03yMtsQ_ns1eS3VMbRwKNSzrWEhJBGP_g5YK_G3mUy-0wayrdh_QYaYVGIi4c0-rw0ug6MogDHZHoY21NV2Gxim8mNpSQXQD5mZge9kG_REdNgvC8svPECoF8zdu&p=10&fvj=1&vjs=3
Program Eligibility Analyst,$20.50 - $23.50 an hour,Community Action Partnership of San Luis Obispo,"Parlier, CA",,3.4,"Provide data analyst information for ongoing self-assessments and community assessment trends.
Enters data into CFS approved software programs.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=17de0ecd94c531b2&fccid=a570a19b148f148d&vjs=3
Labor Compliance Coordinator and Small Business Analyst,,"Dragados USA, Inc","Selma, CA",,4.2,"The analyst should have a keen attention to detail, a desire to work with small businesses and labor unions, above average word and excel skills, and strong…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b2f0768a5270ff8c&fccid=8b9d426f36a8f07a&vjs=3
Business Analyst II (hybrid),"$45,760 - $59,280 a year",NTT Data Services,"Fresno, CA",,3.5,"Maintain standards and data quality in data loads and reporting.
Prefer prior experience supporting Healthcare Accounting/Finance data analysis and reporting.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e9fd9487abd17272&fccid=ac38a400acc8fe73&vjs=3
Business Systems Analyst,,Pana Pacific,"Fresno, CA",,3.2,"Review and monitor ERP data across functional application areas to ensure data consistency and data quality.
Defining new data collection and analysis processes…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=97ad661f1460c6db&fccid=c78ea9ac2fb978f2&vjs=3
