job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Business Data Analyst,,Recovco Mortgage Management,United States,Remote,3.0,"Build and monitor data validations and reconciliations to ensure the quality of data and reporting.
Create and complete data mapping and translation between…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1OgRj1mPp9E0c0QOEVcG2vKiwPreU0b9j-bQhw1RbRTQjfIjhCVb5AZAIEmGhWEAGeY4HRcYSl24eLPYj3j_fn-f_J-Uwwk8Fvm3T2vlAA7H_3YPvNk7k6D4xO7siKVeU9uq22LRjHXGm7ZQdrScRnbNNczfdn0PQYKXvF3c8C-MX6Km7q41_pipkYVI40Rus0izyOREVeZ9LcjjAuG7gSbD6pDzDbEfc2fA0r__WQegrXMW1fyzb1A5kXOQ62sPPew70SUWQRWbTDbL5qNlzhIJ5hthJnhxmUWXSUAAMuF730Mx4dslSOMp9lrQ7XktgVac2BxbCJ7x8hk0ia6FtafuyHKGAyE-S3fRjilisgh_2cVKGXivoSriOEEjSgpe8txhlJfzeWkx8qirgwGO5N&p=0&fvj=1&vjs=3
Data Analyst/Coordinator,$22 - $24 an hour,Matlen Silver,"Honolulu, HI",,3.3,"Pay: $22-$24/hr.
Assign work that comes into the Noticing Services department to its cross-functional team.
Report daily status and make recommendations on the…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADTliTSg4K3aDxe8vkHVVj5ml6bx8ND6Ab8oliGx3AtQak9O875La2bFZ7Jqdg5u0FQXi8NY10Njrsxo5XYSrY3h7HJTbh8Gq_63dRkmNSZJxe-JclkLALcVy4muKGVmfoEO3uj0nRxUwqOp2XHZsLKCxlwOmADXinc8qPHkKidQVgw6S7UxZD7o6fHusxR69nD9xEZ_Zdat9SwsZiGqnwV1kCNYJzJKrsuqxrCZ2zyjdewmXGukmOheqwOF8MUubwcew2N5zIebfDCU6VfW4-ct6Xd2aSUj3cAXZ4b-TNRFytx_6ut6A5oxmsNuzh3BdolJe1NT9jaIY0GroaC6YScbpi0C0yPUvRnObo73FPE7CWQt-IwlIZNDimpae1I7gq1n2DoHobZnUCUZ-o-WKaXTbMNRMn1Rfi049FmVmP0ZITRkptaTVA&p=1&fvj=0&vjs=3
DATA PROCESSING SYSTEMS ANALYST I (SR-20),"$4,252 a month","City and County of Honolulu, HI","Oahu Island, HI",,4.2,"One year of experience in the analysis of operating practices, methods, and procedures, some of which shall have involved the conduct of feasibility studies and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dcc0260f3a08a4c8&fccid=91bbd9dc41595b3e&vjs=3
Budget Analyst,,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,"Honolulu, HI",,3.2,Analyzes data within the Defense Finance and Accounting Service (DFAS) accounting systems to ensure accuracy of data elements.,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ece49b928e036c3&fccid=396fb449eccffdb9&vjs=3
"Data Processing Systems Analyst V, VI","$5,178 - $5,823 a month",Hawaii State Department of Education,"Honolulu District, HI",,3.8,Three and one-half (3½) years of progressively responsible work experience in computer systems analysis which involved the analysis and design of systems for…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b44217a3567c1ea0&fccid=ce4e6cf83cbd6851&vjs=3
Business Intelligence Analyst,,Hawaii Foodservice Alliance,"Honolulu, HI",Temporarily remote,3.6,"Minimum 5 years’ experience within business intelligence or data analysis.
Implement new data analysis methodologies.
Review and validate data as needed.",8 days ago,2021-01-15,https://www.indeed.com/company/Hawaii-Foodservice-Alliance/jobs/Business-Intelligence-Analyst-eaf8368bc3452c15?fccid=bc658dd82042dc87&vjs=3
Senior Business Analyst,,Pearson,"Honolulu, HI",Remote,3.7,Reports to the Head of Enrollment Solutions and Effectiveness and is responsible for identifying novel solutions for enrollment challenges and opportunities to…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a671fe809406b1c3&fccid=915b1c0ee87e5e8a&vjs=3
Data Specialist,"$40,000 - $45,000 a year",Aloha Harvest,"Honolulu, HI",Temporarily remote,,Provide database administration to ensure data systems supports the transactional and informational needs of Aloha Harvest.,12 days ago,2021-01-15,https://www.indeed.com/company/Aloha-Harvest/jobs/Data-Specialist-05bda08d6d31f047?fccid=891e2eba644c62ae&vjs=3
2021 Summer Intern Program – Oracle Cloud Business Analyst,,Servco Pacific Inc.,"Honolulu, HI",,4.2,"The program offers interns challenging and meaningful work that allows them to demonstrate their abilities, apply knowledge acquired through college courses,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f7d7ddb3a8251a3b&fccid=552f8cf5fc4da6a4&vjs=3
MANAGEMENT ANALYST,"$95,012 - $123,516 a year",US Department of the Air Force,"Hickam AFB, HI",,4.4,"Collects and analyzes data to insure the most effective use of command manpower resources.
The primary purpose of this position is to plan, direct, and conduct…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2a0745aa3dc6f98&fccid=00de2a4244e56114&vjs=3
"Senior Analyst, IT – Corporate Functions, Finance",,Hawaiian Airlines,"Honolulu, HI",,4.0,"Expert technical expertise regarding data models, database design development, data mining and segmentation techniques.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=cf37214ceaae11f2&fccid=1e88adef9d97afd9&vjs=3
"Analyst, IT – Data and Common Services",,Hawaiian Airlines,"Honolulu, HI",,4.0,"Acquire data from primary/secondary data sources and maintain databases.
Develop and implement data collection systems and other strategies that optimize…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7688ae18215b6e29&fccid=1e88adef9d97afd9&vjs=3
SEO Analyst-REMOTE,,Pearson,"Honolulu, HI",Remote,3.7,"Collects and analyzes data on established and prospective customers, competitors, and marketing channels/sources.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e4730af721487710&fccid=915b1c0ee87e5e8a&vjs=3
Associate Business Analyst,,Bank of Hawaii,"Kapolei, HI",,4.0,"Ensures data integrity and accuracy, researches data anomalies and problem solves cross functionally to remediate data issues.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=422984aaf5348432&fccid=570fa11efce52102&vjs=3
"Associate Analyst, IT – Security",,Hawaiian Airlines,"Honolulu, HI",,4.0,"Demonstrates problem solving ability through data collection, analysis, and interpretation with an understanding of underlying data sources.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4f0ee13c7ecd1f5e&fccid=1e88adef9d97afd9&vjs=3
Associate Business Analyst,,Bank of Hawaii,"Kapolei, HI",,4.0,"Ensures data integrity and accuracy, researches data anomalies and problem solves cross functionally to remediate data issues.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=422984aaf5348432&fccid=570fa11efce52102&vjs=3
"Associate Analyst, IT – Security",,Hawaiian Airlines,"Honolulu, HI",,4.0,"Demonstrates problem solving ability through data collection, analysis, and interpretation with an understanding of underlying data sources.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4f0ee13c7ecd1f5e&fccid=1e88adef9d97afd9&vjs=3
"Business Analyst Hawaii Corporate, FP&A",,Servco Pacific Inc.,"Honolulu, HI",,4.2,"Define data needs for above reporting to be used in maintaining the data structure in the data warehouse.
Additionally, this role will support the Director,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=519163fa4bb62cce&fccid=552f8cf5fc4da6a4&vjs=3
Analyst - Supply Chain Management,,Hawaii Pacific Health,"Honolulu, HI",,4.2,"Three (3) to five (5) years of business related experience to include purchasing, contract analysis, proposal development, or related functions.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aaa4d54e3009e277&fccid=6bc7c37ace2d5258&vjs=3
Junior Data Management Analyst (JDMA)*,,National Capitol Contracting (NCC),"Pearl Harbor, HI",,3.0,"Experience with designing and monitoring data integration pipelines.
Experience translating data integration requirements from functional to technical domains.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=46f9d354b8a418d4&fccid=d82e932533fbff25&vjs=3
Data Analyst - Fluent in Japanese,"$35,000 - $40,000 a year","Selling Simplified, Inc.","Oahu Island, HI",,,"Collect data from business directories, networking portals and company websites.
Contact data cleaning and updating using excel and online/internal tools.",8 days ago,2021-01-15,"https://www.indeed.com/company/Selling-Simplified,-Inc./jobs/Data-Analyst-1a3782f5ac5657a3?fccid=7d470bd15c1b8b0a&vjs=3"
"Data Analyst - Camp Smith, HI - SOCPAC",,Occam Solutions,"Camp Smith, HI",,4.2,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2d34e9042c2ac166&fccid=0d87be5485138756&vjs=3
Business Analyst,,Thermo Fisher Scientific,"Honolulu, HI",,3.5,"Maintain and recommend improvements to hygiene of CRM/CPQ system business data to maximize usability.
Build data driven analysis of CRM/CPQ utilization, support…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=12a9b73a950d9e24&fccid=126e3afd205caa95&vjs=3
MANAGEMENT & PROGRAM ANALYST,"$36,363 - $58,558 a year",US Department of the Navy,"Hickam AFB, HI",,4.3,Specialized experience must demonstrate the following: 1) Assisting with collecting and compiling data in order to support administrative and programmatic…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fbee9f2b82c8bbaf&fccid=302c62dc6627d2d4&vjs=3
