job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Project Analyst,"$63,858 a year",Quick Release_,"Irvine, CA",Temporarily remote,,"Display a high level of attention to detail;
Comprehensive induction training and on-going personal development are provided, so no specific experience is…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BIVHHRuZz5IXa-OB5Eh6cd3XdU5f6WPIs6xmywvj57uSr9zmiORVKAciWbv3Uiqmam_1hsLq-khb35vtTjBv_cvnLBv-eQs58c9yUrE9ztgRTZl78DPmuv1zDp__JuTuahDux0pEScVb5_VJF46Ly1C3Q5EJOgwxnY_reR1n-LFrR85AK8XcqHan0G8-YgD-wEWJjugS7EyhMipnG9l4a4zDq4q83OrCwKjzuwCoZL0xjvUlJp2dXcapv0cMRNFZOHovf62ljX4I8RMQ-eRy9WYLmmVqkwc2VLQ7XOJOd0TxthZ72iKYBSQkvqwRrk_fEVdw3lLaSGQkyGQRTiLJJnEEHP3gOkom7w4RZeXUOKTV9jc0aHTdvUmVRdVChII9u8aSTHY-QaRiiod73HO3mT4WPzchiuHU5FNkSDeO2MDfc0EtLrcrMq-totEucNZwT5NWVN1dsCKQ==&p=0&fvj=1&vjs=3
Digital Marketing Analyst,,Rx Marketing Group,"Irvine, CA",Remote,,"Analyze data from historical campaigns & measure the effectiveness of specific offer promotions.
Strong analytical skills, including ability to identify and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYByV0GrFeZgXx_NAA4uq9lxZIlc6tJtPWx1_we3legs0bG5vuCEuPnLVF4E9jIAYO5-q-b_C7bZCVBYWP0aqWdCtWmxMfhr5UgQMFuyRvf_7y0P963kVie7UwxK9UKnLEuGyM7UDEZIMRnRrx1ehAz6vVNKHc-jeYjKf09thg1_sXLZdXW01p6y7THAYVZ9azZlGATAMt2QbXWinxvGJpTVXvnntM7xWKjz7-C7dWeutMbS26buTa2k_1p4CYLnk-DAxkOi5T-lBUPTuy-SbOwrOmFtO9F9D_S5gNhxpvYSqtB3nM9fnvc0e00Bk0BeAEu2BHJhsxaAiXNDrsH3oizpBjXctywdRvkMGTJVzhabok1fcgRtvd3vBZMLZwklYC7FuAmeviih2xtdYNKy_nSnaYhau5WWak6DbE4W2-b-gVtDyHkavlXIjid34zRzh8DOv0ppDzfA==&p=1&fvj=1&vjs=3
Business Data Analyst,$45 - $48 an hour,Swift Engineering Inc. www.swiftengineering.com,"San Clemente, CA",,,"Must possess: (1) the ability to contribute to the development of new processes or systems and communicate new concepts; (2) the ability to identify issues,…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAS0Zv4xcKswojT4kngQbkoNTQZvswOSZFUv10tEToz4B4K08KL1FU5VtCP_VojcuaVpAjzemLiLwEhcP2MnOV493QMh4LpoMnartv4njavIt9i-FHLVVVfO0MI3DgWPiT7hEiUU6ZI_YVF6AX-Aq4ymlbQHUU1szA9Bw4_osiaYFgNqT8NHmoxXlzz2OXojNUQ3z5pYbnkmM_e3MDzmWh-YodbLYfwDGryPnOjgMwKQ83byNJuIoj-zV7z4eQ4PJc9qsDNAIvBdQfGI9uAGhLtB4IbC69r4d6pOj-HxHBWcM3MJqHioytndbWtDfNhpr-qXeVF5Y552awquXKRmq6kMjmCsFI_Vcqe7xCoXYse5uDadYPp4H2ZhDgLFvoNF77WhHGYU5AmMrWrngtVzS4YnBLxC4WDpJRwU3-H4hZtexvTNWrkDso8Zj9uNs85P70GB2_IVIOPA==&p=2&fvj=1&vjs=3
Data Analyst,,McFadden-Dale Hardware,"Corona, CA",,,"We are looking for a Data Entry clerk for a Retail Point of Sale environment.
Work duties include but are not limited to: heavy use of Microsoft Excel and its…",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cfg8nMpyrYNGwc31gp2CXuR23VoUWecct-P1Jm-3Zd-WSgPMOyBaZtv4Tsa9djdhJUnenQZvajdSPfb3JrGBR2yt2cHUK3lXHpQAZv158qccfXHlxm2XokOnBuXArDdIOKKiQOo7WeKfeHSL3SrLj-Fpic0jpPqTwD8YOiAwf6b6nZAf8_HsQJo3imG_B9n2eTCJByqu8YboieEdx_NYm5bFO3Ejh393JWim1Njb0NrRm0N_-tOvqsvLd6f_gwf7jEaB49c4-4jOPer23sa9P7SJ-Jbqca71T0WZQhKgvyBNz93QWkWYGQ4PQ64k8S86hrAqBeYgyD85iATC6yRMmLFmhxxPt-9hFNdsmY0nRTawRU0ZUq3dIBUYxLXR9ZhpoX_XZ68GYMMz7Rafk-e4lNTXJwIQX8hKN5uscLkWzudq5fCZ1pn0KiphjEsSKD3Qo=&p=3&fvj=1&vjs=3
Data Analyst,$30 - $35 an hour,Elwood Staffing,"Costa Mesa, CA",,3.6,"The data analyst will work with all other departments to ensure our entire company is on the same page.
Bachelor’s degree in finance, mathematics, business, or…",6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9CCW_whsfuxkPnrGCWiwBkt4X97eCfQxgNKw8n15uOBmANMz276YxxQYnYd9cn1CYW4Mztn51ChEEQLg9Wu4f3YjmXG0WmkxANU-uk8eyfuaXBdhvzhlUXBAuhjodSiZEe1lMIH7MBEB7v4_CfmkmVnFmwxqEHg8s-EWybrl_eqZPR6q483TnoVUv0VGVB_RO5GUA8VILJogwym0CNo8y5QYVPXHTBUsco-Hcgu6iP7H2ZeCM_M11kZMChnNiyPUzKKT3d9j0G8pqUcjY2rmNC5O84ryG6UdYkhQ4_NKOsYUhpylbGGYCD5waKDYCwnqn4F9-sNVolWNn4f2MTOEqzEXLnN003xMM04LrEm88UyvN2xdrxrLZl60vlVK4MgpR2mSIpFM9Z-54rqT_VvKP1GJGUrB0qciElsj9V8_K3taXcB1MQxHWIF9n0ZBrVD2Qo1DqcQj7htI8relf7B3JNAJD1vKS6YmWfR9ShKwg_x4Fpyv7pKpxZcFpvbsWxwVtIkYgOzND7M4aglDqgogp&p=4&fvj=0&vjs=3
Data Visualization Analyst,"$125,000 - $150,000 a year",Vaco,"Aliso Viejo, CA",,3.7,"We are looking for a Data Visualization Analyst responsible for creating visual elements like charts, graphs and maps to help customers, business partners and…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tY21qJFDA4GXOwz2wFg-lK6005jvjDhXV5d57OvPqiINZkzrX53ih5mqq0qCNwfaJBsL7sBsjmQ9FqulvB7iDctGIFm5hGlZU6Qfykc2ZZthNVil0pDLK6NwFOAEbEAcfMx2EZtc6C1DXfj0ObGjMjljbsv3OVSrgE_9ytaF1LHBXhtVzzLHj31rk65O2uYY2AIj-gUYv7quPDHO4LT2f426cw3sjP0jBQgXeTF-ZdKvOD3AFMzeP_Du557PMC_JABKQ0oBUYgLUqiJorNbfjd4K8ZQ5elPU0qPkh57XSXM2AvcLvsOLkH9iuNtvz8zPkLavhvirN6jBaGOzSjQLKsygX4EaBAWj8NTEyVCF2vVpxJ20KAYNb5KUYETE70vUr6aQvuITZCK9obvGKeNGzhdk4j_6fQP_DjS3O4A6g53zmvfFkt8fZi&p=5&fvj=0&vjs=3
Clinical Data Analyst,$45 - $54 an hour,"TalentBurst, Inc","Irvine, CA",,3.5,"Clinical data management: 5 years (Required).
Bachelor's Degree or equivalent 5 years of previous related experience in clinical research including clinical…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AytblDjMhCTRr2PwXSTF3LlCyagmIhB_qBKYhkTsU9J-V2meHhMN7uouPxejrpBnoq2Sbh0iuXak4M60rQ7J_MF7-0kbzA-MHcukx_z9jRcXh7it47Z0cpHjRB3_up9h1Ce5RB2m2IsQ82wFh0ML543hlkF4ri2TaUQ0R0f_Sp2pliNSzWV3JfGyGSqUZ6SsuehW3rz5WPOYsxufCWwMbGuSNw4fTZmritpLVzyGg3bdIGl-z7UhNiluS8PrjvuBPs6LbbK2Axb14xbiXpJqTv35_iK1Ihv2bFPuclZG15zR1GELe1ArjdxFw5dt8rk1JngD-k2TfSRv4blAi1JCOJgW_qKLNWomS_GMfr3otFafy1SlUKJlRldcKov5wgjE6mHSEVOOLymEpekhu1XvPYbGm3cQ_yfVvL0WVhnOb-da_8D9EC1O3ASs46Ta19KBGylYlfOrM7-fs2CYTa1tr_&p=6&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiT9Zxt6HwjOWrfRHymIH128jplINZLQYORSdMjuBqA5MAiI-zvA-1esBGpsDSPq7ZXSTuZGRup7Do5GiitU6swRe0N_c63ClnJkGMhDVgKa1vLTuMdoIBEAb--uu8csObZ2ZpY7X5QFM1QLnn1qPFI4m3omxADBKHtV7oSxQNHFnENtlxexFAhxixcYfN_sTDQJA_R0b_0tXK4_tW0dhxU2osHetekMHTMNHrxcH9hz8kJ2j2EqGSAzAKQInjsYcDx4DFB-qbriJm1jrWpzcMbpfgvegeQhubw==&p=7&fvj=1&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Irvine, CA",Remote,,"Collaborate with data engineering to ensure data is readily accessible.
1-3 years of business/data analysis experience; digital advertising or business…",30+ days ago,2021-01-15,https://www.indeed.com/company/Advana/jobs/Data-Analyst-1d5f9ee506ca93ae?fccid=e0b053b31528f9dc&vjs=3
Data Analyst,,Tabula Rasa HealthCare Group,"Irvine, CA",,,"Take calculated risks based on data-driven analytics.
Passion for data and digging into the minutia of datasets.
High sense of urgency and accountability.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2f492df6dbe1c612&fccid=58bbf1488beb9e42&vjs=3
