job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$50,000 - $55,000 a year",Confidential,"Little Rock, AR",,,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Work experience as a data analyst or in a related field is required.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7k1CpfGZZfxnJJLvGWkA2gZNiDA8aNvxMhiyxWTbuWOT3yOBeoKhIyNAOeOMfLx4UPEkxbdlabmllSci7Yd9LotqbDWuQenQVlUqkIXhgc9l2m1N22PUIS1Iz-ziNNziyJNCfaDiznFJSX1qZwjwq3NxlmJp_OqAYBfHl65WMCoLyeEHyngc57d6vRrzv4fYrYnpz3ca6vf09cBr7e4dNjQg-Q_WrzMgxrAQBhsZny-kvcsU8oCNBy58eJmYLcQYxm_lI_ILIynYkBx4NG1xNAgl7dqV4illy_mlwTlXa2Sad9U8X7nHKmfZeZKvLOl85kMxyuZAaXfEiOhDaqnl3GCZrt66t8x2_qdtrHEnQ8XQ0snfB7d_hOuza6AEte-v3zmh3_KaqDUjX-bjfQ_ukjac7qYHeylhVfMWOqcihhikjd_P_LTWhefnr0TKj4oQ=&p=0&fvj=1&vjs=3
WMS/ERP Business Analyst (Remote),"From $70,000 a year",ParityFactory LLC,"Little Rock, AR",,,"Minimum of 5 years professional experience.
Professional Work: 5 years (Preferred).
Solid Analyst level SQL (views, joins, data pulls).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1uCLsKvSPv2C25Mk7nQADb0PWkbDXumgDiNC9sa3p5qLtcdXM7AmQZZR2VBZ8_Vb1Gv5dC35v4CQQ8-Ss3pMoE48qHXqsb8gzZCrwb2P5SWZqtTSRU-rB22s1DqX3ySulPDnfSnlzub7_AcKxwFgSN58s7c9gUQ5eQ8ivnjGGroW-40Sv-ZZtdTOYuq23eFhDiTz-emlYNbml2RKLDsn7KD1rd965FdbyTpdQTY4qsVP1slBCNUjAWqS2S1aoHSkJ8pCrKPrl6FBAMNOvVhsUgdkyl4_jLm20fhFMdPguxdGgUsa_Ds-XWpsFW65QgfaCJdQ5eE-Rmm9W50Yg59TEIE6iRL-4oDyBs56ZmraKhd23bK31FW_Uh-8-1vlcUZiwlsOIDIwUBAh01WEpNcJ139Ig8AqauYk_MY9Xhb8nZ6V4KlIbl6DEwM-uzGuopozwR0g9A2EkA7kivOFIBadfkkICUN72Q6E=&p=1&fvj=1&vjs=3
Call Center QA Analyst,$20 - $25 an hour,Wipro Limited,"Little Rock, AR",Temporarily remote,3.8,"Ability to analyze data, share and initiate action plans.
As Quality Assurance Analyst, you are responsible for performing Quality Monitoring activities using…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGVQvK36nYla10ZULsgNKgO1lLUH3jy4hae6ETXKex85jPNZHS7aBUpYNbqQISTq6QI1cFqIFvtM-sAmEoHTgZ48g44DSuADqlntmm4LsUKeDhWK7RsI61Gjo_YJxA7M87HdIuKU8ogQ5Bc7u2Zu57TkRUf0ajBLDNxvofj1vCIWpIPBFianjcPMTGtB6BguATPkanM8OQ8CtuMAjTaV3Phu3rFZGAB31lGS8RDzXbsusazbCBmsN3FYV_DrR6RNWx2L5ty1U9uhMVSYBLZ2f9uGQM3Czr16TL_AKmSoj3DdpFshoG2dfAElBPwnNrFp0vgHM2Lo8Ftm1pS7VfZRe8pDRK6bAtQTXpFukZsr9yQcLqMtiOJ7VMd7DlYx3TUGix22JN8yWPp2ASiCTVIav7AdOUFtGwgb8B6T_Q6s76OoMZv2vp3W9RwSXKrJECU2dBPf_ptPiyz66k7nJSwONT&p=2&fvj=1&vjs=3
Associate Benefits Data Analyst / Benefits Data Analyst I,,USAble Life,"Little Rock, AR",,3.4,"Good data analytical skills: able to understand, develop and test the relationships between configured rules, eligibility scenarios, data sources, and data…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLkMr7ZOBjvJUrZFpF17GJo3qXGiWVLycThT-Vb5MHZg9E7OR3MbWvgc5OMJ2eIAkLdrPehe_euFrC4TDqKX_pr6nH57OhkUhBq34eR8qaSBYoWfbDY3AMVrWvmduSUYAPXj3NRBjXvyYlaotctfbwILa-saAf3TtvP4B0vE8bxeuS4UYnPXPNCqIszkjO-IqQbXZopf_Ay78kchbyZOsLSnBk1g0Kwkl-eG5CxizkFIP8d3DeI2j4KbowPA5MdALrSZyrCYk8CgrnLLiMMwujy5Tnyj3Odq6i9ctApxrNTohrk00ueKbdXjncPpipJ8t0gHw6n2kVNVc8tLgPaOa5lU5vD90-Jbdp6CUDYvL7pxlJF7b0ARWs10F2vHFxlz7z5MqAFjTLHbolc8ja27eZw9eZ8vCB9__jbO69rbDTerS8jW6TH2H3Cvz4v_uj7JatYpi33EtXEkAc-ROHA0tTqyv3B0xc7nhS-_IxVQxmFZAbrM7F9ffBs8-cAIuW9TEcBFIKfhpSs1vcBXEi8t5nru9EyDcCItC9F2tSG02R36HpBTjcRGlPnxXCfcMhR_yFkxx_IJlZzX2lc0WS3E7d3Pg8amUpTsJ-9FDyguAm8mYlSch0REYSigGaKKsR0ge5gq4TRDPs5HQpzkjTagKXzlzZRPk_ow5ImaFowIK3kWmReIg4Qy66GcMCvIYJFeh99ODrAKN21MAVuWfY8w3rc-yUJIhcLS1Vc4hTzH_quK8Z6LtcLR9Rkg5IJLB8zPi_Wrc-bS705R1-1ohPaet3pJGSRf401eWGs9zdcC_HMg==&p=3&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_2hU12U3UVkGANUFT_C3Oqqxhj3Hud17Aqrqyfv_e0RuY8u_SkbFa9LA5Cgj2xobZKI_IoSsRmSgT3oMMVm3hmlR5-FlYsS7qzR3yt5cEK-H_i1_tOnhuOh5__2T4a9cvXK8LlruSifxjMQKEygg36zCs59Xy-s9bJzQHPHu5TLk6jkr3QEudS9DQv6yNy76rYXSi35_jeCZnC0_yCTuUcdo0br41ZBXPf-Si4S7S4uhnX-b4dK7ZCp94YxAif219ojBo4jk0OGUeajCz2oHk1wL4h5IDfJnc&p=4&fvj=1&vjs=3
Business Analyst,,Dassault Falcon Jet,"Little Rock, AR",,3.8,"Ability to analyze in detail the data and business processes and make recommendations for improvements.
Minimum of 3 years of experience in a project oriented…",4 days ago,2021-01-15,https://www.indeed.com/company/Dassault-Falcon-Jet/jobs/Business-Analyst-c2d0ef9f4f8f47ce?fccid=9ba13fd5f80ec40c&vjs=3
Data Analyst - Apprenticeship - Central AR,,Arkansas Center for Data Sciences,"Little Rock, AR",,,"Gathering and analyzing various types of data;
Compile, model and present data insights to key stakeholders.
Proactively identifies issues and opportunities to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b77d67c7a6f69ca6&fccid=d4f9c2eaf069523f&vjs=3
Event Data Analyst,,TLI | Riverside Transport Inc,"North Little Rock, AR",,,The responsibility of this position is to follow up on events triggered by speed and behavioral monitoring systems installed into company and lease vehicles.,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2bc66d0de2d90dee&fccid=85cf0181b99fb8dd&vjs=3
Data and Information Technology Analyst,$18 - $24 an hour,Community Health Centers of Arkansas,"Little Rock, AR",Temporarily remote,,"4+ years of data analyst, business analyst or quality assurance analyst experience (Required), Minimum 2+ years of IT support in health care.",8 days ago,2021-01-15,https://www.indeed.com/company/Community-Health-Centers-of-Arkansas/jobs/Data-Information-Technology-Analyst-b91f06fda7e91163?fccid=773fc295907ed3d2&vjs=3
Data Analyst,,General Dynamics Information Technology,"Little Rock, AR",,3.8,"2-5 years of related statistics/data analysis experience.
Provides data-related training to staff.
Ensures the integrity of project data, including data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ac1b0de23439730c&fccid=11caadcdc98800d4&vjs=3
