job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data & Strategy Analyst,"$60,000 a year",JVS SoCal,"Los Angeles, CA",,3.8,"Keeps to all data delivery schedules.
Data request coordination: 5 years (Preferred).
The position is responsible for data request coordination, functional…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRhxd35rHC5GGhX5bAo3H8gSLyUjVcCmfq8df0H6gOK_QJf_upd978dEtkzFnT8rnTT3N_dMm4ypSSbjJNtiJ3YNj8lk2yopeDK33hhWjjfuzCVVAKzAkjB1y7i33gJztPUbnmN0tU6Yxr8hfoQA7SgLZmV53l2IpHK1lCtOWX2Ne1l0Y6Ja1IkbzSoO240IJFffRdm2rWlpe37DcTqRnEhwnSabyQIV_0a91P9DCF7-slYfINGWuqbHhSjoKqj4Y4W_Zpy8P1vPGiwUvbCN7fgo7opeCJLvt0Ofm40WhjjvXXIt7U_typM0u8HhfqELiMQEsT9jO8yl6BP6QyywAao4MZar3cKLjPbktEA4_KOb9LwX0w8HPaUt2RVr9asLJMk5qe9joYBHWJTy49H0mf07km144mOOLQYOx8i5oWcFiNj2YvwIk1QYPkQGuYWbsbD-iqn5uRjxclRz_JX5nD&p=0&fvj=1&vjs=3
"Data Analyst/Programmer (On-Site, Torrance)",$27 - $33 an hour,"Magnetic Component Engineering, Inc","Torrance, CA",,3.7,The applicant must have experience training supervised data models in Python and must be willing to learn new programming languages when necessary.,4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZS4axnAl5446ZPbw55cDnRe2gvKXPq1pJwnKA0SPLixMh4DosgG4vxNHIa_KzM1GL1O7LTZpKd-egxfzn-j3NpnNeWQeGU-NUEOem1Vnon_HYq8PZbKvFO7qxqhjGjqqhRVM5U8Dr2fh7LmL5I_Zd5k00Dj2ZbzWRtIr_GEv1Pfi4rSdEwDJ33fic48F2rKUvdINYN5PsvRzH1ZNSNuEWlhjdjj6aO4RrHLucsDorM6qsUlPYvj_yxgKtgcMhhicvbTVZUuIxPWAqV8XfuCpMWmE5XPfq3W8O8zfLQjOiLSbpoXL2iiURAgUv__iyRH-E6g6IvI6VY1tlIpY76IxB-J-PUHtblf1DMYOPqBnzuJIabzBrflqN8zY0zSLzSoISgvEr_2nV5tAMiDkzLfTdsCetN13x8AwX1aUeZVsAa9B2LoMwEBLyEesO39FBWDagxZrR-E_1TlEJyadXYDMAKgxsrjIekTw=&p=1&fvj=1&vjs=3
Public Health Staff Analyst - Finance,$48.15 an hour,"Healthcare Staffing Professionals, Inc.","Los Angeles, CA",,4.6,"Strong understanding of statistics and ability to analyze data and create reports;
Y) Helps streamline workflows, expedite completion of assignments, and…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBC3QPWf62_ZujIdn61V3p_wwz_uNSPeOtTLODVN0YExeTuk-ICDJs_otcbVY2zfOWM71yJctb5G_rNVM-RtP-dbBQMdnt6xFf-Jgp3QPQTz31510APLZd7zk389k0bsc3lg0ZSS2DKb8ZPeDxRnqaRMc8J1OMuafbOa61PvaRi1vgKLUf59vhDIJ1q8Y3aM2Pgf3rb6ROwakOG-kkAJrnM0aUalcuZIk0CSXdwUA-upauBu0jEol0ILh5p4byizbbvvCXs0rxPMEqpB4g8-EoZBmtzThqhg67cvWTQEC5yegPaSopj82SUp7cWstI-mjYZu4AaobOB88Y-FnF9AmDVNe3TtYQlg6dXqoE7VA2CTdjyNVpiLIOfNtXNLnVtJSV2ezNQQs2aTfI04wEshRAdAzAuupHDh25b3IAONL4v8XN8uEPqk3KA_FXd_-YTyJ-MfMVriAE5gdi0NVDCRRFEibvB_kaaCYvegEYE_RL1A==&p=2&fvj=1&vjs=3
Public Health Staff Analyst Liaison,$48.15 an hour,"Healthcare Staffing Professionals, Inc.","Los Angeles, CA",,4.6,"Strong understanding of statistics and ability to analyze data and create reports;
Organized and detail oriented; and.
Paid Holidays, Paid Sick Time, PTO.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBC3QPWf62_ZujIdn61V3p_wwz_uNSPeOtTLODVN0YExeTuk-ICDJsRMyL79OslzmLWo47NtKqmCrCGRIcG8yGz95rwFB_5RYYriEzDzXnssFWE07g3aYjHLwb_23liuSUgw0nLBXzeufsbE51UHih2a9tBOqgBhv87BUZYURM_cKMOJNW7xTBKdKyi4ZEYiaYtXuoMoJ_qMitMG2uJN8XPsxCfgWTP8Nd0UvmwCUrzSvRnvzAu8QTrHRoGFZ0QSIV1xPjB0uPDAVUpCplad6NNU9nXGCIIjOKjPGnID8TVsRVykPyCkM9M0Ndh8TM8SjNACjEm2MN8TBUGGsCS4hlAnb8Fs5lnIu2TWub7_m3abpTzYOFYFKQ3SnaMgL6PwIJCHsp9lK4sbjX_6fEoi_rqnnHr5Rj6OGf_D7o490oJJnqVhkeL1FItIwnHjipyXPYV-6bQdkCheZtbT_vKug2tgEAsAlvdZYBsahu8KFGEw==&p=3&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiawrMjf-sBOJ7BY2_UfkHtGFHjy1f3yq3nLuMFaqpme43EqRjxv3O6dTnxBR_yLvDERUbmr2Vse-Mm6Q46zz6mC25ST21zlI8Ztran3cLvsdY4veE-eIGwhQ5-_wj47njUYavotncLIuzdmy1eA3twlS4IT5TzJ4XrzM-xtCl1pKtkVwZkoXOJM8COrlIf46er9vQXl69RZkWbBtKQAe0rMNpIii3nIVmVb9oPY4_Kmh2hb1K601vwff-1hGlbi5PAZlMA-RfBpoBYPt_odFr8aprCsQT_BJusoZIOQ4v7c1&p=4&fvj=1&vjs=3
Data Analyst,"$75,000 - $90,000 a year",Everytable,"Los Angeles, CA",,2.4,"Structure and clean large data sets.
Manage ad hoc data analytics projects.
Advanced data manipulation skills in SQL.
Reporting to: VP of Strategic Operations.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a3e31b86a3627cde&fccid=d08fb22ff6254c1d&vjs=3
Entry Level Business Analyst,"$64,000 - $74,000 a year",Cloudinfraspecs,"Los Angeles, CA",Temporarily remote,,"Review, analyze and evaluate business systems and user needs.
Document requirements, define scope and objectives and formulate systems to parallel overall…",7 days ago,2021-01-15,https://www.indeed.com/company/Cloudinfraspecs/jobs/Entry-Level-Business-Analyst-7965f2adc7dc0c16?fccid=1f9ec428ea097d8e&vjs=3
Data Analyst,"$55,000 - $65,000 a year",Brilliant Corners,"Los Angeles, CA",,3.6,"Proven experience working as a data analyst.
Acquire data from primary or secondary data sources and assist in the on-going optimization and maintenance of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bd59ede3be9a2654&fccid=ad6efa7b38e5a8ba&vjs=3
Business Data Analyst,,Moose,"Los Angeles, CA",,2.9,"Strong analytical abilities and data storytelling skills.
Retrieve, gather and organize data from diverse internal and external sources.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=eed44c1f1696f6cd&fccid=3843de4e859de202&vjs=3
Data Analyst,,Therabody,"Los Angeles, CA",,,"Experience with QA and troubleshooting data.
Understanding of data warehousing and ETL techniques.
Knowledge of data gathering, cleaning and transforming…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c467a431c19d27c4&fccid=0ceda118b49fb4a5&vjs=3
