job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst Supporting the FBI,,Forfeiture Support Associates,"Louisville, KY",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=70b16354486b28c2&fccid=8ce3cf8e1e3ddd14&vjs=3
Business Data Analyst,"Up to $115,000 a year",ProLink Staffing,"Louisville, KY",,3.4,"Supports the communication and education of master data standards, definitions, processes, policies and tools to functional data owners.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqZ3H8LwPEA4jawmgrgpkVto2uteAWYJOQ7KOs8AfrhlGnOzQO_DuWxT5K1awzgl3jBbKfX6e7K8XX9fd2g4Odaulygyv1j7LJGzBDyl7VbkSA3S0HerOEcVEZ8TLP5Pv2iAKzkfyAy9Fx8rpSa3R6kgJYgYxFVbHICdyYRho0WeVl0xXgPHMsQ5hKV-Wfu50_JWiIbywZoSYEmU2vCkomHBlQW0N9IYHeFfiiwkcVNt3aJwbdGwrw3Ubt7PdhmW63sQZLeDQ6OSFJAQ7kyTjFOx6XAd-i_GihLqoJ5u6fFj5zxvX0JYQ8mIdxb15qMqAJ9ICmmIgFkmqi6QNbbfpm56yuQkOLIQXzGmzZhKQEzIKeCYhs3RVRizqQZ13biqqcrsVnmTL1k4vEDs1KiQ6fO8OiL-NKJ1Av4=&p=1&fvj=1&vjs=3
Data & Reporting Analyst,,Waystar,"Louisville, KY",,2.7,"Responsible for talent data compilation, data management, data analysis and reporting.
Experiencing in data analysis and presenting data in a consumable,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ad8b0e45f2e4fbfc&fccid=71837aa59789b196&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx4Rhqyr6rUCajAywWUVpDG-Q8gqg5KqnKPeomGS6gfscORcUgBRt75NW9OLKjFUNqPBJkreSb0KwAYM0cJkrj3PnywOjQOf0m04tKcI3UDcYAcoe5MmF8k4aOD5-PQiCRBrsUWV50xCqKdqVxGvRcKhPYu1Dz8dBKrPZCHzPg3lJMyaHei9Ib1pxEGoc8rV9er-6bPW1_1UiRyjCS8cDwS_OCuEL2RkWK_g3FVQjsy58YcSsKmXrTBM3mW9e2l07aziN92L-tnbcIC2ZEw-E4CGabzmtysHvO&p=3&fvj=1&vjs=3
Business Analyst,"$60,000 - $72,000 a year",Motherson Sumi Infotech & Designs,"Louisville, KY",Temporarily remote,,"Business Analysis: 3 years (Preferred).
Interpret, evaluate and interrelate research data and develop integrated business analyses and projections for…",1 day ago,2021-01-15,https://www.indeed.com/company/MothersonSumi-Infotech-&-Designs-Limited/jobs/Business-Analyst-014c1255079aab6c?fccid=81ad0cb8362d32d4&vjs=3
"Managed Care Data Analyst, Watterson Towers, Days, Full Time",,Norton Healthcare,"Louisville, KY",,3.8,"This position will update the dashboard, validate data and forecast performance reporting and functionality.
Managed Care Data Analyst serves as an advocate and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99b9354ba9f7f30a&fccid=322aebb0e5cd7cf3&vjs=3
"Assoc Analyst, Provider Config - Claims/Provider Data - 2006315",,Molina Healthcare,"Louisville, KY",,3.3,Maintains department standard for loading of provider demographic data with affiliation and contract assignment.,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6756fb796a89c1b4&fccid=61b6afe09a420e77&vjs=3
"N Good Health Data Analyst, Medical Towers South, Days, Full Time",,Norton Healthcare,"Louisville, KY",,3.8,"This includes, but is not limited to, entering data into a digital record keeping system to ensure data integrity, acquiring/preparing data, ensuring data is…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d53f06e77685d82&fccid=322aebb0e5cd7cf3&vjs=3
Data Analyst,,TwinSpires.com,"Louisville, KY",,3.3,"Experience with gaming data is a plus.
Ideal candidate will possess a passion for data discovery and analysis.
Assist in the design of analytic solutions.",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=87da9e1055481aca&fccid=7736d3d27ba5660b&vjs=3
Business Data Analyst,,Winston Industries LLC,"Louisville, KY",,,"In-depth understanding of organizational data flow and its uses in management decision-making.
Education or experience with SQL, Oracle, Power BI, or other data…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8ae8340c8ad511c0&fccid=3a80fac20ce41572&vjs=3
Data Analyst,,PharmaCord,"Louisville, KY",,3.1,"They will also be responsible for implementing and maintaining data structured data exchanges, data visualizations in Microsoft Power BI, email marketing and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=acb1663c07c98f75&fccid=47669b3bafe96dd2&vjs=3
"Sr. Analyst, Data Reporting (REMOTE)",,Molina Healthcare,"Louisville, KY",Remote,3.3,"With limited supervision, the Sr. Analyst, Data is responsible for data compilation, data management, data analysis, and reporting.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba17b32462e9f758&fccid=61b6afe09a420e77&vjs=3
"Data Analyst, Supply Chain, UofL Health, Days, Full Time",,UofL Health,"Louisville, KY",,,"Minimum of five (5) years' experience in Supply Chain Management required.
Responsible for the coordination of data management services for Supply Chain in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fbfa6422fe4f6a16&fccid=8ac4e4a00a6330c0&vjs=3
Data Integrity Analyst,,Baptist Health System KY & IN,"Louisville, KY",,3.8,"5 years of experience in HIM or other applicable departments;
5 years of HIM experience in lieu of a degree may be substituted.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a84ba6293e695e0&fccid=d424be14a67b815d&vjs=3
Healthcare Data Analyst,,Humana,"Louisville, KY",,3.7,"The Payment Integrity Professional 2 uses technology and data mining, detects anomalies in data to identify and collect overpayment of claims.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=659951aaebb5b39c&fccid=5f1f0e6dcc6cbc83&vjs=3
IT Business Quality Analyst (BQA) - Remote Contract-to-Hire,,The Rawlings Group,"La Grange, KY",Remote,2.3,The Rawlings Group provides payment integrity services and claims data analysis for health insurance carriers and their members.,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Avjw-UFBupFzYjukQLGtHR8mTE4utFFS5eh1bQlJBGE0Weaws3VfX6n31wtOi_NpEc80YM2iDd4XcCK1c1nSyglXtSszxs7H68SUWuh_QCaaOGtnwOKXU1drAmhL_GahR7gom3Pq2mkru4_5Fd3dQHj1UOQS0UOVlylOfqkOyjXXsbmfPjpPHbdzr5YnyDqFQs-fsJVDsfJCuGraUXjb1CVozOIE7EHBxe26SIen4i5o8L1SihDtQ-GX0fUEETL3xA9s-pfAt3PYMfGWsvVVHfXlXyrztVZGbGlyWq2TYimdH6-8UdLFvac_P7MMKPcdRTGFSFkaHsQCvR2gTmM5-S9EKAJGCqHURKIVlX63A2n1G8NxJnai4Dv85G01ga17_aP3L8wXpk5zGmHb6be0gJOYoSOlhRl0foKLaHq25EtXplrKVRTXxrHcLSWankEpnJxsh_P5EP29tjjzotpvj4prPePuG8efSnXwNJgCzPaBRgmXjfB3tqa2Jjz906TgshytBDMA2YGjmLtrIOaog5XY_IfYqli7e4dySvHxwCoxx6Npk9uCSBDE7UQdB2fCysDLVrpeJ9uQVMR8op8QFLPZKunHTPG6Y=&p=0&fvj=0&vjs=3
Business Data Analyst,"Up to $115,000 a year",ProLink Staffing,"Louisville, KY",,3.4,"Supports the communication and education of master data standards, definitions, processes, policies and tools to functional data owners.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqZ3H8LwPEA4jawmgrgpkVto2uteAWYJOQ7KOs8AfrhlGnOzQO_DuWxT5K1awzgl3jBbKfX6e7K8XX9fd2g4Odaulygyv1j7LJGzBDyl7VbkSA3S0HerOEcV5ZJw_AVhvYY7scK2_HRwQ1fRTcaCrkuRmS0BuIioB5A3xLiFCQZ7fmlc7AwYrPD3FeieMomDKt_IFftSs_O1oLU-IFly2NdRJpgb2RRchH-1oKshG6SOEpA0aRix4JYNrXlqF2F0pgkduH9nwpZO30IYeboNqiJ_-tfQZkso7UoTIJktYIH4zEDmbvYlx-ikA1FGRLp84R0ss_IZ0b_A7YhrOAEvMjbFdF3UegvQCuLIUuiyvXcAzsXQGD9WIIZ6ZgPiC66KIiO1LF6aiqSrjhpq2Zd04iNjX8_KDJpY7SI=&p=1&fvj=1&vjs=3
"Data Analyst, Supply Chain, UofL Health, Days, Full Time",,UofL Health,"Louisville, KY",,,"Minimum of five (5) years' experience in Supply Chain Management required.
Responsible for the coordination of data management services for Supply Chain in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fbfa6422fe4f6a16&fccid=8ac4e4a00a6330c0&vjs=3
Data Integrity Analyst,,Baptist Health System KY & IN,"Louisville, KY",,3.8,"5 years of experience in HIM or other applicable departments;
5 years of HIM experience in lieu of a degree may be substituted.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a84ba6293e695e0&fccid=d424be14a67b815d&vjs=3
Healthcare Data Analyst,,Humana,"Louisville, KY",,3.7,"The Payment Integrity Professional 2 uses technology and data mining, detects anomalies in data to identify and collect overpayment of claims.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=659951aaebb5b39c&fccid=5f1f0e6dcc6cbc83&vjs=3
PC Support Analyst II,$21.12 an hour,Louisville Metro Government,"Louisville, KY",,3.7,"Aside from community-wide initiatives like the Mayor's Hike, Bike and Paddle event every Memorial Day and Labor Day, and the Healthy Hometown Movement, Metro…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e68e3ca87a9fb02e&fccid=63b856345596c74e&vjs=3
Business Analyst,"$55,000 - $65,000 a year",nFUZION,"Louisville, KY",,4.0,"Ability to manipulate data, load data files, and find ways to automate file processes.
This position is preferred to be onsite but can also be remote.",30+ days ago,2021-01-15,https://www.indeed.com/company/nFUZION/jobs/Business-Analyst-67528bf09758870c?fccid=7deb9215a31972a8&vjs=3
Quality and Security Analyst,,"CRST International, Inc.","Louisville, KY",,2.6,"Extract & analyze data weekly from OmniTracs to prepare Idle & MPG reports.
Extract & analyze data weekly from the Fuel Stop Optimizer to prepare fuel…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e495f133279797d6&fccid=266c7dde6708ec25&vjs=3
Business Analyst - Provider Network Management,,Molina Healthcare,"Louisville, KY",,3.3,"3-5 Years of business analysis in a Managed Care Organization.
Write and edit SQL scripts for data extraction.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c410202762545625&fccid=61b6afe09a420e77&vjs=3
Healthcare Data Analyst,,Kindred Healthcare,"Louisville, KY",,3.4,"Ability to extract, interpret data from a variety of resources.
Respond to requests from corporate departments and the field for data and technical assistance.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b80132370d53e155&fccid=e83618db4f163bfd&vjs=3
Business Data Analyst,,Material Handling Systems Inc (E),"Louisville, KY",,,"Supports the communication and education of master data standards, definitions, processes, policies and tools to functional data owners.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15a9d55eb4b51fbc&fccid=d24f296938b7bdd4&vjs=3
BUSINESS ANALYST,,Optimum Consulting,"Louisville, KY",,4.7,"ANALYZE BUSINESS NEEDS TO RECOMMEND IMPROVEMENTS AND ENHANCEMENTS TO SOFTWARE SYSTEMS.
ANALYZE FINANCIAL INFORMATION FOR MAKING DECISIONS ON INVESTMENTS.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=39085262f00e5e30&fccid=617030041ede8094&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx_8atfcahZarvuk4PIIaktRGLyWbIWrQqpbtifUnJqCCDmjkdveYY1s1pxW4RgUdMIPg5zIqbBuQGXsRc2svD8KpBZPEIIzoXd0gXWA7AAA4K3knYHXEUMFQuSEU_nWDkT0R_4dnR2690yoyHrz54Gy_EpfGdQooI591127499b-e56m6UW6kXOQJvDH_XZGS5E0ziYproAZmZovvJvIm384ivhximgmXEQ0vgXLTvmb7qpFhinYP33jtGz4ZtXWgaL1K_rIyJCXWhI4rYTZ7P0ZzZfh4Q6Sw&p=12&fvj=1&vjs=3
