job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst (South of Milwaukee),,Uline,"Milwaukee, WI",,3.2,"401(k) with 5% employer match.
Write SQL queries to retrieve sales, customer and product data.
Analytical and organized with relentless attention to detail.",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDSemI5BlyDnCiQLaLzaCTyebmSqXAuX7e6WqhxlXwOh-_9yn5xE_N7kp9Y0eZcCij8J1zHYh5MZHCU4W5nPn3_XuwqswlHAeYJxtiUytf5IsJ7dTJ6VbmxEudJOVTw_MLlejLRw3WZuus2_YHWrkTuNhrDV18WGhINY8J-LyghPZO4obbqNYP2lSApzmRMCBa7M1sKcthHQhjIVycdwiCGAvWKnRkpYno2v8iRq7iyWK-FyhnKyQhgXjcefp8iIWwjWfwR5iCdb58l_GCP7I3aWXaSVlK9z_yRaA2OdJzXhaDkUCZ1VxvWKsDxqMTivccye4uvlr9tbAPCPND8wJgAx8OVu54VGQg7RxTUM9-Bqxn9GRsjtLH_azZLCKRP_df0ekKnmB13s0VtLFvbExjYa9HcJ4dlqcAsDzAikhohlzFeWKfj5p3ya_pYTeVJ4nU0gHDDLNQ4DsF9Oe1T_i7G8qFCbhQV2iHcOTDsNRzh8ThTIVVePGubM=&p=0&fvj=0&vjs=3
Business Analyst (South of Milwaukee),,Uline,"Milwaukee, WI",,3.2,"401(k) with 5% employer match.
Review and summarize financial and operational data and provide executive summaries with recommendations to senior management.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDYtBAyJWFh3Z3CcfoFKlmc_5cs5UFQop4moZWU9JqJLMhTxLs-yIuimJ0wjPS05Pm5sdiFJLXIkXgBhZC5SO1acQfKkz2ZAPdLIgPUX2HWALPhMEAdboMPc0dK-w9-v-m5EIzCxidKiybXfnOVOkfZNmrEWTZzmBOpo6__GFhd-CyReTXCJ2t8D38TV4VmSAiQw_2xgYzUKsvZtOM49xzaRoxwJyHa6594HcElYApL6MBB2QXly1bRX9j-uTW-0PHZ5APyBrhqsHsku6KAuhcJCrikE2wNO9oDkwq-WLBIN6Ip6D_2MbWhGxaYz2axk5B7sZUVCCszpc39SqcCxHTqJ23KGs6rofEhkYsYe0WxOewW0GsAxThkLUPmlh6LHzcbSn8A_SE5xWzD6lHPcCEfEHo7Yha_tD4cwnlPMQFfQ4NrhfK14n-7lQU0ENaXVSTzRQO72XXPc94rSMXSH2bIq1PjSxCIlHpOPT_WjyZRdqPWUgp7ljWIc=&p=1&fvj=0&vjs=3
Data Analyst,,Woolpert,United States,,3.7,"In conjunction with data owners and department managers, develop data models and protocols for mining production databases.
Strong ability in TSQL Programming.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bz2g0gOmBYdJt2qF4aozE3h3VbIO4lBaiiwQOPd_CjSg-0-2voyDjwb9yjbsu36LmDpaKQKqaNu94tcuA4_o4QKoDOncweqYi2Yymi9DlCnZxagJe3setlOooyzi-31nQHr_zD2h1UUy2Uxfb-XZdp4wJjO7HWKcgA8yXBdRrB8TQQRDYkVTrIj4ESTxGZB6T7S3ZBEDthhgkj_XbyaKwVq2UrxMGIUi6IC7WmYvtQn8eL-EqjtRNGQA-qAtad4yFcyBfiV6l4he4ND1mi-W9RIPbDwpnw9tJdzO_wWnJMGKqccekhe8blG6yuXWMeSQ41wCE1kWBuuQJvTC6j_zisgqkF5JM7C2jYzZm3u0skw7vrH0YGJJ77WPSV4o1_q31jR4rDcMGIuckjtnG4uwCSQgzRMacQ0Pd4Fjou4TlnWVZllkFGffTskbpWRZ8h3wesvaGL3axd5FMGvDCu2unLmrfFBXG2PJ8=&p=2&fvj=1&vjs=3
"Data Analyst- Greendale, WI",,Goodwill Industries of Southeastern Wisconsin & Metropolitan Chicago,"Greendale, WI",,3.6,"Two years of college education or experience equivalency, and a minimum of 5 years’ experience.
Experience with technical writing including procedures, workflow…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnZ7Fhf_e0F-Eu5JhWNPigFdIn_2dAbNi3zOeEJp9iDxBCFd4MFJYkJuYaIDHN7INe1mAgdAowwzIr2Bg8V96lVEz9akJuDUuWY9TMMu3E9W4_s0dWDifnDB6P1j0HoNcmhMv2ey0SPjehKHpK4IX0DRdhqrT2AtHPp6DgoUE3svcOowMwnsmYANZXLw3gRn1NigwtCc8pR9z10FotIJR_S_UuHUxTQjTKmqXA2yNEkM6pQ9fB84noIo4qD_mlfnWkh3-KIfAruco3EXSZ9jpzeGCzJ-rO7uo0tO8cKitxQydrmGDyd9tuYspHpBAfeqd3ObMCb3FuJIacZCp6iCMj7LgDmRPc4XZuWRjLjBMrI5XlzgU7Po93owipptC0dbfp21eTP6At5GaHM-2Pj3HjPGyGzW9pOyWb5Etpi4L_nITuDhe4GqSKvPJXUBd_VSW4uuNdTIyR-e4oVqSpxMom04xvdxfeC9SQJnpPXfbPzeowwGDdTaQTSD0ASPuvEpQAJeNz6lg6N4Eh8mLTca4rCltOFEMgSdLmL4zmbjRyjDhbic3757E4laGDO8HQ0BJgG-kB_2vJ1iZT8hV998c7-0QuIY7hsEpD5Odzy3UHo5RYXAMFNrdY0pfMkIh7VxEyLEcKq8kvGvdHu_ksQmwHa847LU8wJg5pxetMSGA91iDtqmcu5VzvWc6S6FdcG_0Vu7v97tgA6VdTP0G9BCAGJVcIqp-aviwv_c6bxEPYLehy0_0P9CkpiTEU0bgfd_Qe8_QSl0SoPgmCEC27p2mF2JPLlE7l4pr4EiSQxSKChwhOMuPCZAhcXqygzeGGhAo=&p=3&fvj=0&vjs=3
Fraud Analyst,$20 an hour,Insight Global,"Cedarburg, WI",,4.0,"Analyzes data and information to provide insights and recommendations.
Gathers and formats data into regular and ad-hoc reports, and dashboards.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCn1hnNerDCX-8PEkxySxb37J0dn5EHx0pMrfx6Mzflo9HQ5X3ebdVi2ZszePCBQsMdg0_fcGXUlounT1ZZWJvgY2yO4MTBNTQ0gnkXHNMypm_AtpXltv6NZf_mU4Wyp-CKFUhV2B0Z5JPI2gfwXNZNMjdCriUN-MwMVaE9HjmAd-zE1GflwrisTbYjX_vkqhgOOJzWYq6Q9EMSXU2ktWJ-swpT5Drh-bbnMNdTlOlBIdsxcFzBObeW43so_TY_PkxiULw7xmF6wgDarYTS8AJSEl--jwwe0FQ7OeKliUTh3g0vbzY8Br0U8-pCU7I6fgjF-BJVc3OX-geaZXjAVL5cFugI6U7_Dt5O53b63Xg66huIC1rqfNeX0WcGYDtBt2_TLw1xqweKVI91AjgUmvwjB4GC9nkzQgewrwAiOgptlr&p=4&fvj=1&vjs=3
Data Analyst,$14.81 an hour,On-Board Companies,"Milwaukee, WI",,2.9,"Analyze data and summarize per defined instructions and/or procedures.
Run data reports from SFDC and review it for accuracy and completeness.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwmVxVIPFI6jVVTU-wKul8v4wplmAs_8WNhyHQXkJf7J0VZjFkcY1o4_TSShuQYdNbZ8QkujcVynvnD4P3r25jM_CJLuVOzJd5TCaTyqputfjng9TSW0gJsZ0141vmQ1b05Zfc0Yek4ba_Qq4IL-flnfVtDsZ1Yh7bG5v6cDr2pvhaCGZ6jMvL2pHUZWB8kIo92q0LFxHb0J12JZ7FSGwCodgnPEmMMnscCMjowONNvtclxtPFfevFj-NxEu7tlOKw6LVpQQYoGjoFrAOLaOcjfX3ppHeWK_Sm2Bs-38VPG4V-sK0WoudQVYwdAOyjGxSOcqHoTLxk2HCTNFA4BlK5uegaJFj8bV3ZGHLk85uquvzr2Uaw0zD0sQBhLlWhIYu3_OaaWBCic1zlpDLVibP-4M7OmIAGNeTsagwbOCxywEC4SkNWNiAujS7ZLcoBAuslMfocNEFaVNllLk33ml5Hqra2CCcmSRrp7vMkhsZywOy4ghwCh-xie56_NIsB0R6_8W3ec-gPEbJgNKddhNe1kP0OAkgKSMeJ57Wtt9hRkN5v08BZwBKBnwtSVXqETYX5a2fmi18WcBgoXmGOJjN0w0wckOEghpYp8kDdZLDOj4O4O4VmDZNNH2hzB4bR0va11chjWeom4siSed9ooFHnb7rlyUHv__53pwZY8zy1hAzWHQOPt24R4_5RdYyDoi-4iJeapjsyv9rUUNzVcyoAf2IczAF1P7xHzipTrhtkB34HQTkEFHtIxHheTqMSVyKc9hEXbLz2GNwu-zlM05T3ImimzspXUFTY1FFZcfmAwWBn0JjB3IWrNahVf2wLMLPclfvpu-lXCzfS-KRqrNKyVuXr8AMZ3cnaEq65caz8l4gXD3LT8TI0ZgnFRxvIKnhex0pzJWppwCB7VdjUnmRZ204vnhdKbabtO36T1Y7fOoN0irDr7A6I2br7FgI2qKd3qYHU398T7IkNqjLLsHvG&p=5&fvj=0&vjs=3
Data Analyst - 17.00/hr.,,Kelly,"Wauwatosa, WI",,3.8,"Will work in Salesforce Cases to find specific information, enter data found in Salesforce on Excel worksheet for one of our top clients Wauwatosa, WI.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL26tb-SQ4b-KDuk6sa8iR2bhgsY_wX4bXWuWNa6_OdhqnFQzmSG6dem3JlqELwwNVg2fHq1PiW6wkBJqSzSjP6ihmPwbCaT7HdjUwd9gBn6wkAWTsXXQiG99ghRRzEeUIQ0T5MD2M7MsxTabZZbF_c7rMu8zrmKsreqgf-M8TNRjmLzHtirQz15gvjQ7_6-n6-LSccbg61svxVFvG-jvPq9_RKHL9ONmkx6C3Uc9eM6cAnINdp_qF8OAHZb7QsHFNG5xV4vh6T_CIr9XuP36Vdzs0K_pbDAO1MQcuQbwUZoKacdtshgOtEaayP9TtOt5qg35u7288sXZw-dPn2fIvBJRmrq1sfJAWSiuiQiT5k-3VijwtNUjpcOBIXEFZ4flqBsxQbYrs1kMCuk3qAiTuEttKnE5L2qVHN2oJxok17jyaeKIm2WJMXPmDV8Dik5_tXKcx9EC9rsnYXsdAHLiSAnrtVV4RNZo08U3tu9KKXt5ti6B_wGONQXC2fZ8iaZQ-guMd91LfpnveDuIg_7LLORtZ1NEfY8XEP8LxEYSp9duL2xRBgv51iMgjs_U2U8ozW-GMU97GDS55tNWe-SdHUuSg7RQdwJVG8nBwfI5hTyup0GHjhZ7zf2WLsl_EUgVs3C4H6f5utevm6uuxWCunXaTiq9vy0QsBAGJeCH8gFWa6tpxHjN52f2MpMGjvBdC5BE4z0t7R0BbzrIw3AKNEmGd4L2Qyx5xT6qjYCZ-nRer6AXOhdr1H3CuJyMdlYmEXpR8LuQuIdjvjsx8d8yHFIPThiSMUzXa__dmIDqF-ihPzEbs814-HUXfnP_Nb6zNab16-vxRlqbBQblmuBBqZDZDgpNr1lkj84Hix0u2R-EblsKu91cXIhC3HLT4a5POUblMdUXlc6gHAow0eGwMtgJtMfrVJCsmNA6Ej1iLtF7wfkOIeFoZyJ12S37vcP3aLfXz4ss1RF57P3bZkP9q9aKOVdm0znFSJKvtf1-1AwEGyHj6S9W8BVzNqXsaoEBvt8BnU6Ykm10eWv4HBrDBR4I7gWLzIQ8AJWTEzmPzONblxWf-IEqnQRmNH3ITJT3YZnNBrzzuT3IC71pTOHv4JyxmjrctwKHtHnMvKOi6r7SXH8nl5O6iZ1UWhH4K7NQjKTCbQvfIYmoFc=&p=6&fvj=0&vjs=3
Data Analyst Assistant,,Force America,"Milwaukee, WI",,3.8,"The Data Analyst Assistant will be responsible for managing the company’s data, developing reports and troubleshooting data issues.",30+ days ago,2021-01-15,"https://www.indeed.com/company/FORCE-America,-Inc./jobs/Data-Analyst-Assistant-9955f9bedbf77bc3?fccid=65e1f618964285fd&vjs=3"
SQL Data Analyst,,Remedy Analytics,"Milwaukee, WI",,,"The data analyst will assess internal controls based on financial reports, data analysis, and transaction-based testing.
Load, run and verify data.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=715c59cc6527d266&fccid=a9cbc2d57aebbc0a&vjs=3
Data Analyst,,Zywave,"Milwaukee, WI",,3.8,Interpret data and provide recommendations based on findings to ensure quality data is successfully loaded or consumed.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cbbefd3a73ddee5a&fccid=024e5c3b294c4516&vjs=3
