job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiYEZpVTsmRc-7h_R3DRsMoa1bvq_TwwouTk9tREf78GbBcIu_ZZYWfAq5N-I9qqjR9RB8ybCWozHn7qgxEci2P7Gc_7V6dkPRLE0uA0hbQifZgygMvwhPY2RsxR4sOfzy-u6s5b-IAsu2ejkDQ34KQCo0wiWo5_Glyq9b51WbNloaHi3F6gPaIhznUUu5eFjRbtNUZQQG3mgzvEnfekPxh7Vd8XfXnEkf5ruLXt0GL2Xm7c97rbUoeJpoUApZgjR_U3ovHt6HzIbRgpkJ49KISHlbNFNV46xcn5gU9ikbDPU&p=0&fvj=1&vjs=3
Online Data Analyst,,Lionbridge Technologies,"New Orleans, LA",,3.4,"You must be living in United States for the last 3 consecutive years.
The position will allow you to work from home on a flexible schedule of up to 20 hours per…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e7477b7c35da47f7&fccid=52f57f86717b2054&vjs=3
Supply Chain Analyst,,LCMC Health,"New Orleans, LA",,3.2,"Preferred: Healthcare experience, supply chain management and/or other similar data analyst experience where analytical and critical thinking skills are…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2e40cd7df5a2ee1a&fccid=aa726dcf567e4e87&vjs=3
HIM Data Integrity Analyst I,,University Medical Center,"New Orleans, LA",,3.5,"Minimum Required: Ability to concentrate and show attention to detail.
The position also processes requests for access to myLCMC Health and works on various…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2b3da2295e4fa875&fccid=3d61bf8236203cf4&vjs=3
HIM Data Integrity Analyst II,,LCMC Health,"New Orleans, LA",,3.2,Maintains the medical record and data integrity for each individual patient by solving issues arising from inaccurate patient data.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=569462469431d13c&fccid=aa726dcf567e4e87&vjs=3
Senior Business Intelligence Analyst,,Advantage Resourcing,"Harahan, LA",,3.7,"Must have 5 plus years experience with Power BI, DAX functions, Power Automate, Power Apps and its advance features for building automated dashboard and eye…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQRQ3eiV4YWjrRS1ho7HVQ9JO8v6Fb3eU0yDOJbdOiEkuCH4309Y0oVMFr1IbzG-mLM8vX3HlE0IzGdgSa1eFnGCX1OXd26Pqk5ac7siQ87yVsHOF0K-icxg-De-XVIOIiImXuBNyKPT6kNmAcimU0VJ9ItONphwQvEGAPIPkEg0_04Zi9ghV7YGI3UNN8vFr3wbeCDSnI0DFt5wRXhtHyyM6tGSEuWXwag7NAEE6tP_R0InNwrpMZiM17lGlXQnG7i5oXZ3pL55Mt7rPXEMdXq8AiIsrTLWq9qsKQXN-75shBwybdQmDxNwbGVWmAPPwvzQWEh-MEjlrnyZSzywAL7CNNJHGMFRNAMrJIfBqEaa27Yjse2vgJWewat3MDBIfJVgHmxz36VA_ohOm2R4YrQpjmSMpMef4v7NaFCudAaBc_3N6tBgNDhN6tgtGg3f1TzMnz3zBVYz8SITRltgShLY2niyMsKsjNGFfdVLO-xUx9B8bHtX_qoNrd1dd0-Kmdf4gxsh_1RxTyfa6kv5sAukLkPf7MIYHSgvfU1EwYzgZml8NCCjKPwCMARo4w2zaA5Tr4sniYPJ7vtWS5h5CaxMHi6LpNozZxc5j-zYqazw==&p=5&fvj=0&vjs=3
Business Intelligence Specialist,From $28.50 an hour,"Odyssey House Louisiana, Inc.","New Orleans, LA",,2.9,"This position will review and validate client data as it is collected, monitor analytics and metrics results, implement new data analysis methodologies, review…",2 days ago,2021-01-15,"https://www.indeed.com/company/Odyssey-House-Louisiana,-Inc./jobs/Business-Intelligence-Specialist-63b40f7400a91ead?fccid=a9b920cf23c58d84&vjs=3"
Data and Reporting Analyst - Metairie LA,,Humana,"Metairie, LA",,3.7,"3+ years of data analyses and reporting experience.
The Data & Reporting Analyst collects, analyzes and reports on various market data to connect financial…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4583454718756496&fccid=5f1f0e6dcc6cbc83&vjs=3
INFORMATION TECHNOLOGY BUSINESS ANALYST (1275),"$64,577 a year",Jefferson Parish,"Jefferson Parish, LA",,3.7,"I. Possession of an accredited Bachelor’s degree, preferably in Computer Science, Information Systems/Decision Sciences, Business Administration, or IT/IS…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4db958472486bc8c&fccid=a1c4bb8671a3dd8f&vjs=3
Enrollment Data Analyst,,Xavier University of Louisiana,"New Orleans, LA",,4.2,Bachelor’s degree and at least 3 years experience working with relational databases and demonstrated aptitude for data analysis or data management.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=48d1adbc241c3fce&fccid=d1b3be8528bbf521&vjs=3
Clinical Practice Performance Analyst - Telecommute in LA,,UnitedHealth Group,"New Orleans, LA",Remote,3.7,"Use data to analyze key cost, utilization and quality data and interpret results to assess the performance of the practice.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9078c79eed25d386&fccid=d3d3520998346837&vjs=3
IT BUSINESS ANALYST 2,,University of New Orleans,"New Orleans, LA",,4.2,"3 years of professional level business need documentation experience.
3 years of professional experience with process and procedure design/documentation.",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba964fa74027a157&fccid=2ef76af583057d08&vjs=3
Business Intelligence Analyst,,Southern Glazer’s Wine and Spirits,"New Orleans, LA",,3.6,"Bachelor’s degree and 3 years of experience in a corporate business analyst role.
Bachelor's degree and 5 years of experience in the Wine and Spirits/Beverage…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a3b2f031d63bc82&fccid=52a28443b9a60e8d&vjs=3
Electronic Health Record & Business Intelligence Specialist,$23.69 - $33.49 an hour,"Odyssey House Louisiana, Inc.","New Orleans, LA",,2.9,"Strong data comprehension and reporting skills.
At least 2 years of data analytics experience.
The EHR & BI Specialist must be familiar with data specific…",30+ days ago,2021-01-15,"https://www.indeed.com/company/Odyssey-House-Louisiana,-Inc./jobs/Electronic-Health-Record-Business-Intelligence-Specialist-ee3241e74324228b?fccid=a9b920cf23c58d84&vjs=3"
Business Analyst – Ochsner Health Network - Full Time,,Ochsner Health System,"New Orleans, LA",,3.8,"Must have computer skills and dexterity required for data entry and retrieval of information.
(Constantly: activity or condition exists 2/3 or more of the time)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=290a7c9c2e1a7b90&fccid=ef34ff29d760a6f2&vjs=3
Risk Management Analyst,,Cornerstone Chemical Company,"Waggaman, LA",,3.6,"Reviewing financial data and performing calculations within Excel.
Must be able to analyze data and resolve any issues.
KEY SKILL’s (Must have):",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fd11980860715e2f&fccid=73b8831c7bec3a74&vjs=3
Acquisition Analyst,,H2 Performance Consulting,"New Orleans, LA",Remote,4.3,"3-5 years of relative experience in program management, business analysis, and understanding of acquisition life cycle with proven experience supporting…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b0c823cc15232595&fccid=e26388c1e2a22dd7&vjs=3
US Data Protection Senior Analyst,,Deloitte,"New Orleans, LA",,4.0,"Cyber Security vigilantly protects Deloitte and client data.
You work closely with management, leads, peers, development teams, business analysts, and end users…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2e36dede9f9b46e0&fccid=9e215d88a6b33622&vjs=3
Accountant - Accounting Business Analyst,,EQA Schools,"New Orleans, LA",,,"Careful, detail oriented data management and analysis skills.
Educators for Quality Alternatives operates alternative schools in New Orleans serving students…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=39c8c4ef37993b6d&fccid=ffa106979d2d5db9&vjs=3
Business Intelligence Analyst (FT),,Southern Glazer's Wine And Spirits Of Texas,"Saint Rose, LA",,,"Bachelor’s degree and 3 years of experience in a corporate business analyst role.
Bachelor's degree and 5 years of experience in the Wine and Spirits/Beverage…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b7d10f574475453&fccid=431a9918d3922cbe&vjs=3
IT Business Analyst - Archer GRC Enterprise Application Owner,,Entergy,"New Orleans, LA",,3.8,"Help maintain data integrity in systems by running queries and analyzing data to ensure strong internal controls.
Minimum experience required of the position.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=337651f3e438b892&fccid=4ba02d8aeaa3e74a&vjs=3
"Senior Business Analyst, Annual Giving",,Tulane University,"New Orleans, LA",,4.1,"Experience with relational databases and complex data structure.
5 years' experience with technology support or systems analysis in a university environment.",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3d152049b90ea928&fccid=32f1f726276ba707&vjs=3
System Senior Financial Analyst,,LCMC Health,"New Orleans, LA",,3.2,"Minimum: 5 years’ experience in finance, accounting, or analytics.
Minimum Required: Advanced knowledge of Excel and PowerPoint; Strong leadership skills;…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=674e53594b1aed48&fccid=aa726dcf567e4e87&vjs=3
"Business Intelligence Manager, CPWS of Louisiana",,Southern Glazer’s Wine and Spirits,"New Orleans, LA",,3.6,Identify data quality issues and support the data governance initiative by participating in necessary activities including data profiling.,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cdcfd6ec7b024db6&fccid=52a28443b9a60e8d&vjs=3
Senior Medicaid Datawarehouse Analytics SME,,Deloitte,"New Orleans, LA",,4.0,"Implement data warehouse for a States Medicaid agencies.
Interpret the rules for data integration and conversion.
Perform Data analysis and profiling.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f3e406f051f8ea5a&fccid=9e215d88a6b33622&vjs=3
Sr. Supply Chain Analyst,,LCMC Health,"New Orleans, LA",,3.2,"The Senior Supply Chain Analyst is responsible for supporting the supply chain team with regards to financial analysis, compiling data, organizing data and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d39992ad196f311&fccid=aa726dcf567e4e87&vjs=3
