job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Security Analyst,,Nisqually Red Wind Casino,"Olympia, WA",,3.5,"Repairs damage of compromised data and manages incident recovery measures.
Installs and uses software, such as firewalls and data encryption programs, to…",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BcchiZ1DZZep0M3Yf3GmtDLJzChR11Lv65nVzis7PzhUkALezwZfNC0DJG2pDlY0PgLw2Gq7qL5-hdyNd2z5UczGO1j0elAs5Qm_eI8eapMFOkr7xIMjwNTrQESpNYtnS0-rfwuA90WFenSawxAfqFERpShKPIcg0MhX7TiJKism_tXukMPZ7zQAuuIy-9ol21M-RZE2XF1cwWkIk832qSIZGHxEkciwj82CMFzADwyIeaTUTGo50zkOlsVmIwYEvpFiQg3GHLYQU2Q_Xkd0AhCKE1LRoG9mE4tp5E_3swlSkH8HZsTe5H78kfVTk8tmioBx9bMDwoYBB4ygYiGM4Q2ty61xz9WrlGSk4nh-nPP2i3YFVwpD7ovRyYEZqyCZbpOg6YyLSQPsoB64j-TXCwXrJyyAP13apBU8Ta7e279TAojEs7AUneQdQRTM6v5nH0sCWm4qF-50QOAmnAGV9ijIHh7KKVRltnxRKN5-WM8Q8pHdrlHJz6RNZLItXljWq87EU64M9hZg==&p=0&fvj=0&vjs=3
Business Intelligence and Reporting Analyst,$25.27 - $37.90 an hour,WSECU,"Olympia, WA",,4.1,"Five (5) years of progressive proven experience in data analytics and process design.
Minimum of three (3) years’ experience in a complex analyst role;…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI7GwvuQtior0-PTDjdFXco9JN29ESz8Ziwfw9Lc-b5lJ3rDN_5Q-jkX0W5rU_NPq_B1HQ9Ic_1-dSMeQrIbJqnBuPkDNqHkpJdi35VVy4bMXtB9CJdrTZ4n_prepNcd5jGi1N2IUGkpyCdSar10W1VatVEhTf9tXCU8k1MNi09sGjWPFAFzPYAbWo4Q5vEZmywUIcntHDe_NcbXIzI1UknATtYBQhXjVQAuZpWEe6V5UG6KJTJqnNHAWN4lcOal5kpRUOvlu1-djSWq-EVZgL03U-tvAooUNHLRPCmNygWJ0tp6p4KSPlGDdQF1H119LwwJenjXIASJKBznKSF04j2Unioe_UhD8U6mqdqCcXndCPr-MIcx3xjbYW1Nm0WnqVExxdy_8p1TUeGan8RLgBKI1coREsW9D0CfN6rBg1R4M3IpJQel87h5yZgumkhXw8PMPxP_YnJUb0SB9ighbdHOvKe1eNp2PhmBq8wnyQ5doVRKi81DDDKI0BJEZMIeTraaZRkqy3Zw==&p=1&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB96CZMfeo_KfP63mBf1mqeLxSPMR1Uqjb71SQBsjDvkmCuK9uGFyS12V2m5u0dZS86fZ4CftoR3o0hNahc1mGx9eQVhlqFNxYX4B2yfR4Xy7S0mDN2yKlNZd9e5S-nKkZOp_aoMjETrnnoSeUXjq1gUT2OaWxJPc6nNGOjNHA93BrwzAtPgkgJMBQVHMGKoBbZtjGXHlLYMJDxpq3CFkmWg1RiVvFssHF2-YGLnxQoGWpKejg3CBS4NZvRPl77cnEFj8NS4t9UMYXNyPJKTwYfA==&p=2&fvj=1&vjs=3
Data Specialist,"$5,630 - $7,387 a month",State of Washington Dept. of Licensing,"Olympia, WA",,3.4,"You’ll employ complex strategies and technologies to inter-relate data from distinctly different sources, ensuring that data models that contain all needed data…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=655439fd17ee3002&fccid=4bb4a98ffe880354&vjs=3
COVID-19 Healthcare Systems Data Analyst (HSC 3) PROJECT (DOH5240),"$55,524 - $72,756 a year",State of Washington Dept. of Health,"Tumwater, WA",,3.4,"This is a full-time, project Health Services Consultant 3 (HSC 3) position in the Division of Emergency Preparedness and Response.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9eac9e5b422e8a4b&fccid=4bb4a98ffe880354&vjs=3
COVID-19 Business Intelligence Data Specialist (DM Journey) DOH5143,"$6,462 - $8,479 a month",State of Washington Dept. of Health,"Tumwater, WA",Remote,3.4,"Experience in data architecture, data administration, data analysis, data modeling, reports development, data pipeline development or database administration.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=30960f89921a2fef&fccid=4bb4a98ffe880354&vjs=3
Management Analyst 4 - Data Visualization Specialist [07670],"$5,102 - $6,691 a month",State of Washington Dept. of Commerce,"Olympia, WA",,3.4,"Collaborates with, and provides recommendations surrounding complex data, to unit and divisional management on strategic and long-term data projects…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a3fd6fcb6ee1766&fccid=4bb4a98ffe880354&vjs=3
Business Analyst,"$70,956 - $93,132 a year",State of Washington Administrative Office of the C...,"Olympia, WA",,3.4,"Analyze data for data quality and data reporting purposes.
Ability to understand data schemas, data models, data reporting, and data platforms.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4abf0bdc5921b539&fccid=4bb4a98ffe880354&vjs=3
L&I IT Business Analyst - Entry -Tumwater,"$5,326 - $6,991 a month",State of Washington Dept. of Labor & Industries,"Tumwater, WA",,3.4,"List of at least three professional references with current telephone numbers.
As a BTO BA, you will be using your expertise on division and enterprise projects…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=90fee92227b567cb&fccid=4bb4a98ffe880354&vjs=3
Business Analyst,"$65,000 - $75,000 a year",Alliance Enterprises,"DuPont, WA",,3.7,"Minimum 3 years' experience in professional setting.
Organized, detail oriented, and methodical, especially with reviewing documentation.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3d9b95e4d2200ff2&fccid=d02a4d72ae45752f&vjs=3
Regulatory Analyst 2,"$5,102 - $6,691 a month",State of Washington Utilities and Transportation C...,"Lacey, WA",,3.4,"Which of the following best describes your experience using MS Excel to enter and analyze data, produce documents, and research information?",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cdea7ba4de84a864&fccid=4bb4a98ffe880354&vjs=3
Quality and Cost Data Analyst (MA4/CQCT),"$61,224 - $80,292 a year",State of Washington Health Care Authority,"Olympia, WA",,3.4,"A Bachelor's degree and 3 years of experience in working with large data sets, data analysis, data visualization OR at least seven years consultative or…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=530cf4c06f5ae88f&fccid=4bb4a98ffe880354&vjs=3
SEO Analyst-REMOTE,,Pearson,"Olympia, WA",Remote,3.7,"Collects and analyzes data on established and prospective customers, competitors, and marketing channels/sources.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5ebb86bab061e02b&fccid=915b1c0ee87e5e8a&vjs=3
