job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,MMM Holdings,"Orlando, FL",,4.0,"Ability to streamline aggregation and maintenance of payer data archive.
Drive process improvement and policy development initiatives that impact the data…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APxdI6ufd6jd95td6BsgtvluB6mHFAhpGxAmXiOXbt2GnlF5bkIWgoLmwO1iCMw74KGe2La0JBeaA0Xy-JhWCA1eQNRicA05BtRkLV1ap9JfhGkbrw7_d_ex-7_96WNtcT1rdkTmhFPhF2rVpRUG21Y5OWeN-c1FzL49q3UwxiOOr_MCKo4p7150T5fWBZDzTPGJSFzxKRoT5nPFbSp9--zBHhIWOoB-1CvzIGmPCgpjL0QtnmLjANE1kllHmdcU_HcLm-eW5TTGTXa7x7SluIvKFfUWdVHM0i80qTQdGXu4yMyBDwXGHw2xf2AQajGsVmRGDmXrlIk7NUWsbWdqsIYimIqsfZn_r62n3aKFjHgTFA1UPdNJZUO1-XJIENipHfJL82kOULJGgtIJ6_x0uy9pHoj_dZnf_JOy_14xWRWbTpniSovyuzw6rn-o3YyatTLdjJPwf2K_1UMpa4Qj_oYPwJFg3mxYjKJb8gqewxVIhF2GVEfC_q&p=0&fvj=0&vjs=3
Data Analyst - All Levels,,FedEx Services,"Orlando, FL",Remote,3.9,"Five (5) years work experience in measurement and analysis,quantitative business problem solving, operations analysis,marketing analysis, simulation development…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c8a566c8f6813da1&fccid=2ae04b97d8829e58&vjs=3
Junior Data Analyst,$25 - $30 an hour,ECCO Select,"Lake Mary, FL",Temporarily remote,3.4,"3 – 5 years of relevant working experience.
2 years heavy data entry in B2B manufacturing/distribution environment.
Provides recommendations to decrease errors.",24 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Da5V9nsboTybUYa8urkKTkloGQXw-Iaka9hrrZS3yLdvyTNjMaotH4O0HTcR9IAsxtQ34XMWS1P-1TOIRERF6mjV_K1lcS6bvzhUTWUat74c9g3PqKgpNKC0EbXADazDR6iB9GvXm-bwRjIIzlvU99ktOoHEaGKzEbO_BD2mdKhwxBZyzVYIEgpg-MntZn_867nNI5hkF1MCM7Dua6FQl9308Py-e-jKI4vmMXf7xZM9GEd1zOFP3obBV0-v2PDQ8wDK86zFvQxMxexsxBbeu9uNEatPCNMP3EbvHThKyMHZw5CnzWet2y-28Rb8TL3ehOSDjkHSrxo9Srh0OH4E0rwn7Mx592n9v4pcyhKhwO2t53zeQgBIOiqlgwUu0TxuGMhuQTkL8E0kqw6daZZZ77BCKkGkib5YxeagKd-UL0cGFxvFazvhMaKOWoQdLmuWmd3_FIHNl3IQ==&p=2&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB959_YM9D2UTsDPt3XtFYtRpgTGLo0ZihIuS4wH5WemP-uF-Doaa3j_Em7t07bcvPY1imTGs3fIe4buzS1tH-kd0Mt_BWndjjm19QsoEAg6CUZ6AfnpYFEO0iulWLsrmHeXHU-6RbbaOrUAWHZYeQHgUsLyRTjt8udFzlaqoBzGshSla8Fe59V9cln4MeZU686vs8697u54bmnjf6q6fJQbXepDKMNl5ZTAv0xLahY4cGrIEaQgN5rR0xNpBKytATl-3OSBntz2PZPhgzXxCBmw==&p=3&fvj=1&vjs=3
Data and Reporting Analyst,,Westgate Resorts,"Orlando, FL",,3.5,"Ability to analyze the data to make conclusions.
Microsoft Excel: 5 years (Preferred).
Compile and manipulate large amounts if data: figures, facts and number…",30+ days ago,2021-01-15,https://www.indeed.com/company/Westgate-Resorts/jobs/Data-Reporting-Analyst-de36bd1b07b78d6b?fccid=3242a4a2809a62af&vjs=3
Data Analyst,,LOCKHEED MARTIN CORPORATION,"Orlando, FL",,4.0,"Utilize advanced data visualization tools (Tableau) to share data with multiple end-users.
This person will utilize that data to analyze complex business…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b3a0be2d9dad593d&fccid=aeb15e43a6800b9d&vjs=3
Strategy Analyst,,The Walt Disney Company (Corporate),"Lake Buena Vista, FL",,4.1,"Proven ability to analyze data, preferably with an understanding of operational data sets and experience conducting analysis on various data sets across…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a45f513e5647076&fccid=4ed80f3a97849f22&vjs=3
Intern – Data Science / Analyst,,FARO Technologies,"Lake Mary, FL",,3.4,"MATLAB and/or data manipulation/analysis.
Naturally inquisitive and skilled in exploratory data analysis, formulating and testing hypotheses.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88e4b5dd528e11f0&fccid=e817a7f732b4c1ed&vjs=3
Data Catalog/Metadata Associate Analyst,,LOCKHEED MARTIN CORPORATION,"Orlando, FL",,4.0,"Coordinate with data steward stakeholders and help establish data definitions.
Hands on SQL experience to work with data and analyze data.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ca08634daa7d388b&fccid=aeb15e43a6800b9d&vjs=3
Reporting Analyst,"$35,000 - $40,000 a year",Inteserra Consulting Group,"Maitland, FL",,4.0,"We are looking for professionals with college degrees and/or 2 years of proven professional office experience, and proficiency in office software tools with…",9 days ago,2021-01-15,https://www.indeed.com/company/Inteserra-Consulting-Group/jobs/Reporting-Analyst-8b419bc3ea332f31?fccid=44f5d3de4cbec06f&vjs=3
