job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Analyst, Data Management",,Comcast,"Philadelphia, PA",,3.7,"Queries large data platforms such as Teradata, SQL server and Oracle to obtain data necessary for analysis.
Analyzes large, complex data to determine actionable…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZj-DGTHI1KLtRXrU9mG9a7Gj-0yq5tfKLr8dDqkXajVl3ACSB7hQ-14cDt92oWkfklqB1NIYCNqN1qxcDSXOJ3Q1NqeOcpB9-QweSsv-QNC_gEAdaMZ7y7SLrzO4RQN6-crBdoCAnva6GSiSxPcWzVPj0VsPfkbdjmVGXQ5STQxNjKAU9lg4Ypca7QvQ05e466EN867v-bWwKzj1SFXdf73aAOXbqmxZjFewgzPmRkUKhjpJ6BF_VaBxL1UEBmEeB6nsyu6Xy0GQcs0uOR94dBKugn0L_7h8VK66mn3q1tjfXKoPTJNzLNnhPzr2BwP8tRf9K0s25WbZ3BOHubp_g9l4nh4b1Hw0yYM8FtPU7X3VioSSEcdXHp7wC7RR1t7EpIQ1C_yuCUf0gJK_I8HAhkxXCTucDtCyTc4F-CrTcH0DH84gaJgVi0Pc7eie5TvWzngPZKh_h4y4A925R1wKefg1RLKoc_D6Clx21Gv3WR8ZjcpNtQFEyQN-QR8YfszEWEcTymE02A-TUlk0LeRyvsJ_DOUDvthd2ELKlaYKd9Luwh_qFbKDwom3wjqtuMKmWQoC_T0xKrFaMbYlm8DlldqtGDrrR9H797sxbGPMIbrcx486Cgfk0hyM4bQ3VX_xm0ylrfL7GdcHU8WG944scBv8bBCMr7W2mCrONOzdo_zsGzyPABfbxUfZQS9q71kFTcq-bHxVDYtPSGh_tfGegssvOvIMgxn3nv6yAx-00YYu3Z3VyWH-Hp5yWOuKviv5ff2iR0yki-VPE6HNNjqE_Gb1oiWhc-8mQUsoOL_4BkTLHOPOmSnlLHSuzYqSQa2OggbYiphOfXAIiDI-39FYjpTBhIpQumSEAD5Hp3RqMUiRAOGy9uJEn7dQnQEtA0NBCIAR-GGf2t9VnZSFK8JqpjyaT20YnUkcEi6Hr5514rRhRhklhXMMS-qvCPMNfPAx4ahOAfbVaCgMGpPpB54hLf_xpgLbKk3z6BxpYQvKPLKDpDW9GgiQqhA=&p=0&fvj=0&vjs=3
"Sr. Analyst, Data & Insights",,Comcast,"Philadelphia, PA",,3.7,"Provides data-driven insights that shape strategy through data analysis, modeling, and reporting.
Transform omnichannel data into clear, actionable customer…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZj-DGTHI1KLtRXrU9mG9a7FodVX3gNBUTVF4D4YYQpusNJp7lr3iNzLQsYcTBeZTyvvL0UKw3Zy_boOzRJReoZIJSIdEtY5WZbTW2Bv7iOHQpkFBZ8nCniV1CMwbdBxbRfBOpBvbJLkqmn-rKsc1kKGuaG5jAKL0O3WHxFfU838cXHcB4EgsDZvzRIjLRPfoh89Pm8rV06F795rWxBv8Trl-CWeh-jrgE2GIAqviQGuWlffx3K1ZIFe7oYagKB-nvAVcMfEsKjeivxf1lUFLrXVcTAmY_-sX09Y5QaOeCcbQMq0l5ab4X78kwc1glS60v46uo6v3kAb8OQMdfDohhhcg5JVf-q4gp6Yq8XoyHyhoJpIlPmWHihglP70cshVT3TEwrJnCcfQPmTcJx_n3jCP0HT-1TziGbb4yQqmdFEw1yxZ-GQxTj8FXimgsbToCH7oktZ3irCs4eNVh9ftxwi-U8CFZpg_-DBudU1mpE0BsmGOwZjwmDzRp46E4y_G2Zzxl4CQ4yzsVh5nxqK3WWxzFHDlA3wibFUThRfRQ2Lvilk_DpSOoefS_aKJeHkiNjKfZ9C14MCtBURNzoQfvM2hNRK6KWAFpgv22wyQ1EIY1ae8lIY8_xHTu5qXNu9lcIecIDfy0dP7Etu7PM4n9a_gU3LMG2MO4zPnE6cdU9M_DzPAPC8x34uko9MnIuneGfa_eftMO5hqH7GtzCgO34Xhkszby3iyGBGBXraVfSsPcevyvMnVgkEY43Qo0q1AgfL-HAZUkZxX242DjikJ7R-Nz7duVgDn-NXF0rcG-Efrt8AbSjIzn0wm4ynhaw7DAlBi-pqjUe8avS6f1LxjtvfL4-0G-GPRqWP9Ii1tdunSeaw1Q9gZuqsN1DEcgT1_DSaL4g976P-EENnpIlDimLI7-6mQYkH3Ai2vvCd_eGvw6l2jeL34gkThB31FtFwn7UuigAd9Rq59VDFMPmXozQdRH7UM4niq_KLi14YEB7Re1FQ--GHm--RA_TCmjSmig2gngGbVicI0kkjsQR_iewb9CoXqimA2r5WgvRpWoj_fv&p=1&fvj=0&vjs=3
Data Analyst II,$40 - $45 an hour,"Computer Enterprises, Inc. (CEI)","Philadelphia, PA",Temporarily remote,3.6,"Advanced SQL: 3 years (Required).
In addition to the data and analysis collected and presented to the supported business, the expectation is for this individual…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVVnl_N3xmP3MApcGA3sr6MLnz8P423WWILI1WvbjE8SdShoURqkvzaTBOnx9UttWa2TaCx74-OPe0HD-_-5NpDOAKNWb8CK6U1NCE1xmRI48CV84pkDK7ltqKMOlO2feYWkomYbpXpwb2HhMtG8pW-uj78yQc7zbU6AWZ9OT8mDEIRiyzntmCvIJk5ttYpYawAQj_e657-l6U0QjcrIIACkL4I9Y20ZGS8c10z56jWOgwQ8r-_kwv52BJLFqA68DiZdOby19L6Y-ko0qzow3jy9e1ErKt8IWHOf74ymkff3t5NSruzk2bzhSzNTVJiu4EjzaB5T9T_EyX0apRE8W4CTkCXCyjEYYNruT0s6UvDwE1jEjM1NTOcfGy-R5WnK2x5KEUHJl-Ey3IjNkKcycpC9u_dNR4V-Lr2LMpOwbJ2F4-Dm5jhEEZZjurAf1BkMtiUrAYOPCUo5JHeSOqCCg-&p=2&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiawrMjf-sBOJ7fTEyCDPwFkOuTsyrpq9JBOUxH0E9jJpIXevU8adbKnxQG-DCBzwCSiBGlT5ESeBECN59TEn8iG8YatO3e1Xf-XEW5pwHuNpsjWtoqHBg-RuN066SMDXEtrCPerlWo6jUtmwFMuU2df2HgmamuAXmvkYyri0vuVAGAS_7UG2ndefD6DnifMLQspQBqd2Q6RjXXJjHiaJsLsZt8wg97qqAL7drrNshAE5z-p1eGE1a3lnNgDzzgZhkhvSX0q6Ra2KhcABQeIcz39NmjFtrPjlWLOTm1il8apG&p=3&fvj=1&vjs=3
Data Analyst - Entry Level,$15 - $19 an hour,Cobbs Creek Healthcare,"Newtown Square, PA",Temporarily remote,,"Consume, analyze and manage data using SAS, R, SQL and other statistical programming languages as required.
Conduct basic business analysis and reporting.",25 days ago,2021-01-15,https://www.indeed.com/company/Cobbs-Creek-Healthcare-LLC/jobs/Data-Analyst-10c3b5e4384315f7?fccid=16a23728ad62ad53&vjs=3
Entry level Data Analyst with Immigration Support,"$51,265 - $62,000 a year",KGS Technology Group Inc,"Philadelphia, PA",,4.3,"SQL.SQL, or Structured Query Language, is the ubiquitous industry-standard database language and is possibly the most important skill for data analysts to…",7 days ago,2021-01-15,https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Entry-Level-Data-Analyst-Immigration-Support-db451251191d357c?fccid=ce626fc72d7eb30c&vjs=3
Collateral Data Support Team (CDST) Support Analyst I,,Federal Reserve Bank of Philadelphia,"Philadelphia, PA",,4.3,"Produces data quality dashboards based on System documentation.
Performs updates and verifies data entered in the Collateral Management System.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=75e0ef0a62bc85db&fccid=1afc58df6b34391e&vjs=3
Jr. Data Analyst,,Expert Business Development,"Bala-Cynwyd, PA",Temporarily remote,4.0,"Responsibilities include data management, reporting, and analytics.
This role will support the Client Services Team by handling all incoming and outgoing…",Today,2021-01-15,https://www.indeed.com/company/Expert-Business-Development/jobs/Junior-Data-Analyst-56558d543f6cefd8?fccid=a94ab3984cd210e5&vjs=3
"Data Analyst, Institutional Research",,La Salle University,"Philadelphia, PA",,4.0,"Maintain institutional research data warehouses.
At least two years of experience with database management systems and data analysis.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=382ff6914524019d&fccid=b388988c02be5c1e&vjs=3
Data Analyst,,Kulicke and Soffa,"Fort Washington, PA",,3.8,"Mining data from primary and secondary sources, then reorganizing said data in a format that can generate meaningful action items.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=15367cc4588f38b1&fccid=9c744b1656bd2f31&vjs=3
