job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
SQL Data Analyst I,,Edupoint,"Mesa, AZ",Temporarily remote,3.7,"Transforms client requests into data deliverables to include data models, charts, drill-downs, and pivotable data.
Company Paid for Life Insurance.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIrGJsowzJhLUcNrjL8FTUPy6mkUbFIi7KrRUcHRXWTUJeEBDyWpIxmXReg30I4Zx1rQRrRcEvtyrXw5Q-JN5ZP85Brge10GvHXZMFHpYpvHSLUgHoM0HzY2z5clFVLJQE7_pwUi1BNuCDr5jvmi9kTbFENOOmfPAX03ihl30kipljQ3DoPtUTWhHprMqfdfAlWhaAnUugDHcah1NA-KzaurEZ1_TkCpvvjEdoU4gCGyls2VJyTGR0ZUYteUe7A21aMfG50aUu5swOAFJHhYQ_vbcKchNkrKhVQAX2u3PvfeR1MXCfHrJRTUn1lrQjf3UQdU3LsP2lxvLmcUcMDh5DqNiLKYlTYIAck7ncb6n6tYllUCyqJ9VfLqPEvbIfcAF6DjAbqu79TWNBb6agiI63yws1SMnyC8lOORUv9dUqTc0s25xb_Fh6ekRJBgjHPMxQYSClYfOev6caj9XkfSJ90mbU5aP8rY59Qtq2QcYdgFv6v4TMdPst8X1M-lMiF88=&p=0&fvj=0&vjs=3
Data Analyst,$24 - $28 an hour,Fiduciary Outsourcing,"Phoenix, AZ",Temporarily remote,,"Strong attention to detail, with superior organizational and analytical skills and attention to detail;
Data analysis: 2 years (Required).",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtH0Ir21TOquPnctwNbk32kZJy8PMziKz8GXeJTYfysxocOZ2_bhSXz8EAYDlFeQhRB4xxJXbHKB7-0tuPS0xdDP8XL9ScvO-TlCT7-PiMOkw0XgWQddXCf2h0XClIuqSKy2UKcD1i-_o9IGy7JVh-8_XShnuxR8pjuMlLu9XEVj0xgnu-nqh-SGJisq-brHlUnva7wivjMSkttaEHt-xFlg5jKUay2VVXaF-B-hcCioo5I3CfxDPAbRI5KeSCmJgIpXj3nH7pWV5AkgL4mVZQpsfMrTLmSS0pKia5C31PJuB19LASrdU31H_FauPWErIj8czX6flLmbPgK_Unh3AKsVKUWijG2D68H_YqjGEq4L_isz1r7f656b1eSYIYvHDeG84PqNkTZhGknc3ftA7adzSSLwb26wUgbArHIeJloMmtWMgXDA_Q4Gs8mtHe_WA=&p=1&fvj=1&vjs=3
Data Analyst,,EASi,"Phoenix, AZ",,3.7,"Maintain stable and robust data system that tracks project, resource, and client data.
Prepare forms and other data collection tools.",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_WvxMu48C9L4olFAE6SHQKRkMdvsE7ue5k4nldcxnwxpmgAWxIfgpAw4cAgEnKupgEr_0rfusNIxFDFy2fvzyW6D3ST35daKIJQM58eoGWzbA96jhS0dTFMIHhNAhi2zAXG73ZXcFqZFEXTHSwFDbVsqS0gUJe_QFiom0iDLZQLQFoDCNNtOAson8cSInPTpgKnvzoPgRj39kbJ39cR0DBHefy5kotolqN_g2zv0d6y6wtU_WeKUMJ2aMck6K3dmOQl6vJ_iLz-MQu_gzgmZ07T5v1wUkI29Sq2z4eHD-naKitq-CvMKntb5lk9WhhzD4Xe4z-1O7I0ACJ669EJlaiKU6yOUdAA9i4qSBF7U58dXqcV3LSMkZL984P3Sdu9Uj0oAsV2haCEOEmCnEehjaB28mAGcn-4soWE_W5bUVXBsKeftkwixxMh6o3C7MbJxlCHTT0P6tgyoVf1xT4QMJttuy1GwZr8gCtSSYTOrIxaq8v0AmPeWQCG1ezT0FFgiNpNj0zbsp36CMQFAOv3N51iI2uxom50ncA0dUQ6qqevTI5-_mlcqQKnG2buSlzZ_fOA_uK2HD8OCt2LCIrhInTBg7-QLrZL5DLz5NU9vEO0DX7PmxoKRIGzAmEeeR83WOspemwztC7WnSEprGy_jldZRIMO1mXUAzRl-I5jqC5uSl2-bie9fjuX0ghRZzSzNVPD1smXBMhC3MygBvLixIktylds74McWO5kB0J9NW-sCCjTTDeXZUEqFOtdg3C2fwQsj2A4kYqYisA9Gq6SaCznveVwsjl7ZYscrhmBH_bRoitoOyjW70NQ=&p=2&fvj=0&vjs=3
Data Analyst,,PayPal,"Scottsdale, AZ",,3.9,"Troubleshoot data quality issues and work with owners of source data systems to remediate those issues.
Ability to QA and troubleshoot data.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dn2BJrTT_MS3KLsmM1n0D6dEWYv-qvNCIwtrt37CnWGCJohfXzqRmpk81DgCdmSHG59hnMChldeg80txijhly6w6neE0nu6u1ZbmSOtUvttMjwILVpY37hIsw_VD0L42H8fxoasMzLwE9nO5xE1maagrFr_FqrCao-yOnOi8WV-HePg_lMIcOwmzdMJTNlEg-fMeV34VSUPdkITCCDqz-FCvlxLH4x_wa1ptwHppkTrvuq-VZaI5W2_0IDWjxMgesDoureEv-a1u-zZYVh9MUt7jAwxhCMJTC7KN3MHHP_AvH3rhhbZVr0N7UdKvcSEp-T3zP7rSoZfHUxmCX44McudJsopDYoVXc-XZjV8K1aI2e-nnjtc_0_hT8MYsdZFrMY-mEOUSs7X92KPU4jn_ATsxVdFxnQHuLK5ZLJ95RGNkgszkqItCbfQ38l52DmT1tFbDktWahHd7zrhiap3XXcmIPufaO8MRzBgXgc3nXVzw==&p=3&fvj=0&vjs=3
DATA ANALYST INTERMEDIATE,"$75,000 - $80,000 a year",State of Arizona,"Phoenix, AZ",,3.5,"Data Classification rules, policies regarding security, privacy, and management of confidential data.
Strategies for achieving effective data acquisition,…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b9e6d4d3d183adf5&fccid=ac9531a4aa5791eb&vjs=3
"Senior Analyst, Data Visualization",,Choice Hotels,"Phoenix, AZ",,3.7,"Ability to model Choice’s Cultural Values: Welcome and Respect Everyone, Be Bold, Be Quick, Listen, Be Curious and Show Integrity…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=f534d62e5f5bf8ea&fccid=3ddb4c378ab6ebf0&vjs=3
Data Analyst,"$35,000 - $45,000 a year",Valutek Inc.,"Phoenix, AZ",,,"Analyzing actual past product demand, versus future demand (forecast) from Sales team to accurate future product demand .
Only full-time employees eligible.",30+ days ago,2021-01-15,https://www.indeed.com/company/Valutek-Inc./jobs/Data-Analyst-e52177132b46edad?fccid=1bbb74da0e39d840&vjs=3
Data Analyst,,Carpeturn.com,"Phoenix, AZ",,,"Enjoy working with and constantly updating a current data catalog.
Constant data manipulation is a requirement of the role along with other duties such as bid…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae06bee25e7e81df&fccid=c552612dc9b22344&vjs=3
Data Analyst/Prevention Specialist - Part Time,$20.07 an hour,NATIVE HEALTH,"Phoenix, AZ",,3.0,"Enters all testing outreach data into data collection portals.
Ability generate report using statistical analyst.
Develop analysis and reporting mechanisms.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=07a50f01cbac28d6&fccid=848726322dc3b89b&vjs=3
Data Analyst,,Humana,"Glendale, AZ",,3.7,"5 years of technical experience in data analysis.
Experience with data mining and predictive modeling techniques.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=151caf6e541034bf&fccid=5f1f0e6dcc6cbc83&vjs=3
