job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBv5ksrIpAlWHuGAmpPmJ-1AR2wpU7WeqBKK7z_rzc3-sK0jM2QfbBDzq6yLfnnJKhXj5JoWIIi5eOV-CM6OqD6jF0PnNTPh2KhcGKuDnAvZyjUqZPo3NRhJZBraaU6UYmeHcfA9ddVbFUIDZ6f7ZI8nKo55Oad-kT4b_OfH_zB8QfnREY53l0ftIC5xnRt5ifpcj3laLiGe9YhAPoVqn9ljGlAOGTlBK8mk0bNiWz49Zo2c5XjQmwicTuhJdR77s15_v4u2p7I0ssR7NgF2XyMA==&p=0&fvj=1&vjs=3
Business Analyst - utilities,$24 - $42 an hour,Calculated Hire,"Raleigh, NC",,,"Need someone who is excellent at reporting and data mining.
Business Analysis: 5 years (Preferred).
This team is responsible for providing regular reports,…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZ6O0M0B_3F8oQb4YMAqApYAvZvEqwNptz_xqlbiY_WT-1o3yhNjEM8KaYIKBiJLK6A1zAAvQWnSibpYY_htHjDmcAjessmE3rXknvsuvtuZRbLW-LUii1pfqIqLb359ztiouXgYvoZuv5SdVJ0IfFqTC2ZQhyyEyAyTAqvGXQPz8JnseOd7CJc8C7u6Eth_LMbWOOkGRIIoY-1RBTq8nMkUXoiO-Ia_QeizmxGszOnKiLQoLRdyR8ORt-1fjEsThAJpV8C6u-qpNBZe5BNvT82IOJGMyIVvmyfB19Q4pbFG8r2Es3mHvtsd94RG7EccLhY0YNTPXS2QkYdKslxGYMkQD_QJv8begSWdEk8sNQRorvl2rrqLRzDaehoLF8loKJ343xaDQ6DhferpnD9LnoAXDLFBF1nY9G-jS9HakGo6a9GSRqMIFz_eeHCx0scT0Rb8UM3HVk17mchGzNNn5L4woOGaiWMSM=&p=1&fvj=1&vjs=3
Quality Assurance Analyst for QC Data Review,,Ascent Services Group,"Holly Springs, NC",,3.8,"Strong scientific, quality, and data reviewing background.
Ability to access different instrumentation in the lab to perform data and audit trail reviews.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BN67y3JiEmIr4vjGiDB_BB08s7RhS1j0_uAkUY59Fk9dru8xq_mgQfWZB9rViOoGwEuRamJkq4r_ltJAzgI6Z7H8nKcc0Y6dqaYRvSgmnlfDanOxAcXKo8Yd4rwRdnWuUjPNjaNlMeoExyoqpO6_hC5UvILt4k29Dxrk3lqXsOqA8TDbeFDKErfaOMlMOogmHIZ8HSZhDgyZKXIOBYf6LKyP6ZIhlQnziG8dfSXb5Q7ETH-ki_sJ2vxBFQQMMJRjW3BnWtQvdcLPPzBXAwCMiDNRP_wqfivtj8skAATkoakwRm_8Dske9mMVwAMqcdSFhXj-IC0C4IXGRxrniYEBp87GBPduyzoTFUecur-8OEukElbtqVB8ApIvT5fJVetxmsRCeJ8pkX5OY-dp8UPgbcnE2wpnUeMDWJhAZZDA0P1A==&p=2&fvj=0&vjs=3
Financial Data Analyst,$48 - $56 an hour,"Del Oro Consulting, Inc.","Morrisville, NC",Remote,,"Ability to perform very complex data reconciliation.
At least 5 years of experience in financial reporting and analysis using complex Excel formulas.",Just posted,2021-01-15,"https://www.indeed.com/company/Del-Oro-Consulting,-Inc./jobs/Financial-Data-Analyst-fa304aed8f625d88?fccid=a82e97d0a0e92c11&vjs=3"
Data Analyst,"$61,972 - $100,892 a year",State of North Carolina,"Wake County, NC",Temporarily remote,3.5,"Experience developing, managing, and maintaining data repositories from disparate sources of data.
Experience migrating Excel-based processes and data to…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=c5b6fe851a281564&fccid=679aea3b529f8f45&vjs=3
Data Analyst Intern - Diversity Programs,$25 an hour,Oracle,"Morrisville, NC",,3.8,Collaborate with our team data management lead to review our current interaction with another team that manages a critical dashboard environment and suggest…,24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a23d3590bb852eb&fccid=cd22d01053af7669&vjs=3
Data Analyst,$40 - $50 an hour,Abtsus LLC,"Raleigh, NC",,,"Has a strong understanding of data and how data relates to business needs.
Experience querying against multiple data sources.
Job Types: Full-time, Contract.",2 days ago,2021-01-15,https://www.indeed.com/company/Abtsus-LLC/jobs/Data-Analyst-ae3dae77cc6b0135?fccid=1d3074ca80c15a92&vjs=3
Immunization Data Analyst- NC Division of Public Health,"Up to $48,000 a year",NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Raleigh-Durham, NC",,3.7,"Qualitative data software to analyze and integrate qualitative analysis with quantitative data.
This position will conduct complex projects including the design…",1 day ago,2021-01-15,https://www.indeed.com/company/North-Carolina-Department-of-Health-and-Human-Services/jobs/Immunization-Data-Analyst-55f967045dd1c21e?fccid=457253035593159d&vjs=3
Sales Data Analyst,,Lenovo,"Morrisville, NC",,3.9,Create and maintain rich interactive visualizations through data interpretation and analysis leveraging Qlik and Excel as the primary reporting tools from…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bfdf6e775874f205&fccid=af103eaff391cdf0&vjs=3
Data Visualization Analyst,,Pendo,"Raleigh, NC",,,"Identify opportunities to use data and promote data tools that aid in decision making.
A keen understanding of data visualization and reporting best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db32d7aa68adebd8&fccid=f509aa3fbd6e3bd7&vjs=3
