job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Supply Chain Analyst,,Uline,"Reno, NV",,3.2,"401(k) with 5% employer match.
Analyze data, report findings and make recommendations to management regarding process improvement and product storage issues.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDT3JJaKPeHgCl-ffdx0JnjszTY_5eCKLFnKd6x6J54syqP991KX5O1Mk0uLLEEvz8Dwsb4ovJZKKQVmyZC-b1F7XfYZOp__PPWUT2WA_2PyTOrfxBM3Np5Q4UO86SgGW2sVjo-6fwFqZ93iZE5-fD1ScpqzY_g6-Uem2fxd0i-Ax5ohSqY56TT4dDsc3RRBmKzi6bza93I1WAQqX05TQ68IZrTOSnF6sF64mFPNZvTTPkiP1_tiplzhDeJCHPW9DXookgRDVKz2Fd9fi_96Ndol6izB7zURshjcXAmKoBEuW9uryH91xmbwB8IZv44b-fm9LT-xtTyQa8A9AvKZMPka6KZ7A2UuzCz0JHKFodSI3C7lsaOCZvx3CIw6hWfOTa66Gh-yjoRcJChaKJfo3mVQ03PBY8yZSQFqGNaqNHEC1jwPVqFutuxd3cYHCbpNidTSHPrfkI-dYLiLF2y9Ue9A8I_a6qTMX5AYJVKMSB7vK&p=0&fvj=0&vjs=3
Quality Data Analyst,,Carson-Tahoe Regional Healthcare,"Carson City, NV",,3.7,"Independently analyzes a wide variety and complex publicly reported, internal clinical/Medical Staff utilization, complication, and performance data for…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=d2649e45d98dba46&fccid=6e24bed548c07387&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx5cG-qHkhMFTrRxOOp1Ie_8hAymSHGpji66BkPMksY7XzzgBw1ufV1XsqHwwfJxoup7-Bh_5l6eiDAa_blueoEua0F0LnzCWy_FDuAVdoTiYXzEUEOkkuSBqG51adqpG7CvlF7IAZMKdv4MEah9dHOWm5xIhSED3195rtLO95lsY08XCoQkZOnQkMkLgwE5AX0JtWgi1qkm9AXP4nqSkO0E1ah6efz4Nt7TL8aI5yMbvCGCxDex2ewdtOEaLCIJ1EdXikYiSJ8MkCLPhnJE8Xcg==&p=2&fvj=1&vjs=3
Marketing Data Analyst,,Nectar Consulting,"Reno, NV",Remote,,"Work Experience: *A minimum of 3-5 years’ experience working as an analyst in a direct response marketing business or team.
Only full-time employees eligible.",3 days ago,2021-01-15,https://www.indeed.com/company/Nectar-Consulting/jobs/Marketing-Data-Analyst-452d07f70aac0194?fccid=96f53b5c7d38f1d2&vjs=3
"Analyst/Associate, FP&A Business Operations (Reno)",,Tesla,"Reno, NV",,3.5,"Lead pricing efforts for all vehicle products (Model S/3/X/Y and options) and new market entry.
Team members are expected to analyze data, provide…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4b18a98fba599202&fccid=86e9be6ce380173e&vjs=3
"Report Writer/Business Intelligence Analyst - Office of Planning, Budget and Analysis (PBA)",,"University of Nevada, Reno","Reno, NV",,4.3,"Working closely with Business Data Analysts, the Report Writer delivers timely and accurate information and relays desired user requirements where such…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9e5672f9c82ac7d&fccid=5669dd56ea8222e6&vjs=3
Compliance Analyst,,Renown Health,"Reno, NV",,3.2,"Review data and reports drafted by external vendor.
Knowledge of Medicare programs and CMS regulations and the ability to provide operational guidance and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6GQijKgHpF3lTVkh0Ui8r6bmaBk0xB_Hw0PAS8cFw1x6jyZ395FT366fXU66W4wTak-y9ZjdBQy8fanNlsxaeYl4ps6PPcc0Txh9X82Ie57uku-YBURY1Z6tSzwVunfbHlCjKwSstYebfDprUD3IJSRzVxXRUObMOUXuYLrC3igvepgpoNgTLg3wbINsY6jXWEdtsVj1lt9awh_gopbxZsnfKEScoDz6XdjYqGWJb6gW16EKDGjtyI3lZudVYIdJv-zF34WYG9Qpcc2W8Q3faSAZ53h4rzHkHdn7EIKSS_noWRXlaDRkXWiNsHFBCfhtEwQQkGKtetfwtrz8sADRoDECMvUJK7YkwO9vg4akpfgK9DQEdx9YPmQiligTHvZa2KsDrENPwSY5_CHWqi2TGzbrMc1wRGNt1U2OmcoIZoIT-vL6UW0dmbdtkEsjZX_9gv1LCbOnLw7JvhWDk5yzG1vOp4XIDbhMNPHP3I1G5oiEbRKLs5fy0pIlYU1ykpFlPO1uuiyghUS4KlcremcSu17ifYzL19ESXi3BrNqPjslrpnuMWniAHqBHvsl1kMVSVq4EF4jmV9F1HBcFKW7uPtuvzGwDgonulM-RD_NlC7r51NJm8B-bXNp-CIP_i2_gauqTTWTi7rC4Z4LeG4R7Kn0XdgQJ4wEaj7tCM7iJ3ymPOjifFTViZRXRZRmuKDZ8q11WIjIom7Sgg3ZBymTPTzs5rW3rmYQHBYkyquCKQIKIHXfcBELULKen_7Q6NGdP4Eajf5gyAWjOvhsgBaGlHVQEgG6IWujCQcXrItPCsL9ouMUIb8P99_wEYluln5XPXrGd8W7Kf7TWTvyrXMnr2sP2Iciv0GSSwasD8Wr8JjwOwFdrDeERgNXR2JDTa2qGfxVY7-ZVKCgVLYPelxHRNhNLwrkn2G1wCcBi4vKXMUNOpqkOzILz_sjgumV-Erxt_kk_yrS7mARYRjxRO9ZDS&p=6&fvj=0&vjs=3
Land Acquisition Analyst,,American Homes 4 Rent,"Reno, NV",,2.9,"Three (3) or more years as a financial analyst and/or business analyst preferred.
Minimum of five (5) years of experience in land acquisitions that specifically…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a6877bed67e14663&fccid=a8db1d0256e687cf&vjs=3
Staff Business Data Analysis,,Intuit,"Reno, NV",,4.2,"5-8+ years of experience working with data and analytics with knowledge of statistics.
We are seeking a seasoned Staff Business Data Analyst who is a data…",22 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClvsRMZZYbWkncYKklQZhomgGvtzxN2NDL0Yep_oEtFRBSc398mSurUi9Mojk8piqSi1tK3FcPVl0yxAsUawUiVkOCMcNSi9Jrl5sUH0oUIQunORHPAqQtTSGGRNxCgXcfLH89D5QNVYX2dgEu3GsX4QjrPBrd_soZQKF0FkK2a7d6t26iFViCUpj12XftRWrnoBs6pbngQGVcKeRBNcrBtovbYAsR3WOUoohQLZNbh5JwmE7KFS7s2Ys_N5MkIvIKeb4FtDG-Ts9RSEirNmE1urJ7dodqzRaPoTWc5KdrRbYIncRRypByT7Erocm_kGKgwkAnbZS68dDdBb0dEffhVDwZMndSbX_qFKnXCc6Zp_EMlrVjeQJ9dKgx8mLRGNY=&p=8&fvj=0&vjs=3
Seeking PT Data Analyst,,Sierra Nevada Academy Charter School,"Reno, NV",,3.0,"Under the Direction of the Chief Executive Officer and Education Officer the data analyst is responsible to collect, monitor, and analyze multiple-level data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=635394b58e49bd24&fccid=f35d8440915495cc&vjs=3
