job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Mid-Level Data Analyst,"$90,000 - $100,000 a year",Qlarion Inc.,"Richmond, VA",Temporarily remote,,"Data prep and quality, data integration: 5 years (Required).
Experience with public sector data a plus.
Experience with BI and data visualization a plus.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUbeTn7DiJEflp8qsU0asE1wRQ7SCHJGw12jUnGZ0p-E3EgLYaUvpKA5hA8Pz2a26MESt5oU1oe5UXNuKZ9F6ieBWm6SrhMWhHAasZOGKgGZenCA32yqqHkM8IHoVbrccXaw8LyIcW-z3e5Z-zjL75Jc0YM5lLd8iuWrJuf9e3x40vPtYw-gkWj9dNTb-WvCdso7dDm4ax3NqK_oOP_G9b9KTprENJS7hrP3H7dk4LuIEalgurIt5zuxxurTTRcqtBeLIeOQxxixD7SVTKg55cSEBN2nKAHIlDUDzFvMEcFeAjUZTzECDi6_7igGB_IFa_PQbvpnex0ZbpeM_UtNpRl3Sdpa-5QqZDzMDDw1ifq0mvj3hkqctfEwFZ1RmvPHjnI__eKDsKbAx8dtdm9LmxbNPkYRNcTuNV52TwnwM6pesK6QbkMlQ7cDQArGeMWAOTLJwa-KN2tw==&p=0&fvj=1&vjs=3
Lead Data Analyst,$29 - $33 an hour,Virginia Hospital and Healthcare Association,"Glen Allen, VA",Temporarily remote,,"Requires working knowledge of data architecture best practices and a minimum of one year of experience with data visualization software (i.e., Tableau).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsiHVRw9-Jc2sldXGhWut1c4DE6NZImN5M0-QhEcrwS6F58XZ8ve1ndS19BsyM4mLfW6-l0OAULM0ex8AAaqxXdX3p9WVoKnTZ1DfeTqVlCrxS3ig9onTAMDy39UxKaDmlxI7iYAFIJDQ28ueC89f1NOjhgFY_3lxMg1XpGKDc8K-RRgsorg6njIFmZERtA2W4HYMkcKMBGsMIq7C7jgN8H-UuA3Ax2tq_G1v7EXuiHJ89fWPSUJ0GPdpU4i3oe_BjQFBpEcbc3HuDr-oBKrjaWUBr9Ihr84j1xp0R-E-erOGuL-j7WH53onW6BKNB9Tqy6tGfcF2eWcga_7cvdePUXxO-cpoGdcM8aUDb2lH12GdCWNFyBGCqGyszxbEPDRtvURybpNUpZRvxu69IrT6Sid7_jvSXAeKFPr1OUQQCSpeN7Il8fe7URqwQy1BEH7BFLzz_sfqSCw==&p=1&fvj=1&vjs=3
Data Center Logistics Analyst,,Facebook,"Henrico, VA",,4.2,"Experience in a data center environment.
Generate metrics highlighting performance and trends within the data center field and warehouse operations.",28 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqb9V8ztFatybzS04CYFZRHQ8NbBCPTEzdyjLctVspRykFLuT-BEbpEJJjxnK0pKJkNCJmRQTsIu6sMcLekSwSkQXGJpbwEAHYf6fyMWmyPf7mGazNNk27c-IpNYrLWVrf1kxgQpR41CrZaHYDAp6ak6nE108bAikltYqeAIXb3OXQV3pvs9i8HpEpeB22TQj5haj-5lWE6UkulIyZO8yztCvV8KQDf1oYBSyOoQE9YQBmQKFiFWAbTA2Wgcg_f3gEVH_Ryz9BuP-XGkPCHI9Zptx8G-zCEbxyF-qJqPZy8tnzttmCYQyX1_MAJ5xIx0hLsEjLGTlVYv0IMNwXfEjHY8C11BcuiMCNN3o6Anc9hRBFcHMCt7tHPRIbxB1AGtnrlzo8vPNe7N5mQuSkOMUo8qpvOVpTz5sfHqnOM5h0tQNVIgZ-U9UNNuMjUH1ABqhyTDO3WbfHpizmpFmhBH_JzPs8yuGFUMofkG8c4AIuTbyho5iSMW3LwWPxiaO5zKvMENrcmk_KKOaVEklUTQIjUQmTKp0lcAsThIbFqsbFntlfG8WZYT3zeWmGGpPtQMbBTiC3K5RABluKiUoyZ9ar_7iJwf43rlTm6pqqmprAOAULnMqSMSf0m_Mu-yzl6t0WbWWpex9Bhkk4fOuOrjuYa8laMvXDDciRDmbFJEF-M4nDeYPj8zgrSYbMAGFBYj0G5lTXO0nftKbcoIy927Xz9HNzD1yzY6YiPBvx7TZqE0yX4LR72QweZumaMIBHW1cvT_gnNA91Unr4kJfMuz0wO-RJhtKyAsIQmiMAfBrf4QgLKRQ3p8PYCP7t8CBFvIs2LPwfKadz-rcMfXG2Ns_P2nPGB7cv8g4AC-ub1xgmMl2kncWwElR_ygIETIVEeIiX_Xlc51YiutPPRjGK4rDK6U_FKklSy1YuHfH91uyK2CRW72b6G-O7FLxngyhzqXpbMMwwulJZsKUbwFb3zI8ylgRO8pFxatMym-LVHJA0UA40xpYsBC7o1453phFTwHbjcP1OFwbjx3VN_skaEOrrcPKmN72X7kSZhhbgrfLg-HoOM8eV7uh26Q==&p=2&fvj=0&vjs=3
WMS/ERP Business Analyst (Remote),"From $70,000 a year",ParityFactory LLC,"Richmond, VA",,,"Minimum of 5 years professional experience.
Professional Work: 5 years (Preferred).
Solid Analyst level SQL (views, joins, data pulls).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1uCLsKvSPv2C25Mk7nQADb0PWkbDXumgDiNC9sa3p5qLtcdXM7AmQZZR2VBZ8_Vb1Gv5dC35v4J2C8l1-d-RWwj7X-BsIoNPbpeznlS6E6oYtw7BnWiB6F0mbG3cCb5ecxgzv17GGeW2DBCer7Um8UMPdZ5rMbsAByWZh-8lSVsGKR_gmZJqXsZ_nXYVMNTonqpdEVXVA2eUitoLIo7dIiHq_M_zmeImyxlyFst7_tBEQn99rlK4NdYmGld824SKzFFBNcvajh_TnyPBhqxF4h6CTyS8-_x92MqK5xTU7VGVdM8tKD7FmUFZ5xEKhAGftRfG9ie_MJBHQVrfy6kA8xdMM1kNMK24kVlH8E35taWWz63BvZ9SH1tlysdb1o6oXEAEeHZyqQybe0QCWkKsxSx59zA4OwVnt3GmZLf6rQDyoQ_KbQ0-oVBC0UfVW5P0TucTtiSGkhdvz_zU3ELAO6UBs8_7ODZI=&p=3&fvj=1&vjs=3
Population Health Data Analyst,"$54,475 - $74,273 a year",Virginia Community Healthcare Association,Virginia,,,"Design, build and manage appropriate role-based access to data marts, models and data sets containing PHI within the data structures available to downstream…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKgzQyzTF1Q9mOsR1amaS-juVGLjHt5Cdom-gEF9y-xfJwY2lkC_-ZF6PMxGLXjw7aW3oq3C6EygBoSb5SGV18l5Y6rCQ45ywqraH1x3NQp4r2RiIfaaqReC3rP0pe1asTZZRU7NFmFUN1ao5uJm1O2iOfESLNYnYp5bhSVzOPQvgXlzhqPXC9BXPwvB9sUbaP1dci6nXIXOxZ3UyFvUiOy9g-Oc1Ez72vtrs5NpegAmg99U-m_6BhOZ73vQufKx-Kg3olGOBw8NYSE6H67r0a2xDRrd-owXWhIGjMsfoI9oyjy-76k281LN63ydtIN-aar-8JhZS0sFZXnXSwytZFLm9uhs1QZvg33O3X0SLo4az-18R6gefYqEJxMqKyaG3-7nUdNLxCotrZiXTcdbVPrAfTFxVVfE-UKPosdmmLpr9-1jK0X8YdKTwxQhEsICXMFZ2WFW7cKA==&p=4&fvj=1&vjs=3
"Production Data Analyst, Nomex®",,DuPont,"Richmond, VA",,4.0,"Monitor cost variance and utility yield data in data management system (SAP) at an appropriate frequency.
The Production Data Analyst (PDA) monitors deviations…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dd648d1cbd3c3050&fccid=76bce720eab9a7b0&vjs=3
Financial Data Analyst,"$55,000 - $65,000 a year",TrendLogic Solutions,"Glen Allen, VA",Temporarily remote,,"2-5 year’s total business experience, ideally with strong FP&A or IT concentration.
Strong experience working in SQL databases and manipulating large data sets.",6 days ago,2021-01-15,https://www.indeed.com/company/TrendLogic-Solutions/jobs/Financial-Data-Analyst-0df129d2908779d1?fccid=4c34aae4ab698e2b&vjs=3
Data Analyst,,Weinstein Properties,"Richmond, VA",,3.6,"2-5 year's total business experience, ideally with strong FP&A or IT concentration.
Strong experience working in SQL databases and manipulating large data sets.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1845677ade6c95b7&fccid=1ed07aff8b837882&vjs=3
Business Analyst,,Sentara Healthcare,"Richmond, VA",,3.8,"Designs, produces and analyzes reporting data.
This is a Full Time position with day shift hours and great benefits!",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ce41e7690f6d59ea&fccid=d844fa152b5f8ad2&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyxMhRc_r-wKBW59VjUGtwZvbHbUjnUs8r6IoYy2LsOGJn_PAf-spmgnZpghiW-2xtSq81QfYZ52vwgXzJfg9ykqvg7skpj9X9gYpMnkJLeSAEtknTGVSMrWU8qNm6ZU08gjlD2W6kjTu-M1hELHptnS-f3Ldowh3ytkwPShk3fMtXNxGTWVD-K1_IENDXmToWvrvOACsAZkeoRPoJuo7cQwplNXSg6MK2HF5YOj4Aj-4la-ESHbBILn_mhKG6FPUtOwwhMoiAqOv55TOXJmXcueQ==&p=9&fvj=1&vjs=3
