job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Entry-Level IT & Data Analyst Assistant,"$28,000 - $33,000 a year",Lavoro Group,"Rochester, NY",,,"Ability to use multiple systems.
Must have basic Database skills.
Proficient in Microsoft Office Suite.
IT support: 2 years (Preferred).",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Du1otYPXTyN2HV9ul6aOazUyGngAkOpEeom3pxZjeqm4we8fKY7crmjf-I-uDL5SWqJROkU8gvcrRu-1xENADL-EIiqDVZdBsHKf9-82kRnmOkN54yY1SWhC2SiG0vHzm7tfs3iKzNVIk4G5mYCXn13vFtJy25Ta_PBnTQpGCZ4dRRpqFnM3Q3yQCvL-8lw3epOXC0OHyhgx-0xD_puW7KXpZwO9YZ6eq80Unt0QNY-Ba4WyFcKSs-FGDpb4H84-5MYXIJSNusbXljm2QnHymEAQyHlvxDCj144sMG7Kk2E5F0zu6F7vanimuQrUm_fk-YF82E1S_t5Gbw3y5UU9gaJ-FbMwx2uDi3_9nwCW6YzOLzKK3Ccj569mMtuv-VU5yzOUdP40jPQ7giB1uiaVKUanAP0ug3Q77uu2UCH8G2eAzJPSPBDaHb9V0RqSIaN5g2jk4_PYG4EhaHeRusBtFP&p=0&fvj=1&vjs=3
Enterprise Data Analyst,,Five Star Bank,"Rochester, NY",,3.2,Works with business units to define scope and requirements for data requests and conveys those requirements to IT as needed.,4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7TaZFfJTD9I9RkaRB5-_cfTuE3BNvP3VipmHH9YpdhA3FkmxwFLGLd9VJ2hUZlypv8ruXOgDqR7HsmmwnO1WIh_ws4WdQN09TVDPFWietgS89YdACztwjevU8BfXRaaWJb7HyeUHA2WhhRWS4EEHTAYE6TXGJmosAu3fPeitjG4GJsRnnK8O1JymufMsjT-hvHXd7O7OqOLwbm23iRXUDILSNZ4LMUdtiLnu0xystE5bI8PZA-J-5NoAh-u4-CKVEOzpsiBTX696etj2egEJIfDuxcOAK2-WEdZdzGtvUnXrM9wsLA7utoQU_oQZtc7bnHbpYqJ5k3d3EkCT0ofzO1NVrPR4D1VKv78tMJZL6euJvWlsZ8L51D1SAYnc4WhAU6VbNW-X8G3-3nWeZfTxtJ95q-Ddq9u4sdDtpxLJ5qKfM5TYNCQFUJVSFGjc_LxpmgbijjxrD9Q==&p=1&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB9xRe-XV9n1Kxvfz0Oo8Bj0n82GvuIR3WStILoFI8Z30XixEaTV9JXBZNEaJGa0937ahxXz98TLzpBoqwORSq1wbDRH1_8pUjJfDRJQH-ATMqkU0jJ41aQPezIDilKZA4DrLwVpzfGNMIxdIyUZU24_QSJO75mujYqzEhl1W0vcuYEp3on-5RkU1iYj8zbKkdRvshDyR4iIIvPcAVuWcv5U-9H3_FRhH78ceXnpDI62Z4De_FruaMbMqxrzULnRI9PIeko8dhCX0BalPuiujQhQ==&p=2&fvj=1&vjs=3
Truck Content Analyst,$25 - $28 an hour,The DAKO Group,"Rochester, NY",Remote,3.4,Position is responsible for utilizing industry knowledge and parts expertise for the purpose of data analysis and editing for our internet-based referencing…,8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cm4f4TNRexfs1U9ZfjXa0zn3scdUa41O8B_KnAfnurR_NgUANkfOXDJAXSRz8WPZQbbZiSoVoCV18OlWanS47X_8TsKB7z-dPmQW2Ub5tovuFQuEvBtfa7-erGI8bAPJMjIT13caLKzW-e_Uk8kO5e4ElACUwKt_iB-kGDhsX2yt8P8dzqUqVNVPknjQgDlakvujbEXiifKYl2AHWbTw6Ev2b-t1okqdtcNjaQk5xszZZI7B9AjvNwp_cdr_xJzEB7JzL_qwBqGcBExWXBMREtI6k9VuNte6M9UBl7efykpzAZlxePleIWHveilgmEhnwgguPBkqMIcXKfJcfDbNP3fQxJIpnydDayfha_sc3ejDBAi0dGUgjQ3wyt8xfWv1NLRUe4XyRCBM_Os9tK2V-9ZdwCGBtUw07ei-Aqxp_MfXG8JYl9M4dmwSS6TM9_irgW7u-XgpR55FrX3D-ZGJyl&p=3&fvj=1&vjs=3
Database Administrator / Business Analyst,$21 an hour,On-Board Companies,"Rochester, NY",,2.9,"Focus on data quality and process to foster best practices.
Add/update/maintain vendor master data in SAP within corporate guidelines while maintaining…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwmVxVIPFI6jVVTU-wKul8v4wplmAs_8WNhyHQXkJf7J0VZjFkcY1ogr_7bBv6vyct_2GAs3gKjvICtAa2jy8i06OSuW1dZgnG0IaQKrbl2BQZvZFP2XnbI4ri8ODAnwpRLv-KZo_0tBSs56LfYs9BXiaq-0hyFb4MW6KrCOyo9KcDRVCbtN6ccJ2FmiMneVbEJFSeOoq2SIRvP9sH_Xen_ugVH5tq9oGwx7NB9Jgu-v3TWl3mTVngbEOeoYah-HRubDHcV7JKpzLzfH6G2OWorbdqoJb2mTYqVmskShLRAPkXHIqAf7g1sDyGiTftUftJhgpsJBI7nPl9utps-jK-_OwfWoB6fYeRBAra-HVhDKUTWy61k2Xbm6QABU_JdcfP1m4Ihx7zA9HWCJHKHAB7NjFRQrYgmdJSqHgOUwm8wPBDRon_BGNzO5EiSJw7wu-U8Y5jUiGDseZqppp7-qoVw4mnkppFL_-Z89x8Do1tCCZKM28BiveTqrbDqdI32iL9SbgR1Z3yNFEOuGno4g27TSZNNcUbA_d1wBL-mUqLuuTLS2WjQSavpKiIyNLrNy6rtHjaPBOOlBdzZJgE8pGqlUi1PVFEmmpCbk30opxbvmHWT775zcCOpxqTdkrvm_AtDYOYOByXngJ8OKmHKnWUJiABZKYtFhbaPz5IzH_DvHd8OWLkO_6mY3UKqQYvtZ7puSAe99q_5H2oudBFH3Ljgv9O0XnJnWCxLk6vOcWZrRvY2FPqYG9u9HjTsATQHm7dr7-SYpglnrCOl7uQOrntkzILKcfHmXIZ1s_HZIKOuAqkXpKwSi8ZoE_jsglDfPk2bn8oEILde4XzpsL13i0D1KxYQaxH_TOKj3snSrSMfprACfreZ6ncU7WEwXWDpXT9Zwx_q99BoLBlUYaKXaBZPTfIJ7VtiPdD_a_YQYgHLpPMo7tHi9CS_VSrMRayLOUfpJyQL5D0ZQ==&p=4&fvj=0&vjs=3
Business Analyst,,Rochester Housing Authority,"Rochester, NY",,3.2,Interprets information and organizes it into coherent and comprehensive business process models following an Enterprise Architecture discipline and framework:,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=dfc81ee73a0b2874&fccid=72f65f3e05594c6c&vjs=3
Inpatient Data Analyst,,University of Rochester,"Rochester, NY",,4.0,Provides technical support in daily operations through the oversight of key performance indicators of the inpatient revenue cycle.,22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c5c2fe36d05bb247&fccid=92278e592a11e3a5&vjs=3
"Business Analyst Intern (Senior D - Rochester, NY)",,L3Harris Technologies,"Rochester, NY",,3.7,"Description: Job Title: Business Analyst (Intern - Rochester, NY) Job Location: Rochester, NY Job ID: CS20202511…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a3750a19fec42a0&fccid=6c6be4ac01722b08&vjs=3
Invoicing Data Analyst,,Calero-MDSL,"Rochester, NY",,2.0,"2-3 Years’ Experience in accounting, finance or data entry type roles preferred.
Gathers and interprets data to solve routine problems that require verification…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ecda406ed9bead2d&fccid=87c5785df01789b4&vjs=3
Quality Data Analyst,,Thermo Fisher Scientific,"Rochester, NY",,3.5,"Well organized and structured and detail-oriented.
Ability to use all of the following PC applications: Microsoft Word, Excel (basic data analysis), and…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e4697c2398c1215e&fccid=126e3afd205caa95&vjs=3
