job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Alaka`ina Foundation Family of Companies,"Fort Sam Houston, TX",,,"Adhere to applicable data information and data release standard operating procedures.
Health data analytics experience is a plus.
Must Be a US Citizen.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChVmeEeaXfnw-D8ZhSBdgPTvIDVQB7yRHpNgp4If4E6BPeUXihMwd6UnesnvFhRaz30W58RnEzLIE9pCbGTsrnb4H2J4LVBHMRnZbUPNVFJNwdPwhphGMOj_oCrAuMjXJHteIsp8zydCr-ECGbrSXb6NGqZIENYL0JJ0s1f4ajy0rtt1Ep3m2wZS_iG8IueS4Y0AYQ9DCa3axl5M-i5i3aEZgxPX87rc1vzH2RZQxlm0Eg3vz1qhDJUTxhJChSgHNtf820kx1vJFYmnCtT0J_UF4yo6Pfd-ERIxjjrOU49z_tDU5aMaQxvXQmnrXWZnM8EjJn5mHoolqVsi4JSJGKAxWv1hADoz3n-nEF-ZEvi_ry8aS4EHAuF8jwBksGRESUbR3za9kWZWZUMX_ZB-lDijndmmqPqWYNX19D9EwvXQKQVJ6YfunovWn4RRoqMp9Ec9GZuMHBjAg==&p=0&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyxECU64TJaVIAcq088MmiNSexm-MO_a4yhjG4iFfNohakQ0OlV2k8Av0X7snkMNOP-12ReH3Xsqj6lxUUMUtcqqnuwFDVUhxvgY7Y6ek4sO1Kp8zLYWPWVVFMcGdmwlzUnlm9XfoGMolRPJXhBG0cRyuA59t4RToQULNyw5agtMA1hWPj8ZZ2aqMuTH8PPk6bDW2Ddto-n80Ah-LsBkqCSvI8vteJT1Q_irdxAIqi4Rbh5MPxFNEKllGzFXmGpAGwHdUfw_yuDNmkXuISXcxoECq83Q5m45Qlw&p=1&fvj=1&vjs=3
Finance Accounting Data Analyst,"$44,000 - $55,000 a year",TEXAS MEDCLINIC,"San Antonio, TX",,3.7,"Assist with pivots tables and, VLOOKUP’s for large data.
Provide HR with requested data.
The Finance Data Analyst will pull data for the Finance and Accounting…",5 days ago,2021-01-15,https://www.indeed.com/company/Texas-MedClinic/jobs/Finance-Accounting-Data-Analyst-0656b467bef2a2ce?fccid=a6064a4f006ebf02&vjs=3
Auditor II - Data Analyst,,Frost Bank,"San Antonio, TX",,4.1,"Apply data analytics to assist in drawing actionable insights into financial, transactional, and behavioral data.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=82ff48d70dacc873&fccid=edc800bbc15f6f41&vjs=3
Entry Level Business Analyst,,Labatt Food Service,"San Antonio, TX",,3.0,"As an Analyst at Labatt, you will: -Manage software development processes using Lean Startup and Agile methodologies -Aid in crafting and executing strategic…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7542e50cd7a1ce39&fccid=c832a2c24913e0a7&vjs=3
Government & Public Sector - Data and Analytics – Associate Analyst II,,Ernst & Young,"San Antonio, TX",,4.0,"Assist in analyzing large client financial and operational data sets by compiling data into visually represented reports.
Ideally, you’ll also have.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=9ed67d57a5fc1200&fccid=1544766d4c2915b0&vjs=3
Senior Data Analyst,$55 - $65 an hour,Insight Global,"San Antonio, TX",Temporarily remote,4.0,"Will troubleshoot data integrity issues, analyze data for completeness to meet business needs, and propose documented solution recommendations.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3sA5tBU3J37r-GkJxI2D93U_UURN1-RwveoU6zjGGbJaKVAswgJWaFZbFD15DrBptbwHLKunTFR2FrV3oc-AR3OMXhaPMYIRyTE4_VHIHbixri5nvszlW3-5__Gb61XBO_AggHgs1Oa5cfhAuRIpjh4Qlrm1c6GejiaikNlCeqsEIxQGn3GQyGF_1Sv-QwN9FQSm4KGTgIgH3EwSCzt3y99-c9BZ9MaSg22MUi68zzzQjxmmX9NKGSeX3YxYYzBR809J7Lwg-AGAq2hHL8Ge6IzcMZOJoZidX5-1MKT4L0s2vrCAROObs-6LDBFMdC8CfRfSaIpUUYrdfk_IZguzdgfVLXH4O9lafFfM2aTpajUaWeFhtsCK5UFo2KsaF1GUJcxINOU7Ib8i3igUW8bCK466MKdDP3W6E&p=6&fvj=1&vjs=3
Health Care Data Analyst,,University Health,"San Antonio, TX",,3.9,"Responsible for research, data collection and analysis of health plan data to identify areas for improving cost savings, utilization management, satisfaction,…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=126c7db0e1194687&fccid=77c6e8396bdcb26e&vjs=3
Associate Analyst - Financial Services - Data and Analytics - Service Delivery Center,,Ernst & Young,"San Antonio, TX",,4.0,"Knowledge of data reporting solutions, including the ability to leverage pivoting data, graphs and charts.
Demonstrating ability to review own work and provide…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=3b6f962739e47954&fccid=1544766d4c2915b0&vjs=3
Government & Public Sector – Data and Analytics – Analyst,,Ernst & Young,"San Antonio, TX",,4.0,"Five (5) or more years' of relevant experience, including at least 3 years' experience with Federal financial, accounting or audit related work.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=f8a9503bc1a08508&fccid=1544766d4c2915b0&vjs=3
