job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ79xoahCa6VxhuQbqyVI35LR7dI8jvWPGaCkrP-_0HXjB_h-p_ZZqP94JwiOVaMKijS9OCzVcpoFk9ExX49kGdi2tlh58j5fNenxdH6N20gVrMZHVq9wCxZEqoQMEGLbF9fbLnPhSslWGmmHc0rtugbaqgZkIuTvC4ceMEyulPcE3lpJmshL7nyqoQswFKfES3NaKn-flLRrdkYzqUxk09vUuaASrkozWxqdXZ10_lcIM54A1R5Iuco2Eu0H-AAvmzi3HX9z83VQFzseNknwIuYBhOUyz-X5SZGCFlVZ34hXb-uB3wxc6JQvStWPaj-eaPsprug-szIaiB7sXEIFxl0wWzpTZGlCSA=&p=0&fvj=0&vjs=3
Business Data Analyst,,Pinkerton,"Fremont, CA",,3.7,"Conduct data analysis to examine data sets to draw conclusions about the information contained therein.
Lead and support data driven projects including;",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DEMI6QzMzxi0DD_pMYXICmFoJq-H5LrGXX8bv2zgXFduc3Z3hrGBGa2RXZy2On1fpY-PgT3AQcIZMZUt-ms8pVbDyYvY6QQLpQFW2I3BW2iN_Z7D2QGCHiwroe5Ll6I__lIGth46_CNuBJa_POPoBqEgp4AfoCx1SS8XAd_UrmHoHh9LjJEo2LqmurP2y8CTThLrYvNlAI8S-j0qa20Wc_bmsi_XJLVmu0xS_bOicsKBjRZIIpfNCzO8Ep5YGvyc6LWUBg31BUmCFTu0VrozPiOTj26OLyjh9LafV7KuvOMF39WqXMs2rPBVOD9RHLmw3c4yGwQzyQ12TuBQJvK4ujR-lAzTG8kenzDI5jtGAual3KGJ62eHyfrnxwjjwv_CFlhDGuQJ8c98HH4cTCXjtiLEnnAB98uxtKGoDme9vKRVW8FsH5M__5ghCHzbKkd2JzV3Y2pNv73g==&p=1&fvj=0&vjs=3
Data Analyst Intern,,Cadent,"San Jose, CA",Remote,3.1,"SQL – need to write queries to retrieve data from different data stores, a good understanding of SQL is a must.",12 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f481e289d150a57e&fccid=760d03f6c6eab030&vjs=3
Data Analyst,$24 - $58 an hour,DATOVY.INC,"Mountain View, CA",Remote,,"Data analysis, mapping, conversion & migration experience.
The team will need to profile and build data models for review and cleansing and make recommendations…",3 days ago,2021-01-15,https://www.indeed.com/company/Tahiliani-INC/jobs/Data-Analyst-b86a5888c2f63aca?fccid=16f0035a3408d91c&vjs=3
Data Maintenance and Operations Analyst,,Accenture,"San Jose, CA",,4.0,Support data integrity and automations efforts for GCM data steward strategic initiatives to automate and update non bid and obsolete part information in master…,6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f246a5a1522b5482&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global US INC.,"Santa Clara, CA",Remote,,"Provide seamless and timely data access for your users.
Debate data processing philosophies and methodologies with your team.
Build reliable and dependable ETL.",30+ days ago,2021-01-15,https://www.indeed.com/company/MT-Global-US-INC./jobs/Data-Analyst-c4dc233a5e4a414b?fccid=dd616958bd9ddc12&vjs=3
Data Analyst - Mandarin/Cantonese-Premium Employer in Cupertino,$41 - $42 an hour,Balance Staffing,"Cupertino, CA",,3.5,"Strong data and analytic skills, knowledge of excel, numbers and data modeling required.
Python/SQL/R Tableau or equivalent data visualization knowledge a plus.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A8rnb6lc_tT8WXC6HRrFEklcfrOHg3bjckyZ4Hab6pWqEq6pJZfEEP6JgWDh9i207JTNmsiadmmOM2vwAu3CRu9efoQvES0agDp42A3hxdmYF2wNheovY5hU-0mEzSKU3YCbRRcPfs3XTssh3gqoJRYhwhhJkHI4WlX3pU2EZ8F_7HBfZbr1NoTynTn3-kDZPK3I9sQa1qsr7bwuRwak2WAhOyWn__hT6m0vxPaHnwMDekEscipmCWkK2wBairbEB6rViL_ICReUzRvEOsFsxeU28gKVH1UneP04gqFgxnprp4l9wI7HZBMrHdOzPWa1Dd4lU2pHJziywhOYWSwsAWVlAaM3zeBIC6rpryn-DIf2oeB0vYLaQgZC5nLhHvlx6RicSRWPTmX1vuas5XwPTaSJWEQWMR4CJFVJiVQqwJlqfPHMl1FEErFIOkAqz6yLTbpyonutwzYAGxjIRELga86zuXOixdXMA=&p=6&fvj=1&vjs=3
Data Analyst Intern,,eBay Inc.,"San Jose, CA",,3.9,The Intern will also work with business owners and analyst teams in other parts of the eBay Marketplaces business to help them understand the impact their teams…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2933005420ad8adb&fccid=0da3ed18c20a248d&vjs=3
Data Analyst,$45 - $50 an hour,SSIT Inc,"San Jose, CA",,,"3-5 years of business experience ·.
Must have worked with Cisco before and have experience with Install base.*.
Business & Data Analysis of Cisco Install Base.",29 days ago,2021-01-15,https://www.indeed.com/company/SSIT-INC/jobs/Data-Analyst-d8e4a55265b8ba2c?fccid=e79bc7bc609e2575&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",11 days ago,2021-01-15,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global,"San Jose, CA",,,"\* Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",23 days ago,2021-01-15,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-9e6fc0589d57a586?fccid=538f9ae95cd3fbad&vjs=3
"Jr. Pricing and Data Analyst (San Jose, CA)",,Travix,"San Jose, CA",,3.9,"Experience in an analytical role and/or data analysis is a plus.
Our group aims to help customers make informed and cost-effective bookings for travel products…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e66a058c2092eeef&fccid=292887917ab35ac2&vjs=3
Data Analyst Intern,,PayPal,"San Jose, CA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c372c827371da1ef&fccid=978d9fd9799d55a8&vjs=3
"Manufacturing Data Analyst, Technical Infrastructure",,Google,"Sunnyvale, CA",,4.3,"Ensure data integrity and scalability through enforcement of data standards, data validation, and driving issues to closure.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=235cda2d74423b49&fccid=a5b4499d9e91a5c6&vjs=3
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
