job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Control Analyst,,Healthcare Resource Group,"Spokane Valley, WA",Temporarily remote,3.5,"The Data Control Senior Analyst will build automation, monitor and log in remotely to many different clients and systems, run pre-built reports and queries to…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkOwsYQsqMNvzRqxXrCiaO50ypEfiVqn6KkY8G8EEvf2gF3ySPuSX-iP4d_YHlbZwczzUAK7j3jVjf1i74rhRHJmG-jY9IsevnPhceFTlnXGOIL5-TjZ0EBYa_9LbVzIF1zw4rh6BJ_q9LnzaXNjUWUvzrf-I56edvqeo_thuYlrTFbju6EE5X7eJ4IY6nlbDlwyv8mmVYH2O4-U0bzAn_Zx3r5zpgcTpcC2UITSJVRRF7cAPjdwJtGyp-O3ZFKTnOQno-lTnR8ylWe8erAmLV6hnGvhEY4ncABSO5rtAnkIjjLyCCz4d50cOXp_lftgEjbcS1cVQ0j84zCvFkcYN0yNqceByQw8ipjCIRTNPxr3ZRvItY4GFqqIwSesV6pzEar6LbVDat2VJR06md4VQ8IfW4Po8ajEGpZsL241SBCPVcgRY2zGpDp801S7gTSyMG5bd_7Fgnmw==&p=0&fvj=1&vjs=3
WMS/ERP Business Analyst (Remote),"From $70,000 a year",ParityFactory LLC,"Spokane, WA",,,"Minimum of 5 years professional experience.
Professional Work: 5 years (Preferred).
Solid Analyst level SQL (views, joins, data pulls).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1uCLsKvSPv2C25Mk7nQADb0PWkbDXumgDiNC9sa3p5qLtcdXM7AmQZZR2VBZ8_Vb1Gv5dC35v4PzhNquP7RYNBOiJszl7iG7LzK2DyQvGYHp81fCVvFHsrj6vQBu8W_WaJg6m6xm34rTqaheHkhek4l2t0pEnAWDYKu47Ls-GuYT2sRMQhqHXZsBd7kF4ln6-LebyyHzZeWs4CSIGr0M3U0b5TuPDNc9Fe5HkalSdDe0ZmDbiz9glnPSSiDd_maG8NQXRRA8YHsuWb_p0QaiK3xfpw5hANVBlepM4VsrMZY9uNwdWbYTIyVe0ZTu593s2ko_xCxL1V4dcC5K9xP4t8PgHgKbMpnYx_zfckHCMsnLA4h5SrMwvL0NSARSRlNjvwwpdBGxSNIiKSCFvNMO18CfOcBKHMl3_5f7cyYkIzO9bK6jdc7SfJQGAwT78ERLaG7AJ43UjtLQAln7wLgaS&p=1&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBPntgCje8tlUz7GbcGoXI9MykAaZHYvl8YTaFKYYmZWoFw03S4jvklrUAnRt0p0AsmWzEr_E8ieucA7zZxgvWCUiZeXNs992NlhrNZjT0H0bpBK145E8ksG5zs6nGdA-YFe7cP2uygbXmKRaNab6RwAEg8Jb5Az7rAcMTSUeCmNdnqLCjDLh3PSUZ9dmqcwPssQObM5TSapXNUktul5Zs1xgSFQO1bdzWnnkZfadvGNVt6qSG5iQn72TKiuKdvocBKGgMaiN1GcY4wpATZJ7Hlw==&p=2&fvj=1&vjs=3
Data Analyst,"$65,000 a year",Corporate Tools,"Post Falls, ID",,4.3,"Write queries within PostgreSQL to produce data sets answering requests as accurately and completely as possible—this includes evaluating available data,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fead0b15ed490f69&fccid=46f27b07ce020d0a&vjs=3
Administrative Assistant / Inventory Control / Data Analyst Supporting the USMS,,Forfeiture Support Associates,"Spokane, WA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6316a643e2de0078&fccid=8ce3cf8e1e3ddd14&vjs=3
Software Business Analyst,"$70,000 a year",Two Barrels,"Spokane, WA",,,"18 days paid time off (flexible time off after 5 years).
Report, interpret, and translate business data to provide insights that drive effective software…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=60ea13d501cc820b&fccid=1a040c8f02784ce0&vjs=3
Sales Application Analyst (Remote),,ADT Security Services,"Spokane Valley, WA",Remote,3.3,Keen eye for detail and analytical skills with the ability to document the issue at hand and provide & implement recommendations.,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d2f7d832ed6cd67&fccid=27a2140ddcca6697&vjs=3
Market Research Analyst II,,Banner Bank,"Spokane, WA",,3.4,Advanced knowledge of and expertise in data analysis with keen ability to analyze data and draw logical conclusions and actionable items.,6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3ed41eb6381f7a87&fccid=f812389e884d9ce7&vjs=3
CRM Business Analyst,,Gonzaga University,"Spokane, WA",,4.6,"3-5 years of experience in report writer or analyst role.
Validate data and queries for the successful extraction of data from source systems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6fe6b19246c4d959&fccid=a5f988f3ae1f46f9&vjs=3
"Junior Business Analyst, Clinical Applications (IIBA)",,Inland Imaging,"Spokane, WA",,3.2,"Functions as an analyst during the implementation phases of various Radiology Solutions.
Designs workflows, processes, data flow and other solutions with…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=186f53d87e1e36e6&fccid=399026ce28bcd031&vjs=3
