job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Business Intelligence Data Analyst,,Arizona Liver Health / Arizona Clinical Trials,Arizona,,,"8 AM to 5 PM, Monday through Friday in-office availability, though infrequent afterhours availability will be needed from time to time.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhZm2ZuLA7cunhNCqSp9_SQW4gGpkWJ0dFxzw4xR9_pIPKKnXCIPtJmW-6lgufu-EugwailVi8AarcGK4GuvCs6oWeVp5a1BOLVb299gFE0lQZgJfoMSvios3BadSgp97Frklbw2uaVxPUGnwRnlIXNY4eS3Q5T-qpkPjg29oyqBkU9V6EO85vyGMdh_s1HSqNHe2S42AuqjvScLFq3UjJr8AxlNBCKvQh4XOhJFcM_D1zc4lV40EoMLvtZ7tjltZibPKAtqijDcCeW1aFM7eyMlmQQg_iHs8wU4_QrdB5n1y108Q5nbGxe6AKnuOgQqBkTl5uCRmFBYXnIZD1bTWVCEZeIPl39IOJvT_ZDw7IL0XZpNOcYKomupvGfIsJfxWG6eCsbf5fY4TpP63FM2D4_5yXacBdz5TQMD4YcDs3zI7Y-BfoVTiu7nXimR0p8TBCaVesET7J_0Pf0fv8vXo-RHlRHeVSKOo=&p=0&fvj=1&vjs=3
Data Analyst,,Madden Media,"Tucson, AZ",,3.7,"You will level up our research and reporting capabilities to provide more sophisticated analytics, modeling, interactive dashboards, and visualizations that…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f9eef2ddefae772&fccid=30241660ea4c32c7&vjs=3
Senior Distribution Data Analyst,,"V-Soft Consulting Group, Inc.","Tucson, AZ",,3.4,"5 years experience in a fast-paced distribution/manufacturing environment; distribution experience preferred;
This is a full-time, direct hire position Consumer…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9RE-Si7ybiUgDiZLiiQYmpNk9Vbzm2gLbPAQW_p1zE3jUynzuC9mQeE4jvLF4MlR3XNf5hOYk5vpLxT1mXmwC-qUpZR55WKHP1a8CLPVV8OPPv_k0ta7pvktWQYq2e3k9RyZlSXr1-sjYKLor8z_06d390loBas2etMzWoH68P0zkdujBOUBdSt6s9TMmXOqnhNMkgCLAr8UPwGJt-D-QGvzQEQ4WBGjW16I0CJssLK1NhdY1M436V3gj5Knon_SJHj4FIzQzC4qJ3gL218SK4wGLgqvgU65Zr-bHj6p-yIjP9GMkrybiaxsEojODqLUeR057Zrcwrr_Dn6kzZy3Q1RQLx7eJqmBBShemvkpeLqVrykrDW4VNW8Dk8qDhEG2E1fjrxFHGb6jXWAZshYP9RhyhdzQYJhAr6QmIqD9YnkCRQxm25l5WzfWq3cg1FVHA2uZDUVG2Ng==&p=2&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx2BzsrMuFgo_LZ4bcOWPK7SWNgKi_glUoZBWBEfVQ8_AMmS9fCuePHvv0Vbt3e_5sdajSnQH7pV-nHYKFzOxXWgJfQFaByT1IdY-IsuyToveoS3AGkwB6QumfhMj5Jah9RwgeSyk9hoOXMajhbLWVccG0KdgYqSBnDjEQToBAU_QwhfufmwbiNo9jWMDlzVHi1qBi1-kitL13aMo-8OBTUWm5FLufT_utjS700vCd7w66-3B2iclU0tqO_CiuCZE1GLOrtGIV2WdLPn3J5iA8Ug==&p=3&fvj=1&vjs=3
Data Analyst,"$47,048 - $65,344 a year",University of Arizona,"Tucson, AZ",,4.3,Supports the University goal of establishing a comprehensive data support infrastructure by being a knowledgeable analyst in various data pillars supported by…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8f4651cde1517bc6&fccid=5a681cdfb59f0cce&vjs=3
T&E Analyst,,Hexagon Mining,"Tucson, AZ",,3.0,"Pull reports to analyze data and report to management as requested.
Train Accountants to pull Expense Detail Report to report totals to insurance company for…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=c5f3ebcb895b5b87&fccid=81ce437918a1c541&vjs=3
T&E Analyst,,Hexagon Geosystems,"Tucson, AZ",,4.0,"Pull reports to analyze data and report to management as requested.
Train Accountants to pull Expense Detail Report to report totals to insurance company for…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b207b353fb2baae9&fccid=0a22ab36cf7af12f&vjs=3
"Business Intelligence Specialist (Analyst, Data II)","$47,048 - $65,344 a year",University of Arizona,"Tucson, AZ",,4.3,"Work with the Data Architect in developing and maintaining a formal description of data and data structures, including data definitions, data models, data flow…",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=de20b84965261b70&fccid=5a681cdfb59f0cce&vjs=3
Electronic Health Record Data Analyst,,Easterseals Blake Foundation,"Tucson, AZ",,3.2,"Export any required clinical outcome measures and billing data.
Manage and optimize data gathering throughout all programming in connection with programmatic…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1b7dffce751a8250&fccid=a0e8f51dc8698ebb&vjs=3
SEO Analyst,,Simpleview,"Tucson, AZ",,2.5,"Analyze data trends and organic performance, develop strategic SEO plans and conduct SEO activities to attain high visibility on search engines.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1d6d00a228036b80&fccid=dd31feee05020c5f&vjs=3
