job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_pQLaC9RUKdUJcBl4XPJ9HX37JTDlPqh2Pre1tXe1gYGv5NQxKzvNmc4gZ5yuxWtyPFiAaLzKyGoA-5MZDklbADM3Rc2bYJbKq2SxVDByXuQ_PzGzPPGwTECCGv-8oauuSF56z_VL0ufbfjyJGoINerweAgZL5sl93EA2EBe7I8vrUwi2q0RdVBclVzz99oO9-ldeSTMbs1NCoMIHgP_uLoIPSZQxPd7HL8Q0JCHgbFlxEfqUSDckA3c-WVBvdy95ZYlPy5u77fldLHPImXXk6g==&p=0&fvj=1&vjs=3
Pharmacy Data Analyst,,Oklahoma Cancer Specialists and Research Institute,"Tulsa, OK",,3.3,"Working knowledge of relational database structures, data quality issues and health care and pharmacy payer data elements.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=a0799a3d93bb8d68&fccid=b89ab988d722fa0b&vjs=3
Health Data Analyst,,Community Care HMO,"Tulsa, OK",,4.0,"The Analyst also works within the company’s and other databases performing data cleaning, descriptive statistical analysis, data modeling and developing and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2f37a3f6b4bfa6e&fccid=c29f78a3ab69c94c&vjs=3
EMR & Data Analyst,,Community Health Connection,"Tulsa, OK",,3.9,"Strong knowledge of data collection and analysis including knowledge of Access, Excel and SQL.
Coordinate and collaborate with software vendors and IT…",30+ days ago,2021-01-15,https://www.indeed.com/company/COMMUNITY-HEALTH-CONNECTION/jobs/Emr-Data-Analyst-359a1d7ae3383501?fccid=044cdd3f02abd79f&vjs=3
Credit Analyst I,,HILTI,"Tulsa, OK",,3.9,"Ability to analyze data and make recommendation.
Customer Service oriented/good attention to detail.
The Credit Analyst is responsible for reviewing all the…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76f35f787524f131&fccid=9a992a33fec815f4&vjs=3
Associate Business Technical Analyst,,Great American Insurance Group,"Tulsa, OK",,3.8,"Basic experience with using, testing, and maintaining tables and data within application software.
Analyze, research and resolve policy rating issues and other…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=411f684a94ce89c0&fccid=11e7471668f88afd&vjs=3
Procurement Analyst,,LDF Support Group Inc,"Tulsa, OK",,,"Create and maintain item master data for new and existing SKU’s.
Proven ability to produce, report, analyze and apply data to drive initiatives.",5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d16b03d54b083445&fccid=4715d551aa4d3d43&vjs=3
"Data Analyst, Population Health, FT, Days",,Utica Park Clinic,"Tulsa, OK",,3.7,"Two years in data tracking and report generation.
UPC patients have consistently given top ratings (98% patient satisfaction scores) for the quality of care…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=61d57145953d6c94&fccid=6ac5becba7fb8f35&vjs=3
Outcomes Reporting Analyst,,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Tulsa, OK",,3.9,"4 years PC experience including 2 years utilizing database software to manipulate data, generate reports and analyze data.
Job Type Full-Time Regular.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5ad7d111c6085c68&fccid=f0982fe98d8ebba0&vjs=3
Consulting Business Analyst - 80747,,BOK Financial,"Tulsa, OK",,3.6,"You will leverage your attention to detail to write functional business requirements, implementation plans, and procedures.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e6459bf60b1f8246&fccid=6016e849f1100b1e&vjs=3
Systems Business Analyst,,Community Care HMO,"Tulsa, OK",,4.0,"Supports the development, integration and delivery of various enterprise systems.
This includes both vendor-provided solutions as well as in-house developed…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=430ca46f6c027e42&fccid=c29f78a3ab69c94c&vjs=3
Data Support and Reporting Specialist,,CAP Tulsa,"Tulsa, OK",,4.8,"3 years of prerequisite related work experience in data base administration, reporting, and analysis.
Oversees the accurate and timely collection of participant…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=baa6638a9efe2226&fccid=6365c724f5d145eb&vjs=3
Technical Business Analyst III,,BOK Financial,"Tulsa, OK",,3.6,"You will be part of a new team positioned to deliver a strategic and transformative nCino software, based on the Salesforce Platform, for the Commercial bank.",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8faaae291196bb61&fccid=6016e849f1100b1e&vjs=3
"SR. ASSOCIATE, BUSINESS ANALYST (LEAP)",,GRANT THORNTON,"Tulsa, OK",,3.7,"O Coordinate with the vendor testing team for test cases and test data as needed.
At least 3 years of experience with testing web applications and at least 1…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f34ba0c59a29af46&fccid=7ac82fceed64aa81&vjs=3
Information Technology Business Analyst,,Ttcu Federal Credit Union,"Tulsa, OK",,3.9,"Related platform experience in a professional business environment required - 3 Years / Intermediate.
Working knowledge of Business Intelligence Development…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b827028b411fe0b3&fccid=8a4e6e9a0d23f69f&vjs=3
US Data Protection Senior Analyst,,Deloitte,"Tulsa, OK",,4.0,"Cyber Security vigilantly protects Deloitte and client data.
You work closely with management, leads, peers, development teams, business analysts, and end users…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=345c87d2532a1535&fccid=9e215d88a6b33622&vjs=3
Cloud Services Business Intelligence Manager,,Fox Rent A Car | Fox Rent A Car Inc.,"Tulsa, OK",,,"Experience in managing data loads to the data warehouse and reporting servers.
Knowledge and understanding in merging data across various Data Management System…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=24ffcff05dcde377&fccid=1adffe795b88d7ba&vjs=3
